Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Bmp7,Eng,ECs,0.16666666666666669,0.1103609999999999,0.9508149698359046,0.0,42.51972666666671,0.026816811966288,27.49284169083933,0.7339179108703067
MuSCs,Cort,Sstr4,ECs,0.16666666666666669,0.0948775,0.9111913415804744,0.0,3.8366675,0.1162464252049699,0.85309720488625,0.6564971736379182
MuSCs,Epo,Epor,ECs,-0.16666666666666663,0.0911561666666667,0.4579290824524796,0.33333333333333337,-0.2987306666666667,0.1496700326440556,0.0057869037757777,0.4684644954583182
MuSCs,Nppc,Npr2,ECs,-0.16666666666666663,0.0404521666666667,0.7269197784238319,0.0,1.711603333333331,-0.0164966504681505,0.747224928466111,0.4679956620315924
MuSCs,Ptn,Ptprb,ECs,0.0,3.5234063333333325,0.4446039512934572,0.0,22.0044671666667,0.00252547713252,511.7995385254622,0.4419639021765815
MuSCs,Dlk1,Notch4,ECs,0.0,0.3139433333333332,0.4607200075479435,0.0,3.490190666666656,-0.0067944380763812,18.56515203721044,0.4185701343411754
MuSCs,Epo,Ephb4,ECs,-0.16666666666666663,0.0911561666666667,0.4579290824524796,0.0,5.035807666666667,0.0084680910968353,3.4773469252948885,0.3736853592586469
MuSCs,Bmp7,Acvr2b,ECs,0.16666666666666669,0.1103609999999999,0.9508149698359046,0.0,0.5766109999999999,0.006630044812122,0.184011599827,0.3697905062355212
MuSCs,Col18a1,Kdr,ECs,0.0,32.111763,0.3453644017782987,0.0,25.971645166666704,0.0429594158806476,4479.338204391184,0.3433309602624005
MuSCs,Slit2,Robo2,ECs,0.0,0.2793569999999999,0.2662544020527244,0.0,1.0248971666666666,0.2411874140851214,0.8793228009495,0.3035771127175644
MuSCs,Bmp3,Acvr2b,ECs,0.16666666666666669,0.0757965,0.7522964702550122,0.0,0.5766109999999999,0.006630044812122,0.1231188083095,0.2925168889735083
MuSCs,Bmp7,Bmpr2,ECs,0.16666666666666669,0.1103609999999999,0.9508149698359046,0.0,8.37127516666667,0.0383987981550827,5.165880300426833,0.2854951631911713
MuSCs,Angpt4,Tek,ECs,0.6666666666666667,0.6198625,0.2898444823126248,0.0,8.308520666666674,0.0276782057574052,41.72451766720084,0.2761684322298318
MuSCs,Col4a6,Cd93,ECs,0.6666666666666667,1.1376436666666667,0.5171166938128894,0.0,8.520289166666686,0.0418108933577426,250.7698486855714,0.2702627965486279
MuSCs,Efna5,Ephb1,ECs,0.0,0.4418621666666665,0.3517100829015695,0.0,-0.339415666666667,-0.1191181205288374,0.3549957625746112,0.2676077234385334
MuSCs,Slit2,Robo4,ECs,0.0,0.2793569999999999,0.2662544020527244,0.0,0.6411298333333306,-0.0027818102655928,12.3882950413845,0.2642525542792479
MuSCs,Dlk1,Notch1,ECs,0.0,0.3139433333333332,0.4607200075479435,0.0,11.281386999999995,0.0707794000911965,29.04117387471632,0.2560113119909773
MuSCs,Ncam1,Robo3,ECs,0.0,7.625778333333331,0.2488567022494816,0.0,0.5340298333333329,0.0035882328791676,22.71347317374921,0.2510759668262717
MuSCs,Bmp2,Eng,ECs,0.0,2.871043166666668,0.3195735777405344,0.0,42.51972666666671,0.026816811966288,754.6087169376112,0.2482192660980635
MuSCs,Ctf1,Lifr,ECs,0.33333333333333337,1.0790961666666667,0.8231343414189926,0.0,11.070130166666672,-0.0169204084243396,36.28824428152164,0.2438387040615672
MuSCs,Inhba,Eng,ECs,0.0,8.281881,0.2975416511547137,0.0,42.51972666666671,0.026816811966288,2034.047493371439,0.23078770711233
MuSCs,Lgi4,Adam22,ECs,0.0,6.405984333333333,0.4271897313482738,0.0,3.780244,0.1062758553178244,41.12713470417133,0.2284836097376419
MuSCs,Fgf1,Fgfr3,ECs,0.0,6.292054666666667,0.2000435182714998,0.0,3.0076571666666663,0.0953669344088073,53.5513588223109,0.2224654198046368
MuSCs,Tgfb3,Eng,ECs,0.0,8.114624166666665,0.2829824383641502,0.0,42.51972666666671,0.026816811966288,2057.836777127597,0.2218110785864893
MuSCs,Timp3,Kdr,ECs,0.0,67.94792066666666,0.2174652216813315,0.0,25.971645166666704,0.0429594158806476,9136.812843912585,0.2152930851915041
MuSCs,Sema6d,Kdr,ECs,0.0,34.432275833333335,0.2145850510115859,0.0,25.971645166666704,0.0429594158806476,4867.888824411849,0.213853078197288
MuSCs,Bmp7,Acvr2a,ECs,0.16666666666666669,0.1103609999999999,0.9508149698359046,0.0,3.1660830000000004,0.0337384877093877,1.703157019473,0.2137100410881346
MuSCs,Efna5,Epha4,ECs,0.0,0.4418621666666665,0.3517100829015695,0.0,0.4608125000000003,-0.0551217902446661,3.210132858746414,0.2135460769816511
MuSCs,Fgf17,Fgfr3,ECs,0.33333333333333337,0.036217,0.2335674576165949,0.0,3.0076571666666663,0.0953669344088073,0.6601342296531665,0.2091863096868373
MuSCs,Jag1,Notch4,ECs,0.0,19.13076583333333,0.2289212104501529,0.0,3.490190666666656,-0.0067944380763812,1048.7182489381112,0.2082722283067544
MuSCs,Tnc,Ptprb,ECs,0.0,46.693294833333326,0.2087122012106086,0.0,22.0044671666667,0.00252547713252,6870.87966210591,0.2077481290505194
MuSCs,Cort,Sstr2,ECs,0.16666666666666669,0.0948775,0.9111913415804744,0.16666666666666669,0.0230694999999999,-0.3119581693323538,0.02375886681125,0.2053401137336473
MuSCs,Col4a5,Cd93,ECs,0.0,2.1254825,0.3925204766477991,0.0,8.520289166666686,0.0418108933577426,470.2292216837037,0.2042900438960045
