Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Il15,Il2rb,FAPs,0.0,-2.087892666666658,-0.0157623204541047,0.6666666666666667,0.2791559999999999,0.6432886782674976,7.196170759636666,0.3250529637036289
Neutrophils,Nppa,Npr3,FAPs,0.0,0.2768060000000001,0.3059202442865524,0.0,-0.8191763333333331,-0.1686572533052671,0.2191988100714444,0.1995635902958086
Neutrophils,F10,F3,FAPs,0.0,34.65075666666666,0.1997101739589407,0.0,3.860112000000008,0.1194893271013495,1716.250922978228,0.1795880886620627
Neutrophils,Prok2,Prokr1,FAPs,0.0,1.787720333333331,-0.0037029220801026,0.0,0.2694903333333329,0.1150324214996851,6.05474994572945,0.1121271956444812
Neutrophils,Ghrl,Ghsr,FAPs,0.0,2.115690666666673,0.0616577451306489,0.0,0.0212486666666671,0.1049372821026278,6.22774307554559,0.1017628443379289
Neutrophils,F7,F3,FAPs,0.0,4.085876666666667,0.1020139167926855,0.0,3.860112000000008,0.1194893271013495,198.4255422860091,0.0941022955065413
Neutrophils,Ntn3,Neo1,FAPs,0.33333333333333337,0.281723,0.1534111494445551,0.0,-4.104360666666668,-0.1430590568799715,5.819283469609555,0.0690328876434702
Neutrophils,Gnai2,Cnr1,FAPs,0.0,-26.94269300000002,-0.012746634973916,0.3333333333333333,0.1049749999999999,0.246608098151202,20.274890398924327,0.0566965312634775
Neutrophils,Nppa,Npr2,FAPs,0.0,0.2768060000000001,0.3059202442865524,0.0,-0.98564,-0.0811668524091724,1.1745283903653334,0.0528368196800584
Neutrophils,Ntn3,Cdon,FAPs,0.33333333333333337,0.281723,0.1534111494445551,0.0,-2.143827666666663,-0.0712817834258648,2.3975825876962227,0.0514088634142907
Neutrophils,Amh,Amhr2,FAPs,0.0,0.6740063333333336,0.0386287119901126,0.0,0.1868926666666667,0.0883649970659762,0.3978566886958889,0.0496910396836842
Neutrophils,Vwf,Itga2b,FAPs,0.0,24.56854266666666,0.1329151068101573,0.0,0.205350666666666,-0.0164169574956716,68.47923546044714,0.0455977350673403
Neutrophils,Tnfsf13,Sdc2,FAPs,0.33333333333333337,0.63557,0.0791803107267901,0.0,-6.135021666666667,-0.1317468067567052,22.62507753937668,0.0437966613576278
Neutrophils,Ccl2,Ackr2,FAPs,0.0,34.93239599999998,0.0392155510131695,0.0,0.0166273333333334,0.0,11.371359892685131,0.0392155510131695
Neutrophils,Mdk,Alk,FAPs,0.0,0.6167203333333351,0.0300173343031496,0.3333333333333333,0.0141803333333332,0.0154801798120147,0.0818543511237779,0.0335115408113958
Neutrophils,Psap,Lrp1,FAPs,0.0,581.6036990000008,0.0967481688481479,0.0,-3.3407366666668,0.0126284956822788,78142.53374137188,0.0252971526477003
Neutrophils,Ccl12,Ackr2,FAPs,0.0,0.9372300000000005,0.023304111035947,0.0,0.0166273333333334,0.0,0.393983626988001,0.023304111035947
Neutrophils,Icam1,Il2ra,FAPs,0.0,-151.21482333333327,-0.0917326270571287,0.33333333333333337,0.0788653333333334,0.0397264318251903,5.239364519216217,0.0228972918274566
Neutrophils,Sema4g,Plxnb2,FAPs,0.6666666666666667,0.4977193333333333,0.1523938570415803,0.0,-6.914841333333328,-0.0427996806976325,14.816321561763994,0.0223385279237923
Neutrophils,Bmp8a,Acvr2a,FAPs,0.33333333333333337,0.0451976666666666,0.0637230339510303,0.0,-0.8836656666666585,-0.0457865317737766,1.0733073067557783,0.0221073109275484
Neutrophils,Amh,Egfr,FAPs,0.0,0.6740063333333336,0.0386287119901126,0.0,4.186051333333317,-0.0178139615926447,36.9929199011621,0.020962326319555
Neutrophils,Il15,Il2ra,FAPs,0.0,-2.087892666666658,-0.0157623204541047,0.33333333333333337,0.0788653333333334,0.0397264318251903,1.883383294734444,0.0194046371782758
Neutrophils,Mmp13,Lrp1,FAPs,0.6666666666666667,0.4857466666666666,0.0744729710187905,0.0,-3.3407366666668,0.0126284956822788,67.39776653031332,0.0180500000215262
Neutrophils,Dhh,Boc,FAPs,0.3333333333333333,0.1363396666666666,0.021119279567214,0.0,0.4561916666666707,-0.0625012236744435,1.714627637426889,0.01270938476485
Neutrophils,Tnfsf13,Tnfrsf1a,FAPs,0.33333333333333337,0.63557,0.0791803107267901,0.0,-3.1711176666666674,7.116328333400812e-05,30.24847821821334,0.0117495463780679
Neutrophils,Gas6,Tyro3,FAPs,0.0,1.352867999999999,0.0146091515946542,0.0,0.0091023333333328,-0.0016897726730935,3.288093604493449,0.0108492727910311
Neutrophils,Nodal,Acvr2a,FAPs,0.0,0.0785820000000001,0.0340646067100929,0.0,-0.8836656666666585,-0.0457865317737766,2.011468274953555,0.0107165503870859
