Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Dll4,Notch3,MuSCs,0.33333333333333337,32.32914166666666,0.4387626785106049,0.0,19.339070833333334,-0.09375425507744696,2992.649132914181,0.35100881308873016
Neutrophils,Efna1,Epha5,MuSCs,0.6666666666666667,16.79610233333333,0.3407764444686701,0.33333333333333337,0.11756899999999998,0.0013268533997899956,5.577799524184333,0.3407788364329232
Neutrophils,Col4a1,Itgb8,MuSCs,0.0,250.24279966666668,0.2978944777798267,0.0,6.7055194999999985,0.022477633977219136,3896.7812584093,0.27199128327268685
Neutrophils,Pdgfb,Art1,MuSCs,0.0,35.760490666666655,0.3719148818366018,0.0,0.6099851666666668,0.030134808069200325,43.00969962123005,0.25348357289139634
Neutrophils,Jag2,Notch3,MuSCs,0.0,12.962847333333334,0.3064897528496107,0.0,19.339070833333334,-0.09375425507744696,1214.1573055414326,0.2425643918110282
Neutrophils,Edn1,Ednra,MuSCs,0.0,10.852260333333335,0.3512195786955537,0.0,5.781310166666671,-0.024615185481911217,241.71503426144582,0.2381566227482521
Neutrophils,Hbegf,Erbb4,MuSCs,0.0,8.78913166666667,0.2273800638657816,0.16666666666666669,0.005374666666666666,0.0,0.06097930446866667,0.2273800638657816
Neutrophils,Efna1,Epha7,MuSCs,0.6666666666666667,16.79610233333333,0.3407764444686701,0.0,0.3742935,-0.017637270520714617,18.793903941686498,0.2252689228281582
Neutrophils,Pdgfd,Pdgfrb,MuSCs,0.6666666666666667,19.62895633333334,0.4367954510129386,0.0,19.15427150000001,0.05061322786918165,1286.8135865854624,0.21731619905678026
Neutrophils,Efnb2,Ephb6,MuSCs,0.0,33.097526,0.3496519449061475,0.0,0.14956666666666685,-0.012557117408037556,36.354196883928,0.2060432115866836
Neutrophils,Adm,Calcr,MuSCs,0.33333333333333337,11.378179000000005,0.19195064131416706,0.0,-1.5638363333333327,-0.00230362653310201,40.8083566582361,0.1914881446177268
Neutrophils,Jam2,Jam3,MuSCs,0.0,62.26240633333333,0.3715252262489781,0.0,-2.784213000000001,-0.07327416873562409,2491.1999610530324,0.1874401956445917
Neutrophils,Pdgfb,Pdgfrb,MuSCs,0.0,35.760490666666655,0.3719148818366018,0.0,19.15427150000001,0.05061322786918165,2352.0407300108222,0.18538463691661788
Neutrophils,Dhh,Hhip,MuSCs,0.33333333333333337,2.962863666666667,0.21617637996743871,0.0,0.25812633333333346,0.4147109526278784,2.3313889110071115,0.18472964136564346
Neutrophils,Il34,Ptprz1,MuSCs,0.0,3.1811430000000005,0.1760856197480968,0.0,0.09128783333333336,-0.008108791757546419,21.71243807341733,0.17386067735944674
Neutrophils,Efna2,Epha5,MuSCs,0.33333333333333337,2.007451333333333,0.17210870443467813,0.33333333333333337,0.11756899999999998,0.0013268533997899956,0.6774031842209999,0.17212566598988574
Neutrophils,Hbegf,Cd82,MuSCs,0.0,8.78913166666667,0.2273800638657816,0.0,3.5365070000000003,0.2508085071179024,516.6468550981715,0.1699445913478846
Neutrophils,Dhh,Cdon,MuSCs,0.33333333333333337,2.962863666666667,0.21617637996743871,0.0,2.488761166666656,0.012088097497734096,141.55025882268404,0.16914556276864354
Neutrophils,Bmp2,Bmpr1a,MuSCs,0.6666666666666667,6.280722666666667,0.3716475701627055,0.0,4.494241333333329,0.09167521047933448,164.63680896661688,0.1611977191259476
Neutrophils,Bmp2,Rgmb,MuSCs,0.6666666666666667,6.280722666666667,0.3716475701627055,0.0,0.14732216666667242,-0.0853027562859946,142.15924920645102,0.15316544620486172
Neutrophils,Edn1,Ednrb,MuSCs,0.0,10.852260333333335,0.3512195786955537,0.0,38.61076616666664,-0.04047734998114905,818.7960332884329,0.15179580739144372
Neutrophils,Bmp2,Bmpr1b,MuSCs,0.6666666666666667,6.280722666666667,0.3716475701627055,0.0,-0.16922166666666685,0.04336184576099328,3.880995471918221,0.1507183181439609
Neutrophils,Nlgn3,Nrxn1,MuSCs,0.33333333333333337,0.13560800000000006,0.16347854202198406,-0.5,0.024732333333333332,0.0027498651597313017,0.012713448219777778,0.14583765170177118
Neutrophils,Sema3f,Plxna3,MuSCs,0.6666666666666667,37.875664666666665,0.3701799042864503,0.0,-0.04641166666666674,-0.016295107658428398,141.9930685451881,0.14398516080106974
Neutrophils,Col18a1,Gpc1,MuSCs,0.33333333333333337,18.758069333333328,0.17004933046717036,0.0,5.809558666666668,0.06430722934457256,846.0587759606346,0.14311999588597782
Neutrophils,Efnb1,Ephb6,MuSCs,0.0,5.485913000000003,0.2306794920937313,0.0,0.14956666666666685,-0.012557117408037556,6.148218478497335,0.13543710400142522
Neutrophils,Nid1,Ptprf,MuSCs,0.0,57.85188033333333,0.19745890607297656,0.0,1.2855119999999998,0.20181705584357126,284.76290421307505,0.12944838963927546
Neutrophils,Gnai2,Adcy1,MuSCs,0.0,-54.81437666666668,-0.08572379714732832,0.33333333333333337,0.15863366666666667,0.7378110480272428,20.87508731455245,0.12427164616796835
Neutrophils,Lama3,Sdc2,MuSCs,0.0,4.445807666666665,0.3111674396101689,0.0,-1.9370004999999964,0.0040365847867669955,109.58566613817915,0.11472972697139015
Neutrophils,Efna2,Epha7,MuSCs,0.33333333333333337,2.007451333333333,0.17210870443467813,0.0,0.3742935,-0.017637270520714617,2.2804527750915,0.11356237517134934
Neutrophils,Gnas,Lhcgr,MuSCs,0.0,85.87851633333338,0.09000243743270983,0.0,0.09639799999999997,0.3625320258231888,42.981317741214006,0.10739581540922112
Neutrophils,Bmp2,Acvr2b,MuSCs,0.6666666666666667,6.280722666666667,0.3716475701627055,0.0,0.3960514999999998,-0.011190909743932777,11.36463994109466,0.10337116368629894
Neutrophils,Efnb2,Ephb3,MuSCs,0.0,33.097526,0.3496519449061475,0.0,-0.24998216666666684,0.008159767192925105,102.511097809571,0.10194453149422504
Neutrophils,Nlgn2,Nrxn1,MuSCs,0.6666666666666667,2.5151263333333342,0.10947013593107316,-0.5,0.024732333333333332,0.0027498651597313017,0.19374342178044449,0.09756354367667476
Neutrophils,Hspg2,Ptprs,MuSCs,0.0,161.59216,0.2712401289978099,0.0,-0.5403074999999973,0.0345258143162856,3298.575489753102,0.0960162909792323
Neutrophils,Efna1,Epha2,MuSCs,0.6666666666666667,16.79610233333333,0.3407764444686701,0.0,4.974893166666664,-0.07700919416093521,233.6859968077153,0.09440908768025323
Neutrophils,Dll4,Notch2,MuSCs,0.33333333333333337,32.32914166666666,0.4387626785106049,0.0,1.6870083333333348,0.0899720693516018,954.4554147298387,0.09197154302728104
Neutrophils,Hspg2,Col13a1,MuSCs,0.0,161.59216,0.2712401289978099,0.0,-0.23793499999999998,-0.2251255758705976,52.702060560511654,0.09139440373206753
Neutrophils,Agrn,Musk,MuSCs,0.0,13.793207333333333,0.1138838136735739,0.0,1.1907564999999989,0.01104907966555968,196.94304254347287,0.08730200493580417
Neutrophils,Lama5,Bcam,MuSCs,0.0,23.175528,0.2927554693249353,0.0,9.955534000000004,-0.05291370482649077,657.6555473630559,0.08729315437696146
Neutrophils,Mfge8,Pdgfrb,MuSCs,0.0,20.14922733333333,0.16898154894140133,0.0,19.15427150000001,0.05061322786918165,1346.514196535472,0.08494031705267996
Neutrophils,Bmp2,Acvr2a,MuSCs,0.6666666666666667,6.280722666666667,0.3716475701627055,0.0,0.4645289999999989,-0.0127777219472284,109.60215016541063,0.08409093469139603
Neutrophils,Dll4,Notch1,MuSCs,0.33333333333333337,32.32914166666666,0.4387626785106049,0.0,-1.0940308333333313,-0.046781885549305714,1026.471908822747,0.08010481244405243
Neutrophils,Sema6d,Plxna1,MuSCs,0.33333333333333337,43.09785666666668,0.29040828385815953,0.0,6.4609764999999975,0.032265670622302116,1062.548561026618,0.07936687336732925
Neutrophils,Ptprk,Ptprk,MuSCs,0.33333333333333337,20.273934000000008,0.3021140999178807,0.0,1.2821861666666674,-0.16355282369013166,350.16029653235825,0.07766014075203996
Neutrophils,Serpine1,Lrp2,MuSCs,0.0,21.058022,0.07506852258214414,0.16666666666666669,0.00463683333333333,0.0,0.3234435169130555,0.07506852258214414
Neutrophils,Agrn,Dag1,MuSCs,0.0,13.793207333333333,0.1138838136735739,0.0,-7.586252166666667,-0.06635477494038378,2568.429108845264,0.07469448579594258
Neutrophils,Sema6a,Plxna2,MuSCs,0.33333333333333337,36.16334333333333,0.2785217825950864,0.0,-0.5547919999999991,-0.12578343839038536,814.5226314600673,0.07390329035783373
Neutrophils,Efna1,Epha1,MuSCs,0.6666666666666667,16.79610233333333,0.3407764444686701,0.0,2.344196333333333,0.11739628667674035,82.84930162933023,0.07258910904765878
Neutrophils,Mmrn2,Cd248,MuSCs,0.0,30.75032366666668,0.3300151852880492,0.0,4.011842333333333,0.1033693967913922,320.71996629418237,0.07102786394396991
Neutrophils,Tshb,Tshr,MuSCs,0.0,2.492968,0.177298173940576,0.0,-0.04606566666666656,0.099608970895654,1.8074191973614442,0.07091971149119633
Neutrophils,Nid2,Col13a1,MuSCs,0.0,26.75590733333333,0.21446088328537072,0.0,-0.23793499999999998,-0.2251255758705976,8.619953661220999,0.0704107089408363
Neutrophils,Sema7a,Itgb1,MuSCs,0.0,36.332039,0.3515786226049103,0.0,24.072372833333308,-0.008229184865652994,5141.2530235699,0.06885431708940742
Neutrophils,Hbegf,Egfr,MuSCs,0.0,8.78913166666667,0.2273800638657816,0.0,2.1108201666666737,0.010525759757365194,197.67878394787152,0.06812653389289211
Neutrophils,Efnb1,Ephb3,MuSCs,0.0,5.485913000000003,0.2306794920937313,0.0,-0.24998216666666684,0.008159767192925105,16.786444044292168,0.06758047010710863
Neutrophils,Jag2,Notch2,MuSCs,0.0,12.962847333333334,0.3064897528496107,0.0,1.6870083333333348,0.0899720693516018,383.9426272918448,0.06676558746927258
Neutrophils,Nid1,Col13a1,MuSCs,0.0,57.85188033333333,0.19745890607297656,0.0,-0.23793499999999998,-0.2251255758705976,18.82516176191633,0.06637029763636991
Neutrophils,Bmp2,Bmpr2,MuSCs,0.6666666666666667,6.280722666666667,0.3716475701627055,0.0,4.186522833333329,-0.00933903392714,201.51004618335418,0.0663445101449964
Neutrophils,Efnb2,Ephb1,MuSCs,0.0,33.097526,0.3496519449061475,0.0,-0.8429706666666661,-0.32448767615746843,50.49838321039601,0.06409527091373317
Neutrophils,Col2a1,Ddr1,MuSCs,0.6666666666666667,0.05058933333333333,0.08241360711699934,0.0,0.5590888333333304,0.08073805770627829,0.6272438316394444,0.06352238962633583
