Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Bmp10,Acvr2a,FAPs,0.3333333333333333,0.1168576666666667,0.345698494423307,0.0,-0.8836656666666585,-0.0457865317737766,2.9210538253581104,0.1325055304388148
Resolving-Mac,Bmp10,Bmpr1a,FAPs,0.3333333333333333,0.1168576666666667,0.345698494423307,0.0,-4.993698666666671,-0.1907919158664812,1.951863486629888,0.0963352840520165
Resolving-Mac,Il15,Il2rb,FAPs,0.0,1.170309333333333,0.0273376719257152,0.6666666666666667,0.2791559999999999,0.6432886782674976,1.8535991055706664,0.086522195326548
Resolving-Mac,Pdgfc,Pdgfra,FAPs,0.0,0.3874466666666669,0.077897856029218,0.0,2.355595999999992,-0.0140970162678597,78.90963951706806,0.0710889471778492
Resolving-Mac,Bmp10,Bmpr2,FAPs,0.3333333333333333,0.1168576666666667,0.345698494423307,0.0,-3.419071333333332,-0.0353568890265935,2.263192279168668,0.0524583747145843
Resolving-Mac,Matn1,Itgb1,FAPs,0.33333333333333337,0.10408,0.3900159780781905,0.0,-26.877034666666702,-0.0540007683432655,9.174387315079109,0.0473454165742706
Resolving-Mac,Angptl3,Itga5,FAPs,0.0,0.3802636666666663,0.1602725166302774,0.0,-16.460274000000013,-0.0179296182102224,11.916851223422428,0.0463361858725869
Resolving-Mac,Bmp10,Eng,FAPs,0.3333333333333333,0.1168576666666667,0.345698494423307,0.0,-2.7359666666666627,-0.0332820588424921,4.407586593574005,0.0430143985524646
Resolving-Mac,Bmp10,Acvrl1,FAPs,0.3333333333333333,0.1168576666666667,0.345698494423307,0.0,-4.297701000000002,-0.085583596715914,0.365609102288333,0.0426943149361966
Resolving-Mac,Leap2,Ghsr,FAPs,0.33333333333333337,0.4292046666666671,0.0407314087233725,0.0,0.0212486666666671,0.1049372821026278,1.0651564324731109,0.0410251691078547
Resolving-Mac,Gnai2,Cnr1,FAPs,0.0,-16.056253999999996,-0.0063242243170388,0.3333333333333333,0.1049749999999999,0.246608098151202,13.583042676689669,0.0386552234327062
Resolving-Mac,Ccl25,Ackr2,FAPs,0.0,1.3581776666666654,0.0340245277905184,0.0,0.0166273333333334,0.0,0.4558131544013328,0.0340245277905184
Resolving-Mac,F7,F3,FAPs,0.0,1.0659679999999998,-0.0558208458492273,0.0,3.860112000000008,0.1194893271013495,99.61788986336546,0.0271488907537866
Resolving-Mac,Angptl3,Itgav,FAPs,0.0,0.3802636666666663,0.1602725166302774,0.0,-13.125592666666662,-0.0308950210776655,10.436114588027223,0.0268242529910536
Resolving-Mac,Il1a,Il1r1,FAPs,0.0,1.534964,0.0339697043816606,0.0,-10.114243666666669,-0.0913399967098465,103.30173739509644,0.0212310868386257
Resolving-Mac,F10,F3,FAPs,0.0,3.719904999999999,0.0196943974297351,0.0,3.860112000000008,0.1194893271013495,198.8394944548238,0.0212072393758284
Resolving-Mac,Fn1,Nt5e,FAPs,0.0,-35.678441333333296,0.0117877095715099,0.0,0.9296089999999996,0.0637116556316023,109.38952860726334,0.0128496185979937
Resolving-Mac,Gnai2,F2r,FAPs,0.0,-16.056253999999996,-0.0063242243170388,0.0,4.12485800000001,0.0924617170816642,57.74598637324107,0.0121195502429718
Resolving-Mac,Il1rn,Il1r1,FAPs,0.0,12.941806000000014,0.0264546218798503,0.0,-10.114243666666669,-0.0913399967098465,376.5409662555685,0.0120661262494327
Resolving-Mac,Gnai2,Lpar3,FAPs,0.0,-16.056253999999996,-0.0063242243170388,0.3333333333333333,0.012128,0.0725552357290836,0.1122154097380008,0.0115421448448537
