Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Cd59b,Cd2,M2,0.0,0.0809021666666671,0.0644771597933895,0.0,0.3900986666666671,0.2099672139426334,0.8538436168764438,0.1200357937292219
sCs,Sema5a,Plxnb3,M2,0.0,1.309868166666666,0.1830964516341021,0.0,0.3516516666666669,0.1130805816582156,3.6228145879656655,0.1018687659688322
sCs,Enho,Gpr19,M2,-0.16666666666666669,0.2153593333333333,0.3836288275800662,0.33333333333333337,0.4977173333333329,0.0693528738136124,0.4444405503724444,0.0900095005563337
sCs,Inhbb,Acvr2b,M2,0.16666666666666663,0.5458618333333329,0.3303368915629142,0.0,-0.0502326666666668,0.0408303992528319,0.4080460226255002,0.0763699414164762
sCs,Col2a1,Mag,M2,0.0,0.0730098333333333,0.1500050995956736,0.0,0.0748916666666665,0.0222292855229339,0.0571942747444445,0.0724547397994215
sCs,Tslp,Il7r,M2,-0.33333333333333337,0.1141515,0.1327465508372954,0.0,4.22264400000001,0.0550943577130825,6.538798049898009,0.0647411220021123
sCs,Sema3a,Plxna4,M2,0.0,0.7647731666666662,-0.0145932521226651,0.33333333333333337,0.2037563333333333,0.06925098729359,2.0882791667223337,0.0532747231324729
sCs,Vtn,Itga8,M2,0.0,-6.450412666666658,0.1180043800968045,0.33333333333333337,0.5654846666666669,0.0627284275285122,9.91797982897356,0.0517350115124679
sCs,F2,F2rl2,M2,0.0,0.0802278333333334,0.1223617823861388,0.0,1.3291063333333335,-0.0209904832856872,0.7270103697337227,0.0513798968420527
sCs,Inhbb,Acvr1,M2,0.16666666666666663,0.5458618333333329,0.3303368915629142,0.0,-0.3691526666666673,0.0206935278814817,1.9766284206415496,0.0482390100960316
sCs,Inhbb,Acvr1b,M2,0.16666666666666663,0.5458618333333329,0.3303368915629142,0.0,-0.4552483333333335,-0.04444229324817,1.4740574165015,0.0461157746769873
sCs,F8,Asgr2,M2,0.0,-0.0400346666666666,0.0921080909484072,0.0,0.4206936666666667,-0.0119632210451374,0.195548446951,0.0453708187222677
sCs,Icos,Icosl,M2,0.16666666666666663,0.175892,0.1850902061152138,0.0,4.21030066666666,-0.2319195372660464,3.249095653192667,0.0443971143613852
sCs,Npnt,Itga8,M2,0.0,-2.078330666666666,0.0510712164870265,0.33333333333333337,0.5654846666666669,0.0627284275285122,0.525399158846223,0.0431844034295541
sCs,Bmp8a,Tgfbr2,M2,0.0,0.1579761666666666,0.1575118504827216,0.0,-0.3289109999999837,0.025223838324002,5.639786295226392,0.0428208548131711
sCs,Lgi4,Adam22,M2,0.0,-2.033942666666668,-0.2438442669235053,0.0,1.245646666666666,0.1339213566771263,0.3332373611968888,0.0418284885452392
sCs,Col4a1,Itgav,M2,0.0,13.704770833333342,0.1447107869899862,0.0,0.4183373333333264,-0.0104118259883929,1123.699370148237,0.0400788086771144
sCs,Col4a1,Cd93,M2,0.0,13.704770833333342,0.1447107869899862,0.0,-9.53245299999999,0.0906336802410265,117.55656958576128,0.0387608788786265
sCs,Bmp8a,Acvr2b,M2,0.0,0.1579761666666666,0.1575118504827216,0.0,-0.0502326666666668,0.0408303992528319,0.1307669098664999,0.0371346791269226
sCs,Lamb1,Itga6,M2,0.0,5.302942833333329,0.112878344995519,0.0,-4.49634933333332,0.0883728254379441,146.03269963398293,0.0355026429973717
sCs,Nodal,Acvr2b,M2,-0.33333333333333337,0.1197343333333334,0.1567922183249069,0.0,-0.0502326666666668,0.0408303992528319,0.0996305881016667,0.0347595555388973
sCs,Efna4,Epha1,M2,0.5,0.0456728333333333,0.1536038589865285,0.0,2.066447,0.0554816386690293,0.933535264834,0.0345723964723475
sCs,Efna2,Epha1,M2,0.0,0.337816166666667,0.1229973054609389,0.0,2.066447,0.0554816386690293,5.343578665516,0.0323802386669912
sCs,Mmp13,Lrp1,M2,0.5,2.142092166666667,0.1252930230636378,0.0,-17.898015333333305,-0.0207958021191266,260.31635024502094,0.0319906676964065
sCs,Tslp,Crlf2,M2,-0.33333333333333337,0.1141515,0.1327465508372954,0.0,-0.9972339999999988,-0.0727188859735185,0.8379740125495001,0.0309621689188007
sCs,Dll1,Notch1,M2,0.0,-0.1103600000000009,0.1857911930124965,0.0,3.758540666666669,0.0414022144024739,27.891234605878,0.0304243221673653
sCs,Inhbb,Acvr2a,M2,0.16666666666666663,0.5458618333333329,0.3303368915629142,0.0,-0.0584729999999993,0.0059010692311926,3.155087797698941,0.0297367589230086
sCs,Dlk1,Notch1,M2,0.0,2.0359830000000003,-0.0756935105386525,0.0,3.758540666666669,0.0414022144024739,44.82927350035935,0.0295152498792187
