Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Fgf9,Fgfr4,MuSCs,0.0,0.9805935,0.5011775234611211,0.0,1.71775783333333,0.009212237431991954,40.4053643268244,0.500437301054798
ECs,Efna3,Ephb1,MuSCs,0.16666666666666663,-0.058527333333333285,0.1417871514468858,0.0,0.8429706666666661,0.32448767615746843,0.05221268975244448,0.3520497559482673
ECs,Jam2,Jam3,MuSCs,0.0,-2.7691941666666797,0.34427824409169205,0.0,2.784213000000001,0.07327416873562409,142.58320778592906,0.2414498856647922
ECs,Slitrk2,Ptprs,MuSCs,-0.16666666666666669,0.010741333333333313,0.7248861986262257,0.0,0.5403074999999973,-0.0345258143162856,0.2615258824039999,0.22194127559708227
ECs,Efnb2,Ephb1,MuSCs,0.0,-8.587366999999997,0.14615043077242568,0.0,0.8429706666666661,0.32448767615746843,13.653714703551307,0.2166060300328794
ECs,Fgf9,Fgfr1,MuSCs,0.0,0.9805935,0.5011775234611211,0.0,1.2339594999999974,0.019323718992840355,44.62882715044025,0.20085171420416
ECs,Fgf9,Fgfr2,MuSCs,0.0,0.9805935,0.5011775234611211,0.0,0.21176400000000006,0.1265937606726853,0.5817859047914999,0.15054054517183266
ECs,Fgf9,Fgfr3,MuSCs,0.0,0.9805935,0.5011775234611211,0.0,0.20373350000000026,0.10468720268920734,1.26115251747775,0.1391506983076808
ECs,Lpl,Lrp2,MuSCs,0.0,35.418706666666665,0.13449780964956531,-0.16666666666666669,-0.00463683333333333,0.0,0.2563859903956109,0.13449780964956531
ECs,Bmp6,Bmpr1b,MuSCs,0.0,14.728223000000002,0.3932227663906198,0.0,0.16922166666666685,-0.04336184576099328,12.753571622188005,0.132795257540134
ECs,Efnb1,Ephb1,MuSCs,0.0,-1.1360930000000016,0.00940472173148299,0.0,0.8429706666666661,0.32448767615746843,4.556942271331328,0.12621579734891047
ECs,Ntf3,Ntrk2,MuSCs,0.0,2.6194128333333317,0.2635981813915328,0.0,-0.659464166666667,0.00537702201754181,9.0920647788007,0.12325677587070955
ECs,Bmp6,Bmpr1a,MuSCs,0.0,14.728223000000002,0.3932227663906198,0.0,-4.494241333333329,-0.09167521047933448,289.062393933692,0.11416455834046448
ECs,Bmp6,Acvr2a,MuSCs,0.0,14.728223000000002,0.3932227663906198,0.0,-0.4645289999999989,0.0127777219472284,246.988845873461,0.09683246915964268
ECs,Bmp6,Acvr1,MuSCs,0.0,14.728223000000002,0.3932227663906198,0.0,-4.274449500000001,-0.028178654565017888,120.24251559219749,0.09359605585474153
ECs,Bmp6,Bmpr2,MuSCs,0.0,14.728223000000002,0.3932227663906198,0.0,-4.186522833333329,0.00933903392714,382.17187626486054,0.07594061263764648
ECs,Fgf1,Fgfr4,MuSCs,0.5,0.07313350000000007,0.07331495665361676,0.0,1.71775783333333,0.009212237431991954,3.7352154863704072,0.07311253627191834
ECs,Lpl,Vldlr,MuSCs,0.0,35.418706666666665,0.13449780964956531,0.0,-0.7586795000000001,0.005247159759975696,30.205517052236477,0.0524907405941892
ECs,Vtn,Itgb6,MuSCs,0.0,0.6556349999999997,0.06269103265363013,0.0,0.39209933333333336,0.1356926674035721,4.120222748390002,0.05121845607732132
ECs,Mmrn2,Clec14a,MuSCs,0.0,-20.904047499999987,0.29920049803350723,0.0,0.507008,0.052350313872252835,13.297261189415007,0.050131314384702974
ECs,Lpl,Sdc1,MuSCs,0.0,35.418706666666665,0.13449780964956531,0.0,-0.9714189999999993,-0.06928911931907777,327.89874744990624,0.042514087883183324
ECs,Fgf1,Fgfr1,MuSCs,0.5,0.07313350000000007,0.07331495665361676,0.0,1.2339594999999974,0.019323718992840355,3.8469277887662514,0.029184211861769668
ECs,Fgf1,Fgfr2,MuSCs,0.5,0.07313350000000007,0.07331495665361676,0.0,0.21176400000000006,0.1265937606726853,0.1323667998435,0.020728266941082697
ECs,Fgf1,Fgfr3,MuSCs,0.5,0.07313350000000007,0.07331495665361676,0.0,0.20373350000000026,0.10468720268920734,0.1796603727757503,0.01928595407822235
ECs,Gas6,Tyro3,MuSCs,0.0,-0.34745399999999904,0.030571232311920413,0.0,0.2668948333333333,0.07687061266862949,4.472116498361829,0.016811746938096873
