Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Vip,Vipr1,Neutrophils,-0.16666666666666669,0.0280726666666666,0.0,0.0,1.917727333333333,0.3435930617359026,0.7827797448893339,0.3435930617359026
ECs,Dhh,Ptch2,Neutrophils,0.0,0.5477909999999997,0.1584430712050689,0.0,4.630300999999999,0.2424348165650133,21.068994457676983,0.2379198575951483
ECs,Il17f,Il17ra,Neutrophils,0.16666666666666663,0.5302135000000001,0.419495101495985,0.0,10.881780999999997,0.0305855575988036,32.134740402609,0.2252663331298273
ECs,Cxcl17,Gpr35,Neutrophils,0.5,0.0994295,0.4164572524428016,0.0,33.13495366666667,0.0686008084157726,10.944501726775496,0.2062935034319161
ECs,Igf2,Igf1r,Neutrophils,0.0,-1.5835416666666662,0.2493201565924805,0.0,14.240302,0.1250190585302783,37.71238567873138,0.1867524868511375
ECs,Efna4,Epha1,Neutrophils,0.0,0.585734,0.2382017324430603,0.0,4.689576666666671,0.1733352909998765,10.326604702536,0.1746126191559123
ECs,Efna1,Epha1,Neutrophils,0.0,2.4182936666666706,-0.01838576207529,0.0,4.689576666666671,0.1733352909998765,119.37210665860408,0.1514244501492128
ECs,Podxl2,Sell,Neutrophils,0.16666666666666663,0.2729458333333332,0.1924508619925433,0.0,-2.34774299999998,-0.0379452505180105,71.81446748090886,0.1370472115446308
ECs,Enho,Gpr19,Neutrophils,-0.16666666666666669,-0.0319915000000001,0.2065580969964813,0.0,3.066270333333333,0.3313936615863971,0.146628387243,0.1330195911034036
ECs,Inhbb,Acvr2b,Neutrophils,0.0,3.198603333333333,0.0641802711281716,0.3333333333333333,0.2614050000000001,0.107708924978674,1.7100220341155556,0.1052229211985219
ECs,Efna2,Epha1,Neutrophils,0.0,0.6606501666666669,0.1274630350563425,0.0,4.689576666666671,0.1733352909998765,16.62105667877428,0.1036511758067589
