Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Rspo1,Lgr6,FAPs,0.33333333333333337,-0.2258946666666667,0.3897682684805161,0.6666666666666667,0.119433,0.4072962915053016,0.011592241153111,0.4005344277706356
Inflammatory-Mac,Tff3,Ackr3,FAPs,0.0,0.0351306666666667,0.6156640569666834,0.0,7.689336999999988,0.0314912650080194,2.1976417366961103,0.3290574529826174
Inflammatory-Mac,Uts2,Uts2r,FAPs,0.3333333333333333,0.1780760000000001,0.317963384079223,0.0,-0.0016216666666667,0.2450787099223014,0.0731234206762223,0.3076465952213784
Inflammatory-Mac,Alcam,Chl1,FAPs,0.0,27.781612333333328,0.1003610920921276,0.0,4.374617666666666,0.5015367730475722,402.7295766443689,0.1849490808060628
Inflammatory-Mac,Oxt,Avpr1a,FAPs,0.6666666666666667,0.5125363333333335,0.2020455559278812,0.0,3.401980666666669,0.2995762156492196,5.4730104963706685,0.1571914706035372
Inflammatory-Mac,Ccl5,Ackr2,FAPs,0.33333333333333337,1.387933,0.1532492475771644,0.0,-0.0166273333333334,0.0,0.3462346127557776,0.1532492475771644
Inflammatory-Mac,Tnfsf13,Tnfrsf11b,FAPs,0.0,0.5301169999999997,0.0437267046346541,0.0,4.761142666666667,0.2176494748219223,17.91329517645,0.1207981240318533
Inflammatory-Mac,Thbs1,Tnfrsf11b,FAPs,0.0,96.47652166666614,0.0152343773469661,0.0,4.761142666666667,0.2176494748219223,5104.432871216208,0.115718521655954
Inflammatory-Mac,Rtn4,Lingo1,FAPs,0.0,8.362823333333324,0.0078009373842101,0.3333333333333333,0.5585476666666667,0.5805783014192856,46.76972053214509,0.1060223498708906
Inflammatory-Mac,Ghrl,Gpr39,FAPs,0.0,9.977290333333338,0.0960784213652661,0.3333333333333333,1.2277380000000004,0.0,32.491073583826555,0.0960784213652661
Inflammatory-Mac,Itgb2,Thy1,FAPs,0.0,58.77586100000002,0.037522274605789,0.0,37.70887200000001,0.1971441527202915,10796.451805276529,0.0909409042263837
Inflammatory-Mac,Wnt11,Fzd8,FAPs,0.0,1.105417,0.1370152545584826,0.0,0.8701733333333341,0.1966657158470369,4.143976961324889,0.088805462136739
Inflammatory-Mac,Clcf1,Crlf1,FAPs,0.0,0.6509689999999999,0.0282859174224784,0.0,0.9690993333333328,0.4347264866359651,5.074527197072551,0.0886683316664165
Inflammatory-Mac,Lif,Il6st,FAPs,0.0,0.6563400000000001,0.1339374147162739,0.0,20.356923333333384,0.0773236936443865,119.9196061062911,0.0881556778316622
Inflammatory-Mac,Ccl5,Sdc1,FAPs,0.33333333333333337,1.387933,0.1532492475771644,0.0,3.42094133333333,0.1335828527701659,20.474390322784217,0.0865313648245235
Inflammatory-Mac,Gnai2,Adcy1,FAPs,0.0,2.3126726666666,-0.0126593095552077,0.6666666666666667,0.1138140000000001,0.4208898274418711,19.85610457181845,0.0836125331807292
Inflammatory-Mac,F10,F3,FAPs,0.0,27.721497333333325,0.2162172232506635,0.0,-3.860112000000008,-0.1194893271013495,901.117576494668,0.081333408984109
