Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Npy,Prlhr,Inflammatory-Mac,0.0,0.050053999999999384,0.20362662367106565,0.0,0.1264563333333333,0.35288611237993284,0.3426158696963333,0.2377536963649703
Inflammatory-Mac,Ccl5,Ccr5,Inflammatory-Mac,0.0,14.921987999999995,0.21205579617653508,0.0,12.088410666666654,0.0015117219511824875,951.1924256337841,0.09540258223414552
Inflammatory-Mac,Il12b,Il12rb1,Inflammatory-Mac,0.3333333333333333,0.5350520000000001,0.13964435901800248,0.0,0.718811,0.2324498805999068,0.6206160388096666,0.08268306268305778
Inflammatory-Mac,Wnt6,Fzd7,Inflammatory-Mac,0.3333333333333333,0.11516300000000003,0.3639246241135175,0.0,-0.10380700000000154,-0.019310143177779404,0.5941012629623332,0.080348231781442
Inflammatory-Mac,Spn,Siglec1,Inflammatory-Mac,0.33333333333333337,2.6543813333333337,0.12332865616260273,0.0,24.33126500000001,0.1017357969060812,249.70828203537377,0.0799957133628716
Inflammatory-Mac,Siglec1,Spn,Inflammatory-Mac,0.0,24.33126500000001,0.1017357969060812,0.33333333333333337,2.6543813333333337,0.12332865616260273,249.70828203537377,0.0799957133628716
Inflammatory-Mac,Nrg2,Erbb3,Inflammatory-Mac,0.33333333333333337,0.430582,0.3002585819382755,0.0,0.1632960000000001,0.07450714713013913,0.33260712933466674,0.0536101205866976
Inflammatory-Mac,Tnfsf13,Tnfrsf14,Inflammatory-Mac,0.0,0.8368653333333329,0.1528187365215517,0.0,3.5827726666666564,0.020447099445192633,27.180512428918448,0.052381251463107695
Inflammatory-Mac,Il12b,Il12rb2,Inflammatory-Mac,0.3333333333333333,0.5350520000000001,0.13964435901800248,0.0,0.2822730000000002,0.05002103860230411,0.8172382382476662,0.05145230264217935
Inflammatory-Mac,Ccl12,Ccr5,Inflammatory-Mac,0.0,10.84856933333333,0.10356543418568592,0.0,12.088410666666654,0.0015117219511824875,1016.7944861344628,0.04706332640752511
Inflammatory-Mac,Adam15,Itga9,Inflammatory-Mac,0.0,-5.968517333333331,0.07971130730523071,0.0,1.8646483333333324,0.102259496303642,8.551348560027805,0.04200776007792867
Inflammatory-Mac,Tnfsf18,Tnfrsf18,Inflammatory-Mac,0.3333333333333333,0.3669146666666667,0.30621402438450696,0.0,0.2451083333333335,0.032221091382188434,0.23336393906066674,0.041443652388623686
Inflammatory-Mac,Mst1,Mst1r,Inflammatory-Mac,0.0,-0.22100866666666674,-0.06756029797227542,0.0,0.6426863333333334,0.2716312842245961,0.309583441118,0.04126946360054455
Inflammatory-Mac,Wnt3,Fzd7,Inflammatory-Mac,0.3333333333333333,0.1089983333333333,0.1839170163888475,0.0,-0.10380700000000154,-0.019310143177779404,0.5601873347372219,0.03619335347989447
Inflammatory-Mac,Pltp,Abca1,Inflammatory-Mac,0.0,27.812039000000002,0.07549663261572143,0.0,-5.556443333333334,0.03851988946400275,2035.2224848125281,0.0352331326463312
Inflammatory-Mac,Ccl5,Sdc4,Inflammatory-Mac,0.0,14.921987999999995,0.21205579617653508,0.0,-5.208604999999992,-0.021424764758080108,246.312765902453,0.03416045382218706
Inflammatory-Mac,Apoe,Ldlr,Inflammatory-Mac,0.0,-176.10103333333382,-0.019357516087157575,0.0,6.7800216666666735,0.0971296025603457,15126.646590368662,0.033354453424670194
Inflammatory-Mac,Npy,Fap,Inflammatory-Mac,0.0,0.050053999999999384,0.20362662367106565,0.0,1.9142263333333336,0.042101289948559883,5.239197599203001,0.032908771231293626
Inflammatory-Mac,Apoe,Scarb1,Inflammatory-Mac,0.0,-176.10103333333382,-0.019357516087157575,0.0,2.3178776666666683,0.08865815732592025,2758.281744394262,0.032900510994504126
Inflammatory-Mac,Col2a1,Mag,Inflammatory-Mac,0.0,0.09573466666666666,0.1806914366769763,0.0,-0.013791333333333431,-0.0210014580865312,0.024948741023333332,0.03076716009675012
Inflammatory-Mac,Slamf6,Slamf6,Inflammatory-Mac,0.0,0.256377333333333,0.043884343138459285,0.0,0.256377333333333,0.043884343138459285,1.0593207178897783,0.030761890634169512
Inflammatory-Mac,Areg,Erbb3,Inflammatory-Mac,0.0,-0.19078366666666655,-0.016540051055063176,0.0,0.1632960000000001,0.07450714713013913,0.02987465359355568,0.03030087321541652
Inflammatory-Mac,F2,Gp9,Inflammatory-Mac,0.33333333333333337,0.177745,0.12028419369718547,0.0,0.4560900000000006,-0.06540695844920807,0.9034692496466664,0.02819684088050878
Inflammatory-Mac,Liph,Lpar2,Inflammatory-Mac,0.3333333333333333,0.03848666666666668,0.214618101580538,0.0,-0.30557433333333384,-0.2024144295613909,0.05050386792744442,0.027104781942303844
Inflammatory-Mac,Wnt3,Lrp6,Inflammatory-Mac,0.3333333333333333,0.1089983333333333,0.1839170163888475,0.0,-3.4678533333333283,-0.015300428243906622,1.3859889511022216,0.026846494177185008
Inflammatory-Mac,Lrpap1,Ldlr,Inflammatory-Mac,0.0,-2.0578406666666678,-0.0012926669967001092,0.0,6.7800216666666735,0.0971296025603457,84.89211100646187,0.026127981581960943
Inflammatory-Mac,Cxcl10,Sdc4,Inflammatory-Mac,0.0,60.302486000000016,0.17428752810813142,0.0,-5.208604999999992,-0.021424764758080108,866.7889567262167,0.025792723992464173
Inflammatory-Mac,Icam2,Itgal,Inflammatory-Mac,0.0,1.338637666666668,0.0942342515738662,0.0,18.759189000000006,-0.1024311484567022,131.61579854889337,0.02541408527949024
Inflammatory-Mac,Spon1,App,Inflammatory-Mac,0.0,5.412889000000002,0.1672230088412877,0.0,-63.068326666666614,-0.0878568149204943,347.5997143699554,0.02426866092566395
Inflammatory-Mac,Ccl5,Sdc1,Inflammatory-Mac,0.0,14.921987999999995,0.21205579617653508,0.33333333333333337,1.2630166666666671,0.04194380400449616,41.05668610879801,0.02362321547259684
Inflammatory-Mac,Ceacam1,Havcr2,Inflammatory-Mac,0.0,8.308523333333339,0.07417855499466958,0.0,4.33917266666667,-0.06306521407718835,288.85363042356937,0.02359131750948959
Inflammatory-Mac,Col2a1,Itgb1,Inflammatory-Mac,0.0,0.09573466666666666,0.1806914366769763,0.0,-11.755986333333313,0.009919351505975407,6.800244368521001,0.02356729721178053
Inflammatory-Mac,Tff3,Cxcr4,Inflammatory-Mac,0.0,0.7031149999999999,0.18673914659432872,0.0,53.763239,-0.12038170052492494,220.1578464306853,0.023114901479024813
Inflammatory-Mac,Vcam1,Itgb7,Inflammatory-Mac,0.0,8.472895999999995,0.052615102256280515,0.0,5.537869999999993,-0.014652219704410331,165.13527249466722,0.022423565070941967
