Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Scgb1a1,Lrp2,MuSCs,0.33333333333333337,0.760531,0.0745918310386131,0.0,0.07732,0.0,0.1295972693479999,0.0745918310386131
Inflammatory-Mac,Npy,Npy1r,MuSCs,0.3333333333333333,1.0371966666666668,0.1047102759231682,0.0,-20.345248,-0.2005480592012076,2.6637310242533325,0.0624121573648106
Inflammatory-Mac,Tff3,Ackr3,MuSCs,0.0,0.0351306666666667,0.6156640569666834,0.0,0.3605565000000004,-0.0141877126716364,0.2787628084431668,0.0594644459411688
Inflammatory-Mac,Slit1,Gpc1,MuSCs,0.33333333333333337,0.1880019999999999,0.096277268752741,0.0,-16.293314166666672,-0.1233718074338769,2.650875499124999,0.0494374516636096
Inflammatory-Mac,Lcn2,Lrp2,MuSCs,0.0,5.153234333333334,0.0337063121411461,0.0,0.07732,0.0,0.8118288729746665,0.0337063121411461
Inflammatory-Mac,Col2a1,Mag,MuSCs,0.0,0.0234716666666666,0.0717462325273695,0.0,-0.4277676666666667,-0.1295708092284274,0.0026393469652222,0.0284831367766009
Inflammatory-Mac,Lrpap1,Lrp2,MuSCs,0.0,1.900577000000009,0.0277230921120242,0.0,0.07732,0.0,1.5516422998626669,0.0277230921120242
Inflammatory-Mac,Tg,Lrp2,MuSCs,0.33333333333333337,0.148422,0.0276127601940596,0.0,0.07732,0.0,0.0226550425359999,0.0276127601940596
Inflammatory-Mac,Col2a1,Ddr1,MuSCs,0.0,0.0234716666666666,0.0717462325273695,0.0,-2.9026283333333325,-0.2240761427840978,0.0861189322577778,0.0273341404526197
Inflammatory-Mac,Oxt,Avpr1a,MuSCs,0.6666666666666667,0.5125363333333335,0.2020455559278812,0.0,-4.421176166666667,-0.2442469167494715,1.1224264706885003,0.0270990951237349
Inflammatory-Mac,Ccl5,Sdc4,MuSCs,0.33333333333333337,1.387933,0.1532492475771644,0.0,-13.304673833333332,-0.1163967265475565,29.19410506664029,0.0252901758755208
Inflammatory-Mac,Plau,Lrp2,MuSCs,0.0,5.26714299999999,0.0243575226237335,0.0,0.07732,0.0,4.950682244324,0.0243575226237335
Inflammatory-Mac,Ccl5,Sdc1,MuSCs,0.33333333333333337,1.387933,0.1532492475771644,0.0,-3.929338499999999,-0.1428009679752082,4.6311601848205,0.0190964779460856
Inflammatory-Mac,Colq,Musk,MuSCs,0.0,0.0031666666666666,0.0483853203522203,0.0,-2.089659,-0.1623183449289288,0.0094885242316666,0.0177783819648048
Inflammatory-Mac,Slit1,Sdc1,MuSCs,0.33333333333333337,0.1880019999999999,0.096277268752741,0.0,-3.929338499999999,-0.1428009679752082,0.8722065551270001,0.0158188363722144
Inflammatory-Mac,Thbs1,Itga3,MuSCs,0.0,96.47652166666614,0.0152343773469661,0.0,-0.539111666666666,0.0232977909571812,109.96165090672366,0.0152470819444478
Inflammatory-Mac,Slit1,Robo1,MuSCs,0.33333333333333337,0.1880019999999999,0.096277268752741,0.0,1.2566276666666671,0.0186244160761374,0.653327368078,0.0147627228688683
Inflammatory-Mac,Col2a1,Itga10,MuSCs,0.0,0.0234716666666666,0.0717462325273695,0.0,-1.0337811666666668,-0.2963051305257422,0.0078361837282223,0.0126403737059481
Inflammatory-Mac,Alcam,Cd6,MuSCs,0.0,27.781612333333328,0.1003610920921276,0.16666666666666663,0.0195003333333333,0.0241486683880118,1.8452742324388884,0.0108158602162026
Inflammatory-Mac,Sema4g,Plxnb2,MuSCs,0.33333333333333337,0.1927333333333332,0.1423606578239355,0.0,-12.596095500000002,-0.0615377966380862,1.881807371634,0.009815373042695
Inflammatory-Mac,Wnt11,Fzd8,MuSCs,0.0,1.105417,0.1370152545584826,0.0,-0.9758028333333332,-0.1092117726036173,0.053484811538278,0.0093606811663966
Inflammatory-Mac,Uts2,Uts2r,MuSCs,0.3333333333333333,0.1780760000000001,0.317963384079223,-0.16666666666666669,-0.139302,-0.2351487609609405,0.00181699812,0.0088188704745068
Inflammatory-Mac,Npy,Fap,MuSCs,0.3333333333333333,1.0371966666666668,0.1047102759231682,0.0,-6.877072500000001,-0.1351482493230705,3.7261562208716654,0.0083717484073611
Inflammatory-Mac,Col2a1,Itgb1,MuSCs,0.0,0.0234716666666666,0.0717462325273695,0.0,-87.11096583333331,-0.1120456438312375,1.6508995951994452,0.008195856221783
Inflammatory-Mac,Hsp90aa1,Fgfr3,MuSCs,0.0,28.01166800000001,0.0068692509335745,0.0,0.0508391666666665,0.0442988412538826,29.03878263124049,0.0069632188547604
