Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Il18,Il18rap,Neutrophils,0.0,12.603818666666672,0.0316172389606581,0.6666666666666667,68.83343733333334,0.9236763141644988,2453.4705575396665,0.3743014279685257
Inflammatory-Mac,Apoe,Sorl1,Neutrophils,0.0,-176.10103333333382,-0.019357516087157575,0.0,205.167252,0.7759629289454775,516493.49405483954,0.3003617129524719
Inflammatory-Mac,Cd28,Cd80,Neutrophils,0.0,-0.25621933333333313,-0.0882888398984798,0.0,64.41634366666668,0.6319354476989493,285.2854312499303,0.22429701458197732
Inflammatory-Mac,Lrpap1,Sorl1,Neutrophils,0.0,-2.0578406666666678,-0.0012926669967001092,0.0,205.167252,0.7759629289454775,3255.441486531982,0.21099842447497885
Inflammatory-Mac,Cd22,Ptprc,Neutrophils,0.0,3.2287936666666672,0.07577848763664312,0.0,567.2033683333333,0.44601007085873656,5291.197739537914,0.20669521669173307
Inflammatory-Mac,Ifnb1,Ifnar1,Neutrophils,0.3333333333333333,-0.016759333333333404,0.8314452790192857,0.0,18.217483,0.1076731336620692,3.197580682118333,0.20048097238219145
Inflammatory-Mac,Spp1,Cd44,Neutrophils,0.0,-2387.634959333334,-0.3180891905377189,0.0,647.6608773333334,0.4936719867264951,582898.7323483094,0.19506581685389832
Inflammatory-Mac,Gnai2,Cxcr2,Neutrophils,0.0,-6.185774333333312,-0.00044037423170270595,0.33333333333333337,337.932763,0.969279272393714,46186.92278891157,0.18700189331036746
Inflammatory-Mac,Gnai2,Cxcr1,Neutrophils,0.0,-6.185774333333312,-0.00044037423170270595,0.6666666666666667,8.941571666666666,0.9683955007906616,1222.0988912094906,0.1868399032062888
Inflammatory-Mac,Grn,Tnfrsf1b,Neutrophils,0.0,-10.465616666666676,0.02124315981011821,0.0,185.50439666666665,0.4297085043678959,79756.22516102289,0.18391432190746534
Inflammatory-Mac,Cd5l,Cd5,Neutrophils,0.0,-0.9199343333333349,0.1418059838877676,0.0,2.961200666666667,0.28327523442671204,11.28491309840678,0.17483357301140284
Inflammatory-Mac,App,Fpr2,Neutrophils,0.0,-63.068326666666614,-0.0878568149204943,0.6666666666666667,131.3978013333333,0.8972268057305288,11691.926898437989,0.1745513464344313
Inflammatory-Mac,Ifnb1,Ifnar2,Neutrophils,0.3333333333333333,-0.016759333333333404,0.8314452790192857,0.0,31.253942,0.10359440418566633,5.619557901222444,0.1738063688940794
Inflammatory-Mac,Gnai2,Fpr1,Neutrophils,0.0,-6.185774333333312,-0.00044037423170270595,0.6666666666666667,46.074019,0.8707047487288938,6295.884166660927,0.16797931132091407
Inflammatory-Mac,Cfh,Sell,Neutrophils,0.0,-3.3078943333333424,-0.005168262124879725,0.6666666666666667,257.3928886666667,0.7943737072523673,3706.18181565534,0.16501987166565665
Inflammatory-Mac,Arf1,Chrm3,Neutrophils,0.0,-7.7318329999999955,-0.03191346373277928,0.33333333333333337,6.732175333333332,0.9119900832953532,508.3808030027475,0.16274799214236027
Inflammatory-Mac,Vcan,Cd44,Neutrophils,0.0,12.837063,-0.009366099511529502,0.0,647.6608773333334,0.4936719867264951,59616.570890245166,0.1592150378333584
Inflammatory-Mac,Selplg,Sell,Neutrophils,0.0,5.512717000000008,-0.2268782742893765,0.6666666666666667,257.3928886666667,0.7943737072523673,20831.1774127896,0.15712688229177132
Inflammatory-Mac,Tff3,Cxcr4,Neutrophils,0.0,0.7031149999999999,0.18673914659432872,0.0,447.1575923333333,0.40653366151974296,706.5330273306889,0.15605536541258766
Inflammatory-Mac,Mrc1,Ptprc,Neutrophils,0.0,-82.02444733333331,-0.1808551683410607,0.0,567.2033683333333,0.44601007085873656,52359.6782655179,0.15076606104622214
Inflammatory-Mac,Tnfsf13,Fas,Neutrophils,0.0,0.8368653333333329,0.1528187365215517,0.0,24.270685666666665,0.2349787211591181,109.33694789228564,0.1484104409089747
Inflammatory-Mac,Vcan,Tlr2,Neutrophils,0.0,12.837063,-0.009366099511529502,0.0,148.47197366666668,0.4523495963399584,13635.774596395595,0.14602520193210788
Inflammatory-Mac,Liph,Lpar2,Neutrophils,0.3333333333333333,0.03848666666666668,0.214618101580538,0.33333333333333337,3.939599,0.4803066737826511,0.28050208640744445,0.14540377189371098
Inflammatory-Mac,Hgf,Cd44,Neutrophils,0.0,-2.4220996666666714,-0.1036526398432534,0.0,647.6608773333334,0.4936719867264951,12970.271600639055,0.1436831079370776
Inflammatory-Mac,Tnfsf18,Tnfrsf18,Neutrophils,0.3333333333333333,0.3669146666666667,0.30621402438450696,0.0,1.1989206666666667,0.26139879880371475,0.7491717845853334,0.14333097439368145
Inflammatory-Mac,F13a1,Itga4,Neutrophils,0.0,-70.58273133333331,-0.17047607237266982,0.0,62.78192866666666,0.2992745319290268,6649.268964732544,0.14237516171118647
Inflammatory-Mac,Tnfsf13,Tnfrsf1a,Neutrophils,0.0,0.8368653333333329,0.1528187365215517,0.0,89.3101296666667,0.254425042092165,405.3917861340612,0.1412974870258526
Inflammatory-Mac,Vasp,Cxcr2,Neutrophils,0.0,13.019370999999992,-0.01087326358078758,0.33333333333333337,337.932763,0.969279272393714,13283.94423542356,0.1359124069176446
Inflammatory-Mac,Gnai2,C5ar1,Neutrophils,0.0,-6.185774333333312,-0.00044037423170270595,0.6666666666666667,234.11538766666663,0.6991565205722801,31997.57556296368,0.13489412785345334
Inflammatory-Mac,Anxa1,Fpr2,Neutrophils,0.0,-38.20636633333339,-0.0919291021310463,0.6666666666666667,131.3978013333333,0.8972268057305288,12045.746385209397,0.1304671074806976
Inflammatory-Mac,Cd274,Cd80,Neutrophils,0.0,7.399618333333329,0.049302761801385375,0.0,64.41634366666668,0.6319354476989493,977.8323697977305,0.1270286123797919
Inflammatory-Mac,Npy,Prlhr,Neutrophils,0.0,0.050053999999999384,0.20362662367106565,0.0,0.06678766666666666,0.18559683738968333,0.180961778949,0.12531808201309494
Inflammatory-Mac,Anxa1,Fpr1,Neutrophils,0.0,-38.20636633333339,-0.0919291021310463,0.6666666666666667,46.074019,0.8707047487288938,4216.1616901038105,0.1240537400717296
Inflammatory-Mac,C3,C5ar2,Neutrophils,0.0,23.43720366666667,0.043472332355494886,0.33333333333333337,65.150272,0.7833717018644114,2675.1228917203994,0.1237810182954894
Inflammatory-Mac,Gnai2,Adra2b,Neutrophils,0.0,-6.185774333333312,-0.00044037423170270595,0.0,25.808244333333338,0.6397163643336506,3521.2919000793736,0.1233882575425728
Inflammatory-Mac,Spp1,Itga4,Neutrophils,0.0,-2387.634959333334,-0.3180891905377189,0.0,62.78192866666666,0.2992745319290268,59233.52350719468,0.12218599489878887
Inflammatory-Mac,Tff2,Cxcr4,Neutrophils,0.0,-0.013154666666666648,0.12452433716531673,0.0,447.1575923333333,0.40653366151974296,299.51501111163054,0.12080637033503742
Inflammatory-Mac,Rps19,C5ar1,Neutrophils,0.0,-4.4193369999999845,0.010508275082974585,0.6666666666666667,234.11538766666663,0.6991565205722801,31265.080891573158,0.119757407587002
Inflammatory-Mac,Apoe,Lrp8,Neutrophils,0.0,-176.10103333333382,-0.019357516087157575,0.0,4.505849333333334,0.3050917499346294,11245.41773423651,0.11702126113061745
Inflammatory-Mac,Cdh1,Itgae,Neutrophils,-0.33333333333333337,-0.11121666666666656,-0.1798798805824706,0.6666666666666667,4.880633333333333,0.7640371224058005,1.461733710394444,0.1146661568502736
Inflammatory-Mac,Mif,Cxcr2,Neutrophils,0.0,-12.68133533333333,-0.028202406677183583,0.33333333333333337,337.932763,0.969279272393714,10416.103122998786,0.11340828715740756
Inflammatory-Mac,Cd84,Cd84,Neutrophils,0.0,-29.083274999999986,-0.21102615019719664,0.33333333333333337,126.35316233333332,0.3455700250171249,15026.998188548929,0.1122554447944823
Inflammatory-Mac,Adam15,Itgb3,Neutrophils,0.0,-5.968517333333331,0.07971130730523071,0.0,7.289906666666666,0.3373546658677489,163.02569005498492,0.11092214716594352
Inflammatory-Mac,Grn,Tnfrsf1a,Neutrophils,0.0,-10.465616666666676,0.02124315981011821,0.0,89.3101296666667,0.254425042092165,38136.150400662,0.11087814714033986
Inflammatory-Mac,Tnfsf12,Cd163,Neutrophils,0.0,-3.6667986666666663,-0.08460328556954816,0.6666666666666667,3.919085,0.3995130630196589,36.978645386816346,0.1097047701394265
Inflammatory-Mac,Trf,Tfrc,Neutrophils,0.0,6.6257189999999975,-0.053627751652283284,0.0,51.925144,0.4116293621248343,2587.536211688396,0.10791746209156387
Inflammatory-Mac,Cd6,Alcam,Neutrophils,0.0,0.10006366666666666,0.056098231022021716,0.0,112.42586100000001,0.6366988082956421,16.935515773676332,0.10606009216655524
Inflammatory-Mac,Thbs1,Itga4,Neutrophils,0.0,-122.48557766666664,-0.2381645420605073,0.0,62.78192866666666,0.2992745319290268,25168.888991069638,0.10394248502648858
Inflammatory-Mac,Vim,Cd44,Neutrophils,0.0,-171.98142499999992,0.0162864191408727,0.0,647.6608773333334,0.4936719867264951,682139.959096994,0.09895223055823928
Inflammatory-Mac,Lgals1,Cd69,Neutrophils,0.0,-64.17798999999998,-0.051483074067254615,0.0,60.53903133333333,0.6140787754733916,6324.1317080829795,0.09420140029740268
Inflammatory-Mac,Grn,Sort1,Neutrophils,0.0,-10.465616666666676,0.02124315981011821,0.0,5.852937,0.21724907658860584,2503.5901695539433,0.0937797820916137
Inflammatory-Mac,Cfh,Itgam,Neutrophils,0.0,-3.3078943333333424,-0.005168262124879725,0.6666666666666667,158.88926833333338,0.4397989206032459,2287.616757030339,0.09136717846017073
Inflammatory-Mac,Spon1,Lrp8,Neutrophils,0.0,5.412889000000002,0.1672230088412877,0.0,4.505849333333334,0.3050917499346294,37.001093717206544,0.08937721984661429
Inflammatory-Mac,Tgm2,Itgb3,Neutrophils,0.0,18.572274999999987,0.018988555690276826,0.0,7.289906666666666,0.3373546658677489,541.5462059974343,0.0893487981843421
Inflammatory-Mac,Tnfrsf14,Btla,Neutrophils,0.0,3.5827726666666564,0.020447099445192633,0.6666666666666667,2.6597763333333333,0.29475365480032617,47.61356056922288,0.08836826611420202
Inflammatory-Mac,Tgfb1,Tgfbr1,Neutrophils,0.0,22.017748666666623,-0.02540761332301333,0.0,104.8119933333333,0.2952297183831261,16078.925747409228,0.08604541097729697
Inflammatory-Mac,Lrpap1,Lrp8,Neutrophils,0.0,-2.0578406666666678,-0.0012926669967001092,0.0,4.505849333333334,0.3050917499346294,70.35347139348912,0.08288824315314593
Inflammatory-Mac,Il1rn,Il1r2,Neutrophils,0.0,6.373390999999998,-0.4789878787883575,0.0,682.3495836666667,0.9533422209463308,59166.212987809275,0.08220605744313084
Inflammatory-Mac,Anxa2,Tlr2,Neutrophils,0.0,-28.614160666666667,-0.03811255408916031,0.0,148.47197366666668,0.4523495963399584,21706.759553169093,0.08097510982924812
Inflammatory-Mac,Hp,Itgam,Neutrophils,-0.3333333333333333,10.87993433333333,-0.2943091752217663,0.6666666666666667,158.88926833333338,0.4397989206032459,3315.147554312797,0.07864954151339598
Inflammatory-Mac,Hp,Itgb2,Neutrophils,-0.3333333333333333,10.87993433333333,-0.2943091752217663,0.33333333333333337,187.69835266666664,0.4380369253555863,3919.065246295025,0.07797405208310529
Inflammatory-Mac,Wnt6,Fzd7,Neutrophils,0.3333333333333333,0.11516300000000003,0.3639246241135175,0.0,3.034034000000001,0.12935747528342867,0.5978142688776668,0.07623118920061517
Inflammatory-Mac,Gnai2,Tshr,Neutrophils,0.0,-6.185774333333312,-0.00044037423170270595,0.0,1.662959,0.3948102843649178,226.05104554000252,0.07613842287366993
Inflammatory-Mac,Igf1,Igf1r,Neutrophils,0.0,-10.503891666666675,-0.05510947589705861,0.0,39.53254133333333,0.3781707562792888,989.9389695794113,0.07575476008172727
Inflammatory-Mac,C3,Cd46,Neutrophils,0.0,23.43720366666667,0.043472332355494886,0.0,11.98467733333333,0.3859337743881036,570.2172127515306,0.07421430718646305
Inflammatory-Mac,Cd14,Itga4,Neutrophils,0.0,-19.761633333333364,-0.27120434485619266,0.0,62.78192866666666,0.2992745319290268,7735.875082219856,0.07386398963668081
Inflammatory-Mac,L1cam,Alcam,Neutrophils,0.0,-0.5853119999999999,-0.07706819519790789,0.0,112.42586100000001,0.6366988082956421,698.361604390709,0.07332854448724233
Inflammatory-Mac,F10,F3,Neutrophils,0.0,19.80920366666668,-0.2246684000537444,0.0,14.404242333333327,0.25039305162381825,569.4606828607411,0.07314381087222989
Inflammatory-Mac,Gnai2,Igf1r,Neutrophils,0.0,-6.185774333333312,-0.00044037423170270595,0.0,39.53254133333333,0.3781707562792888,5347.887821093452,0.07288704959838832
