Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Agt,Lrp2,MuSCs,0.0,0.3678686666666667,0.6220082588998725,-0.16666666666666669,-0.00463683333333333,0.0,0.0030415886876111113,0.6220082588998725
MuSCs,Agt,Agtr1a,MuSCs,0.0,0.3678686666666667,0.6220082588998725,0.0,-9.054974333333332,-0.03237232236468501,2.3649442910127783,0.3175930571374643
MuSCs,Efnb3,Ephb1,MuSCs,0.0,-0.009870499999999892,0.2520563515041314,0.0,0.8429706666666661,0.32448767615746843,0.458387963801667,0.2999356518377942
MuSCs,Agt,Mas1,MuSCs,0.0,0.3678686666666667,0.6220082588998725,0.0,0.05150516666666671,0.12873729237282874,0.3145245728716112,0.2995116238734292
MuSCs,Colq,Musk,MuSCs,0.0,0.19611716666666665,0.3799570204762627,0.0,-1.1907564999999989,-0.01104907966555968,2.0865141076909186,0.2779512248391613
MuSCs,Nlgn3,Nrxn1,MuSCs,0.0,0.6406198333333328,0.2309614893435717,0.5,-0.024732333333333332,-0.0027498651597313017,0.02377408929155556,0.2041911474379377
MuSCs,Gdnf,Ret,MuSCs,0.5,-1.3389188333333328,-0.003861166566190953,0.0,2.113230333333333,0.1888204840616205,1.1060009576977214,0.16829692447661376
MuSCs,Pspn,Ret,MuSCs,0.16666666666666663,0.03986983333333327,0.4786040395285465,0.0,2.113230333333333,0.1888204840616205,1.094764298005944,0.1664677616881275
MuSCs,Cck,Cckar,MuSCs,0.0,-0.3743586666666667,0.23091076876732525,0.5,0.22438733333333327,0.1821361949044414,0.3637866153937777,0.13551944440761038
MuSCs,Fgf5,Fgfr2,MuSCs,0.16666666666666663,-0.38486116666666653,0.0,0.0,0.21176400000000006,0.1265937606726853,0.018424103995500027,0.1265937606726853
MuSCs,Liph,Lpar4,MuSCs,-0.6666666666666667,0.006523166666666691,0.14384095738490568,0.0,0.11896349999999778,0.23016407895031246,0.09933947926358312,0.12533248369690092
MuSCs,Nppc,Npr2,MuSCs,0.0,1.285253333333333,0.22343369515048306,0.0,-0.2456553333333353,0.08910535624608401,7.3637195684642185,0.12217222772336273
MuSCs,Nid2,Col13a1,MuSCs,0.0,1.5813283333333301,0.1486523064199011,0.0,0.23793499999999998,0.2251255758705976,3.8609492325666697,0.10677534181210983
MuSCs,Fgf16,Fgfr2,MuSCs,0.0,-0.4449208333333332,-0.1398528162861441,0.0,0.21176400000000006,0.1265937606726853,0.2544242561625001,0.10220695337342632
MuSCs,Sema3a,Plxna2,MuSCs,0.0,0.764773166666668,-0.014593252122665048,0.0,0.5547919999999991,0.12578343839038536,22.759608792447487,0.09309343130295598
MuSCs,Fgf1,Fgfr2,MuSCs,0.0,-3.09426,-0.03057064169803092,0.0,0.21176400000000006,0.1265937606726853,0.3632673077160001,0.09057817769451568
MuSCs,Col2a1,Itga10,MuSCs,0.0,0.0730098333333333,0.15000509959567349,0.0,0.15461100000000005,0.129582794940439,0.12360787255933332,0.09048235191983003
MuSCs,Sema6a,Plxna2,MuSCs,0.0,0.0016603333333478074,0.14863441934930546,0.0,0.5547919999999991,0.12578343839038536,18.036825747724837,0.08970652411310759
MuSCs,Col2a1,Ddr1,MuSCs,0.0,0.0730098333333333,0.15000509959567349,0.0,-0.5590888333333304,-0.08073805770627829,0.8103884869929721,0.08939077778455759
MuSCs,Hspg2,Col13a1,MuSCs,0.0,-6.556403166666641,0.1003002512649388,0.0,0.23793499999999998,0.2251255758705976,16.826045521360687,0.08918217354165077
MuSCs,Fgf15,Fgfr2,MuSCs,0.16666666666666663,-0.03249183333333333,0.3549837992525422,0.0,0.21176400000000006,0.1265937606726853,0.00022305807150000377,0.08435871102597246
MuSCs,Inhbb,Acvr2a,MuSCs,0.16666666666666663,0.5458618333333329,0.3303368915629141,0.0,-0.4645289999999989,0.0127777219472284,8.259397624612829,0.08283315982823472
MuSCs,Artn,Ret,MuSCs,0.16666666666666663,0.001743500000000009,0.038383376826831794,0.0,2.113230333333333,0.1888204840616205,0.9295536837178341,0.07984212214359535
MuSCs,Efnb3,Epha4,MuSCs,0.0,-0.009870499999999892,0.2520563515041314,0.0,0.050917833333333114,0.0761312833896136,0.012270588303083252,0.07942786956034847
MuSCs,Efnb2,Ephb1,MuSCs,0.0,-1.4333220000000004,0.058523881749902286,0.0,0.8429706666666661,0.32448767615746843,6.134114394449327,0.0697600625360287
MuSCs,Efnb3,Ephb3,MuSCs,0.0,-0.009870499999999892,0.2520563515041314,0.0,0.24998216666666684,-0.008159767192925105,0.10982917103841694,0.0671090864894088
MuSCs,Lama2,Dag1,MuSCs,0.0,4.905160333333342,0.030185803409301108,0.0,7.586252166666667,0.06635477494038378,1498.087085814981,0.06665985262348313
MuSCs,Fgf17,Fgfr2,MuSCs,0.0,-0.21943683333333336,0.03771022264884893,0.0,0.21176400000000006,0.1265937606726853,0.03714682535850004,0.05636812683838025
MuSCs,Dll1,Notch1,MuSCs,0.0,-0.1103600000000009,0.1857911930124965,0.0,1.0940308333333313,0.046781885549305714,5.0044989722658215,0.05374767499205666
MuSCs,Nid1,Col13a1,MuSCs,0.0,-3.3036191666666714,0.04379407772945529,0.0,0.23793499999999998,0.2251255758705976,6.646184147021673,0.05224059930732255
MuSCs,Amh,Amhr2,MuSCs,0.0,0.12691583333333345,0.01838665613206028,0.16666666666666663,-0.029443,0.1816648373494671,0.01131962248633335,0.0503455250712416
MuSCs,Col4a1,Itga1,MuSCs,0.0,13.704770833333342,0.14471078698998624,0.0,-2.757384833333326,0.1013542954206066,88.96606518705629,0.049749924672987215
MuSCs,Vegfc,Vipr2,MuSCs,0.0,-0.34625783333333304,0.05502837276010231,0.0,0.8307516666666666,0.047716341871633317,0.2649967762626102,0.048391957928871535
MuSCs,Col2a1,Mag,MuSCs,0.0,0.0730098333333333,0.15000509959567349,0.0,-0.002190333333333405,-0.02382044288494217,0.037574762681222215,0.04799733522491177
MuSCs,Shank1,Sstr2,MuSCs,0.0,-0.03763016666666672,-0.2016971149757885,0.16666666666666663,0.036157333333333284,0.322142153688265,0.0010035108287777816,0.0477081157643553
MuSCs,Bmp8a,Acvr2b,MuSCs,0.0,0.15797616666666664,0.15751185048272148,0.0,-0.3960514999999998,0.011190909743932777,0.07336050378774994,0.0473862980123699
MuSCs,F2,F2r,MuSCs,0.0,0.08022783333333344,0.12236178238613883,0.0,-2.6596948333333263,0.062088750967663524,0.7037184542106383,0.047213766750413486
MuSCs,Nodal,Acvr2b,MuSCs,-0.33333333333333337,0.11973433333333333,0.15679221832490697,0.0,-0.3960514999999998,0.011190909743932777,0.05969284900150008,0.046565322019453056
MuSCs,Epo,Epor,MuSCs,0.0,-0.073018,-0.06257405501805438,0.16666666666666663,0.4916888333333334,0.22813813292357601,0.035963241370666664,0.044030016286510064
MuSCs,Bmp8a,Acvr2a,MuSCs,0.0,0.15797616666666664,0.15751185048272148,0.0,-0.4645289999999989,0.0127777219472284,2.507544537420165,0.03972192673850679
MuSCs,Bmp8a,Bmpr1a,MuSCs,0.0,0.15797616666666664,0.15751185048272148,0.0,-4.494241333333329,-0.09167521047933448,1.7297893860731095,0.03902877553894697
MuSCs,Nodal,Acvr2a,MuSCs,-0.33333333333333337,0.11973433333333333,0.15679221832490697,0.0,-0.4645289999999989,0.0127777219472284,1.905332923368332,0.03885025526603579
MuSCs,Mdk,Tspan1,MuSCs,0.0,0.8609451666666743,-0.03253181793883608,0.5,0.1932515,0.086377098699158,3.9064782640937503,0.038806526744139085
MuSCs,F2,Itga2b,MuSCs,0.0,0.08022783333333344,0.12236178238613883,0.0,-0.14176816666666706,0.02811210862906499,0.0871369379670277,0.0355743629626846
MuSCs,Efnb1,Ephb1,MuSCs,0.0,-0.22189799999999996,0.0063863299920687705,0.0,0.8429706666666661,0.32448767615746843,1.3791770481026648,0.03517954760862317
MuSCs,Uts2,Uts2r,MuSCs,0.0,0.015492500000000018,0.1497318521704692,0.16666666666666663,0.01846150000000001,0.028300561174326305,0.0070909548622500014,0.032227085593963145
MuSCs,Col2a1,Itgb1,MuSCs,0.0,0.0730098333333333,0.15000509959567349,0.0,-24.072372833333308,0.008229184865652994,6.592212240270968,0.031898125227501094
MuSCs,F2,Gp1ba,MuSCs,0.0,0.08022783333333344,0.12236178238613883,0.0,0.06930133333333321,0.04246300682196108,0.20993608343461112,0.031411460713516116
MuSCs,Bmp8a,Bmpr2,MuSCs,0.0,0.15797616666666664,0.15751185048272148,0.0,-4.186522833333329,0.00933903392714,2.8223419866245294,0.031101971964872906
MuSCs,Efna2,Epha4,MuSCs,0.0,0.33781616666666703,0.1229973054609391,0.0,0.050917833333333114,0.0761312833896136,0.6638316181581372,0.03089338209048445
MuSCs,Fn1,Itgb8,MuSCs,0.0,31.248367000000005,0.035333131831703286,0.0,-6.7055194999999985,-0.022477633977219136,108.20125536775144,0.030690219325193183
MuSCs,Efna4,Epha4,MuSCs,0.5,0.04567283333333333,0.15360385898652842,0.0,0.050917833333333114,0.0761312833896136,0.09495132763836113,0.030532546898749388
MuSCs,Col2a1,Itga2,MuSCs,0.0,0.0730098333333333,0.15000509959567349,0.0,-0.395188,0.053171751707460926,0.0208117782503333,0.02893381538506839
MuSCs,Fn1,Itgb6,MuSCs,0.0,31.248367000000005,0.035333131831703286,0.0,0.39209933333333336,0.1356926674035721,144.66026425771003,0.027814872996336604
MuSCs,Fn1,Col13a1,MuSCs,0.0,31.248367000000005,0.035333131831703286,0.0,0.23793499999999998,0.2251255758705976,23.616387795858003,0.027621099366627492
MuSCs,Egf,Erbb2,MuSCs,0.0,0.11321349999999993,0.02755056588723748,0.0,-0.4366608333333328,0.049509084714658265,0.14592058886825002,0.027280140094542188
MuSCs,Gnas,Vipr1,MuSCs,0.0,9.709037999999962,0.060825372368776325,0.0,0.6373453333333331,0.054363516065636094,177.67722072176863,0.02600825350740704
MuSCs,Gpc3,Cd81,MuSCs,0.0,11.964453666666653,-0.07276623732567243,0.0,-21.31988833333334,0.056854207425680515,342.325834870383,0.02590549178335069
MuSCs,Dlk1,Notch1,MuSCs,0.0,2.0359830000000003,-0.07569351053865259,0.0,1.0940308333333313,0.046781885549305714,70.49845229053665,0.02545875542163969
MuSCs,Gnas,Gcgr,MuSCs,0.0,9.709037999999962,0.060825372368776325,-0.16666666666666669,0.0480685,0.0591366694258935,13.766047514838526,0.025051088436649827
MuSCs,Ntf3,Ntrk2,MuSCs,-0.33333333333333337,0.4763304999999996,0.051030712500640514,0.0,-0.659464166666667,0.00537702201754181,0.23532244949709025,0.0249594141885334
MuSCs,Edn3,Ednra,MuSCs,0.0,1.2289598333333336,0.0,0.0,-5.781310166666671,0.024615185481911217,2.6178247370521603,0.024615185481911217
MuSCs,Igfbp4,Fzd8,MuSCs,0.0,-0.3803891666666672,0.040436458857077286,0.0,0.21496383333333305,0.0653112853369438,0.907404091723869,0.023247070647838892
