Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Cd59b,Cd2,Resolving-Mac,0.0,0.08090216666666561,0.06447715979338953,0.0,0.3900986666666672,0.20996721394263332,0.8538436168764438,0.12003579372922173
MuSCs,Sema5a,Plxnb3,Resolving-Mac,0.0,1.309868166666666,0.18309645163410213,0.0,0.3516516666666669,0.1130805816582156,3.622814587965664,0.10186876596883213
MuSCs,Enho,Gpr19,Resolving-Mac,-0.16666666666666669,0.2153593333333333,0.3836288275800662,0.33333333333333337,0.4977173333333333,0.06935287381361238,0.4444405503724444,0.09000950055633368
MuSCs,Inhbb,Acvr2b,Resolving-Mac,0.16666666666666663,0.5458618333333329,0.3303368915629141,0.0,-0.05023266666666682,0.04083039925283191,0.4080460226254998,0.07636994141647613
MuSCs,Col2a1,Mag,Resolving-Mac,0.0,0.0730098333333333,0.15000509959567349,0.0,0.07489166666666658,0.022229285522934072,0.057194274744444475,0.07245473979942145
MuSCs,Tslp,Il7r,Resolving-Mac,-0.33333333333333337,0.11415150000000007,0.1327465508372957,0.0,4.22264400000001,0.0550943577130828,6.538798049898013,0.06474112200211235
MuSCs,Sema3a,Plxna4,Resolving-Mac,0.0,0.764773166666668,-0.014593252122665048,0.33333333333333337,0.2037563333333332,0.06925098729358993,2.0882791667223333,0.053274723132472855
MuSCs,Vtn,Itga8,Resolving-Mac,0.0,-6.450412666666669,0.11800438009680457,0.33333333333333337,0.5654846666666669,0.06272842752851215,9.91797982897355,0.05173501151246791
MuSCs,F2,F2rl2,Resolving-Mac,0.0,0.08022783333333344,0.12236178238613883,0.0,1.3291063333333328,-0.0209904832856872,0.7270103697337225,0.05137989684205264
MuSCs,Inhbb,Acvr1,Resolving-Mac,0.16666666666666663,0.5458618333333329,0.3303368915629141,0.0,-0.3691526666666665,0.020693527881481797,1.9766284206415496,0.04823901009603155
MuSCs,Inhbb,Acvr1b,Resolving-Mac,0.16666666666666663,0.5458618333333329,0.3303368915629141,0.0,-0.4552483333333335,-0.044442293248170006,1.4740574165015021,0.046115774676987284
MuSCs,F8,Asgr2,Resolving-Mac,0.0,-0.04003466666666677,0.09210809094840716,0.0,0.4206936666666667,-0.011963221045137471,0.195548446951,0.04537081872226768
MuSCs,Icos,Icosl,Resolving-Mac,0.16666666666666663,0.17589200000000002,0.18509020611521385,0.0,4.2103006666666625,-0.2319195372660464,3.2490956531926667,0.044397114361385145
MuSCs,Npnt,Itga8,Resolving-Mac,0.0,-2.078330666666665,0.051071216487026505,0.33333333333333337,0.5654846666666669,0.06272842752851215,0.5253991588462232,0.04318440342955423
MuSCs,Bmp8a,Tgfbr2,Resolving-Mac,0.0,0.15797616666666664,0.15751185048272148,0.0,-0.3289109999999837,0.02522383832400199,5.639786295226389,0.04282085481317107
MuSCs,Lgi4,Adam22,Resolving-Mac,0.0,-2.0339426666666665,-0.2438442669235053,0.0,1.2456466666666657,0.1339213566771263,0.333237361196888,0.04182848854523913
MuSCs,Col4a1,Itgav,Resolving-Mac,0.0,13.704770833333342,0.14471078698998624,0.0,0.4183373333333265,-0.010411825988392907,1123.6993701482359,0.04007880867711437
MuSCs,Col4a1,Cd93,Resolving-Mac,0.0,13.704770833333342,0.14471078698998624,0.0,-9.532452999999997,0.0906336802410266,117.55656958576128,0.038760878878626566
MuSCs,Bmp8a,Acvr2b,Resolving-Mac,0.0,0.15797616666666664,0.15751185048272148,0.0,-0.05023266666666682,0.04083039925283191,0.13076690986649986,0.037134679126922567
MuSCs,Lamb1,Itga6,Resolving-Mac,0.0,5.302942833333329,0.11287834499551902,0.0,-4.49634933333332,0.08837282543794417,146.0326996339829,0.03550264299737163
MuSCs,Nodal,Acvr2b,Resolving-Mac,-0.33333333333333337,0.11973433333333333,0.15679221832490697,0.0,-0.05023266666666682,0.04083039925283191,0.0996305881016667,0.03475955553889745
MuSCs,Efna4,Epha1,Resolving-Mac,0.5,0.04567283333333333,0.15360385898652842,0.0,2.066447,0.0554816386690293,0.933535264834,0.034572396472347444
MuSCs,Efna2,Epha1,Resolving-Mac,0.0,0.33781616666666703,0.1229973054609391,0.0,2.066447,0.0554816386690293,5.343578665516,0.03238023866699126
MuSCs,Mmp13,Lrp1,Resolving-Mac,0.5,2.142092166666666,0.12529302306363774,0.0,-17.89801533333332,-0.02079580211912657,260.316350245021,0.03199066769640653
MuSCs,Tslp,Crlf2,Resolving-Mac,-0.33333333333333337,0.11415150000000007,0.1327465508372957,0.0,-0.9972339999999988,-0.0727188859735185,0.8379740125495019,0.03096216891880078
MuSCs,Dll1,Notch1,Resolving-Mac,0.0,-0.1103600000000009,0.1857911930124965,0.0,3.758540666666669,0.04140221440247385,27.891234605878008,0.030424322167365337
MuSCs,Inhbb,Acvr2a,Resolving-Mac,0.16666666666666663,0.5458618333333329,0.3303368915629141,0.0,-0.058473000000000226,0.005901069231192589,3.1550877976989384,0.029736758923008595
MuSCs,Dlk1,Notch1,Resolving-Mac,0.0,2.0359830000000003,-0.07569351053865259,0.0,3.758540666666669,0.04140221440247385,44.82927350035936,0.029515249879218705
MuSCs,Sema6a,Plxna4,Resolving-Mac,0.0,0.0016603333333478074,0.14863441934930546,0.33333333333333337,0.2037563333333332,0.06925098729358993,6.610702458800333,0.0287997415597605
MuSCs,Bmp8a,Bmpr2,Resolving-Mac,0.0,0.15797616666666664,0.15751185048272148,0.0,0.6299666666666717,0.029880086083769006,3.7870652925951696,0.028627096803556632
MuSCs,Bmp8a,Tgfbr1,Resolving-Mac,0.0,0.15797616666666664,0.15751185048272148,0.0,8.733382999999991,-0.13235920716519867,19.90929726400433,0.02858792155494258
MuSCs,Cadm3,Cadm1,Resolving-Mac,0.0,-0.049178500000000465,0.034395529409570594,0.0,1.5955209999999995,0.10403653337265883,2.9351794829268307,0.027768580342482987
MuSCs,Il7,Il7r,Resolving-Mac,0.16666666666666663,0.05239183333333329,0.05395297856525984,0.0,4.22264400000001,0.0550943577130828,1.770191641019334,0.025698708351117115
MuSCs,Calca,Calcrl,Resolving-Mac,0.5,0.0016223333333332812,-0.2923521718179942,0.0,3.3236713333333285,0.06056152187353201,1.19957659688122,0.025469882680340467
MuSCs,Nodal,Acvr1b,Resolving-Mac,-0.33333333333333337,0.11973433333333333,0.15679221832490697,0.0,-0.4552483333333335,-0.044442293248170006,0.4151034424923332,0.02350919081589344
MuSCs,Col2a1,Itgb1,Resolving-Mac,0.0,0.0730098333333333,0.15000509959567349,0.0,-3.2495983333333527,0.023228934881731583,5.325182166470274,0.023347763933798848
MuSCs,Il7,Il2rg,Resolving-Mac,0.16666666666666663,0.05239183333333329,0.05395297856525984,0.0,4.010272999999998,0.04995540065269588,4.2369340124772235,0.023137889666275828
MuSCs,Col4a1,Itgb1,Resolving-Mac,0.0,13.704770833333342,0.14471078698998624,0.0,-3.2495983333333527,0.023228934881731583,809.5102565428588,0.021639810984863804
MuSCs,Lama2,Itgb1,Resolving-Mac,0.0,4.905160333333342,0.030185803409301108,0.0,-3.2495983333333527,0.023228934881731583,146.13011200404614,0.01914251485905487
MuSCs,Bdnf,Ngfr,Resolving-Mac,0.0,0.9150788333333328,0.021195260609335853,0.0,0.007591333333333172,0.01839045300361009,0.271290116042055,0.018818749570724214
MuSCs,Lamb1,Itgb1,Resolving-Mac,0.0,5.302942833333329,0.11287834499551902,0.0,-3.2495983333333527,0.023228934881731583,303.9509978198525,0.01854682936961988
MuSCs,App,Cd74,Resolving-Mac,0.0,6.887396500000016,0.027343603233305647,0.0,1661.8751220000001,-0.029331754665830267,93815.80599447068,0.017494399444528262
MuSCs,F2,Gp9,Resolving-Mac,0.0,0.08022783333333344,0.12236178238613883,0.0,-0.9736520000000004,-0.18306868957089814,0.09350514504222218,0.01724735812051728
MuSCs,Fn1,Mag,Resolving-Mac,0.0,31.248367000000005,0.035333131831703286,0.0,0.07489166666666658,0.022229285522934072,23.874444105966674,0.017148227236814258
MuSCs,Gpc3,Cd81,Resolving-Mac,0.0,11.964453666666653,-0.07276623732567243,0.0,4.20294233333334,0.026284866154338976,352.92076774342667,0.016997871507158275
MuSCs,Fn1,Itga9,Resolving-Mac,0.0,31.248367000000005,0.035333131831703286,0.0,-0.28920233333333023,0.05246454161230868,361.3205761362531,0.016989129175057526
MuSCs,Jag1,Notch1,Resolving-Mac,0.0,-4.02001233333333,0.03365433748530555,0.0,3.758540666666669,0.04140221440247385,12.769516824129965,0.016743647788969855
MuSCs,F2,Thbd,Resolving-Mac,0.0,0.08022783333333344,0.12236178238613883,0.0,-0.22236266666666715,0.03373866364531672,0.6142963203134997,0.016382894400727436
MuSCs,Fndc5,Itgb5,Resolving-Mac,0.0,0.719442166666667,0.05855715305227205,0.0,-1.2343243333333265,-0.006971056610697302,34.625328974377105,0.0162622521199024
MuSCs,Sema3a,Plxna2,Resolving-Mac,0.0,0.764773166666668,-0.014593252122665048,0.0,1.061394333333333,0.0208793774416901,11.009598344374444,0.01600166446275045
MuSCs,Sema5a,Met,Resolving-Mac,0.0,1.309868166666666,0.18309645163410213,0.0,-0.4357503333333339,-0.0002020315386115079,2.9117831765799416,0.015031838808976062
MuSCs,Bmp8a,Acvr2a,Resolving-Mac,0.0,0.15797616666666664,0.15751185048272148,0.0,-0.058473000000000226,0.005901069231192589,0.9278590271727216,0.014283169869196309
MuSCs,Nodal,Acvr2a,Resolving-Mac,-0.33333333333333337,0.11973433333333333,0.15679221832490697,0.0,-0.058473000000000226,0.005901069231192589,0.7038529961574449,0.013899165869951923
MuSCs,Cxcl12,Cd4,Resolving-Mac,0.0,-8.704753666666669,0.010818002980147163,0.0,4.2144713333333375,0.1373143201482691,18.535657306383253,0.013260207558574448
MuSCs,Kitl,Kit,Resolving-Mac,0.0,-8.83169683333334,0.03751248984388508,0.0,1.172011666666667,0.09134123927575488,13.455042641274,0.011681261627137531
MuSCs,Col1a2,Cd93,Resolving-Mac,0.0,40.905564500000004,-0.0002864918229305985,0.0,-9.532452999999997,0.0906336802410266,1366.3121570529954,0.011202652587619618
MuSCs,Col18a1,Kdr,Resolving-Mac,0.0,-4.526806666666673,0.1375881323202992,0.0,0.9687683333333332,0.020247359590533386,1.7089432045248998,0.0111286804413212
MuSCs,Ccl25,Ccr9,Resolving-Mac,0.0,-0.16116783333333196,0.026322087273773,0.0,0.56718,-0.0022970477670404828,2.68133292431822,0.01106135340016022
MuSCs,Dlk1,Notch4,Resolving-Mac,0.0,2.0359830000000003,-0.07569351053865259,0.0,-0.2401686666666669,0.013512688898660993,1.5007838813206655,0.01029978357587504
MuSCs,Dll1,Notch2,Resolving-Mac,0.0,-0.1103600000000009,0.1857911930124965,0.0,2.0000596666666723,-0.13341228091185692,9.987191445264386,0.009966446188351949
MuSCs,Col2a1,Itga10,Resolving-Mac,0.0,0.0730098333333333,0.15000509959567349,0.0,-0.107698,-0.014125307396459688,0.009471788166,0.00991808160711563
MuSCs,Mdk,Itgb1,Resolving-Mac,0.0,0.8609451666666743,-0.03253181793883608,0.0,-3.2495983333333527,0.023228934881731583,9.001327022121815,0.009724053515805091
MuSCs,Fn1,Itgav,Resolving-Mac,0.0,31.248367000000005,0.035333131831703286,0.0,0.4183373333333265,-0.010411825988392907,2502.982051573573,0.009650748967028671
MuSCs,Fndc5,Itgav,Resolving-Mac,0.0,0.719442166666667,0.05855715305227205,0.0,0.4183373333333265,-0.010411825988392907,58.89947994055842,0.009388024681429186
MuSCs,Sema6a,Plxna2,Resolving-Mac,0.0,0.0016603333333478074,0.14863441934930546,0.0,1.061394333333333,0.0208793774416901,34.43632976136389,0.009302689204699515
MuSCs,Lgi4,Adam23,Resolving-Mac,0.0,-2.0339426666666665,-0.2438442669235053,0.0,0.3769236666666666,0.02319759290847341,0.231140550457112,0.009175574251482438
MuSCs,Crtam,Cadm1,Resolving-Mac,0.16666666666666663,0.05229016666666668,0.0133652032551511,0.0,1.5955209999999995,0.10403653337265883,0.5247022473179446,0.009109517300771591
MuSCs,Ccl11,Ccr2,Resolving-Mac,0.0,0.04533533333333395,0.01680164504219704,0.0,46.969064,-0.010497074984568313,279.516784430341,0.00878827142723905
MuSCs,Fn1,Itgb7,Resolving-Mac,0.0,31.248367000000005,0.035333131831703286,0.0,2.697585333333329,-0.05467841292098441,411.56428831856897,0.00857521433134118
MuSCs,Rtn4,Rtn4rl1,Resolving-Mac,0.0,-8.995574000000007,-0.01985780067943629,0.0,0.15096733333333345,0.05392206582325473,8.183719955426675,0.008408860337294873
MuSCs,Spon2,Itgb1,Resolving-Mac,0.0,0.11476583333333325,0.027286583039168283,0.0,-3.2495983333333527,0.023228934881731583,6.4030120699385895,0.008304804395902962
MuSCs,Efna2,Epha2,Resolving-Mac,0.0,0.33781616666666703,0.1229973054609391,0.0,-0.0933393333333341,0.01946407604906465,0.20442076391272224,0.00821427946717113
MuSCs,Efna4,Epha2,Resolving-Mac,0.5,0.04567283333333333,0.15360385898652842,0.0,-0.0933393333333341,0.01946407604906465,0.018103376607611018,0.008200643569429905
MuSCs,Jam2,F11r,Resolving-Mac,0.0,0.17032099999999994,0.016263150178685504,0.0,2.636530000000004,0.16312502493880898,11.573400779145338,0.007945983100004475
MuSCs,Fn1,Itga4,Resolving-Mac,0.0,31.248367000000005,0.035333131831703286,0.0,11.357915000000036,-0.18336370020810236,2854.237803146001,0.007657778688681477
MuSCs,Liph,Lpar2,Resolving-Mac,-0.6666666666666667,0.006523166666666691,0.14384095738490568,0.0,-0.005456666666666886,-0.1562330579450314,0.0111410332847222,0.007644813083399955
MuSCs,Rtn4,Cntnap1,Resolving-Mac,0.0,-8.995574000000007,-0.01985780067943629,0.0,0.057112999999999976,0.04947093698628606,0.9202911847149906,0.007643920376589869
MuSCs,Amh,Acvr1,Resolving-Mac,0.0,0.12691583333333345,0.01838665613206028,0.0,-0.3691526666666665,0.020693527881481797,0.5106807261482218,0.0074608238729531534
MuSCs,Ntf3,Ngfr,Resolving-Mac,-0.33333333333333337,0.4763304999999996,0.051030712500640514,0.0,0.007591333333333172,0.01839045300361009,0.14811214118016647,0.007082612250000994
MuSCs,Col2a1,Ddr1,Resolving-Mac,0.0,0.0730098333333333,0.15000509959567349,0.0,0.15502400000000016,0.006586099549842517,0.06433412710483333,0.006977516643171903
MuSCs,Col2a1,Tnfrsf10b,Resolving-Mac,0.0,0.0730098333333333,0.15000509959567349,-0.3333333333333333,0.3375926666666668,0.02282384349313448,0.060047454123444435,0.006917536807607532
MuSCs,Pros1,Axl,Resolving-Mac,0.0,-2.77886216666667,0.011954373958606296,0.0,22.868064666666694,0.022985256080257976,137.69606955332688,0.006668172338109665
MuSCs,Efna1,Epha1,Resolving-Mac,0.0,-0.022797666666666827,0.02715547798328745,0.0,2.066447,0.0554816386690293,1.977221815929,0.006445045714716026
MuSCs,Adam12,Itga9,Resolving-Mac,0.0,0.8463345000000021,0.003503507377072307,0.0,-0.28920233333333023,0.05246454161230868,7.732101814545501,0.006404749583723099
MuSCs,Angptl3,Itgav,Resolving-Mac,0.0,0.32682500000000003,0.031367937966069286,0.0,0.4183373333333265,-0.010411825988392907,26.443706945836297,0.00632102185584775
MuSCs,Clec11a,Itgb1,Resolving-Mac,0.5,0.2672895,0.04404927940499452,0.0,-3.2495983333333527,0.023228934881731583,20.2099586084075,0.006240315156715932
MuSCs,Lgi2,Adam22,Resolving-Mac,0.0,-0.02122350000000001,-0.0032996113324786844,0.0,1.2456466666666657,0.1339213566771263,0.4447956877021664,0.006189695558282496
MuSCs,App,Lrp1,Resolving-Mac,0.0,6.887396500000016,0.027343603233305647,0.0,-17.89801533333332,-0.02079580211912657,200.21749002516566,0.005725333418835615
