Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Trf,Tfr2,Resolving-Mac,0.0,11.837945000000012,0.0945899330429303,0.0,0.1730403333333333,0.287510658032607,7.333116417631333,0.1379177563412202
Neutrophils,Cd80,Cd28,Resolving-Mac,0.0,32.96941966666667,0.0667887534557049,0.0,-0.3503863333333341,0.1625948681458298,61.8235741589429,0.136301247664567
Neutrophils,Ltf,Lrp11,Resolving-Mac,0.0,9.900174666666672,0.0048628643895688,0.0,0.7588746666666667,0.1383169820370058,28.015705481904007,0.135494287597
Neutrophils,Hp,Cd163,Resolving-Mac,0.0,24.712730000000008,0.0905981087793814,0.0,-1.1018070000000009,0.1338853504748938,64.4294403375444,0.124211713218988
Neutrophils,Tnfsf13b,Tnfrsf13b,Resolving-Mac,0.0,0.8010043333333314,0.1508200821527237,0.0,2.42833466666667,0.0722478364098285,22.758214708024205,0.112669683234637
Neutrophils,Icam1,Spn,Resolving-Mac,0.0,151.21482333333327,0.0917326270571287,0.33333333333333337,0.750621,0.1189699035239351,365.0322026826886,0.1034517016968638
Neutrophils,L1cam,Erbb3,Resolving-Mac,0.0,8.10587833333333,0.1697686875428185,0.0,0.3220546666666666,0.1498531967027607,17.27524588537233,0.0977339237823928
Neutrophils,Il12a,Il12rb2,Resolving-Mac,-0.33333333333333337,0.0898009999999998,0.3009883012312556,0.0,0.4030559999999998,0.0983763523512593,0.4002068315863331,0.0956347115937462
Neutrophils,Crtam,Cadm1,Resolving-Mac,0.0,-0.0180123333333328,-0.146875344064533,0.0,0.7139339999999987,0.229498978135675,0.7699107418667768,0.089146474230909
Neutrophils,Cd2,Cd48,Resolving-Mac,0.3333333333333333,0.5820343333333334,0.2095290342988617,0.0,13.9995573333333,0.0161831762862272,66.28055404542856,0.0875052584982037
Neutrophils,Col9a2,Mag,Resolving-Mac,0.0,0.0391903333333334,0.2107533472997053,-0.33333333333333337,-0.0508336666666667,0.1747840734710022,0.0055358357413333,0.0868757881475163
Neutrophils,Sema4d,Cd72,Resolving-Mac,0.0,1.885668666666703,0.0085476613320442,0.0,2.897050333333336,0.1136820663798341,541.16718519661,0.0800915189291598
Neutrophils,Hc,C5ar1,Resolving-Mac,0.33333333333333337,0.9257693333333332,0.2914851469162355,0.0,37.16555899999997,0.0215167236568982,113.81710791194644,0.078624565122487
Neutrophils,Tnf,Tnfrsf21,Resolving-Mac,0.0,175.50809733333313,0.0169216773320818,0.0,4.839209999999991,0.0786920375490303,9232.577135323892,0.0716196320055321
Neutrophils,C3,C3ar1,Resolving-Mac,0.0,30.24407866666664,0.0916144455946461,0.0,27.1569673333334,0.0351580097039991,11614.461374893695,0.0675223000964895
Neutrophils,Cd59b,Cd2,Resolving-Mac,-0.33333333333333337,0.2059896666666666,0.0987040025330546,0.33333333333333337,0.7209393333333336,0.1625421286101012,0.7045313905632222,0.067382544492845
Neutrophils,Ptprc,Mrc1,Resolving-Mac,0.0,98.62351466666657,0.0287554168447359,0.0,1.44436166666668,0.0901247861904183,16169.384362709869,0.0673332473832847
Neutrophils,C3,Nrp1,Resolving-Mac,0.0,30.24407866666664,0.0916144455946461,0.0,26.41117466666661,0.0885067983591788,6266.504189581165,0.0671278728766882
Neutrophils,L1cam,Itgav,Resolving-Mac,0.0,8.10587833333333,0.1697686875428185,0.0,14.74470500000001,0.03252017844308,1248.057674349256,0.0657388335495891
Neutrophils,Inhba,Bambi,Resolving-Mac,0.0,-0.2039283333333337,0.1903328611027411,0.0,0.8080316666666669,0.0587524880341696,6.53407674325833,0.0649700164984847
Neutrophils,Vegfa,Nrp2,Resolving-Mac,0.0,0.8015399999999886,0.0338691127551149,0.0,12.938290333333338,0.1032161623505094,1097.831864609484,0.0607375823595321
Neutrophils,F12,Gp1ba,Resolving-Mac,0.6666666666666667,0.3941186666666666,0.4390792107664923,0.0,0.1770039999999998,0.0249239058135797,0.4298996196013332,0.0584461542012077
Neutrophils,Icam4,Itgav,Resolving-Mac,0.0,7.98106033333333,0.1087803525321635,0.0,14.74470500000001,0.03252017844308,834.7810940746341,0.0581042084293978
Neutrophils,L1cam,Cd9,Resolving-Mac,0.0,8.10587833333333,0.1697686875428185,0.0,21.905678666666702,0.0468658059175527,1629.2808601178926,0.0567193324062495
Neutrophils,Vegfa,Nrp1,Resolving-Mac,0.0,0.8015399999999886,0.0338691127551149,0.0,26.41117466666661,0.0885067983591788,2273.2535636049897,0.0549784346541494
