Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Jag1,Notch4,ECs,0.0,6.735433666666669,0.1379691998909606,0.0,-3.490190666666656,0.0067944380763812,292.1200515476918,0.1280833043318426
Resolving-Mac,Pf4,Procr,ECs,0.0,83.27367666666674,0.0740748899058306,0.0,-2.458076,0.1094508544829924,32.523252845677234,0.1141347172766905
Resolving-Mac,Wnt3,Fzd8,ECs,0.3333333333333333,0.112658,0.2173225823062909,0.0,-1.0276755,-0.0856882213348101,0.2366726225985,0.0750197511703232
Resolving-Mac,Anxa1,Dysf,ECs,0.0,60.61224099999998,0.0588751779310633,0.0,-4.310507999999999,0.0586365461146394,2227.2159311895066,0.0662585820072216
Resolving-Mac,Apoe,Scarb1,ECs,0.0,350.89632166666706,0.114287469306229,0.0,-7.406343833333338,-0.0120606234688064,12205.46950299968,0.0633820276192287
Resolving-Mac,Jag1,Notch3,ECs,0.0,6.735433666666669,0.1379691998909606,0.0,-8.524168,0.1204983469057672,23.672688290232088,0.0630420380856442
Resolving-Mac,Ccl12,Ackr4,ECs,0.0,16.18588266666667,0.1203130163078363,0.16666666666666663,0.0173135,-0.0487967821713376,3.4738441259016675,0.0622787633357508
Resolving-Mac,Spp1,Itgb3,ECs,0.0,2393.709228333333,0.0269657562634043,0.0,-1.2825721666666672,0.0695867046079705,11117.298194822804,0.0611500063247671
Resolving-Mac,Ecm1,Itgb4,ECs,0.0,10.674133999999995,0.0316170577986728,0.0,0.0199456666666666,0.1489162833405928,42.71321929754589,0.0603329690875376
Resolving-Mac,Spp1,Itga9,ECs,0.0,2393.709228333333,0.0269657562634043,0.0,1.761117333333334,0.0677095183262175,18705.83892244991,0.0575333482871483
Resolving-Mac,Calr,Scarf1,ECs,0.0,71.10058066666659,0.031878188545915,0.0,0.2810936666666705,0.1647899381927661,858.3421162139971,0.0565155549084181
Resolving-Mac,Ifnk,Ifnar1,ECs,0.3333333333333333,0.609756,0.4140613641006528,0.0,1.7170843333333323,0.0088410649877018,13.96293610654833,0.0552093305333167
Resolving-Mac,Bmp8a,Acvr2b,ECs,0.0,0.285448,0.1345492535816966,0.0,-0.5766109999999999,-0.006630044812122,0.2438875601793334,0.0510854178166696
Resolving-Mac,Ifnk,Ifnar2,ECs,0.3333333333333333,0.609756,0.4140613641006528,0.0,0.9740424999999996,0.0009506055753397,19.4887307007085,0.049346812381568
Resolving-Mac,Jag1,Notch1,ECs,0.0,6.735433666666669,0.1379691998909606,0.0,-11.281386999999995,-0.0707794000911965,279.8437894831119,0.048159563850848
Resolving-Mac,Col2a1,Tnfrsf10b,ECs,0.6666666666666667,0.019829,0.0672054913287802,0.0,0.0448583333333303,-0.0150236126521474,0.4371348069404445,0.0472263029005092
Resolving-Mac,Mdk,Itga6,ECs,0.0,2.344058,0.1245607249983268,0.0,-63.980997666666696,-0.1121144761878133,258.6739593389467,0.0457276970243802
Resolving-Mac,Cd200r1,Cd200,ECs,0.0,4.845937666666671,0.0076476793540376,0.0,-9.661469833333342,0.0793357054110516,45.79895672058842,0.0454686517547434
Resolving-Mac,Wnt3,Ryk,ECs,0.3333333333333333,0.112658,0.2173225823062909,0.0,-0.1918018333333311,0.0060437516225408,1.3661735321132773,0.0447452595473538
Resolving-Mac,Col2a1,Itga2,ECs,0.6666666666666667,0.019829,0.0672054913287802,0.0,0.93744,0.1233429950149011,0.078562408088,0.0443883777403017
