Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Cd40lg,Cd40,Inflammatory-Mac,-0.3333333333333333,-0.0159973333333334,0.0,0.0,4.306158333333337,0.1681543371290888,0.3892785666146664,0.1681543371290888
Resolving-Mac,Il12b,Il12rb1,Inflammatory-Mac,-0.33333333333333337,0.5810886666666668,-0.1537275656881416,0.0,0.718811,0.2324498805999068,1.1707601601644448,0.14583597998966447
Resolving-Mac,Xcl1,Xcr1,Inflammatory-Mac,0.3333333333333333,0.6265843333333334,0.8054004216228157,0.33333333333333337,0.10629500000000007,-0.02973499618884432,0.24734407601277786,0.13594976940432704
Resolving-Mac,Npy,Prlhr,Inflammatory-Mac,0.0,-1.7648496666666662,-0.21895511769588832,0.0,0.1264563333333333,0.35288611237993284,0.15895310859555556,0.10964616262867603
Resolving-Mac,Rspo1,Lrp6,Inflammatory-Mac,0.3333333333333333,0.6616699999999999,0.5076607969734686,0.0,-3.4678533333333283,-0.015300428243906622,9.54118100550222,0.08074281107425295
Resolving-Mac,Rspo1,Znrf3,Inflammatory-Mac,0.3333333333333333,0.6616699999999999,0.5076607969734686,0.0,-0.534786,-0.010698647628488015,1.4288967237353334,0.07596293119826532
Resolving-Mac,Oxt,Avpr2,Inflammatory-Mac,0.0,-0.009083333333333443,0.2038284479326232,0.3333333333333333,0.039649,0.0406948055992907,0.012597773133222221,0.05541966992648438
Resolving-Mac,Apoe,Ldlr,Inflammatory-Mac,0.0,-165.19189466666603,-0.01443141002792514,0.0,6.7800216666666735,0.0971296025603457,23001.27025924944,0.05152000535328502
Resolving-Mac,Apoe,Scarb1,Inflammatory-Mac,0.0,-165.19189466666603,-0.01443141002792514,0.0,2.3178776666666683,0.08865815732592025,5599.853480762061,0.048856909636228886
Resolving-Mac,St6gal1,Cd22,Inflammatory-Mac,0.0,-0.555883333333334,0.05194250230864544,0.0,3.2287936666666672,0.07577848763664312,24.292490784720243,0.0439727176710597
Resolving-Mac,Rspo1,Lgr5,Inflammatory-Mac,0.3333333333333333,0.6616699999999999,0.5076607969734686,0.3333333333333333,0.12568999999999994,0.03718730455386046,0.13365571851666666,0.03851405817313629
Resolving-Mac,Cd2,Cd48,Inflammatory-Mac,0.0,0.3900986666666672,0.20996721394263332,0.0,-0.11006533333329573,-0.10102704863774037,42.55956678019734,0.03375625460164669
Resolving-Mac,Mst1,Mst1r,Inflammatory-Mac,0.0,-0.42215833333333336,-0.13236189436030568,0.0,0.6426863333333334,0.2716312842245961,0.2408279174871111,0.030333025929724262
