Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Slamf6,Slamf6,Resolving-Mac,0.0,0.563349333333333,0.1823896062142929,0.0,0.563349333333333,0.1823896062142929,1.515756354289778,0.1298630575684747
Resolving-Mac,Cadm1,Cadm1,Resolving-Mac,0.0,0.7139339999999987,0.229498978135675,0.0,0.7139339999999987,0.229498978135675,5.031770659343989,0.1249116715710789
Resolving-Mac,Scgb3a1,Marco,Resolving-Mac,0.33333333333333337,0.5929093333333333,0.107399175887199,0.0,0.0075046666666667,0.0,0.0091726981966667,0.107399175887199
Resolving-Mac,Ifnk,Ifnar2,Resolving-Mac,0.3333333333333333,0.609756,0.4140613641006528,0.0,9.58070733333333,0.0309841686461003,41.280663756411336,0.105116567425392
Resolving-Mac,Ifnk,Ifnar1,Resolving-Mac,0.3333333333333333,0.609756,0.4140613641006528,0.0,2.591235999999995,0.0129210810298006,25.721488211104003,0.1016389952030766
Resolving-Mac,Tnfsf12,Cd163,Resolving-Mac,0.0,6.245104,0.11208256697554,0.0,-1.1018070000000009,0.1338853504748938,23.816629574876643,0.1012080845001129
Resolving-Mac,Npy,Prlhr,Resolving-Mac,0.0,2.1009276666666645,-0.1660534590911024,0.0,0.0520963333333334,0.1135376169011105,0.4106360006345556,0.0847818308683344
Resolving-Mac,Spp1,Itga9,Resolving-Mac,0.0,2393.709228333333,0.0269657562634043,0.0,1.897046666666667,0.1034018650392623,17583.808975901316,0.0818964278098464
Resolving-Mac,Siglec1,Spn,Resolving-Mac,0.0,9.158265000000007,0.1153758814538684,0.33333333333333337,0.750621,0.1189699035239351,52.85974151049,0.0769023893355529
Resolving-Mac,Spn,Siglec1,Resolving-Mac,0.33333333333333337,0.750621,0.1189699035239351,0.0,9.158265000000007,0.1153758814538684,52.85974151049,0.0769023893355529
Resolving-Mac,F9,Lrp1,Resolving-Mac,0.33333333333333337,0.1912126666666666,0.1382959445049109,0.0,40.554881,0.0381077861844448,58.792736771081486,0.0729176784023282
Resolving-Mac,Gas6,Mertk,Resolving-Mac,0.0,10.511390333333342,0.0952629575988407,0.0,3.4230790000000013,0.1065299869951763,452.27187123209353,0.0728049287809626
Resolving-Mac,Cd2,Cd48,Resolving-Mac,0.33333333333333337,0.7209393333333336,0.1625421286101012,0.0,13.9995573333333,0.0161831762862272,83.5958776658291,0.0708793876973819
Resolving-Mac,Cd48,Cd2,Resolving-Mac,0.0,13.9995573333333,0.0161831762862272,0.33333333333333337,0.7209393333333336,0.1625421286101012,83.5958776658291,0.0708793876973819
Resolving-Mac,C1qa,Cd93,Resolving-Mac,0.0,12.108917333333338,0.1305912032674421,0.0,28.114446,0.0515108246930363,3632.090562053548,0.0675944109454965
Resolving-Mac,C1qb,Lrp1,Resolving-Mac,0.0,17.47809333333339,0.1195246107473432,0.0,40.554881,0.0381077861844448,15473.356977743548,0.0666303669822857
Resolving-Mac,Cd59b,Cd2,Resolving-Mac,0.33333333333333337,0.2906966666666666,0.1126525871774209,0.33333333333333337,0.7209393333333336,0.1625421286101012,0.651942814408889,0.0665283545528594
Resolving-Mac,Apoe,Lrp1,Resolving-Mac,0.0,350.89632166666706,0.114287469306229,0.0,40.554881,0.0381077861844448,156899.56697281875,0.0661711019754181
Resolving-Mac,Mmp13,Lrp1,Resolving-Mac,0.0,0.128128666666667,0.1120428647007074,0.0,40.554881,0.0381077861844448,180.2317688206632,0.0652028314602802
Resolving-Mac,Vegfb,Nrp1,Resolving-Mac,0.0,2.483743333333333,0.1197022442823015,0.0,26.41117466666661,0.0885067983591788,431.6340727735116,0.064182510743779
Resolving-Mac,Wnt3,Fzd7,Resolving-Mac,0.3333333333333333,0.112658,0.2173225823062909,0.0,0.9012866666666656,0.065161517280709,0.7108656993824445,0.0621153052106331
Resolving-Mac,Amelx,Lamp1,Resolving-Mac,0.0,0.2332843333333334,0.1522292444415198,0.0,36.88101166666672,0.040057577637071,105.7210870661804,0.061258455646636
Resolving-Mac,Lpl,Lrp1,Resolving-Mac,0.0,20.0465393333333,0.1108252679580765,0.0,40.554881,0.0381077861844448,12158.838352012266,0.0599177028188679
Resolving-Mac,Spp1,Itgb5,Resolving-Mac,0.0,2393.709228333333,0.0269657562634043,0.0,19.41596966666667,0.0655674669356461,242974.0918058044,0.0582931587948217
Resolving-Mac,Ly86,Cd180,Resolving-Mac,0.0,-3.608498000000012,0.0592491861974796,0.0,14.628937666666587,0.0742137511798007,258.591953855489,0.0577480079787154
Resolving-Mac,Trf,Tfr2,Resolving-Mac,0.0,1.180301333333322,-0.0082862164808098,0.0,0.1730403333333333,0.287510658032607,3.0572202144833334,0.0571613517570278
Resolving-Mac,Apoe,Lrp5,Resolving-Mac,0.0,350.89632166666706,0.114287469306229,0.0,0.789050333333333,0.0584145511509232,3100.5511053705395,0.0533099605424466
Resolving-Mac,Ccl12,Ccr5,Resolving-Mac,0.0,16.18588266666667,0.1203130163078363,0.0,7.585729666666644,0.0347765670024789,965.788187498336,0.0522719112108509
Resolving-Mac,Mdk,Itga6,Resolving-Mac,0.0,2.344058,0.1245607249983268,0.0,21.04482400000001,0.0887983236534505,331.3715980061087,0.0522519115613101
Resolving-Mac,Cd84,Cd84,Resolving-Mac,0.0,22.76274133333328,0.062656229986141,0.0,22.76274133333328,0.062656229986141,7806.383425845088,0.0521321498589333
Resolving-Mac,Mdk,Lrp1,Resolving-Mac,0.0,2.344058,0.1245607249983268,0.0,40.554881,0.0381077861844448,648.2367042832361,0.051492145181456
Resolving-Mac,Grn,Sort1,Resolving-Mac,0.0,45.36359666666687,0.0489321333216755,0.0,0.4571663333333351,0.0719154219637908,622.7890378290908,0.0491666571546709
Resolving-Mac,Amelx,Cd63,Resolving-Mac,0.0,0.2332843333333334,0.1522292444415198,0.0,53.43226600000011,0.0823731804109335,55.62358642554079,0.0478828166285854
Resolving-Mac,Pf4,Thbd,Resolving-Mac,0.0,83.27367666666674,0.0740748899058306,0.0,4.149408666666661,0.0486874506586384,3108.313649326737,0.0457892251844661
Resolving-Mac,Plau,Lrp1,Resolving-Mac,0.0,33.502521999999985,0.1025646059006336,0.0,40.554881,0.0381077861844448,10484.264150820012,0.0448997475432133
Resolving-Mac,Wnt3,Lrp6,Resolving-Mac,0.3333333333333333,0.112658,0.2173225823062909,0.0,1.4138743333333306,0.0325191975176976,1.6452145682605552,0.0431144277175951
Resolving-Mac,Mdk,Sdc3,Resolving-Mac,0.0,2.344058,0.1245607249983268,0.0,-0.7763373333333305,0.0059933018295337,144.82130029681238,0.0413290084338269
Resolving-Mac,Egf,Erbb3,Resolving-Mac,0.0,0.088582,0.090988774920503,0.0,0.3220546666666666,0.1498531967027607,0.0970545747282222,0.0391914191575192
Resolving-Mac,Psap,Lrp1,Resolving-Mac,0.0,184.3579103333327,0.0587714198445738,0.0,40.554881,0.0381077861844448,137002.16674834752,0.0382787655165071
Resolving-Mac,Cadm1,Crtam,Resolving-Mac,0.0,0.7139339999999987,0.229498978135675,0.0,0.1133696666666667,0.0181075924552027,0.6194978635787776,0.0382080172131601
Resolving-Mac,Crtam,Cadm1,Resolving-Mac,0.0,0.1133696666666667,0.0181075924552027,0.0,0.7139339999999987,0.229498978135675,0.6194978635787776,0.0382080172131601
Resolving-Mac,F13a1,Itga9,Resolving-Mac,0.0,5.576222666666695,0.0472579663264317,0.0,1.897046666666667,0.1034018650392623,259.8346389743174,0.0378623106555894
Resolving-Mac,Bsg,Slc16a7,Resolving-Mac,0.0,12.72724833333332,0.0368959233271485,0.0,4.102877666666663,0.1240213603426116,386.479207638596,0.0375877880039104
Resolving-Mac,Amelx,Lamp2,Resolving-Mac,0.0,0.2332843333333334,0.1522292444415198,0.0,17.931249333333312,0.0141568585111299,52.54953439786944,0.0371335702662677
Resolving-Mac,C1qa,Cspg4,Resolving-Mac,0.0,12.108917333333338,0.1305912032674421,0.0,0.554709333333333,0.0498778483177616,58.974071871559104,0.0370405460058775
Resolving-Mac,Tnfsf13,Tnfrsf13b,Resolving-Mac,0.0,0.2726066666666669,0.0114640577299645,0.0,2.42833466666667,0.0722478364098285,12.167821560617774,0.0356829525530538
Resolving-Mac,Mdk,Sdc4,Resolving-Mac,0.0,2.344058,0.1245607249983268,0.0,6.858825666666672,0.0536600043843913,81.00522023308947,0.0351939332117779
Resolving-Mac,App,Cd74,Resolving-Mac,0.0,41.462883000000005,0.043186303172898,0.0,-111.53608166666658,0.0714432848392538,272.657670579807,0.0346734721743874
Resolving-Mac,Adam9,Itga6,Resolving-Mac,0.0,8.019641000000007,0.0471458325971936,0.0,21.04482400000001,0.0887983236534505,1679.555981704631,0.0346678038359319
Resolving-Mac,Areg,Erbb3,Resolving-Mac,0.0,-0.1542946666666669,-0.0063460810865587,0.0,0.3220546666666666,0.1498531967027607,0.3117797121746666,0.0342855585140914
Resolving-Mac,Spp1,Itgb1,Resolving-Mac,0.0,2393.709228333333,0.0269657562634043,0.0,20.76660033333337,0.0411018095643512,361401.84327438165,0.0341971508633908
Resolving-Mac,Adam15,Itga9,Resolving-Mac,0.0,12.902986333333333,0.0425244452213842,0.0,1.897046666666667,0.1034018650392623,102.6174256491092,0.0338852213636632
Resolving-Mac,Nrg2,Erbb3,Resolving-Mac,0.0,0.0496223333333332,0.1566825678315413,0.0,0.3220546666666666,0.1498531967027607,0.039133675051,0.0336916884287513
Resolving-Mac,App,Tnfrsf21,Resolving-Mac,0.0,41.462883000000005,0.043186303172898,0.0,4.839209999999991,0.0786920375490303,1894.9788620447243,0.0331761196100615
Resolving-Mac,Hgf,St14,Resolving-Mac,0.0,0.9597909999999992,-0.0328992001112886,0.0,0.0801846666666666,0.0846321366068659,2.507694311849555,0.0326401364398062
Resolving-Mac,Lrpap1,Sort1,Resolving-Mac,0.0,2.7872826666666697,0.040901858487397,0.0,0.4571663333333351,0.0719154219637908,33.2001327459908,0.0323990046608921
Resolving-Mac,Adam9,Itgb5,Resolving-Mac,0.0,8.019641000000007,0.0471458325971936,0.0,19.41596966666667,0.0655674669356461,1120.37803406849,0.0322655092738762
Resolving-Mac,Col9a3,Mag,Resolving-Mac,0.0,0.1598463333333334,0.0168751322404175,-0.33333333333333337,-0.0508336666666667,0.1747840734710022,0.0022873329586667,0.0321507966126689
Resolving-Mac,Spp1,Itgav,Resolving-Mac,0.0,2393.709228333333,0.0269657562634043,0.0,14.74470500000001,0.03252017844308,289162.5360821418,0.0317880635554315
Resolving-Mac,Plau,Igf2r,Resolving-Mac,0.0,33.502521999999985,0.1025646059006336,0.0,7.332880999999986,0.0422010421305586,1771.5633523566278,0.0311545264500848
Resolving-Mac,Col2a1,Mag,Resolving-Mac,0.6666666666666667,0.019829,0.0672054913287802,-0.33333333333333337,-0.0508336666666667,0.1747840734710022,0.0025431453681111,0.0296715818619812
Resolving-Mac,Plau,St14,Resolving-Mac,0.0,33.502521999999985,0.1025646059006336,0.0,0.0801846666666666,0.0846321366068659,13.586747002298887,0.028462153554979
Resolving-Mac,Tnfsf12,Tnfrsf12a,Resolving-Mac,0.0,6.245104,0.11208256697554,0.0,3.846433333333337,0.0421574640438849,124.967578536664,0.0283690415576565
Resolving-Mac,App,Lrp1,Resolving-Mac,0.0,41.462883000000005,0.043186303172898,0.0,40.554881,0.0381077861844448,16712.910457197773,0.0271322944604305
Resolving-Mac,Il4,Il2rg,Resolving-Mac,0.0,0.609213666666667,0.096855222874119,0.0,1.91780099999999,0.0173057337866111,26.836158913718343,0.026716167864221
Resolving-Mac,Lrpap1,Lrp1,Resolving-Mac,0.0,2.7872826666666697,0.040901858487397,0.0,40.554881,0.0381077861844448,1423.4228695814177,0.0261180744833289
Resolving-Mac,Bmp8a,Tgfbr2,Resolving-Mac,0.0,0.285448,0.1345492535816966,0.0,2.228500999999998,0.0009194565128614,8.182077790325998,0.0255393744695748
Resolving-Mac,Ccl2,Ccr5,Resolving-Mac,0.0,107.63023633333331,0.0560188061598369,0.0,7.585729666666644,0.0347765670024789,6668.380647119056,0.0253492726348702
Resolving-Mac,Arf1,Pld2,Resolving-Mac,0.0,18.112160000000003,0.0281581892318329,0.0,1.5206816666666594,0.0879686775959531,316.26563162606703,0.0247392900861509
Resolving-Mac,Mdk,Itgb1,Resolving-Mac,0.0,2.344058,0.1245607249983268,0.0,20.76660033333337,0.0411018095643512,292.23893152386404,0.0243974452786383
Resolving-Mac,Icosl,Cd28,Resolving-Mac,0.0,1.131958666666666,0.0233178098145745,0.0,-0.3503863333333341,0.1625948681458298,1.845008369295889,0.0243323508170733
Resolving-Mac,Bmp8a,Tgfbr1,Resolving-Mac,0.0,0.285448,0.1345492535816966,0.0,6.758171666666655,0.0095688958870842,13.179951479068222,0.0234962958953695
Resolving-Mac,Ang,Plxnb2,Resolving-Mac,0.0,5.20496133333333,0.0461601212157882,0.0,2.228586,0.0231844917259141,360.396908615626,0.023251336210023
Resolving-Mac,Il4,Il4ra,Resolving-Mac,0.0,0.609213666666667,0.096855222874119,0.0,14.586232000000006,0.0202987870099914,43.2262473043429,0.0221843092764231
Resolving-Mac,Timp2,Itgb1,Resolving-Mac,0.0,8.144903666666671,0.0631587843568542,0.0,20.76660033333337,0.0411018095643512,2109.173779800619,0.0221763935300121
Resolving-Mac,Apoe,Lrp8,Resolving-Mac,0.0,350.89632166666706,0.114287469306229,0.0,0.6364166666666662,0.0150558688397796,1937.4964017348348,0.0214757580947725
Resolving-Mac,Ccl5,Ccr5,Resolving-Mac,0.33333333333333337,0.5208400000000003,0.0562444215001833,0.0,7.585729666666644,0.0347765670024789,29.3834732272811,0.0214725006413479
Resolving-Mac,Adam9,Itgav,Resolving-Mac,0.0,8.019641000000007,0.0471458325971936,0.0,14.74470500000001,0.03252017844308,1201.420610987158,0.0210309909497049
Resolving-Mac,Ccl12,Ccr2,Resolving-Mac,0.0,16.18588266666667,0.1203130163078363,0.0,0.9886186666666604,0.0103509959670468,869.9483144186588,0.0204831936233286
Resolving-Mac,Adam15,Itgav,Resolving-Mac,0.0,12.902986333333333,0.0425244452213842,0.0,14.74470500000001,0.03252017844308,1619.5844276393,0.0201684012059762
Resolving-Mac,Calr,Lrp1,Resolving-Mac,0.0,71.10058066666659,0.031878188545915,0.0,40.554881,0.0381077861844448,25406.563287220764,0.0198579821616163
Resolving-Mac,Bmp8a,Bmpr2,Resolving-Mac,0.0,0.285448,0.1345492535816966,0.0,2.26141766666667,0.0239362185287464,5.751554739229555,0.0197777309387698
Resolving-Mac,Ccl5,Gpr75,Resolving-Mac,0.33333333333333337,0.5208400000000003,0.0562444215001833,0.0,0.0496526666666666,0.1145904245840633,0.0819242054377778,0.0188943307173138
Resolving-Mac,Il4,Cd53,Resolving-Mac,0.0,0.609213666666667,0.096855222874119,0.0,17.39092500000001,0.0002593615593175,166.50274915379566,0.0187823581552083
Resolving-Mac,Lgals1,Itgb1,Resolving-Mac,0.0,83.691653,0.060434625396837,0.0,20.76660033333337,0.0411018095643512,13179.00966661632,0.0184875356434577
Resolving-Mac,Ccl5,Sdc4,Resolving-Mac,0.33333333333333337,0.5208400000000003,0.0562444215001833,0.0,6.858825666666672,0.0536600043843913,20.48736674696112,0.0183768794643542
Resolving-Mac,Alcam,Nrp1,Resolving-Mac,0.0,5.955706333333325,0.0126181572212631,0.0,26.41117466666661,0.0885067983591788,1582.9615186307306,0.0182252793171487
Resolving-Mac,F13a1,Itgb1,Resolving-Mac,0.0,5.576222666666695,0.0472579663264317,0.0,20.76660033333337,0.0411018095643512,3237.8528328127704,0.0179306585914123
Resolving-Mac,Mfge8,Itgav,Resolving-Mac,0.0,0.9336099999999988,0.0543938136742772,0.0,14.74470500000001,0.03252017844308,173.21735023105498,0.0178734797265021
Resolving-Mac,Jag1,Notch2,Resolving-Mac,0.0,6.735433666666669,0.1379691998909606,0.0,1.480684,-0.0084155001467647,231.62516023486864,0.0177955101740704
Resolving-Mac,Sema3b,Nrp1,Resolving-Mac,0.0,0.1738596666666663,0.0344373708358755,0.0,26.41117466666661,0.0885067983591788,43.193176567265326,0.0176979520531655
Resolving-Mac,Rtn4,S1pr2,Resolving-Mac,0.0,15.620806666666669,0.0223954805137617,0.0,1.6554320000000002,0.0542455209297985,274.2508509519146,0.0175753543166797
Resolving-Mac,Sema3b,Nrp2,Resolving-Mac,0.0,0.1738596666666663,0.0344373708358755,0.0,12.938290333333338,0.1032161623505094,17.734870958461215,0.0172046038558429
Resolving-Mac,Fn1,Itga9,Resolving-Mac,0.0,35.678441333333296,-0.0117877095715099,0.0,1.897046666666667,0.1034018650392623,495.5019806532696,0.0171454184615743
Resolving-Mac,Spon1,App,Resolving-Mac,0.0,-0.045651666666667,0.0396218784097812,0.0,41.462883000000005,0.043186303172898,82.64652923032719,0.0168936746460149
Resolving-Mac,Mdk,Itga4,Resolving-Mac,0.0,2.344058,0.1245607249983268,0.0,0.9741150000000012,-0.0127094715650183,56.61142746067897,0.0168462119150499
Resolving-Mac,Apoe,Scarb1,Resolving-Mac,0.0,350.89632166666706,0.114287469306229,0.0,0.0545176666666709,0.0082796313923474,4379.701547906672,0.0168187721921374
Resolving-Mac,Mdk,Notch2,Resolving-Mac,0.0,2.344058,0.1245607249983268,0.0,1.480684,-0.0084155001467647,77.08535201640738,0.0164361446690194
Resolving-Mac,Calr,Itgav,Resolving-Mac,0.0,71.10058066666659,0.031878188545915,0.0,14.74470500000001,0.03252017844308,9349.33799577902,0.0162334351372301
Resolving-Mac,Amh,Acvr1,Resolving-Mac,-0.33333333333333337,0.0241306666666667,0.0786987282855198,0.0,1.9594826666666656,0.0516789071551901,0.7098730983164441,0.0161853585461754
Resolving-Mac,Adam9,Itgb1,Resolving-Mac,0.0,8.019641000000007,0.0471458325971936,0.0,20.76660033333337,0.0411018095643512,1538.4564270138749,0.0161267320435887
Resolving-Mac,Fn1,Itga8,Resolving-Mac,0.0,35.678441333333296,-0.0117877095715099,0.0,0.1039099999999999,0.0912835280096585,49.05927726176529,0.0160960991788427
Resolving-Mac,Adam15,Itgb1,Resolving-Mac,0.0,12.902986333333333,0.0425244452213842,0.0,20.76660033333337,0.0411018095643512,2033.8495566307315,0.0160612565490575
Resolving-Mac,Bmp8a,Acvr2b,Resolving-Mac,0.0,0.285448,0.1345492535816966,0.0,-0.0531076666666667,0.0261445582652573,0.0768567201077778,0.0159420450823134
Resolving-Mac,L1cam,Erbb3,Resolving-Mac,0.0,1.6910916666666669,0.0321210491211124,0.0,0.3220546666666666,0.1498531967027607,2.9384425799265563,0.0159317347933331
Resolving-Mac,Liph,Lpar2,Resolving-Mac,0.0,0.0206996666666667,0.0893189286349619,0.0,0.6407709999999999,0.0496774658373372,0.037424609205,0.0158553516372565
Resolving-Mac,Cd28,Cd80,Resolving-Mac,0.0,-0.3503863333333341,0.1625948681458298,0.0,3.827135666666666,0.0042399504960844,6.811640181648439,0.0156069054275505
Resolving-Mac,Cd80,Cd28,Resolving-Mac,0.0,3.827135666666666,0.0042399504960844,0.0,-0.3503863333333341,0.1625948681458298,6.811640181648439,0.0156069054275505
Resolving-Mac,Lgals3,Lag3,Resolving-Mac,0.0,160.65893533333332,0.0700830425790526,0.0,-0.0596976666666659,0.0203540490574648,285.05114020642804,0.0155231919196707
Resolving-Mac,Jag1,Notch1,Resolving-Mac,0.0,6.735433666666669,0.1379691998909606,0.0,3.25476033333333,0.0234012164413497,122.7416918578745,0.0154374960846881
Resolving-Mac,App,Ncstn,Resolving-Mac,0.0,41.462883000000005,0.043186303172898,0.0,2.4355506666666717,0.0176880524948065,2095.192181129585,0.0152327826209303
Resolving-Mac,Thbs1,Cd36,Resolving-Mac,0.0,-27.31898033333329,-0.0298997012072504,0.0,83.40264400000001,0.1134940738911279,32057.49502883412,0.015169462711432
Resolving-Mac,Apoe,Ldlr,Resolving-Mac,0.0,350.89632166666706,0.114287469306229,0.0,1.2419893333333336,0.0045232739050749,4725.69708149635,0.014527076732739
