Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Ccl17,Ackr2,FAPs,0.16666666666666669,0.4658675,0.4637476613823827,0.0,0.0166273333333334,0.0,0.1311588355863334,0.4637476613823827
sCs,Mdk,Alk,FAPs,0.0,-0.8609451666666708,0.032531817938836,0.3333333333333333,0.0141803333333332,0.7226471658231752,0.2304130834414999,0.4486963678224001
sCs,Ptn,Alk,FAPs,0.0,-1.476235833333333,0.0262996321688649,0.3333333333333333,0.0141803333333332,0.7226471658231752,0.0361913944085,0.3595079052203334
sCs,Ngf,Ntrk1,FAPs,0.0,7.891790333333333,0.2724481401438043,0.3333333333333333,0.0977266666666667,0.3079748349685884,1.514679761065111,0.3106070147783939
sCs,Efna5,Epha3,FAPs,0.33333333333333337,0.5257295,0.3011207563879862,0.0,-3.611376666666669,-0.0151693804766894,4.8885391423435,0.2616577444874218
sCs,Bmp7,Bmpr1b,FAPs,0.6666666666666667,0.1714415,0.5270016376180847,0.0,-0.6240519999999993,-0.1354006596640482,0.1187855215708334,0.2557938740401236
sCs,Efna5,Ephb2,FAPs,0.33333333333333337,0.5257295,0.3011207563879862,0.0,-2.710849333333333,-0.0868106668033029,0.8529778962103329,0.2370266084582103
sCs,Lgi4,Adam23,FAPs,0.0,2.033942666666668,0.2438442669235053,0.0,6.531717333333331,0.053343571236754,55.8609917918231,0.2257108251974314
sCs,Bmp7,Bmpr1a,FAPs,0.6666666666666667,0.1714415,0.5270016376180847,0.0,-4.993698666666671,-0.0587597467404357,4.039288769681833,0.2061220518013162
sCs,Bmp7,Acvr2a,FAPs,0.6666666666666667,0.1714415,0.5270016376180847,0.0,-0.8836656666666585,-0.0416086157026455,4.4935187133545,0.177209056285309
sCs,Crlf1,Cntfr,FAPs,0.0,3.4069715,0.2187496119910523,0.0,0.7350896666666666,-0.0374603843553289,13.385821679065335,0.171155959832143
sCs,Inhba,Tgfbr3,FAPs,0.0,4.3472048333333335,0.3917537565247019,0.0,4.139049,-0.1601787962586602,264.72944046361863,0.1610423468526106
sCs,Btc,Egfr,FAPs,0.0,4.107540833333333,0.213878650886186,0.0,4.186051333333317,0.0148379146224771,212.83341147215936,0.1557486037739879
