Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Kiss1,Mmp24,ECs,0.3333333333333333,0.036762,1.0,0.6666666666666666,0.4365073333333334,0.5985510691007486,0.016046882588,0.5985510691007486
ECs,Wnt9b,Fzd4,ECs,0.3333333333333333,0.0390283333333333,1.0,1.0,29.75868033333333,0.4948552779010537,1.161431695609444,0.4948552779010537
ECs,Fgf15,Fgfr3,ECs,0.3333333333333333,0.117734,0.6076081328197709,1.0,4.618552666666667,0.78434648953826,0.5437606796573334,0.4765753059920841
ECs,Ccl17,Ccr4,ECs,0.3333333333333333,0.244729,0.4052712693903822,0.3333333333333333,0.0881966666666666,1.0,0.0215842820366666,0.4052712693903822
ECs,Bmp15,Bmpr2,ECs,0.6666666666666666,0.333947,0.9184595666969811,1.0,45.924193,0.307792367338991,15.336246479771,0.2826948443388078
ECs,Prok1,Prokr1,ECs,0.3333333333333333,0.1903723333333333,0.7691179579859432,1.0,2.419247,0.3378166463347285,0.4605576962996666,0.2598208492026259
ECs,Thpo,Mpl,ECs,0.3333333333333333,0.057981,0.2608001391389875,1.0,0.7852063333333333,0.984218618779221,0.045527048413,0.256684352720803
ECs,Nxph1,Nrxn2,ECs,0.3333333333333333,0.0097536666666666,1.0,1.0,0.173461,0.2181774959583017,0.0016918807736666,0.2181774959583017
ECs,Wnt9b,Fzd8,ECs,0.3333333333333333,0.0390283333333333,1.0,1.0,2.544438666666667,0.201325300207035,0.0993052004288888,0.201325300207035
ECs,Il17b,Il17rb,ECs,0.3333333333333333,0.3785289999999999,0.9467532727390964,1.0,1.477508,0.1985114743041556,0.559279625732,0.1879413879737223
ECs,Fgf15,Klb,ECs,0.3333333333333333,0.117734,0.6076081328197709,1.0,0.8029856666666667,0.2957787844613299,0.0945387144793333,0.1797175949542501
ECs,Gpha2,Tshr,ECs,0.3333333333333333,0.1029686666666667,1.0,1.0,0.6187893333333333,0.1765034355725207,0.0637159126008888,0.1765034355725207
ECs,Wnt9b,Fzd5,ECs,0.3333333333333333,0.0390283333333333,1.0,1.0,3.867218333333334,0.1566152977872902,0.1509310861861111,0.1566152977872902
ECs,Bmp15,Acvr2a,ECs,0.6666666666666666,0.333947,0.9184595666969811,1.0,10.50827633333333,0.1682660991018133,3.509207356687666,0.1545456084708428
ECs,Ccl25,Ccr10,ECs,1.0,6.91741,0.2334435312127427,0.6666666666666666,0.478362,0.6533545125880439,3.30902608242,0.1525213845523333
ECs,Efna1,Epha7,ECs,1.0,30.194115,0.9018420607989291,0.3333333333333333,0.2282403333333334,0.1514399067192403,6.891514872305001,0.1365748775628773
ECs,Kiss1,Kiss1r,ECs,0.3333333333333333,0.036762,1.0,0.3333333333333333,0.1073116666666667,0.1252869143697302,0.00394499149,0.1252869143697302
ECs,Fgf15,Fgfr2,ECs,0.3333333333333333,0.117734,0.6076081328197709,1.0,0.8155003333333334,0.1910612426590028,0.0960121162446666,0.1160903649062619
ECs,Efna4,Epha7,ECs,1.0,1.974568,0.5990695552080697,0.3333333333333333,0.2282403333333334,0.1514399067192403,0.4506760585093333,0.0907230375590468
ECs,Ccl21b,Ccr10,ECs,0.6666666666666666,0.0790813333333333,0.1380838080781507,0.6666666666666666,0.478362,0.6533545125880439,0.037829504776,0.0902176791232011
ECs,Bmp15,Bmpr1a,ECs,0.6666666666666666,0.333947,0.9184595666969811,1.0,4.889237666666667,0.0952992175903291,1.632746251070333,0.087528478094575
ECs,Lama1,Itga2,ECs,0.6666666666666666,0.0662866666666666,0.0984536352987423,1.0,6.066605666666667,0.849784628791665,0.4021350676244445,0.0836643859255317
ECs,Efna3,Epha7,ECs,0.6666666666666666,0.2420556666666667,0.5314769098578004,0.3333333333333333,0.2282403333333334,0.1514399067192403,0.0552468660452222,0.0804868136522953
ECs,Fgf15,Fgfr1,ECs,0.3333333333333333,0.117734,0.6076081328197709,1.0,13.67700833333333,0.124413831206147,1.610248899116667,0.0755948556761211
ECs,Gnai2,Adora1,ECs,1.0,197.5433703333333,0.3388703761585983,0.6666666666666666,0.0506993333333333,0.2195324373905752,10.01531718031978,0.0743930396375581
ECs,Lama1,Itga1,ECs,0.6666666666666666,0.0662866666666666,0.0984536352987423,1.0,43.19793166666667,0.7412538312889448,2.863446897077778,0.0729791343695172
ECs,Ccl21b,Ackr4,ECs,0.6666666666666666,0.0790813333333333,0.1380838080781507,0.3333333333333333,0.377371,0.4698794580655765,0.0298430018413333,0.0648827449073925
ECs,Vip,Sctr,ECs,1.0,1.030436666666667,1.0,0.3333333333333333,0.016584,0.0577157321540849,0.01708876168,0.0577157321540849
ECs,Bmp10,Eng,ECs,0.3333333333333333,0.0764736666666666,0.0684286474439735,1.0,266.9240163333333,0.7873936103073201,20.41265825040323,0.0538802797593571
ECs,Fgf13,Scn8a,ECs,0.6666666666666666,0.302256,0.2472511157095891,0.6666666666666666,0.2569,0.1883407151228772,0.0776495664,0.0465674519476732
