Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Wnt9b,Fzd10,Inflammatory-Mac,0.3333333333333333,0.0390283333333333,1.0,0.6666666666666666,0.0309526666666666,0.706069315814286,0.0012080309922222,0.706069315814286
ECs,Wnt1,Fzd10,Inflammatory-Mac,0.3333333333333333,0.0937009999999999,0.6634967391997054,0.6666666666666666,0.0309526666666666,0.706069315814286,0.0029002958193333,0.4684746886917457
ECs,Csf3,Csf3r,Inflammatory-Mac,0.6666666666666666,0.5070163333333334,0.697371256392364,1.0,68.78716633333333,0.6390998629361258,34.87621685471678,0.4456898743759536
ECs,Wnt9b,Fzd5,Inflammatory-Mac,0.3333333333333333,0.0390283333333333,1.0,1.0,5.654344666666667,0.2289906587711778,0.2206796484322222,0.2289906587711778
ECs,Il17b,Il17rb,Inflammatory-Mac,0.3333333333333333,0.3785289999999999,0.9467532727390964,1.0,1.784077666666667,0.2397008259062677,0.6753251350856666,0.2269375414050233
ECs,Adm,Ramp3,Inflammatory-Mac,1.0,11.43620533333333,0.3907515546611098,0.3333333333333333,0.027718,0.5260148150022457,0.3169887394293334,0.2055411067369036
ECs,Kiss1,Kiss1r,Inflammatory-Mac,0.3333333333333333,0.036762,1.0,0.6666666666666666,0.1504153333333333,0.1756106635242619,0.005529568484,0.1756106635242619
ECs,Bmp15,Bmpr2,Inflammatory-Mac,0.6666666666666666,0.333947,0.9184595666969811,1.0,23.60320766666667,0.1581930283351338,7.882220390660333,0.1452939002591703
ECs,Myoc,Fzd10,Inflammatory-Mac,1.0,1.11167,0.1644205457720283,0.6666666666666666,0.0309526666666666,0.706069315814286,0.0344091509533333,0.1160923022590675
ECs,Bmp15,Acvr2a,Inflammatory-Mac,0.6666666666666666,0.333947,0.9184595666969811,1.0,6.495209666666667,0.1040059814559238,2.169055782554334,0.095525288661902
ECs,Ccl21b,Cxcr3,Inflammatory-Mac,0.6666666666666666,0.0790813333333333,0.1380838080781507,1.0,2.701496333333333,0.68328279700753,0.2136379320351111,0.0943502906050898
ECs,Wnt9a,Fzd10,Inflammatory-Mac,1.0,0.6558959999999999,0.1303533075142512,0.6666666666666666,0.0309526666666666,0.706069315814286,0.020301730256,0.0920384706507165
ECs,Ccl21b,Ccr7,Inflammatory-Mac,0.6666666666666666,0.0790813333333333,0.1380838080781507,1.0,2.116427666666667,0.6347244265142036,0.1673699217835556,0.0876451658933015
ECs,Ifnk,Ifnar2,Inflammatory-Mac,0.3333333333333333,0.2027413333333333,0.1911300550679205,1.0,105.665011,0.4460226472237104,21.42266521682133,0.0852483331254074
ECs,Epcam,Epcam,Inflammatory-Mac,0.3333333333333333,0.0155353333333333,0.1067732734624681,0.3333333333333333,0.1140266666666667,0.783697407759539,0.0017714422755555,0.0836779376305366
