Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Pdgfb,Art1,MuSCs,1.0,49.195614,0.8724243622956617,1.0,0.1748566666666667,1.0,8.602181078660001,0.8724243622956617
ECs,Efna3,Epha5,MuSCs,0.6666666666666666,0.314914,0.6052201520958829,0.6666666666666666,0.014243666666666668,1.0,0.004485530044666666,0.6052201520958829
ECs,Dsc2,Dsg3,MuSCs,0.6666666666666666,0.2320406666666667,0.5163359036816605,0.3333333333333333,0.01939133333333333,1.0,0.004499577914222222,0.5163359036816605
ECs,Ceacam1,Cd209e,MuSCs,1.0,33.97243866666667,0.5080457863598148,0.3333333333333333,0.022260666666666668,1.0,0.7562491330124446,0.5080457863598148
ECs,Fgf17,Fgfr4,MuSCs,0.3333333333333333,0.09983000000000004,0.3237663226376972,1.0,18.405645666666672,0.9503421275147966,1.837435606903334,0.3076887758731512
ECs,Sost,Lrp4,MuSCs,0.3333333333333333,0.210465,0.741096559284673,1.0,2.625210666666667,0.3329321277098712,0.55251496296,0.2467348543211109
ECs,Rln1,Rxfp1,MuSCs,1.0,1.84644,0.5174220289861029,1.0,0.04454466666666667,0.4646426013365507,0.08224905432000001,0.240416317536939
ECs,Efna3,Epha2,MuSCs,0.6666666666666666,0.314914,0.6052201520958829,1.0,9.052748666666666,0.2879106076086415,2.8508372936146658,0.1742493017269201
ECs,Ccl5,Ccr4,MuSCs,0.6666666666666666,2.202688333333333,0.194626115952434,0.3333333333333333,0.4401103333333333,0.8330579252846041,0.9694258966127776,0.1621348283615354
ECs,L1cam,Cntn1,MuSCs,1.0,7.331211666666667,0.3202318188366965,0.6666666666666666,0.107282,0.4722016003849844,0.7865070500233334,0.1512139773488825
ECs,Il1rapl1,Ptprf,MuSCs,0.3333333333333333,0.014135333333333331,0.8939812374828714,1.0,1.108915333333333,0.1623598410850663,0.01567488787511111,0.1451466516507499
ECs,Bmp7,Bmpr1a,MuSCs,0.3333333333333333,0.034439333333333336,0.5852782561406689,1.0,12.054774,0.2257155560685144,0.415158380044,0.1321064070396015
ECs,Bmp7,Acvr2b,MuSCs,0.3333333333333333,0.034439333333333336,0.5852782561406689,1.0,0.5855753333333333,0.2100997310136555,0.02016682409644445,0.1229668041832959
ECs,Timp3,Agtr2,MuSCs,1.0,91.20678233333336,0.6532435006323183,0.6666666666666666,0.446644,0.1823737695100498,40.73696208848934,0.1191344796182565
