Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Ccl12,Ccr4,MuSCs,1.0,55.96940366666666,0.6449093533393406,0.3333333333333333,0.4401103333333333,0.8330579252846041,24.63271290420455,0.5372468478895067
Inflammatory-Mac,Ceacam1,Cd209e,MuSCs,1.0,10.21179933333333,0.1527138417514438,0.3333333333333333,0.022260666666666668,1.0,0.2273214610262222,0.1527138417514438
Inflammatory-Mac,L1cam,Cntn1,MuSCs,1.0,7.4025690000000015,0.3233487508909935,0.6666666666666666,0.107282,0.4722016003849844,0.794162407458,0.1526857976532128
Inflammatory-Mac,Ccl5,Ccr4,MuSCs,0.6666666666666666,1.031759666666667,0.09116467976013157,0.3333333333333333,0.4401103333333333,0.8330579252846041,0.4540880908165555,0.07594545898021055
Inflammatory-Mac,Wnt6,Fzd7,MuSCs,0.3333333333333333,0.071697,0.6442936736161036,1.0,2.516264666666667,0.1060178818804695,0.180408627806,0.06830665058576585
Inflammatory-Mac,Gpha2,Tshr,MuSCs,0.3333333333333333,0.01886266666666667,1.0,0.6666666666666666,0.1682013333333333,0.05255258679882404,0.003172725683555556,0.05255258679882404
Inflammatory-Mac,Npy,Prlhr,MuSCs,1.0,7.9263226666666675,0.7593601911550306,0.3333333333333333,0.01762666666666667,0.0639996127103618,0.1397146475377778,0.04859875814158826
Inflammatory-Mac,Qrfp,Qrfpr,MuSCs,0.3333333333333333,0.2917816666666667,0.09987856130691447,0.3333333333333333,0.02789666666666667,0.4827526534379326,0.008139735894444444,0.04821664049247619
Inflammatory-Mac,Gnai2,Agtr2,MuSCs,1.0,162.51165766666668,0.2574222219914007,0.6666666666666666,0.446644,0.1823737695100498,72.58485682687069,0.04694706098022458
Inflammatory-Mac,Siglec1,Spn,MuSCs,1.0,68.343451,0.4976914492129604,0.6666666666666666,0.3226226666666667,0.08891671079423373,22.049146410822672,0.04425308665443187
Inflammatory-Mac,C3,Cd19,MuSCs,1.0,7.1229733333333325,0.03888804453304685,0.3333333333333333,0.04150766666666667,1.0,0.2956580027955555,0.03888804453304685
Inflammatory-Mac,Tnfrsf14,Btla,MuSCs,1.0,6.371866333333332,0.2151042422246107,0.6666666666666666,0.211968,0.1731492627656275,1.350631762944,0.03724514095895031
Inflammatory-Mac,Pdgfb,Art1,MuSCs,1.0,1.896931,0.03363976345521112,1.0,0.1748566666666667,1.0,0.3316910315566667,0.03363976345521112
Inflammatory-Mac,Efna4,Epha5,MuSCs,0.3333333333333333,0.06907100000000001,0.02831683511985592,0.6666666666666666,0.014243666666666668,1.0,0.0009838243003333334,0.02831683511985592
Inflammatory-Mac,Oxt,Avpr2,MuSCs,1.0,0.914639,0.3460632288247102,0.3333333333333333,0.006597333333333333,0.06987146221003095,0.006034178362666667,0.024179943815107036
Inflammatory-Mac,Hcrt,Hcrtr1,MuSCs,0.3333333333333333,0.228985,0.2597243263455225,0.6666666666666666,0.034839666666666665,0.07479747523902215,0.007977761071666666,0.01942672386880093
Inflammatory-Mac,Gm13306,Ccr10,MuSCs,0.3333333333333333,0.04713000000000001,0.1741174674091607,0.3333333333333333,0.09685166666666667,0.09857020534003508,0.0045646190500000005,0.017162794515807833
Inflammatory-Mac,Col2a1,Ddr1,MuSCs,0.6666666666666666,0.018799,0.02538254749016711,1.0,8.062729666666668,0.6719064571739369,0.1515712550036667,0.01705469755816739
Inflammatory-Mac,Il34,Ptprz1,MuSCs,0.6666666666666666,0.2083843333333334,0.02008263217394101,1.0,0.602672,0.7980215596328251,0.1255874029386667,0.01602637344898076
Inflammatory-Mac,Mdk,Alk,MuSCs,1.0,3.949784666666666,0.07843565958645962,0.3333333333333333,0.010806,0.1940639816100762,0.042681373108,0.01522153639956089
Inflammatory-Mac,B2m,Gm11127,MuSCs,1.0,2676.771728333333,0.2958988486552321,1.0,0.019034,0.050219383299429834,50.949673077096655,0.01485985769847708
Inflammatory-Mac,Icam1,Spn,MuSCs,1.0,19.02080233333333,0.1600419399895302,0.6666666666666666,0.3226226666666667,0.08891671079423373,6.1365419709195566,0.014230402892997169
Inflammatory-Mac,Nppa,Npr2,MuSCs,0.3333333333333333,0.08406599999999999,0.1705125830089151,1.0,2.388197,0.08064028824971738,0.200766169002,0.01375018384404277
Inflammatory-Mac,Ereg,Egfr,MuSCs,0.3333333333333333,0.02001,0.0794525805875229,1.0,13.38529933333333,0.1721801434738983,0.26783983966,0.013680156724931159
Inflammatory-Mac,Nodal,Acvr2b,MuSCs,0.6666666666666666,0.1211913333333333,0.0561499217458747,1.0,0.5855753333333333,0.2100997310136555,0.07096665541377778,0.01179708345524608
Inflammatory-Mac,Gnas,Avpr2,MuSCs,1.0,93.60096233333331,0.1223210017416567,0.3333333333333333,0.006597333333333333,0.06987146221003095,0.6175167488337777,0.0085467472506853
Inflammatory-Mac,Il15,Il2rb,MuSCs,1.0,5.265451333333334,0.1837578114223185,0.3333333333333333,0.035522333333333336,0.0463638163232898,0.1870411174131111,0.0085197134167541
Inflammatory-Mac,Efna4,Epha2,MuSCs,0.3333333333333333,0.06907100000000001,0.02831683511985592,1.0,9.052748666666666,0.2879106076086415,0.6252824031553333,0.008152717204911437
Inflammatory-Mac,Rln1,Rxfp1,MuSCs,1.0,0.058031333333333324,0.016261936612130483,1.0,0.04454466666666667,0.4646426013365507,0.002584986399555556,0.007555988530230398
Inflammatory-Mac,Fgf1,Fgfr4,MuSCs,0.3333333333333333,0.020022333333333333,0.007841054270455084,1.0,18.405645666666672,0.9503421275147966,0.3685239727532222,0.007451684197343266
Inflammatory-Mac,Nodal,Acvr2a,MuSCs,0.6666666666666666,0.1211913333333333,0.0561499217458747,1.0,7.373288333333332,0.1167246863664523,0.8935786441677775,0.006554082005288064
Inflammatory-Mac,Prok2,Prokr1,MuSCs,0.6666666666666666,0.2279103333333333,1.0,0.3333333333333333,0.06764933333333333,0.00582751165068744,0.01541798210977778,0.00582751165068744
Inflammatory-Mac,Gast,Cckbr,MuSCs,0.3333333333333333,0.3503993333333333,0.142430126522147,0.3333333333333333,0.008770333333333333,0.0327077534692396,0.003073118953111111,0.0046585694648789856
Inflammatory-Mac,Efna4,Epha7,MuSCs,0.3333333333333333,0.06907100000000001,0.02831683511985592,1.0,0.2314666666666667,0.1623309072530404,0.01598763413333333,0.004596697535540968
Inflammatory-Mac,Col2a1,Itga10,MuSCs,0.6666666666666666,0.018799,0.02538254749016711,1.0,0.4652066666666667,0.18063741209163506,0.008745420126666667,0.004585037690916814
Inflammatory-Mac,Efna4,Epha1,MuSCs,0.3333333333333333,0.06907100000000001,0.02831683511985592,1.0,2.4987966666666668,0.1258674343688201,0.1725943845633334,0.003564167385981165
Inflammatory-Mac,Cort,Sstr3,MuSCs,0.3333333333333333,0.08171133333333334,0.2400535075658758,0.3333333333333333,0.008921666666666666,0.014199707358170041,0.0007290012788888887,0.003408689557737694
