Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Camp,Fpr2,Resolving-Mac,0.6666666666666666,0.356229,0.6807769117820366,1.0,12.786431333333333,0.6988008767962779,4.554897647442,0.4757275028559495
Inflammatory-Mac,Wnt6,Fzd7,Resolving-Mac,0.3333333333333333,0.071697,0.6442936736161036,1.0,5.505106,0.23194685574177695,0.394699584882,0.149441891769574
Inflammatory-Mac,Prok2,Prokr1,Resolving-Mac,0.6666666666666666,0.2279103333333333,1.0,1.0,1.721534333333333,0.1482980081285616,0.3923554637547778,0.1482980081285616
Inflammatory-Mac,Ccl12,Ackr4,Resolving-Mac,1.0,55.96940366666666,0.6449093533393406,0.3333333333333333,0.1217406666666667,0.2140616931775755,6.813752515315777,0.1380503881218746
Inflammatory-Mac,Ccl2,Ackr4,Resolving-Mac,1.0,381.646276,0.5069360811971936,0.3333333333333333,0.1217406666666667,0.2140616931775755,46.46187207109067,0.1085155958738762
Inflammatory-Mac,Gpha2,Tshr,Resolving-Mac,0.3333333333333333,0.01886266666666667,1.0,1.0,0.1447576666666667,0.04522788072802774,0.002730515613777778,0.04522788072802774
Inflammatory-Mac,Ccl25,Ackr4,Resolving-Mac,1.0,5.304521333333333,0.1975550177369889,0.3333333333333333,0.1217406666666667,0.2140616931775755,0.6457759634675555,0.04228896159250579
Inflammatory-Mac,Spon2,Itga4,Resolving-Mac,0.6666666666666666,0.1507453333333333,0.02927795574563924,1.0,53.66901333333334,0.6873838105324488,8.090353304604445,0.0201251927850379
Inflammatory-Mac,Spon2,Itgb2,Resolving-Mac,0.6666666666666666,0.1507453333333333,0.02927795574563924,1.0,145.729604,0.5217225811594521,21.968057731514676,0.015274970642687109
Inflammatory-Mac,Spon2,Itgam,Resolving-Mac,0.6666666666666666,0.1507453333333333,0.02927795574563924,1.0,154.9253336666667,0.5110412512973043,23.354271065359548,0.014962243139678569
Inflammatory-Mac,Nodal,Acvr1b,Resolving-Mac,0.6666666666666666,0.1211913333333333,0.0561499217458747,1.0,5.253011333333333,0.2367160437133182,0.6366194475017777,0.01329158733049587
