Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Epcam,Epcam,MuSCs,0.3333333333333333,0.03339,1.0,0.3333333333333333,0.03339,1.0,0.0011148921,1.0
MuSCs,Alb,Lrp2,MuSCs,0.3333333333333333,0.093495,1.0,0.3333333333333333,0.02952333333333334,0.9376356379881644,0.00276028405,0.9376356379881644
MuSCs,Fgf15,Fgfr4,MuSCs,1.0,0.1625126666666667,0.846461286312529,1.0,18.405645666666672,0.9503421275147966,2.9911505590117784,0.8044278196931602
MuSCs,Calca,Calcr,MuSCs,1.0,0.3677276666666667,0.8580747933533959,1.0,0.36498,0.7914921854838884,0.13421324378,0.6791594934999152
MuSCs,Ucn3,Crhr2,MuSCs,0.3333333333333333,0.0063346666666666655,1.0,1.0,0.271673,0.6739113897465325,0.001720957897333333,0.6739113897465325
MuSCs,Ccl17,Ccr4,MuSCs,0.3333333333333333,0.2982203333333334,0.6662975196148161,0.3333333333333333,0.4401103333333333,0.8330579252846041,0.1312498503101111,0.5550644293125965
MuSCs,Cntn1,Ptprz1,MuSCs,0.6666666666666666,0.107282,0.4722016003849844,1.0,0.602672,0.7980215596328251,0.064655857504,0.3768270576003413
MuSCs,Fgf21,Fgfr4,MuSCs,0.6666666666666666,0.1095653333333333,0.3504397341871075,1.0,18.405645666666672,0.9503421275147966,2.016620702683556,0.3330376425530955
MuSCs,Dsc2,Dsg3,MuSCs,0.6666666666666666,0.141155,0.3140975051105329,0.3333333333333333,0.01939133333333333,1.0,0.002737183656666667,0.3140975051105329
MuSCs,Ntf5,Ngfr,MuSCs,0.3333333333333333,0.2470073333333334,0.2812820157566395,1.0,2.951133333333333,0.8574288060206544,0.7289515749777778,0.2411793029252983
MuSCs,Epgn,Egfr,MuSCs,0.3333333333333333,0.1638783333333333,1.0,1.0,13.38529933333333,0.1721801434738983,2.193560545914445,0.1721801434738983
MuSCs,Fgf15,Klb,MuSCs,1.0,0.1625126666666667,0.846461286312529,1.0,0.4312313333333333,0.164985874047233,0.07008055393022222,0.1396541551694178
MuSCs,Fgf15,Fgfr1,MuSCs,1.0,0.1625126666666667,0.846461286312529,1.0,16.20207433333333,0.1579285380120706,2.6330423054415557,0.1336803934311545
MuSCs,Wnt10a,Fzd8,MuSCs,0.6666666666666666,0.219711,0.9482891079536626,1.0,0.9921066666666668,0.0788408337623728,0.21797674784,0.07476390391884351
MuSCs,Adam2,Itgb1,MuSCs,0.6666666666666666,0.06670933333333333,0.6930143812396331,1.0,59.73436333333333,0.100486607144627,3.9848395550577766,0.06963866387320376
MuSCs,Cntn1,Notch1,MuSCs,0.6666666666666666,0.107282,0.4722016003849844,1.0,15.358189,0.1372160265679646,1.647657232298,0.06479362734386145
MuSCs,Wnt10a,Fzd1,MuSCs,0.6666666666666666,0.219711,0.9482891079536626,1.0,1.659922,0.06657227397590787,0.364703122542,0.0631297623030605
MuSCs,Ntf5,Ntrk1,MuSCs,0.3333333333333333,0.2470073333333334,0.2812820157566395,0.3333333333333333,0.014864666666666668,0.2125254373799618,0.0036716816742222227,0.0597795834257971
MuSCs,Fgf15,Fgfr3,MuSCs,1.0,0.1625126666666667,0.846461286312529,1.0,0.4298626666666667,0.06766742557104237,0.06985812826044445,0.057277856090321835
MuSCs,Qrfp,Qrfpr,MuSCs,1.0,0.3437603333333333,0.1176711611800559,0.3333333333333333,0.02789666666666667,0.4827526534379326,0.00958976743222222,0.05680606529279464
MuSCs,Oxt,Oxtr,MuSCs,0.3333333333333333,0.13526,0.05117703523557415,0.3333333333333333,0.07880966666666668,1.0,0.01065979551333334,0.05117703523557415
MuSCs,Cntn1,Notch2,MuSCs,0.6666666666666666,0.107282,0.4722016003849844,1.0,11.94279566666667,0.09909869482526164,1.2812470047113331,0.04679456229255172
MuSCs,Ifne,Ifnar1,MuSCs,0.6666666666666666,0.075783,1.0,1.0,5.859721333333333,0.04217575165843938,0.444067261804,0.04217575165843938
MuSCs,Lama1,Itga7,MuSCs,0.6666666666666666,0.03432,0.05296108317143064,1.0,34.42231266666666,0.7922734697010897,1.18137377072,0.04195966112335735
MuSCs,Wnt10a,Fzd5,MuSCs,0.6666666666666666,0.219711,0.9482891079536626,1.0,0.9942166666666664,0.04182889067409059,0.21844033805,0.039665881424024635
MuSCs,Pdgfb,Art1,MuSCs,1.0,2.197513666666667,0.03897023135594298,1.0,0.1748566666666667,1.0,0.3842499147077778,0.03897023135594298
MuSCs,Il17f,Il17ra,MuSCs,0.6666666666666666,0.059335666666666675,1.0,1.0,1.5777926666666668,0.0365141380855655,0.09361937973844443,0.0365141380855655
MuSCs,L1cam,Cntn1,MuSCs,1.0,1.614992666666667,0.07054386949514165,0.6666666666666666,0.107282,0.4722016003849844,0.1732596432653333,0.03331092807295537
MuSCs,Scgb1a1,Lrp2,MuSCs,0.3333333333333333,0.05044199999999999,0.03498010544932467,0.3333333333333333,0.02952333333333334,0.9376356379881644,0.00148921598,0.0327985934898708
MuSCs,Ccl5,Ccr4,MuSCs,0.6666666666666666,0.4219816666666667,0.03728564388507135,0.3333333333333333,0.4401103333333333,0.8330579252846041,0.1857184919772222,0.031061101137798117
MuSCs,Btla,Cd79a,MuSCs,0.6666666666666666,0.211968,0.1731492627656275,1.0,0.7139763333333334,0.1711011450576811,0.15134013542400002,0.02962603712509218
MuSCs,Insl3,Rxfp2,MuSCs,0.3333333333333333,0.04666933333333333,0.030559270356167588,0.3333333333333333,0.01788133333333334,0.9355423787931636,0.0008345099057777779,0.02858949248319244
MuSCs,Serpina1e,Lrp1,MuSCs,0.3333333333333333,0.06102133333333334,1.0,1.0,17.46044133333334,0.027163064646840436,1.065459410748445,0.027163064646840436
MuSCs,Timp3,Agtr2,MuSCs,1.0,20.442661,0.146414938585102,0.6666666666666666,0.446644,0.1823737695100498,9.130591879684,0.02670224426234749
MuSCs,Ifne,Ifnar2,MuSCs,0.6666666666666666,0.075783,1.0,1.0,5.116759333333333,0.02563457598461312,0.387763372558,0.02563457598461312
MuSCs,Nxph3,Nrxn2,MuSCs,0.6666666666666666,0.173279,0.7303409935471,0.3333333333333333,0.018473,0.033902525116889966,0.0032009829670000003,0.02476040387762493
MuSCs,Lama1,Itgb8,MuSCs,0.6666666666666666,0.03432,0.05296108317143064,1.0,2.096925333333333,0.4658568668791965,0.07196647743999998,0.024672284272771215
MuSCs,Tnc,Cntn1,MuSCs,1.0,17.72674266666666,0.046429978587271915,0.6666666666666666,0.107282,0.4722016003849844,1.901760406765333,0.02192431019475035
MuSCs,Fgl1,Egfr,MuSCs,0.3333333333333333,0.012709,0.1224134000725613,1.0,13.38529933333333,0.1721801434738983,0.1701137692273333,0.0210771567876213
MuSCs,Rln1,Rxfp1,MuSCs,1.0,0.14959,0.04191913158078851,1.0,0.04454466666666667,0.4646426013365507,0.006663436686666667,0.019477414343466733
MuSCs,Fgf22,Fgfr1,MuSCs,0.3333333333333333,0.02312833333333333,0.1131787093206667,1.0,16.20207433333333,0.1579285380120706,0.3747269758727778,0.01787414809710601
MuSCs,Lcn2,Lrp2,MuSCs,0.6666666666666666,0.07491466666666667,0.0184571648479475,0.3333333333333333,0.02952333333333334,0.9376356379881644,0.002211730675555556,0.01730609553765798
MuSCs,Ccl21b,Ccr7,MuSCs,0.6666666666666666,0.2610376666666667,0.671890872525602,0.3333333333333333,0.02521333333333333,0.02529817497948955,0.0065816297022222225,0.01699761286027459
MuSCs,Fgf15,Fgfr2,MuSCs,1.0,0.1625126666666667,0.846461286312529,1.0,0.07255766666666667,0.01806400396610915,0.01179153989711111,0.015290480033107382
MuSCs,Pla2g10,Pla2r1,MuSCs,0.3333333333333333,0.024194,0.04873329161552655,1.0,2.450641333333333,0.2925575448374341,0.059290816418666674,0.01425729214688516
MuSCs,Calca,Calcrl,MuSCs,1.0,0.3677276666666667,0.8580747933533959,1.0,1.569996,0.014707639439995241,0.5773309657560002,0.012620254673190171
