Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Cgn,F11r,ECs,0.3333333333333333,0.034699,0.6540276320501625,1.0,35.79856333333333,0.8475880303044928,1.242174349103333,0.5543459924141088
Resolving-Mac,Gdf3,Tdgf1,ECs,1.0,13.732229,0.5281683147270655,0.3333333333333333,0.08586166666666667,1.0,1.1790720689883338,0.5281683147270655
Resolving-Mac,Il18,Il1rapl1,ECs,1.0,27.21711066666667,0.5783201122351933,0.3333333333333333,0.014135333333333331,0.8939812374828714,0.3847229316435555,0.5170073295972512
Resolving-Mac,Thpo,Mpl,ECs,0.3333333333333333,0.09085333333333333,0.3470209872833665,0.6666666666666666,0.5973413333333334,1.0,0.05427045127111111,0.3470209872833665
Resolving-Mac,Lin7c,Htr2c,ECs,1.0,17.33888466666667,0.2626295554605343,0.3333333333333333,0.0002613333333333333,1.0,0.004531228526222222,0.2626295554605343
Resolving-Mac,Ccl22,Ccr4,ECs,0.3333333333333333,0.47465,1.0,0.3333333333333333,0.08819666666666666,0.1669420747153959,0.04186254783333333,0.1669420747153959
Resolving-Mac,Icosl,Icos,ECs,1.0,7.390795,0.5493172104644152,0.3333333333333333,0.03464866666666667,0.2718942828070928,0.2560811923566667,0.149356208972815
Resolving-Mac,Sost,Lrp5,ECs,0.3333333333333333,0.07352633333333332,0.258903440715327,1.0,17.823792333333326,0.4233776263711466,1.3105180963647782,0.109613924189378
Resolving-Mac,Lta,Tnfrsf1a,ECs,0.6666666666666666,0.1306146666666667,0.3784440529723549,1.0,47.53430066666667,0.2298097923041026,6.208676836809777,0.08697014921229966
Resolving-Mac,Lta,Ltbr,ECs,0.6666666666666666,0.1306146666666667,0.3784440529723549,1.0,14.29506233333333,0.2033714702773193,1.867144801647556,0.07696472347069551
Resolving-Mac,Lta,Tnfrsf14,ECs,0.6666666666666666,0.1306146666666667,0.3784440529723549,1.0,5.399171333333332,0.1822675802569683,0.7052109639795555,0.06897808179791105
Resolving-Mac,Fgf13,Scn8a,ECs,0.6666666666666666,0.4485536666666667,0.322364895440981,0.6666666666666666,0.255247,0.195102593449062,0.1144919777556667,0.06289422713747109
Resolving-Mac,Ccl12,Ccr4,ECs,1.0,30.53490766666667,0.3518395099377208,0.3333333333333333,0.08819666666666666,0.1669420747153959,2.693077073174444,0.058736817755851274
Resolving-Mac,Fgf22,Fgfr2,ECs,0.3333333333333333,0.07174733333333334,0.3510962275938453,1.0,0.6105093333333333,0.1519928013857481,0.04380241664177779,0.05336409918795675
Resolving-Mac,Zp3,Mertk,ECs,0.3333333333333333,0.140487,0.4586002855227765,1.0,9.519603666666667,0.1143733649354437,1.337380560319,0.05245165781559522
Resolving-Mac,Il15,Il2rb,ECs,1.0,13.66654266666667,0.476945623680579,0.3333333333333333,0.07648333333333332,0.09982619061603352,1.045262738288889,0.04761166474302048
Resolving-Mac,Ccl5,Ccr4,ECs,0.6666666666666666,2.8276566666666665,0.2498473460598554,0.3333333333333333,0.08819666666666666,0.1669420747153959,0.2493898924777777,0.04171003431336776
Resolving-Mac,Sost,Lrp6,ECs,0.3333333333333333,0.07352633333333332,0.258903440715327,1.0,13.123435999999998,0.1528215756229904,0.9649181298146666,0.039566031744329766
Resolving-Mac,Fgf22,Fgfr1,ECs,0.3333333333333333,0.07174733333333334,0.3510962275938453,1.0,10.25548833333333,0.09996462463766298,0.7358039399477779,0.03509720260311824
Resolving-Mac,Gnai2,Fpr1,ECs,1.0,159.7910413333333,0.2531127028358625,0.6666666666666666,1.261960333333333,0.1357066639443231,201.6499557846938,0.03434908050378571
Resolving-Mac,Fgf22,Fgfrl1,ECs,0.3333333333333333,0.07174733333333334,0.3510962275938453,1.0,1.151350666666667,0.08771067958196711,0.0826063400648889,0.03079488872092117
Resolving-Mac,Anxa1,Fpr1,ECs,1.0,132.27100900000002,0.2240319703135046,0.6666666666666666,1.261960333333333,0.1357066639443231,166.9207666079764,0.03040263130811934
Resolving-Mac,Lta,Tnfrsf1b,ECs,0.6666666666666666,0.1306146666666667,0.3784440529723549,1.0,14.77583066666667,0.08021112995490694,1.9299401972497785,0.030355425113627238
Resolving-Mac,Grem1,Kdr,ECs,0.3333333333333333,0.04124766666666667,0.03162585784401424,1.0,142.158333,0.9500780504241082,5.863699533473,0.030047033363431036
Resolving-Mac,Gnai2,Cnr1,ECs,1.0,159.7910413333333,0.2531127028358625,0.3333333333333333,0.1033233333333333,0.1155440414507772,16.51014302736444,0.02924566462818515
Resolving-Mac,Il16,Kcnj10,ECs,1.0,3.673383,0.3080285091904039,0.3333333333333333,0.06268366666666668,0.08686391746100962,0.230261115511,0.026756562997953082
Resolving-Mac,Cadm1,Crtam,ECs,0.6666666666666666,6.14883,0.4592780274465485,0.3333333333333333,0.04871,0.05815566200866864,0.2995095093,0.0267096177321895
Resolving-Mac,Sost,Lrp4,ECs,0.3333333333333333,0.07352633333333332,0.258903440715327,1.0,0.7750113333333332,0.09828779666416516,0.05698374163177777,0.0254470487366808
Resolving-Mac,Col4a6,Cd93,ECs,0.3333333333333333,0.036854000000000005,0.047615376697742136,1.0,229.58465066666668,0.5033187360873315,8.461112715669334,0.02396571121782975
Resolving-Mac,Thbs1,Tnfrsf11b,ECs,1.0,694.886846,0.4500999653118942,0.3333333333333333,0.08241233333333332,0.047270056128614964,57.267246381500655,0.02127625062378088
Resolving-Mac,Rln1,Rxfp1,ECs,0.6666666666666666,0.1232116666666667,0.03452721483580623,0.3333333333333333,0.050779000000000005,0.5296725381250739,0.006256565221666667,0.018288117516471192
Resolving-Mac,Tnfsf13,Tnfrsf11b,ECs,1.0,3.179188666666666,0.3566406363494372,0.3333333333333333,0.08241233333333332,0.047270056128614964,0.2620043561268888,0.01685842289798285
Resolving-Mac,Fgf13,Scn5a,ECs,0.6666666666666666,0.4485536666666667,0.322364895440981,0.6666666666666666,0.1495096666666667,0.03509823662522812,0.06706310918544445,0.01131443937985447
Resolving-Mac,Zp3,Egfr,ECs,0.3333333333333333,0.140487,0.4586002855227765,1.0,1.57413,0.02024862668342525,0.22114480131,0.00928602597846293
Resolving-Mac,Qrfp,P2ry14,ECs,0.6666666666666666,0.5218146666666666,0.1786201949249055,0.6666666666666666,0.3206743333333333,0.04893426814880037,0.1673325703568889,0.008740648515246316
Resolving-Mac,Pspn,Ret,ECs,0.3333333333333333,0.05344499999999999,0.01726249839444284,1.0,3.632885,0.437284956640454,0.194159538825,0.007548630861919843
Resolving-Mac,Dkk2,Lrp5,ECs,0.3333333333333333,0.07130733333333332,0.015606403643249932,1.0,17.823792333333326,0.4233776263711466,1.2709671011771109,0.00660740213066917
Resolving-Mac,Cntf,Cntfr,ECs,1.0,1.6328156666666669,0.2879387086275035,0.3333333333333333,0.1574556666666667,0.02260121724956985,0.2570960793387778,0.0065077653082508
Resolving-Mac,Cx3cl1,Itgb3,ECs,0.3333333333333333,0.2842186666666667,0.009713425269585385,1.0,6.610178333333334,0.6561418030098394,1.878736072328889,0.006373384369787089
Resolving-Mac,Fn1,Tnfrsf11b,ECs,1.0,260.0315303333334,0.1325785352324417,0.3333333333333333,0.08241233333333332,0.047270056128614964,21.42980515500744,0.006266994801887075
Resolving-Mac,Myoc,Fzd4,ECs,0.3333333333333333,0.06514966666666668,0.010620472996826991,1.0,31.38723566666667,0.5539598599114094,2.044867941271445,0.005883315733515186
Resolving-Mac,Pgf,Flt1,ECs,0.3333333333333333,0.07989233333333333,0.0050364250214273475,1.0,126.660156,0.9724734733029194,10.119175403204,0.004897789733617184
Resolving-Mac,H2-T23,Klrd1,ECs,1.0,38.75739366666667,0.3813234742102279,0.3333333333333333,0.04040533333333333,0.009158328487187176,1.566005410232889,0.003492285636692715
Resolving-Mac,F2,F2rl1,ECs,0.3333333333333333,0.076847,0.0330538710956234,0.6666666666666666,0.5547783333333334,0.1020236335783901,0.04263305058166667,0.003372276033007221
Resolving-Mac,H2-M3,Klrd1,ECs,1.0,9.764211666666668,0.3600471232124682,0.3333333333333333,0.04040533333333333,0.009158328487187176,0.39452622712888896,0.003297429825246538
Resolving-Mac,Clcf1,Cntfr,ECs,1.0,1.7453733333333332,0.1183150639869627,0.3333333333333333,0.1574556666666667,0.02260121724956985,0.2748189217822222,0.0026740644650661014
Resolving-Mac,Shank1,Sstr2,ECs,0.6666666666666666,0.02653233333333333,0.0207156539210277,0.6666666666666666,0.2097636666666667,0.1278901181979287,0.005565519525222223,0.0026493274285076178
Resolving-Mac,Bmp10,Bmpr1b,ECs,0.3333333333333333,0.1510946666666667,0.2779972696061536,0.3333333333333333,0.039133,0.00872147833139909,0.0059127875906666676,0.002424547163058179
Resolving-Mac,Dkk2,Lrp6,ECs,0.3333333333333333,0.07130733333333332,0.015606403643249932,1.0,13.123435999999998,0.1528215756229904,0.9357972253306664,0.002384995194569832
Resolving-Mac,Dkk2,Kremen1,ECs,0.3333333333333333,0.07130733333333332,0.015606403643249932,1.0,5.162356,0.1473254357974656,0.3681138400773333,0.002299220217972951
Resolving-Mac,Siglec1,Spn,ECs,1.0,68.093331,0.4958700225297052,0.3333333333333333,0.01649366666666667,0.004545751865760082,1.123108703737,0.002254102080088902
Resolving-Mac,Pgf,Nrp2,ECs,0.3333333333333333,0.07989233333333333,0.0050364250214273475,1.0,55.56529466666667,0.424029640296873,4.4392410432742215,0.002135593490218009
Resolving-Mac,Tnfsf10,Tnfrsf11b,ECs,1.0,1.3573026666666668,0.04488038083230254,0.3333333333333333,0.08241233333333332,0.047270056128614964,0.1118584797995555,0.002121498121016556
Resolving-Mac,Vwf,Tnfrsf11b,ECs,1.0,2.871251333333333,0.035727064853645935,0.3333333333333333,0.08241233333333332,0.047270056128614964,0.2366265219664444,0.00168882036094251
Resolving-Mac,Pspn,Gfra4,ECs,0.3333333333333333,0.05344499999999999,0.01726249839444284,0.6666666666666666,0.2615776666666667,0.09693893622669536,0.013980018395,0.001673408230972325
Resolving-Mac,Icam1,Spn,ECs,1.0,38.93425766666667,0.3275947049881145,0.3333333333333333,0.01649366666666667,0.004545751865760082,0.6421686678681111,0.0014891642414128446
Resolving-Mac,Pgf,Nrp1,ECs,0.3333333333333333,0.07989233333333333,0.0050364250214273475,1.0,101.7913436666667,0.2805454758424659,8.132347958665221,0.0014129462541812368
Resolving-Mac,Ntn1,Unc5c,ECs,0.6666666666666666,0.2982303333333333,0.033617002265817014,0.6666666666666666,0.06908633333333335,0.03902615288323432,0.02060364021877778,0.001311942269901809
Resolving-Mac,Myoc,Fzd3,ECs,0.3333333333333333,0.06514966666666668,0.010620472996826991,1.0,0.2590246666666667,0.1073177818850196,0.01687537069177778,0.0011397656045892199
Resolving-Mac,Slamf7,Slamf7,ECs,1.0,73.54799266666667,0.5353060224141284,0.3333333333333333,0.1592146666666666,0.0011588157179162801,11.709919136425777,0.0006203210326687365
Resolving-Mac,Cx3cl1,Itgav,ECs,0.3333333333333333,0.2842186666666667,0.009713425269585385,1.0,18.382477,0.06380158579420245,5.224643102970667,0.000619731935693026
Resolving-Mac,Myoc,Fzd7,ECs,0.3333333333333333,0.06514966666666668,0.010620472996826991,1.0,1.285689666666667,0.05417001519008476,0.08376225322011112,0.0005753111835640031
Resolving-Mac,Mmrn2,Clec14a,ECs,0.3333333333333333,0.034020666666666664,0.000618290493000675,1.0,19.634326666666674,0.9260728160157148,0.6679728827511111,0.0005725820179688798
Resolving-Mac,Il34,Ptprz1,ECs,0.3333333333333333,0.04501266666666666,0.004338007629339771,0.3333333333333333,0.09880833333333333,0.1308359775655526,0.0044476265722222215,0.0005675674688714942
Resolving-Mac,Rspo3,Fzd8,ECs,0.3333333333333333,0.019102,0.002490639890527628,1.0,2.776364333333333,0.2206324039768381,0.05303411149533332,0.0005495158664877197
Resolving-Mac,Myoc,Fzd1,ECs,0.3333333333333333,0.06514966666666668,0.010620472996826991,1.0,1.269979666666667,0.05093337778110387,0.0827387519567778,0.0005409365633614015
Resolving-Mac,Crlf1,Cntfr,ECs,0.3333333333333333,0.1351536666666667,0.02271145389131398,0.3333333333333333,0.1574556666666667,0.02260121724956985,0.02128071068744444,0.0005133065034511759
Resolving-Mac,Bmp2,Bmpr1b,ECs,0.6666666666666666,0.3078316666666667,0.05270551395117086,0.3333333333333333,0.039133,0.00872147833139909,0.01204637661166667,0.00045966999787038914
Resolving-Mac,Pspn,Gfra1,ECs,0.3333333333333333,0.05344499999999999,0.01726249839444284,0.6666666666666666,0.509196,0.02558190413389134,0.02721398022,0.0004416075790380897
Resolving-Mac,Rspo3,Lrp6,ECs,0.3333333333333333,0.019102,0.002490639890527628,1.0,13.123435999999998,0.1528215756229904,0.250683874472,0.0003806235123799044
Resolving-Mac,Mmrn2,Cd93,ECs,0.3333333333333333,0.034020666666666664,0.000618290493000675,1.0,229.58465066666668,0.5033187360873315,7.810622872113777,0.0003111971894719128
Resolving-Mac,Rspo3,Lgr4,ECs,0.3333333333333333,0.019102,0.002490639890527628,1.0,1.519140333333333,0.09892575512374292,0.029018618647333325,0.0002463884319117619
Resolving-Mac,Col8a1,Itga2,ECs,0.3333333333333333,0.03130466666666667,0.0001627116844554137,1.0,4.5482656666666665,0.8016112714390143,0.1423819406064444,0.00013043152025428792
Resolving-Mac,Col8a1,Itga1,ECs,0.3333333333333333,0.03130466666666667,0.0001627116844554137,1.0,51.78202533333334,0.7202935140152373,1.6210190423848891,0.00011720017096772842
Resolving-Mac,Bmp6,Bmpr2,ECs,0.3333333333333333,0.004305666666666666,0.00035302490029444784,1.0,44.547044,0.3085128263790582,0.1918047224493333,0.0001089127097720253
Resolving-Mac,Col5a3,Sdc3,ECs,0.3333333333333333,0.02893233333333333,0.0005976308611875376,1.0,33.41778966666667,0.1572791178915016,0.9668546298992224,9.399485467231436e-05
Resolving-Mac,Bmp6,Acvr2a,ECs,0.3333333333333333,0.004305666666666666,0.00035302490029444784,1.0,13.663472,0.2163030132250088,0.058830355941333325,7.636034967714738e-05
Resolving-Mac,Efnb2,Grm5,ECs,1.0,0.4787493333333333,0.008461250535040448,0.3333333333333333,0.0006176666666666666,0.008525223712359966,0.00029570750488888887,7.213405369754528e-05
Resolving-Mac,Rspo3,Lgr5,ECs,0.3333333333333333,0.019102,0.002490639890527628,0.3333333333333333,0.1399036666666666,0.028215622749599188,0.002672439840666666,7.027495555623058e-05
Resolving-Mac,Bmp6,Acvr1,ECs,0.3333333333333333,0.004305666666666666,0.00035302490029444784,1.0,10.62804133333333,0.1901422379349035,0.045760803300888886,6.71249445887325e-05
