Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Wnt7a,Fzd10,MuSCs,0.3333333333333333,0.4262563333333333,1.0,0.5,0.016657,1.0,0.0071001517443333,1.0
FAPs,Tac1,Tacr3,MuSCs,1.0,2.480258666666666,0.947658172043408,0.5,0.0556235,1.0,0.1379606679453333,0.947658172043408
FAPs,Ntn1,Unc5d,MuSCs,1.0,4.724098666666666,0.4033933174334258,0.5,0.004501,1.0,0.0212631680986666,0.4033933174334258
FAPs,Ccl17,Ccr4,MuSCs,0.3333333333333333,0.571983,0.3584024425559992,1.0,0.9494525,1.0,0.5430706893075,0.3584024425559992
FAPs,Gdf6,Bmpr1a,MuSCs,0.3333333333333333,0.1113896666666667,1.0,1.0,19.206297,0.3404565075487166,2.139383020731,0.3404565075487166
FAPs,Kng1,Bdkrb1,MuSCs,0.3333333333333333,0.1516506666666667,1.0,1.0,0.9794285,0.3222121718899608,0.1485309849773334,0.3222121718899608
FAPs,Kng1,Rxfp4,MuSCs,0.3333333333333333,0.1516506666666667,1.0,1.0,5.0943505,0.3138522826957358,0.7725616495586668,0.3138522826957358
FAPs,Liph,Lpar4,MuSCs,0.6666666666666666,0.280023,0.6424024182935064,1.0,9.5816425,0.4408580664036067,2.6830802777775,0.2832082879818762
FAPs,Edn2,Ednrb,MuSCs,0.3333333333333333,0.1876803333333333,1.0,1.0,8.624592,0.2737539034788959,1.618666301424,0.2737539034788959
FAPs,Kng1,Bdkrb2,MuSCs,0.3333333333333333,0.1516506666666667,1.0,1.0,0.328266,0.2620868789961477,0.049781757744,0.2620868789961477
FAPs,Gdf2,Acvr1,MuSCs,0.3333333333333333,0.0248146666666666,1.0,1.0,13.324299,0.2549418168249328,0.330638038252,0.2549418168249328
