Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Tnfsf13b,Tnfrsf17,Resolving-Mac,1.0,3.6321283333333336,0.6535225470956983,0.3333333333333333,0.1650043333333333,1.0,0.5993169142227779,0.6535225470956983
FAPs,Kng1,Itgb2,Resolving-Mac,0.3333333333333333,0.1516506666666667,1.0,1.0,138.7317683333333,0.5806725998226211,21.03876515559556,0.5806725998226211
FAPs,Ccl20,Ccr6,Resolving-Mac,1.0,0.8243956666666666,1.0,0.3333333333333333,0.8524860000000001,0.5611175055300877,0.702785764294,0.5611175055300877
FAPs,Kng1,Plaur,Resolving-Mac,0.3333333333333333,0.1516506666666667,1.0,1.0,62.83028666666667,0.4599241590742428,9.528254859857775,0.4599241590742428
FAPs,Ifna11,Ifnar1,Resolving-Mac,0.3333333333333333,0.1544356666666667,0.9179194668103722,1.0,45.67557266666667,0.3414419337553518,7.053937515158446,0.3134161977794149
FAPs,Ifna11,Ifnar2,Resolving-Mac,0.3333333333333333,0.1544356666666667,0.9179194668103722,1.0,66.628798,0.3223391021731487,10.28986283832867,0.2958813367989108
FAPs,Il13,Il2rg,Resolving-Mac,0.3333333333333333,0.2293223333333333,0.7869207047853479,1.0,65.246217,0.3386953408296026,14.962414723613,0.2665263763131445
FAPs,Nodal,Tdgf1,Resolving-Mac,0.6666666666666666,0.3152516666666667,0.2520698872894415,0.3333333333333333,0.006531,1.0,0.002058908635,0.2520698872894415
FAPs,Il13,Il4ra,Resolving-Mac,0.3333333333333333,0.2293223333333333,0.7869207047853479,1.0,44.54626066666666,0.2862968844342367,10.215452437354893,0.2252929460768388
FAPs,Il13,Il13ra1,Resolving-Mac,0.3333333333333333,0.2293223333333333,0.7869207047853479,1.0,22.63913333333333,0.2590044531823235,5.191658880644444,0.2038159668407777
FAPs,Wnt7a,Fzd5,Resolving-Mac,0.3333333333333333,0.4262563333333333,1.0,1.0,4.710187333333333,0.2001338067190093,2.007747182019778,0.2001338067190093
FAPs,Pth2,Pth2r,Resolving-Mac,0.6666666666666666,0.2599963333333333,1.0,0.3333333333333333,0.1873846666666667,0.1845060645495855,0.04871932625622222,0.1845060645495855
FAPs,Gdf2,Bmpr2,Resolving-Mac,0.3333333333333333,0.02481466666666667,1.0,1.0,21.229913,0.1503506520179033,0.5268132144573334,0.1503506520179033
FAPs,Pthlh,Pth2r,Resolving-Mac,1.0,1.7479293333333332,0.7619838945199605,0.3333333333333333,0.1873846666666667,0.1845060645495855,0.3275351554835556,0.1405906496280444
FAPs,Il12a,Il12rb2,Resolving-Mac,0.3333333333333333,0.3206746666666667,0.3143489699528113,1.0,1.110936,0.4018932154153557,0.356249031488,0.1263347182968403
FAPs,Agrp,Mc4r,Resolving-Mac,0.6666666666666666,0.8031959999999999,0.3146281878933484,0.3333333333333333,0.02445366666666667,0.3824261522542036,0.019641087252,0.1203220472867658
FAPs,Gdf2,Acvr2a,Resolving-Mac,0.3333333333333333,0.02481466666666667,1.0,1.0,7.620811666666666,0.1184591370916582,0.1891079012377778,0.1184591370916582
FAPs,Gdf2,Acvr2b,Resolving-Mac,0.3333333333333333,0.02481466666666667,1.0,1.0,0.6266583333333333,0.1172121175997333,0.015550317655555559,0.1172121175997333
FAPs,Gdf2,Acvr1,Resolving-Mac,0.3333333333333333,0.02481466666666667,1.0,1.0,5.022911666666666,0.1057005548822571,0.1246418787044444,0.1057005548822571
FAPs,Insl5,Rxfp4,Resolving-Mac,0.3333333333333333,0.1188713333333333,1.0,1.0,1.4743540000000002,0.09831583861629076,0.1752584257853333,0.09831583861629076
FAPs,Kng1,Rxfp4,Resolving-Mac,0.3333333333333333,0.1516506666666667,1.0,1.0,1.4743540000000002,0.09831583861629076,0.2235867670026667,0.09831583861629076
FAPs,Xcl1,Xcr1,Resolving-Mac,0.3333333333333333,0.2175426666666667,0.2457683414549645,1.0,0.6955279999999999,0.3984669237071115,0.1513070158613333,0.09793055496415863
FAPs,Kng1,Gp1ba,Resolving-Mac,0.3333333333333333,0.1516506666666667,1.0,1.0,0.8509326666666667,0.09510152975445622,0.1290445061884445,0.09510152975445622
FAPs,Proc,Thbd,Resolving-Mac,0.6666666666666666,0.27678800000000003,0.5006858801545777,1.0,14.89778633333333,0.1897602932100546,4.1235284836306665,0.09501029942426692
FAPs,Wnt7a,Fzd9,Resolving-Mac,0.3333333333333333,0.4262563333333333,1.0,1.0,0.2196503333333334,0.09440924608897808,0.09362734570211112,0.09440924608897808
FAPs,Liph,Lpar2,Resolving-Mac,0.6666666666666666,0.280023,0.3286147736587604,1.0,1.081358,0.2704149570403042,0.3028051112340001,0.08886234990174298
FAPs,Gdf2,Acvrl1,Resolving-Mac,0.3333333333333333,0.02481466666666667,1.0,1.0,6.199977000000001,0.07802536908642957,0.15385036259600002,0.07802536908642957
FAPs,Adm,Ramp3,Resolving-Mac,1.0,20.812745,0.563889525121381,0.3333333333333333,0.1501796666666667,0.09245446062878776,3.125651106518334,0.05213410189932057
FAPs,Wnt8a,Fzd5,Resolving-Mac,0.3333333333333333,0.2395813333333333,0.2448821336251614,1.0,4.710187333333333,0.2001338067190093,1.128472961569777,0.04900919359987667
FAPs,Edn2,Ednrb,Resolving-Mac,0.3333333333333333,0.1876803333333333,1.0,1.0,9.561199666666667,0.046975546305285436,1.794449140506556,0.046975546305285436
FAPs,Mstn,Acvr2b,Resolving-Mac,0.3333333333333333,0.1186043333333333,0.3677530212163415,1.0,0.6266583333333333,0.1172121175997333,0.07432439385277778,0.04310511037046702
FAPs,Il18,Il18r1,Resolving-Mac,1.0,6.6354783333333325,0.1113945496838451,0.6666666666666666,0.2077623333333333,0.3820368449828499,1.3786024613161107,0.042556822309501516
FAPs,Cort,Ghsr,Resolving-Mac,0.3333333333333333,0.2291036666666667,0.5327486343351117,0.3333333333333333,0.2515683333333333,0.0787748858935541,0.057635227583888886,0.0419672128796952
FAPs,Pth2,Pth1r,Resolving-Mac,0.6666666666666666,0.2599963333333333,1.0,0.6666666666666666,0.3757736666666667,0.03906378063023885,0.09769977549655556,0.03906378063023885
FAPs,Kng1,Bdkrb1,Resolving-Mac,0.3333333333333333,0.1516506666666667,1.0,1.0,0.149535,0.03904490575408093,0.02267708244,0.03904490575408093
FAPs,Il21,Il21r,Resolving-Mac,0.3333333333333333,0.004367,0.08269188892360421,1.0,12.23896466666667,0.4604179748814854,0.05344755869933334,0.03807283203733059
FAPs,Il12a,Il12rb1,Resolving-Mac,0.3333333333333333,0.3206746666666667,0.3143489699528113,0.6666666666666666,0.359538,0.09604072230482986,0.115294728304,0.03019030213004725
FAPs,Lta,Tnfrsf1b,Resolving-Mac,0.3333333333333333,0.0279,0.06343996983380168,1.0,87.70567066666668,0.4445022348210966,2.4469882116,0.0281992083681078
FAPs,Il21,Il2rg,Resolving-Mac,0.3333333333333333,0.004367,0.08269188892360421,1.0,65.246217,0.3386953408296026,0.284930229639,0.02800735750282377
FAPs,H2-T23,Klrc1,Resolving-Mac,1.0,24.18733,0.1757217251952191,0.3333333333333333,0.124664,0.1574876228503427,3.01528930712,0.027673996784156232
FAPs,Lta,Tnfrsf14,Resolving-Mac,0.3333333333333333,0.0279,0.06343996983380168,1.0,20.376557666666674,0.3894909627896643,0.5685059589,0.02470929492991468
FAPs,Gdf6,Bmpr2,Resolving-Mac,0.3333333333333333,0.1113896666666667,0.1624834559770965,1.0,21.229913,0.1503506520179033,2.364792932432333,0.02442949354827876
FAPs,Cd80,Ctla4,Resolving-Mac,1.0,2.510701000000001,0.06457271110186905,0.3333333333333333,0.1989273333333333,0.3487587367633652,0.4994470547273334,0.02252029715327357
FAPs,Tnfsf14,Tnfrsf14,Resolving-Mac,1.0,0.2853273333333333,0.05293626506635817,1.0,20.376557666666674,0.3894909627896643,5.813988861542889,0.02061819684718472
FAPs,Pspn,Gfra4,Resolving-Mac,1.0,2.239930333333333,0.6230878570540074,0.3333333333333333,0.05351033333333333,0.032544684294910614,0.1198594187801111,0.02027819759581507
FAPs,H2-M3,Klrc1,Resolving-Mac,1.0,4.057736666666667,0.1281162762548456,0.3333333333333333,0.124664,0.1574876228503427,0.5058536838133334,0.02017672779581344
FAPs,Tnfsf13,Tnfrsf17,Resolving-Mac,0.3333333333333333,0.1500066666666666,0.01847762054135585,0.3333333333333333,0.1650043333333333,1.0,0.02475175002888889,0.01847762054135585
FAPs,Agt,Agtr2,Resolving-Mac,1.0,3.614029333333333,0.9241192353022276,0.3333333333333333,0.07523999999999999,0.01970266537643246,0.27191956704,0.01820761206108444
FAPs,Gdf2,Eng,Resolving-Mac,0.3333333333333333,0.02481466666666667,1.0,1.0,5.001688666666666,0.01743924743087499,0.1241152370337778,0.01743924743087499
FAPs,Cfp,Ncr1,Resolving-Mac,1.0,1.6135389999999998,0.01735976434182944,0.3333333333333333,0.101232,1.0,0.16334178004799998,0.01735976434182944
