Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Pdyn,Oprk1,FAPs,0.3333333333333333,0.005389,1.0,0.3333333333333333,0.000895,0.6009400179051029,4.823155e-06,0.6009400179051029
Inflammatory-Mac,Agrp,Mc3r,FAPs,1.0,1.460649333333333,0.5495387744838921,0.3333333333333333,0.018433,1.0,0.0269241491613333,0.5495387744838921
Inflammatory-Mac,Ghrl,Gpr39,FAPs,1.0,14.555427,0.4362326213815876,0.3333333333333333,0.1866123333333334,1.0,2.716222195133,0.4362326213815876
Inflammatory-Mac,Il2,Il2rb,FAPs,0.3333333333333333,0.0796326666666666,1.0,1.0,0.805089,0.4118548214512568,0.064111383974,0.4118548214512568
Inflammatory-Mac,Aanat,Mtnr1a,FAPs,1.0,1.975728666666667,0.406689729763258,0.3333333333333333,0.0831456666666666,1.0,0.1642732771424444,0.406689729763258
Inflammatory-Mac,Omg,Lingo1,FAPs,1.0,4.488144,0.3450144550883694,0.3333333333333333,0.138668,1.0,0.622361952192,0.3450144550883694
Inflammatory-Mac,Gnai2,Mtnr1a,FAPs,1.0,163.8590903333333,0.2750214756820535,0.3333333333333333,0.0831456666666666,1.0,13.62417330515856,0.2750214756820535
Inflammatory-Mac,Calr,Mtnr1a,FAPs,1.0,170.2928416666667,0.2586257560429799,0.3333333333333333,0.0831456666666666,1.0,14.15911184893611,0.2586257560429799
Inflammatory-Mac,Il18,Il18r1,FAPs,1.0,40.78183766666667,0.4775843134495767,0.6666666666666666,0.3360656666666667,0.4847958677304446,13.70537546334011,0.2315309016532362
Inflammatory-Mac,Fgf15,Fgfr2,FAPs,0.3333333333333333,0.018508,0.2347866901774728,1.0,3.763360333333333,0.90464312565499,0.0696522730493333,0.2123981652643387
Inflammatory-Mac,Rtn4,Lingo1,FAPs,1.0,75.27587666666666,0.2044132430569516,0.3333333333333333,0.138668,1.0,10.43835526561333,0.2044132430569516
Inflammatory-Mac,Nmb,Nmbr,FAPs,1.0,2.328295999999999,0.1922953042509437,0.3333333333333333,0.129125,1.0,0.300641221,0.1922953042509437
Inflammatory-Mac,Fgf15,Fgfr1,FAPs,0.3333333333333333,0.018508,0.2347866901774728,1.0,69.657865,0.6646576013185088,1.28922776542,0.1560527583148709
Inflammatory-Mac,Tnfsf4,Tnfrsf4,FAPs,0.3333333333333333,0.0660026666666666,1.0,0.6666666666666666,0.4493773333333334,0.1524833865370579,0.0296601023395555,0.1524833865370579
Inflammatory-Mac,Gnai2,Lhcgr,FAPs,1.0,163.8590903333333,0.2750214756820535,0.3333333333333333,0.114644,0.5024565340298992,18.78546155217467,0.1381863374549928
Inflammatory-Mac,Ntrk3,Ptprf,FAPs,0.3333333333333333,0.04573,0.172062079807758,1.0,3.393572666666666,0.7418483772500767,0.1551880780466666,0.1276439746916585
Inflammatory-Mac,Prn,Rpsa,FAPs,0.3333333333333333,0.035616,0.3543539759028154,1.0,316.1112466666667,0.3343264513940333,11.25861816128,0.118469907300955
Inflammatory-Mac,Dkk4,Lrp6,FAPs,0.3333333333333333,0.0445893333333333,0.3258231560281961,1.0,31.845132,0.3504595127507141,1.419953205792,0.1141878245045415
Inflammatory-Mac,Fgf15,Klb,FAPs,0.3333333333333333,0.018508,0.2347866901774728,1.0,0.91683,0.4195646427067258,0.01696868964,0.098508193776606
Inflammatory-Mac,Fasl,Fas,FAPs,0.3333333333333333,0.1356786666666667,0.2979269557961613,1.0,8.811908,0.327747364050729,1.195587928229333,0.0976447744418499
