Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Camp,Fpr2,M2,0.6666666666666666,0.356229,0.6807769117820366,1.0,12.78643133333333,0.6988008767962779,4.554897647441999,0.4757275028559495
M1,Wnt6,Fzd7,M2,0.3333333333333333,0.071697,0.6442936736161036,1.0,5.505106,0.231946855741777,0.394699584882,0.149441891769574
M1,Prok2,Prokr1,M2,0.6666666666666666,0.2279103333333333,1.0,1.0,1.721534333333333,0.1482980081285616,0.3923554637547778,0.1482980081285616
M1,Ccl12,Ackr4,M2,1.0,55.96940366666666,0.6449093533393406,0.3333333333333333,0.1217406666666667,0.2140616931775755,6.813752515315778,0.1380503881218746
M1,Ccl2,Ackr4,M2,1.0,381.646276,0.5069360811971936,0.3333333333333333,0.1217406666666667,0.2140616931775755,46.46187207109067,0.1085155958738762
M1,Gpha2,Tshr,M2,0.3333333333333333,0.0188626666666666,1.0,1.0,0.1447576666666667,0.0452278807280277,0.0027305156137777,0.0452278807280277
M1,Ccl25,Ackr4,M2,1.0,5.304521333333333,0.1975550177369889,0.3333333333333333,0.1217406666666667,0.2140616931775755,0.6457759634675555,0.0422889615925057
M1,Spon2,Itga4,M2,0.6666666666666666,0.1507453333333333,0.0292779557456392,1.0,53.66901333333334,0.6873838105324489,8.090353304604445,0.0201251927850379
M1,Spon2,Itgb2,M2,0.6666666666666666,0.1507453333333333,0.0292779557456392,1.0,145.729604,0.5217225811594522,21.96805773151466,0.0152749706426871
M1,Spon2,Itgam,M2,0.6666666666666666,0.1507453333333333,0.0292779557456392,1.0,154.9253336666667,0.5110412512973043,23.35427106535955,0.0149622431396785
M1,Nodal,Acvr1b,M2,0.6666666666666666,0.1211913333333333,0.0561499217458747,1.0,5.253011333333333,0.2367160437133182,0.6366194475017778,0.0132915873304958
M1,Il34,Csf1r,M2,0.6666666666666666,0.2083843333333333,0.020082632173941,1.0,189.9259493333334,0.6114863977842134,39.57759233452711,0.0122802564060685
M1,Nodal,Acvr2b,M2,0.6666666666666666,0.1211913333333333,0.0561499217458747,1.0,0.4071873333333333,0.1460955479776033,0.0493475758431111,0.0082032535863631
M1,Spon2,Itga5,M2,0.6666666666666666,0.1507453333333333,0.0292779557456392,1.0,34.39145933333334,0.1941720551610951,5.184352001023111,0.0056849608380463
M1,Ccl11,Ackr4,M2,1.0,1.611504,0.025449372850469,0.3333333333333333,0.1217406666666667,0.2140616931775755,0.196185571296,0.0054477358426788
M1,Nodal,Acvr2a,M2,0.6666666666666666,0.1211913333333333,0.0561499217458747,1.0,6.127540333333333,0.0970035608634302,0.7426047830504444,0.0054467423515528
M1,Col2a1,Mag,M2,0.6666666666666666,0.018799,0.0253825474901671,0.6666666666666666,0.1008886666666667,0.2135372571596283,0.0018966060446666,0.0054201195707742
M1,Fndc5,Itgb5,M2,0.3333333333333333,0.0670946666666666,0.0152758886940482,1.0,50.47994633333334,0.3324851484155761,3.386935172586222,0.0050790061196204
M1,Reln,Lrp8,M2,0.6666666666666666,0.01641,0.0114799799922347,1.0,3.381206666666667,0.4221501456709782,0.0554856014,0.0048462752260218
M1,Efna4,Epha1,M2,0.3333333333333333,0.069071,0.0283168351198559,1.0,3.220799666666667,0.1622356056685755,0.2224638537763333,0.004593998896287
M1,Fndc5,Itgav,M2,0.3333333333333333,0.0670946666666666,0.0152758886940482,1.0,81.28845566666666,0.2821345773094157,5.45402183680311,0.0043098563997209
M1,Spon2,Itgb1,M2,0.6666666666666666,0.1507453333333333,0.0292779557456392,1.0,86.95798233333333,0.1462828449356383,13.10851003283244,0.0042828626603718
M1,Col2a1,Itgb1,M2,0.6666666666666666,0.018799,0.0253825474901671,1.0,86.95798233333333,0.1462828449356383,1.634723109884333,0.0037130312585755
M1,Gdf11,Acvr1b,M2,0.3333333333333333,0.104904,0.0142881490610724,1.0,5.253011333333333,0.2367160437133182,0.551061900912,0.0033822341177232
M1,Fgf1,Cd44,M2,0.3333333333333333,0.0200223333333333,0.007841054270455,1.0,281.5837096666667,0.3989573834764815,5.637962896182556,0.0031282464954378
M1,Col2a1,Itga10,M2,0.6666666666666666,0.018799,0.0253825474901671,1.0,0.271303,0.1053455922372068,0.005100225097,0.0026739394978406
M1,Gdf11,Acvr2b,M2,0.3333333333333333,0.104904,0.0142881490610724,1.0,0.4071873333333333,0.1460955479776033,0.042715580016,0.002087434966663
M1,Sele,Cd44,M2,0.3333333333333333,0.0629053333333333,0.0046496036000796,1.0,281.5837096666667,0.3989573834764815,17.71311711781822,0.0018549936864906
M1,Tnfsf11,Tnfrsf11a,M2,0.3333333333333333,0.0118256666666666,0.0037687896371192,1.0,29.83749433333334,0.4526237465214711,0.3528482621545556,0.0017058436854041
M1,Reln,Itgb1,M2,0.6666666666666666,0.01641,0.0114799799922347,1.0,86.95798233333333,0.1462828449356383,1.42698049009,0.0016793241330683
M1,Fgf1,Nrp1,M2,0.3333333333333333,0.0200223333333333,0.007841054270455,1.0,75.13712199999999,0.2070842066291165,1.504420502391333,0.001623758502733
M1,Gdf11,Acvr2a,M2,0.3333333333333333,0.104904,0.0142881490610724,1.0,6.127540333333333,0.0970035608634302,0.642803491128,0.0013860013370715
M1,Cxcl5,Cxcr1,M2,0.3333333333333333,0.0514046666666666,0.0021125350173631,0.6666666666666666,0.2550053333333333,0.6430954014176384,0.0131084641582222,0.0013585615549999
M1,Cxcl5,Cxcr2,M2,0.3333333333333333,0.0514046666666666,0.0021125350173631,0.6666666666666666,3.526766666666667,0.5812919192715003,0.1812922649111111,0.0012279995347712
M1,Il16,Grin2d,M2,1.0,1.631845666666667,0.136837075777874,0.3333333333333333,0.0189106666666666,0.0077986750830186,0.0308592894537777,0.001067147893302
M1,Fcer2a,Cr2,M2,0.3333333333333333,0.0392816666666666,0.0995286440980008,0.3333333333333333,0.0122246666666666,0.0102240030732783,0.0004802052811111,0.0010175811631371
M1,Vegfc,Nrp2,M2,0.3333333333333333,0.044456,0.0042190526251587,1.0,21.88776266666666,0.167029801355803,0.9730423771093332,0.0007047075218899
