Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Plg,F3,FAPs,0.5,0.0345785,1.0,1.0,56.94961366666666,0.9776697736080268,1.969232216172833,0.9776697736080268
MuSCs,Plg,F2rl1,FAPs,0.5,0.0345785,1.0,1.0,2.662448666666667,0.9167822303230924,0.0920634812203333,0.9167822303230924
MuSCs,Plg,F2r,FAPs,0.5,0.0345785,1.0,1.0,47.354572,0.7230214505096683,1.637450067902,0.7230214505096683
MuSCs,Nppa,Npr3,FAPs,0.5,0.1398905,0.5152172511900707,1.0,0.9434083333333332,0.9524028256184742,0.1319738634541667,0.4906943658408065
MuSCs,Ntf5,Ntrk2,FAPs,0.5,0.370511,0.4809867660085082,1.0,15.79937666666667,0.9405365839956962,5.853842848143334,0.4523856498487795
MuSCs,Ntf5,Ntrk1,FAPs,0.5,0.370511,0.4809867660085082,0.6666666666666666,0.153988,0.8689904253117887,0.0570542478679999,0.4179728943630753
MuSCs,Serpina1e,Lrp1,FAPs,0.5,0.091532,1.0,1.0,185.8027443333333,0.3528665483720876,17.00689679431867,0.3528665483720876
MuSCs,Plg,Itgb1,FAPs,0.5,0.0345785,1.0,1.0,147.91433,0.2768624053389947,5.114655659904999,0.2768624053389947
MuSCs,Rtn4,Lingo1,FAPs,1.0,87.99833699999999,0.2389613545046087,0.3333333333333333,0.138668,1.0,12.202553395116,0.2389613545046087
MuSCs,Plg,Plgrkt,FAPs,0.5,0.0345785,1.0,1.0,27.88774466666666,0.2147385011396954,0.9643163789563332,0.2147385011396954
MuSCs,Il4,Il13ra2,FAPs,1.0,1.1608855,0.3357732239901092,0.6666666666666666,0.5782506666666666,0.5638763312309278,0.6712828142986665,0.1893345736691233
MuSCs,Nppa,Npr2,FAPs,0.5,0.1398905,0.5152172511900707,1.0,8.062473666666667,0.3280382642169655,1.127863472466833,0.1690109727750271
MuSCs,Bmp7,Bmpr1b,FAPs,0.5,0.011958,0.1796925481238824,1.0,1.467406,0.864087546066766,0.017547240948,0.1552700929548498
MuSCs,Omg,Lingo1,FAPs,1.0,1.981064,0.152289168185153,0.3333333333333333,0.138668,1.0,0.274710182752,0.152289168185153
MuSCs,Plg,Itga9,FAPs,0.5,0.0345785,1.0,1.0,4.942469,0.148308476825081,0.1709031643165,0.148308476825081
MuSCs,Thpo,Mpl,FAPs,1.0,0.1687885,0.2936215589966435,0.6666666666666666,0.1784356666666667,0.4812167892391516,0.0301178885231666,0.1412956238717589
MuSCs,Calr,Mtnr1a,FAPs,1.0,77.473122,0.1176593481802354,0.3333333333333333,0.0831456666666666,1.0,6.441554377438,0.1176593481802354
MuSCs,Gnas,Lhcgr,FAPs,1.0,164.799919,0.2304757859153342,0.3333333333333333,0.114644,0.5024565340298992,18.893321913836,0.1158040645688359
MuSCs,Bmp7,Bmpr1a,FAPs,0.5,0.011958,0.1796925481238824,1.0,32.24261766666667,0.5715421877013505,0.385557222058,0.1027018720683539
MuSCs,Gnai2,Mtnr1a,FAPs,1.0,57.0238095,0.0957088935731263,0.3333333333333333,0.0831456666666666,1.0,4.741282656750499,0.0957088935731263
MuSCs,Bmp7,Acvr2a,FAPs,0.5,0.011958,0.1796925481238824,1.0,29.54200233333333,0.469548954544906,0.353263263902,0.0843744481110791
MuSCs,Bmp7,Acvr1,FAPs,0.5,0.011958,0.1796925481238824,1.0,19.840792,0.3796257919253833,0.237256190736,0.0682159258846188
MuSCs,Ghrl,Gpr39,FAPs,1.0,2.1225765,0.063614561817936,0.3333333333333333,0.1866123333333334,1.0,0.3960989533435,0.063614561817936
MuSCs,Mif,Cxcr2,FAPs,1.0,84.7905925,0.3239055956672912,0.3333333333333333,0.0567666666666666,0.1567832460116018,4.813279300916667,0.0507829706900393
MuSCs,Gnai2,Lhcgr,FAPs,1.0,57.0238095,0.0957088935731263,0.3333333333333333,0.114644,0.5024565340298992,6.537437616318001,0.0480895589405895
MuSCs,Bmp7,Bmpr2,FAPs,0.5,0.011958,0.1796925481238824,1.0,34.738136,0.2491807703757967,0.4153986302879999,0.0447759275722989
MuSCs,Nmb,Nmbr,FAPs,1.0,0.4587255,0.0378864025837635,0.3333333333333333,0.129125,1.0,0.0592329301875,0.0378864025837635
MuSCs,Bmp7,Eng,FAPs,0.5,0.011958,0.1796925481238824,1.0,48.770495,0.2039972194837954,0.58319757921,0.0366567801792301
MuSCs,Il18,Il18r1,FAPs,1.0,5.387083000000001,0.0630865719460644,0.6666666666666666,0.3360656666666667,0.4847958677304446,1.810413639783667,0.0305841093887314
MuSCs,Nppa,Npr1,FAPs,0.5,0.1398905,0.5152172511900707,1.0,1.772710666666667,0.0521986778024222,0.2479853815153333,0.0268936592931201
MuSCs,Vasp,Cxcr2,FAPs,1.0,25.9122055,0.1610624603486987,0.3333333333333333,0.0567666666666666,0.1567832460116018,1.470949532216667,0.0252518953440838
MuSCs,Arf1,Chrm3,FAPs,1.0,61.6746195,0.1825087534596294,0.6666666666666666,0.0412096666666666,0.1339783593343184,2.5415905113885,0.0244522233526727
MuSCs,Il27,Il27ra,FAPs,0.5,0.280375,0.0510966313613673,1.0,0.9101323333333332,0.3400184143635273,0.2551783529583333,0.0173737955748098
MuSCs,Gnai2,Cxcr2,FAPs,1.0,57.0238095,0.0957088935731263,0.3333333333333333,0.0567666666666666,0.1567832460116018,3.23705158595,0.0150055510065736
MuSCs,Cdh1,Egfr,FAPs,0.5,0.016249,0.0194108533058418,1.0,61.06015933333333,0.7130079175842846,0.9921665290073332,0.0138400920941323
MuSCs,Bmp7,Acvr2b,FAPs,0.5,0.011958,0.1796925481238824,1.0,0.267999,0.0765802413191472,0.003204732042,0.0137608986985793
MuSCs,Ntf5,Ngfr,FAPs,0.5,0.370511,0.4809867660085082,0.6666666666666666,0.090517,0.0229527877137827,0.033537544187,0.0110399871333321
MuSCs,Rspo2,Lgr6,FAPs,0.5,0.0206735,0.0108988634221926,0.3333333333333333,0.1753453333333333,1.0,0.0036250017486666,0.0108988634221926
MuSCs,Ccl12,Ackr4,FAPs,0.5,1.6570225,0.0151303063043872,0.6666666666666666,0.450137,0.7085327552066554,0.7458871370825001,0.010720317612968
MuSCs,Vcam1,Itgad,FAPs,1.0,39.29803649999999,0.2688281328564436,0.3333333333333333,0.0245576666666666,0.0389268833686154,0.9650680810215,0.0104646413739054
MuSCs,Cxcl1,Cxcr2,FAPs,1.0,16.977099,0.0528213103563283,0.3333333333333333,0.0567666666666666,0.1567832460116018,0.9637333199,0.0082814964962513
MuSCs,Fgf9,Fgfr2,FAPs,0.5,0.006126,0.0082499532017835,1.0,3.763360333333333,0.90464312565499,0.023054345402,0.0074632634509688
MuSCs,Cd5l,Cd5,FAPs,0.5,0.3369365,0.027348581683768,1.0,1.929018,0.2691928726839837,0.649956573357,0.007362043267286
MuSCs,Rspo2,Lgr4,FAPs,0.5,0.0206735,0.0108988634221926,1.0,7.791016,0.6517548686181108,0.161067569276,0.0071033872978179
MuSCs,Gnai2,Lpar3,FAPs,1.0,57.0238095,0.0957088935731263,0.3333333333333333,0.1120823333333333,0.0697334809242231,6.3913616243155,0.0066741143042601
MuSCs,Cdh1,Igf1r,FAPs,0.5,0.016249,0.0194108533058418,1.0,11.70102866666667,0.3382003894878138,0.1901300148046667,0.0065647581483265
MuSCs,Ren1,Atp6ap2,FAPs,0.5,0.0276525,0.0719057638592438,1.0,13.76455166666667,0.08154120089165,0.3806242649625,0.0058632823361141
MuSCs,Adm,Ramp3,FAPs,1.0,1.057414,0.0358619100730591,0.3333333333333333,0.1350806666666667,0.1600284641071084,0.1428361880626667,0.0057389263889388
MuSCs,Fgf9,Fgfr1,FAPs,0.5,0.006126,0.0082499532017835,1.0,69.657865,0.6646576013185088,0.42672408099,0.0054833941060874
MuSCs,Icos,Icosl,FAPs,1.0,0.1467185,0.1788437569518725,1.0,0.930834,0.0293527223245598,0.136570568229,0.0052495511372893
MuSCs,Il1rn,Il1r1,FAPs,0.5,0.8953935,0.0062364747633785,1.0,96.23965333333337,0.7923813923330444,86.17236003692001,0.0049416665562557
MuSCs,Rln1,Rxfp1,FAPs,1.0,0.1006855,0.0191652998346794,0.3333333333333333,0.041056,0.2457288041250071,0.004133743888,0.0047094662090729
MuSCs,Hspg2,Col13a1,FAPs,1.0,49.2786865,0.1463047080910041,0.3333333333333333,0.0159406666666666,0.028914738946863,0.7855351152676667,0.0042303624411483
MuSCs,Cdh1,Ptprm,FAPs,0.5,0.016249,0.0194108533058418,1.0,14.793011,0.2047066592056736,0.240371635739,0.0039735309325702
MuSCs,Rspo2,Lgr5,FAPs,0.5,0.0206735,0.0108988634221926,1.0,2.321162,0.3272075825100088,0.047986542607,0.0035661907524824
MuSCs,Nid2,Col13a1,FAPs,1.0,12.345814,0.1076496346943346,0.3333333333333333,0.0159406666666666,0.028914738946863,0.1968005057026667,0.0031126610849118
