Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Cgn,F11r,ECs,0.3333333333333333,0.0468336666666666,1.0,1.0,27.636609,0.5611737787305786,1.294323733703,0.5611737787305786
Resolving-Mac,Saa1,Cd36,ECs,0.6666666666666666,0.017716,0.9423738430440796,1.0,279.6078796666666,0.5726675140320879,4.953533196174666,0.5396668859849181
Resolving-Mac,Gdf3,Tdgf1,ECs,1.0,17.41839966666667,0.5352435101587433,0.3333333333333333,0.0858616666666666,1.0,1.495572826046111,0.5352435101587433
Resolving-Mac,Sost,Lrp5,ECs,0.3333333333333333,0.0735263333333333,1.0,1.0,10.250695,0.2501330709220828,0.7536960174683333,0.2501330709220828
Resolving-Mac,Gdf1,Bmpr2,ECs,0.3333333333333333,0.027287,0.7988699241736688,1.0,30.46625333333334,0.2185380492512374,0.8313326547066668,0.1745834748343975
Resolving-Mac,Grem1,Kdr,ECs,0.3333333333333333,0.0412476666666666,0.1477752447236775,1.0,90.43008666666668,0.863466363695901,3.730030071464445,0.1275989532058257
Resolving-Mac,Sost,Lrp6,ECs,0.3333333333333333,0.0735263333333333,1.0,1.0,9.841031333333332,0.1083017349730097,0.7235749501584444,0.1083017349730097
Resolving-Mac,Gdf1,Acvr1,ECs,0.3333333333333333,0.027287,0.7988699241736688,1.0,7.004922666666666,0.134029393318039,0.1911433248053333,0.1070720512770246
Resolving-Mac,Thpo,Mpl,ECs,0.3333333333333333,0.0908533333333333,0.1580468892926654,0.3333333333333333,0.1923653333333334,0.5187832107608483,0.0174770317511111,0.0819920726780132
Resolving-Mac,Lin7c,Htr2c,ECs,1.0,17.71143666666667,0.2801690413307141,0.3333333333333333,0.0002613333333333,0.2316100443131462,0.0046285887822222,0.0648899640777783
Resolving-Mac,C3,Cd19,ECs,1.0,21.33956566666667,0.0577857336646513,0.3333333333333333,0.0054953333333333,1.0,0.1172680265268889,0.0577857336646513
Resolving-Mac,Tac1,Tacr2,ECs,0.3333333333333333,0.1369916666666667,0.0523418279565921,0.3333333333333333,0.0620296666666666,1.0,0.0084975474194444,0.0523418279565921
Resolving-Mac,Tac1,Tacr1,ECs,0.3333333333333333,0.1369916666666667,0.0523418279565921,0.6666666666666666,0.1826916666666667,1.0,0.0250272359027777,0.0523418279565921
Resolving-Mac,Sost,Lrp4,ECs,0.3333333333333333,0.0735263333333333,1.0,1.0,0.5351276666666666,0.0451269604848756,0.0393459751952222,0.0451269604848756
Resolving-Mac,Fasl,Fas,ECs,0.3333333333333333,0.1182523333333333,0.259661732764126,1.0,4.364279333333333,0.1623236474417427,0.516086214485111,0.042149239563316
Resolving-Mac,Gdf1,Bmpr1a,ECs,0.3333333333333333,0.027287,0.7988699241736688,1.0,2.535712666666667,0.0449487935462195,0.0691919915353333,0.0359082392919663
Resolving-Mac,Fgf17,Fgfr3,ECs,0.3333333333333333,0.047098,0.0417591238546046,1.0,2.330840333333333,0.6715345129768794,0.1097779180193333,0.0280426929000431
Resolving-Mac,Col4a6,Cd93,ECs,0.3333333333333333,0.036854,0.0316858344442232,1.0,162.7225033333333,0.5231437953541009,5.996975137846666,0.0165762476901126
Resolving-Mac,Ccl5,Gpr75,ECs,1.0,22.93880666666666,0.3520882424674529,0.3333333333333333,0.071204,0.0469876214589826,1.633334789893333,0.0165437890572191
Resolving-Mac,Gip,Gipr,ECs,0.3333333333333333,0.11623,0.1926595011705215,0.3333333333333333,0.0162796666666666,0.0817886012757541,0.0018921856566666,0.0157573511232214
Resolving-Mac,Ntrk3,Ptprs,ECs,0.3333333333333333,0.1128566666666667,0.4246305004775321,1.0,2.005664333333333,0.0297678190281715,0.2263525911122222,0.0126403238920571
Resolving-Mac,Ntrk3,Ptprf,ECs,0.3333333333333333,0.1128566666666667,0.4246305004775321,1.0,0.1255626666666667,0.0274484944509392,0.0141705840177777,0.011655467936057
Resolving-Mac,Trf,Tfr2,ECs,1.0,69.80366533333334,0.4790136485896233,0.3333333333333333,0.0368476666666666,0.0231772472450771,2.572102192314222,0.0111022177671281
Resolving-Mac,Edn1,Kel,ECs,0.3333333333333333,0.158087,0.0103857304402772,0.3333333333333333,0.00571,1.0,0.00090267677,0.0103857304402772
Resolving-Mac,Il18,Il18rap,ECs,1.0,32.42639166666667,0.379736100377594,0.6666666666666666,0.104464,0.0238624183015867,3.387390579066667,0.0090614216714234
Resolving-Mac,Nrg2,Erbb3,ECs,1.0,0.6557553333333334,0.6211304181723175,0.6666666666666666,0.0748716666666666,0.0128743500349005,0.0490974947322222,0.0079966504208745
Resolving-Mac,Amelx,Lamp2,ECs,0.3333333333333333,0.141536,0.1364429047330914,1.0,47.13631833333333,0.0571367855114776,6.671485951626666,0.0077959089822976
Resolving-Mac,Ntf5,Ngfr,ECs,0.3333333333333333,0.2720966666666667,0.3532280977938443,0.6666666666666666,0.0810866666666666,0.0205614972482324,0.0220634117111111,0.0072628985607865
Resolving-Mac,Amelx,Lamp1,ECs,0.3333333333333333,0.141536,0.1364429047330914,1.0,47.50824466666666,0.0454611344279869,6.724126917141333,0.006202849233816
Resolving-Mac,Icosl,Icos,ECs,1.0,13.60421466666667,0.4289924256681337,0.3333333333333333,0.0099713333333333,0.0121546411335501,0.1356521591795556,0.0052142489830073
Resolving-Mac,Ntf5,Ntrk2,ECs,0.3333333333333333,0.2720966666666667,0.3532280977938443,1.0,0.1798956666666667,0.0107091855186456,0.0489490112477777,0.0037827852296725
Resolving-Mac,Pgf,Flt1,ECs,0.3333333333333333,0.0749753333333333,0.0041495390365515,1.0,86.066935,0.8916716774694496,6.452897140603333,0.0037000264334468
