Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Slit2,Robo2,ECs,0.0,-1.9963,0.0212258561597034,0.0,0.2823436666666667,0.6826000593408283,1.620813515225444,0.6682253629763786
FAPs,Slit3,Robo2,ECs,0.0,23.759470333333333,0.0115022471824292,0.0,0.2823436666666667,0.6826000593408283,24.40524163087777,0.6497360929352094
FAPs,Wnt1,Fzd4,ECs,0.6666666666666667,0.2318689999999999,0.7389583103658887,0.0,-10.23406233333333,-0.0793667352297566,4.288740934924666,0.2939364569216154
FAPs,Fgf17,Fgfr3,ECs,0.3333333333333333,0.4613726666666667,0.3289728333198597,0.0,-2.287712333333334,-0.1128119765613806,0.9032364296516668,0.2043535866675692
FAPs,Adm,Ramp3,ECs,0.0,3.2202456666666706,0.1047591963088491,0.6666666666666667,0.5193230000000001,0.1708397812781232,10.888967100820892,0.1702430397418247
FAPs,Lgi3,Adam22,ECs,0.0,0.0004546666666671,0.1373029552902935,0.0,0.512372333333333,0.1300836729339212,0.8238674834546671,0.1503608826782161
FAPs,Wnt1,Fzd9,ECs,0.6666666666666667,0.2318689999999999,0.7389583103658887,0.0,-0.5735666666666667,-0.1813287966395472,0.0713996042559999,0.1456176944849371
FAPs,Wnt1,Fzd8,ECs,0.6666666666666667,0.2318689999999999,0.7389583103658887,0.0,-0.7199633333333342,-0.0106646427792303,0.4062670052513333,0.1391310488246639
FAPs,Lgi2,Adam22,ECs,0.0,0.2095063333333331,0.0220146723801559,0.0,0.512372333333333,0.1300836729339212,2.0196310169491096,0.1298799823702267
FAPs,Cxcl12,Itgb3,ECs,0.0,235.8833006666667,0.1660727467137699,0.0,0.6007350000000002,0.0268972792081279,1709.9894886517989,0.1208310143544904
