Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Col9a2,Mag,M1,0.0,0.4564676666666667,0.5118305918464446,0.0,-0.1066219999999998,0.354148647354754,0.0956302607688888,0.4765188681597551
FAPs,Cxcl5,Cxcr2,M1,0.0,-23.965009333333324,0.0099922098814297,0.6666666666666667,2.2717586666666665,0.3798497708494739,45.94636282553202,0.3570294042060108
FAPs,Ccl28,Ccr3,M1,0.0,0.0387326666666666,0.5402948896627364,0.0,0.150254,0.1667138855897184,0.0289379892491111,0.3275726633577569
FAPs,Adm,Ramp3,M1,0.0,-3.2202456666666706,0.0099550205891619,0.0,0.0503949999999999,0.5326777699315004,0.4895016119749997,0.3064299157764179
FAPs,Col1a1,Cd36,M1,0.0,1339.511637333333,0.0033098389011562,0.0,362.7771173333333,0.282745322637415,1551296.9795451525,0.2751181983416636
FAPs,Serpinf1,Plxdc1,M1,0.0,121.9767353333334,-0.0188030291181338,0.0,-0.0244566666666674,0.276165516535367,630.3463849402488,0.2571208068202008
FAPs,Bdnf,Sort1,M1,0.0,0.3054480000000001,0.5676102501960592,0.0,3.654232333333333,0.1959435593483602,2.814319825377555,0.2356934119660801
FAPs,Cxcl1,Cxcr2,M1,0.0,-18.258270666666675,-0.0038406129910002,0.6666666666666667,2.2717586666666665,0.3798497708494739,546.0390512858897,0.233050865224594
FAPs,Amelx,Lamp1,M1,0.0,0.4241386666666669,0.4826071331600347,0.0,148.49665300000004,0.0632718182159229,310.81324574525826,0.227738486139559
FAPs,Ngf,Sort1,M1,0.0,1.727891,0.4438258666220777,0.0,3.654232333333333,0.1959435593483602,21.85744492770899,0.1974471165447157
FAPs,Hc,C5ar1,M1,0.0,-0.0852216666666667,-0.0673466127972576,0.0,90.89815733333332,0.3506256323998052,0.2384028838272232,0.1882661178819561
FAPs,Rspo3,Sdc4,M1,0.0,2.6287226666666674,0.0055218896400274,0.0,8.292839999999991,0.180368285536529,119.963495985296,0.1794343397515382
FAPs,Mdk,Sdc4,M1,0.0,25.826852,0.187173160782655,0.0,8.292839999999991,0.180368285536529,878.490481318292,0.1744391231596335
FAPs,Sema3d,Nrp1,M1,0.0,0.5334506666666663,0.4228286702853296,0.0,59.98686266666671,0.1352393112604898,96.69987365029016,0.1739174076231029
FAPs,Agrp,Sdc3,M1,0.0,-0.0202756666666665,0.5597712295611272,0.0,2.183374333333333,-0.0277319190617222,0.3492554448808889,0.1737594426099648
FAPs,Serping1,Lrp1,M1,0.0,-136.12262966666665,0.1611484934303197,0.0,131.79349000000002,0.1472778011787927,56756.051642292674,0.1731895547271499
FAPs,Ccl11,Ccr3,M1,0.0,-21.481518,0.0739154271832109,0.0,0.150254,0.1667138855897184,5.69954577615534,0.1717067427026861
FAPs,Amelx,Cd63,M1,0.0,0.4241386666666669,0.4826071331600347,0.0,76.20083133333333,0.0579051613433044,149.84784745941965,0.1626222439300483
FAPs,Adam12,Sdc4,M1,0.0,28.141297666666677,-0.0141194202573043,0.0,8.292839999999991,0.180368285536529,1424.534986094051,0.1601039866332806
FAPs,Sema3c,Nrp2,M1,0.0,-0.3134473333333414,0.0396357858056154,0.0,26.52829333333333,0.1701336510767416,293.8300657442479,0.1600132342116632
FAPs,Inhba,Bambi,M1,0.0,-0.5083236666666671,0.3513885576521009,0.0,0.8901103333333331,0.1354580607130742,2.091730095277777,0.1593840698003722
FAPs,Cxcl5,Cxcr1,M1,0.0,-23.965009333333324,0.0099922098814297,0.33333333333333337,0.1197833333333334,0.1668707536319053,2.224028755792,0.158579722466967
FAPs,Slit2,App,M1,0.0,1.9963,0.1287850422591757,0.0,122.83008333333332,0.137737657156437,1186.2768901626723,0.1574319673158314
FAPs,Mdk,Lrp1,M1,0.0,25.826852,0.187173160782655,0.0,131.79349000000002,0.1472778011787927,8079.654316050413,0.1570243110956926
FAPs,Thbs2,Itga6,M1,0.0,92.50430266666658,0.034558989424718,0.0,81.2670606666667,0.1570746194973244,25866.844727327043,0.1568909493641157
FAPs,Vtn,Itgav,M1,0.0,2.822054999999997,0.481417687292698,0.0,32.15992200000002,0.0564776325148287,497.48113467012615,0.1560191114430668
FAPs,Ccl5,Ccr1,M1,0.0,-2.632778000000001,0.2667417562411611,0.0,35.453987666666684,0.2765905186358647,138.725411873859,0.154980960930449
FAPs,Amelx,Lamp2,M1,0.0,0.4241386666666669,0.4826071331600347,0.0,33.76746100000011,0.0228588243170633,123.99056808873908,0.1513183536572412
FAPs,Vtn,Plaur,M1,0.0,2.822054999999997,0.481417687292698,0.0,-5.390011333333341,-0.0026944818727979,66.88850957343993,0.1512772237559652
FAPs,Ccl5,Ccr3,M1,0.0,-2.632778000000001,0.2667417562411611,0.0,0.150254,0.1667138855897184,0.377700643060667,0.1506149686512607
