Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cxcl5,Cxcr1,Resolving-Mac,0.0,23.965009333333324,0.0257110534687011,0.3333333333333333,0.2247636666666667,0.2784910421686726,11.011354131333112,0.2948679810058799
FAPs,Cxcl13,Cxcr3,Resolving-Mac,0.0,44.53557099999999,0.0918412454005366,0.0,0.4412993333333341,0.2416615783259865,74.14151459432922,0.2620066831363504
FAPs,Cxcl1,Cxcr1,Resolving-Mac,0.0,18.258270666666675,0.0400690437194065,0.3333333333333333,0.2247636666666667,0.2784910421686726,58.949996893256994,0.2513407018092086
FAPs,Ccl20,Cxcr3,Resolving-Mac,0.6666666666666667,0.7207250000000001,0.0,0.0,0.4412993333333341,0.2416615783259865,1.220390043744556,0.2416615783259865
FAPs,Cxcl12,Cxcr3,Resolving-Mac,0.0,235.8833006666667,0.1660727467137699,0.0,0.4412993333333341,0.2416615783259865,477.4627858190792,0.2311039872200354
FAPs,Ccl11,Cxcr3,Resolving-Mac,0.0,21.481518,-0.0008170030225496,0.0,0.4412993333333341,0.2416615783259865,60.10284848833293,0.2254698660917811
FAPs,Ccl21b,Cxcr3,Resolving-Mac,0.33333333333333337,0.300199,0.3529386367354125,0.0,0.4412993333333341,0.2416615783259865,0.5233375640572223,0.2239663427977857
FAPs,Il7,Il7r,Resolving-Mac,0.0,0.5231863333333333,0.4011264669628958,0.0,7.89084033333333,0.0155276202314406,17.161412125864672,0.1994285700586109
FAPs,Ccl21b,Ccr7,Resolving-Mac,0.33333333333333337,0.300199,0.3529386367354125,0.33333333333333337,0.702329,0.1191762072179075,0.6306996264126666,0.1870483659732704
FAPs,Wnt1,Lrp6,Resolving-Mac,0.6666666666666667,0.2318689999999999,0.7389583103658887,0.0,0.1748986666666603,0.0154843220268628,5.247757557726667,0.186465608510972
FAPs,Penk,Oprm1,Resolving-Mac,0.0,13.886497,-0.0020953032112576,0.0,0.2103206666666666,0.1477005188920051,10.811051024872672,0.1463022661333061
