Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Wnt3,Fzd8,ECs,0.0,0.1476616666666667,0.8963487597425698,0.0,-0.7199633333333342,-0.0106646427792303,0.2540218519566667,0.1697930403661461
Inflammatory-Mac,Slit1,Robo2,ECs,0.0,-0.0370963333333334,0.0316231130666782,0.0,0.2823436666666667,0.6826000593408283,0.1222835237231111,0.152584927364396
Inflammatory-Mac,Wnt3,Ryk,ECs,0.0,0.1476616666666667,0.8963487597425698,0.0,-3.23100066666667,-0.0576050399318243,1.0535872090722218,0.1167943063441198
Inflammatory-Mac,Wnt3,Lrp6,ECs,0.0,0.1476616666666667,0.8963487597425698,0.0,-3.021663333333329,-0.025481371367992,1.3885802151766673,0.0944349500752732
Inflammatory-Mac,Il27,Il27ra,ECs,0.0,1.6467383333333327,0.1651046736838564,0.0,-0.8388096666666671,-0.0212085486744652,0.65811916056489,0.0722332131363279
Inflammatory-Mac,Npy,Prlhr,ECs,-0.33333333333333337,-0.3500600000000001,-0.1375612941276609,0.3333333333333333,0.1504826666666667,0.7920955062877905,0.0668714721355556,0.0716140009628523
Inflammatory-Mac,Col4a3,Cd93,ECs,0.3333333333333333,0.055612,0.1249357998947603,0.0,-48.550064333333296,-0.1093206973691647,8.997035436086334,0.0650363783632835
Inflammatory-Mac,Alcam,L1cam,ECs,0.0,13.157895999999996,0.0375134366843356,0.0,1.337413999999999,0.0747271477156184,120.1462726461293,0.0544413722458425
Inflammatory-Mac,F2,F2rl3,ECs,0.3333333333333333,0.180931,0.0685970921530595,0.0,-5.703952666666667,-0.2021523534697644,0.5141682177680003,0.0442089003698977
Inflammatory-Mac,Cxcl2,Cxcr2,ECs,0.0,15.077440666666618,-0.0333789481244998,0.0,0.0498606666666667,0.090777570835046,5.660718192163333,0.038203701119546
Inflammatory-Mac,Wnt3,Fzd7,ECs,0.0,0.1476616666666667,0.8963487597425698,0.0,0.3036016666666665,0.005924424736714,0.1596906599511112,0.0379599984826641
Inflammatory-Mac,Tnfsf10,Tnfrsf10b,ECs,0.0,2.710656666666666,0.0893351590231003,0.0,-5.77725366666666,-0.1562311502286663,13.952533589242336,0.0367640080853663
Inflammatory-Mac,Hras,Cav1,ECs,0.0,1.7232083333333337,0.066310388767423,0.0,-113.9390360000001,-0.0860559902715997,513.8220559527331,0.0367266737435133
Inflammatory-Mac,F2,Thbd,ECs,0.3333333333333333,0.180931,0.0685970921530595,0.0,-7.4123750000000115,-0.0949623714197407,5.247631004675666,0.0348584329406827
Inflammatory-Mac,App,Cav1,ECs,0.0,19.53646833333333,0.0614598975603098,0.0,-113.9390360000001,-0.0860559902715997,2810.109315006622,0.03111742305299
Inflammatory-Mac,Vasp,Cxcr2,ECs,0.0,7.293183666666664,-0.0043189236305518,0.0,0.0498606666666667,0.090777570835046,2.665565896532,0.0286965946400641
Inflammatory-Mac,Tnfsf13,Fas,ECs,0.0,3.1277200000000005,0.1260049072299632,0.0,1.3222316666666671,0.0222787644198946,17.41287565812945,0.0286767699082642
Inflammatory-Mac,Icam4,Itgb3,ECs,0.0,0.263867666666667,0.0334379805407341,0.0,0.6007350000000002,0.0268972792081279,2.336308795534446,0.0284963923065153
Inflammatory-Mac,Adam15,Itgb3,ECs,0.0,4.391064666666669,0.0385083813606932,0.0,0.6007350000000002,0.0268972792081279,39.70016737737609,0.0283847767600788
Inflammatory-Mac,Ltf,Lrp11,ECs,0.0,0.0495706666666666,0.6758247595735005,0.0,-0.3711013333333333,-0.1047711008651191,0.0206126789875555,0.0269729814755336
