Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Cfp,Ncr1,Inflammatory-Mac,0.0,11.994235666666668,0.009133107687361,0.0,0.0447376666666666,0.6542980054751664,2.159730180038112,0.2801629882521654
Inflammatory-Mac,Wnt3,Fzd7,Inflammatory-Mac,0.0,0.1476616666666667,0.8963487597425698,0.0,1.2653106666666665,0.0083358966232078,0.9483437628700002,0.225448085910013
Inflammatory-Mac,Ifnb1,Ifnar1,Inflammatory-Mac,0.3333333333333333,0.2308143333333334,0.4442852708663446,0.0,8.966203,0.0456787883097816,12.820697707570892,0.1855434734683488
Inflammatory-Mac,Ifnb1,Ifnar2,Inflammatory-Mac,0.3333333333333333,0.2308143333333334,0.4442852708663446,0.0,-5.061981333333307,-0.0317104039959172,22.69183484245544,0.173500162282699
Inflammatory-Mac,Ltf,Lrp1,Inflammatory-Mac,0.0,0.0495706666666666,0.6758247595735005,0.0,9.675315666666606,-0.0136625736324618,7.040753456307327,0.1715010888556251
Inflammatory-Mac,Wnt3,Lrp6,Inflammatory-Mac,0.0,0.1476616666666667,0.8963487597425698,0.0,-2.4865436666666696,-0.0160933239182576,2.3340728152633337,0.1578071301780718
Inflammatory-Mac,Cd40lg,Cd40,Inflammatory-Mac,0.0,-0.0423846666666665,0.0,0.0,14.780615,0.1563662524961506,0.108802099944778,0.1563662524961506
Inflammatory-Mac,B2m,Gm11127,Inflammatory-Mac,0.0,764.859782333333,-0.02024639886573,0.33333333333333337,0.233915,0.3256353915277615,1593.261300077235,0.1266709198684089
Inflammatory-Mac,Pglyrp1,Trem1,Inflammatory-Mac,0.0,0.731729666666667,0.1121826509897931,0.0,0.2950260000000009,0.1278516035334581,1.597277861908112,0.1116962968006902
Inflammatory-Mac,Ltf,Lrp11,Inflammatory-Mac,0.0,0.0495706666666666,0.6758247595735005,0.0,0.2856413333333331,0.0048612718139469,0.0581941483919999,0.1048610573775807
Inflammatory-Mac,Gnas,Avpr2,Inflammatory-Mac,0.0,10.996521000000016,0.0326038861694495,-0.3333333333333333,0.035594,0.5974284205558126,4.517383546686332,0.1043394504258511
Inflammatory-Mac,Dll3,Notch2,Inflammatory-Mac,0.0,-0.0037749999999999,0.2310646808433653,0.0,5.855815666666672,0.0068925535048339,0.8275153595278901,0.0981812582879155
