Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Lgi1,Rtn4r,FAPs,0.6666666666666667,0.05931216666666667,0.7237422199170124,0.0,0.14753433333333327,0.0,0.01397051831816667,0.7237422199170124
MuSCs,Fgf5,Fgfr2,FAPs,0.16666666666666669,1.2199581666666666,0.7825479339666589,0.0,0.4302259999999993,0.025148434891450574,4.604597634318055,0.6745218099398016
MuSCs,Crlf1,Cntfr,FAPs,0.0,12.866564666666665,0.6725415754200893,0.0,-1.4795229999999997,-0.15878479322741834,66.42203558606954,0.5211376038889886
MuSCs,Lgi1,Adam23,FAPs,0.6666666666666667,0.05931216666666667,0.7237422199170124,0.0,10.984553000000002,-0.1588839636799546,1.7597538765713892,0.5178245075402794
MuSCs,Cck,Cckbr,FAPs,0.0,2.877813166666667,0.5210614385258325,0.33333333333333337,0.395565,0.532234488368204,1.5031605688877776,0.4932961850773296
MuSCs,Fgf5,Fgfr1,FAPs,0.16666666666666669,1.2199581666666666,0.7825479339666589,0.0,-4.991530999999995,-0.08978475647668849,84.82356948344551,0.4796280650633193
MuSCs,Vtn,Tnfrsf11b,FAPs,0.0,100.20411833333333,0.6254908197918541,0.0,0.6502739999999998,-0.14045358247058892,234.78974404713472,0.4716279087452768
MuSCs,Wnt5b,Fzd2,FAPs,0.16666666666666669,0.2451478333333333,0.5805405941028068,0.0,-6.270295666666662,-0.10278166010246703,2.1658000554579453,0.4658235427580808
MuSCs,Nppc,Npr3,FAPs,-0.16666666666666663,7.624027833333333,0.8650147653539774,0.33333333333333337,0.5624406666666666,-0.15622668177716234,7.2796493929463875,0.4636351797288681
MuSCs,Vtn,Itgb6,FAPs,0.0,100.20411833333333,0.6254908197918541,0.0,-0.06529100000000021,0.1849351096214832,438.4844804695008,0.4635447974028583
MuSCs,Efnb3,Ephb2,FAPs,0.33333333333333337,0.7436001666666667,0.4729199720931074,0.0,-2.2717203333333336,-0.002160397435379991,3.993198422233944,0.4315481683765953
MuSCs,Ereg,Egfr,FAPs,0.16666666666666669,0.022943833333333292,0.6009397190107804,0.0,-1.4437876666666654,-0.0605275876432172,1.2558496084503314,0.4226350353577669
MuSCs,Cck,Cckar,FAPs,0.0,2.877813166666667,0.5210614385258325,0.6666666666666667,0.7433993333333333,0.17627445743077974,2.810926287658111,0.40866695372912776
MuSCs,Btc,Egfr,FAPs,-0.16666666666666663,5.4085825000000005,0.5444556868154684,0.0,-1.4437876666666654,-0.0605275876432172,329.6809058239597,0.381695984598268
MuSCs,Il1rapl1,Ptprs,FAPs,0.6666666666666667,0.15798466666666666,0.8939812374828713,0.0,-14.927928333333336,-0.20563111303692486,5.134338055273666,0.3787263795416559
MuSCs,Il11,Il11ra1,FAPs,0.33333333333333337,3.813960666666667,0.5652052474773499,0.0,2.073263999999988,-0.06699650996254503,144.6539794539562,0.36923319182762654
MuSCs,Efnb3,Ephb3,FAPs,0.33333333333333337,0.7436001666666667,0.4729199720931074,0.0,-8.650845666666669,-0.11827264335190635,9.808290535642444,0.3627681756756673
MuSCs,Bmp2,Bmpr1b,FAPs,0.0,6.445833333333333,0.4563308944105701,0.0,-2.719926,-0.11541495844665685,7.677280680165333,0.3602479784616349
MuSCs,Timp3,Agtr2,FAPs,0.0,112.5463375,0.3422877618601391,0.0,1.7411183333333335,0.1626711041336174,456.91398279416006,0.3593612603470551
MuSCs,Lgi4,Adam23,FAPs,0.0,8.19006616666667,0.4946744195727209,0.0,10.984553000000002,-0.1588839636799546,241.08250893315483,0.3513866282914576
MuSCs,Slitrk1,Ptprs,FAPs,0.0,0.520458,0.8296162959022415,0.0,-14.927928333333336,-0.20563111303692486,16.743323322680332,0.3431323749879278
MuSCs,L1cam,Cntn1,FAPs,0.0,10.140299333333333,0.3088039112028189,0.3333333333333333,-0.049597666666666616,0.4722016003849845,0.6329220398724443,0.34211483927577424
MuSCs,Fgf1,Fgfr2,FAPs,0.0,8.937898333333333,0.38079818851450203,0.0,0.4302259999999993,0.025148434891450574,34.007372091940105,0.3340592443493016
MuSCs,Ngf,Ntrk1,FAPs,0.0,15.415038,0.4987389796758313,0.0,0.09890966666666667,-0.07154267443499718,2.615490230836,0.3307814999879497
MuSCs,Bmp4,Bmpr1b,FAPs,0.33333333333333337,9.258279166666666,0.39391508012510096,0.0,-2.719926,-0.11541495844665685,12.164750550169668,0.3182596626921783
MuSCs,Il11,Il6st,FAPs,0.33333333333333337,3.813960666666667,0.5652052474773499,0.0,1.706845666666709,0.029883074416739708,483.68383317041116,0.29869059127176545
MuSCs,L1cam,Ephb2,FAPs,0.0,10.140299333333333,0.3088039112028189,0.0,-2.2717203333333336,-0.002160397435379991,58.93772427462754,0.28190732442017
MuSCs,Pdgfa,Pdgfra,FAPs,0.0,27.097949333333325,0.2753157290427289,0.0,54.252883333333386,0.01476295997351329,5185.463146657782,0.2764587665966789
MuSCs,Inhba,Tgfbr3,FAPs,0.6666666666666667,5.597309666666668,0.5375901007078914,0.0,12.864835000000001,-0.015558193498015238,302.7128141759788,0.2746006700088683
MuSCs,Slitrk6,Ptprs,FAPs,-0.5,2.9716828333333334,0.7287253406942913,0.0,-14.927928333333336,-0.20563111303692486,91.299966147253,0.2713830939391716
MuSCs,Wnt5b,Fzd8,FAPs,0.16666666666666669,0.2451478333333333,0.5805405941028068,0.0,-2.6611233333333333,-0.20619316312886252,1.4501399627001113,0.269606915657097
MuSCs,Artn,Gfra1,FAPs,0.16666666666666669,1.135268333333333,0.4621960369850003,0.0,-7.529303666666667,-0.29973628856127266,11.250669598154998,0.2645425418941333
MuSCs,Il1rapl1,Ptprf,FAPs,0.6666666666666667,0.15798466666666666,0.8939812374828713,0.0,-2.074085333333333,-0.4586947729050113,0.532655588172,0.2569705508721293
MuSCs,Ctf1,Il6st,FAPs,0.0,0.8991061666666667,0.4776406271278382,0.0,1.706845666666709,0.029883074416739708,114.34940141790918,0.2551633729679148
MuSCs,Inhba,Acvr2a,FAPs,0.6666666666666667,5.597309666666668,0.5375901007078914,0.0,-1.4039300000000026,-0.030691633800652037,165.13478987739927,0.2457827396001958
MuSCs,Ntrk3,Ptprs,FAPs,0.0,1.6098956666666668,0.6671909103953999,0.0,-14.927928333333336,-0.20563111303692486,52.39904266650933,0.2429714049395962
MuSCs,Ntf3,Ntrk1,FAPs,0.6666666666666667,4.389433333333333,0.3372019972162457,0.0,0.09890966666666667,-0.07154267443499718,0.6839524811934444,0.24069400482131015
MuSCs,Cntf,Cntfr,FAPs,0.0,1.706150833333333,0.3187401843564153,0.0,-1.4795229999999997,-0.15878479322741834,7.743898327070777,0.2344517724839431
MuSCs,Nppc,Npr2,FAPs,-0.16666666666666663,7.624027833333333,0.8650147653539774,0.0,-0.373365999999999,-0.01574199726316805,61.41071849378706,0.2313234634832369
MuSCs,Vtn,Itgb3,FAPs,0.0,100.20411833333333,0.6254908197918541,0.0,0.3285479999999996,0.0636924697161067,310.52527295122934,0.22737370442980065
MuSCs,Tgfa,Egfr,FAPs,0.6666666666666667,0.2663815,0.3052441737182685,0.0,-1.4437876666666654,-0.0605275876432172,16.259953375298,0.2268019478207483
MuSCs,Bmp2,Bmpr1a,FAPs,0.0,6.445833333333333,0.4563308944105701,0.0,-1.949867000000005,-0.1149953014648546,206.55350421603288,0.2267838563774687
MuSCs,L1cam,Egfr,FAPs,0.0,10.140299333333333,0.3088039112028189,0.0,-1.4437876666666654,-0.0605275876432172,616.8365864871365,0.2253209813334519
MuSCs,Inhba,Acvr1,FAPs,0.6666666666666667,5.597309666666668,0.5375901007078914,0.0,-6.638562333333329,-0.05620872531330179,110.01030425729788,0.22247538119995466
MuSCs,Slitrk2,Ptprs,FAPs,-0.16666666666666663,0.08509299999999999,0.510881602900851,0.0,-14.927928333333336,-0.20563111303692486,2.414611628162,0.2206505238099615
MuSCs,Bdnf,Ntrk2,FAPs,0.33333333333333337,0.9722291666666668,0.5676102501960592,0.0,5.05626733333334,-0.3111725058987799,16.528978301156542,0.21800143759674606
MuSCs,Efnb3,Ephb6,FAPs,0.33333333333333337,0.7436001666666667,0.4729199720931074,0.0,0.18733900000000012,-0.02968758215154138,0.7345479397737779,0.2126091206575938
MuSCs,Fgf1,Fgfr1,FAPs,0.0,8.937898333333333,0.38079818851450203,0.0,-4.991530999999995,-0.08978475647668849,618.292387140956,0.2125862914909041
MuSCs,Vtn,Itga5,FAPs,0.0,100.20411833333333,0.6254908197918541,0.0,-2.187217333333308,0.02474032666087728,5117.1470386551755,0.21033930860325573
MuSCs,Artn,Ret,FAPs,0.16666666666666669,1.135268333333333,0.4621960369850003,0.0,-0.9713346666666663,-0.0173597039744543,3.273104322626668,0.2076865882300004
MuSCs,Bmp2,Acvr2a,FAPs,0.0,6.445833333333333,0.4563308944105701,0.0,-1.4039300000000026,-0.030691633800652037,189.5033409470378,0.2061081419162363
MuSCs,Efna5,Epha3,FAPs,0.0,0.27825116666666666,0.20454646463051676,0.0,-29.59159933333333,0.01953658096495392,1.6907814670467811,0.20433988831925184
MuSCs,Bmp4,Bmpr1a,FAPs,0.33333333333333337,9.258279166666666,0.39391508012510096,0.0,-1.949867000000005,-0.1149953014648546,297.492534502008,0.2030239434162485
MuSCs,Ntf3,Ntrk2,FAPs,0.6666666666666667,4.389433333333333,0.3372019972162457,0.0,5.05626733333334,-0.3111725058987799,69.7609283712731,0.2014424177719216
MuSCs,Vtn,Itgav,FAPs,0.0,100.20411833333333,0.6254908197918541,0.0,-12.280986666666665,0.02303593951018124,6990.386146158665,0.1997998659587623
MuSCs,Lama3,Sdc2,FAPs,0.0,2.6330299999999998,0.2790867528820794,0.0,1.863701000000006,-0.02237142758910815,121.63005739093336,0.19093619389379526
MuSCs,Efna5,Ephb2,FAPs,0.0,0.27825116666666666,0.20454646463051676,0.0,-2.2717203333333336,-0.002160397435379991,1.2143064466899451,0.1866414384089912
MuSCs,Inhba,Acvr1b,FAPs,0.6666666666666667,5.597309666666668,0.5375901007078914,0.0,0.07101866666666813,-0.01505097413084744,44.799926919699786,0.18350534574571006
MuSCs,Btc,Erbb2,FAPs,-0.16666666666666663,5.4085825000000005,0.5444556868154684,0.0,0.08872266666666784,-0.048723846741497816,19.980264052968668,0.181119632333416
MuSCs,Mfge8,Itgb3,FAPs,0.0,92.46842216666668,0.4803327138765786,0.0,0.3285479999999996,0.0636924697161067,288.5200869181448,0.17106762435768033
MuSCs,Cntf,Il6st,FAPs,0.0,1.706150833333333,0.3187401843564153,0.0,1.706845666666709,0.029883074416739708,217.60554517580024,0.16976713284614575
MuSCs,Cdh1,Egfr,FAPs,0.6666666666666667,0.19360083333333333,0.21476722606397827,0.0,-1.4437876666666654,-0.0605275876432172,11.805657659869,0.15903497520424836
MuSCs,Tnc,Cntn1,FAPs,0.0,21.854783833333343,0.1350052553173366,0.3333333333333333,-0.049597666666666616,0.4722016003849845,0.6575286212296114,0.15692956551208695
MuSCs,Col18a1,Gpc4,FAPs,0.0,18.325447833333328,0.2866097623403492,0.0,-2.679058999999992,-0.040922132484074725,527.1987548391065,0.15480329386162842
MuSCs,Dhh,Boc,FAPs,0.0,1.0888018333333334,0.21688465392792655,0.0,-0.8624966666666687,-0.1020276519143285,23.458097200932325,0.1541003259541816
MuSCs,Mfge8,Itgav,FAPs,0.0,92.46842216666668,0.4803327138765786,0.0,-12.280986666666665,0.02303593951018124,6377.200518469294,0.15215209232697222
MuSCs,Mdk,Alk,FAPs,0.0,1.2340183333333328,0.13632493377388175,0.0,-0.007113333333333333,0.1940639816100762,0.0248904843922223,0.14808676545753247
MuSCs,Amelx,Cd63,FAPs,0.6666666666666667,1.0691268333333332,0.4214437373103936,0.0,-36.65774266666665,0.021202002001470988,200.0567987445869,0.14685519741646846
MuSCs,Rgma,Neo1,FAPs,0.0,9.7192495,0.2265440207594553,0.0,-23.71604533333332,-0.09599975049693776,336.27208289254054,0.14649342021052048
MuSCs,Ctf1,Lifr,FAPs,0.0,0.8991061666666667,0.4776406271278382,0.0,8.083368333333329,0.009735558749102756,34.11176971415294,0.14318964929694322
MuSCs,Gphb5,Tshr,FAPs,0.6666666666666667,1.40434,0.4524194065527418,0.0,-1.023782,-0.3617736518052935,1.6451420946886668,0.14175463498422733
MuSCs,Bmp6,Bmpr1b,FAPs,0.0,10.835663,0.18846825507337064,0.0,-2.719926,-0.11541495844665685,11.013151143452001,0.1371273622780924
MuSCs,Slit3,Robo1,FAPs,0.0,17.43346783333333,0.15989727082814248,0.0,-7.819533,-0.026806219366570905,369.218943669882,0.1343000783913326
MuSCs,Efnb3,Epha4,FAPs,0.33333333333333337,0.7436001666666667,0.4729199720931074,0.0,-5.281703333333336,-0.2144613429276882,3.2894599499269463,0.1319004053314893
MuSCs,Fgf2,Fgfr2,FAPs,0.0,3.3096825,0.14653974755816876,0.0,0.4302259999999993,0.025148434891450574,12.8566955119355,0.12774503261984216
MuSCs,Wnt6,Fzd7,FAPs,0.16666666666666669,0.3582165,0.5341368547759209,0.0,-1.512948333333335,-0.05867119373358931,2.2247245474261663,0.125370271734013
MuSCs,Lamb2,Rpsa,FAPs,0.0,33.129655,0.2738482963309727,0.0,31.74891633333334,0.08577710077269651,10688.589686370478,0.12306639444107345
MuSCs,Lgi2,Adam23,FAPs,0.33333333333333337,0.7121956666666668,0.16015197095405606,0.0,10.984553000000002,-0.1588839636799546,20.75035812810222,0.12279027922619648
MuSCs,Tfpi,Vldlr,FAPs,0.0,7.142864833333332,0.17484040253653632,0.0,2.601443,0.029605064120886038,39.028488445127614,0.12190103496287638
MuSCs,Col4a3,Itgav,FAPs,0.0,0.8800608333333332,0.3658841334868573,0.0,-12.280986666666665,0.02303593951018124,60.42518058805528,0.1178914717529296
MuSCs,Amelx,Lamp2,FAPs,0.6666666666666667,1.0691268333333332,0.4214437373103936,0.0,4.41302266666662,0.026795320088793817,205.98744331398342,0.11641103967286574
MuSCs,Fzd8,Ckap4,FAPs,0.0,2.207611833333332,0.1781837472456819,0.0,-14.540544666666674,0.049426377668356565,150.9351436149316,0.11456730857272394
MuSCs,Omg,Rtn4r,FAPs,0.0,1.4149711666666671,0.11376808263897405,0.0,0.14753433333333327,0.0,0.4958978424495001,0.11376808263897405
MuSCs,Ntn4,Unc5a,FAPs,0.0,21.58360416666667,0.22933092616311146,0.0,0.5748960000000001,0.06677788991923099,55.16869312522033,0.11293819040393566
MuSCs,Tgfa,Erbb2,FAPs,0.6666666666666667,0.2663815,0.3052441737182685,0.0,0.08872266666666784,-0.048723846741497816,0.9826698132953336,0.11185297226167606
MuSCs,Rgmb,Neo1,FAPs,0.0,10.991290333333332,0.17033660619033772,0.0,-23.71604533333332,-0.09599975049693776,448.16320603162535,0.11144021151932712
MuSCs,Rarres2,Gpr1,FAPs,0.0,28.692170833333336,0.290395904146213,0.0,0.594756333333333,0.0123212206606943,65.71038955014032,0.11019184447032923
MuSCs,L1cam,Erbb2,FAPs,0.0,10.140299333333333,0.3088039112028189,0.0,0.08872266666666784,-0.048723846741497816,37.537911674751115,0.10983609068989482
MuSCs,Bmp2,Bmpr2,FAPs,0.0,6.445833333333333,0.4563308944105701,0.0,-5.49889266666667,-0.032647448251746515,220.31481953098753,0.10860385058143864
MuSCs,Ptn,Alk,FAPs,0.0,3.6896673333333347,0.10266358726983764,0.0,-0.007113333333333333,0.1940639816100762,0.1190242571355556,0.10782496131708433
MuSCs,Slit2,Robo1,FAPs,0.0,0.9195895000000001,0.1253761961779291,0.0,-7.819533,-0.026806219366570905,19.107784133522998,0.10548723972689387
MuSCs,Ntrk3,Ptprf,FAPs,0.0,1.6098956666666668,0.6671909103953999,0.0,-2.074085333333333,-0.4586947729050113,5.438858291740667,0.10327349069198273
MuSCs,L1cam,Itga5,FAPs,0.0,10.140299333333333,0.3088039112028189,0.0,-2.187217333333308,0.02474032666087728,515.3898664448943,0.10242025461414447
MuSCs,Mfge8,Pdgfrb,FAPs,0.0,92.46842216666668,0.4803327138765786,0.0,-12.501248666666687,-0.4691066854696915,7296.048965888422,0.0997696981930738
MuSCs,Lama2,Rpsa,FAPs,0.0,24.03928933333334,0.1891186909755044,0.0,31.74891633333334,0.08577710077269651,8232.208883181756,0.09937750772790388
MuSCs,Col18a1,Itga5,FAPs,0.0,18.325447833333328,0.2866097623403492,0.0,-2.187217333333308,0.02474032666087728,902.2656300121257,0.09878173106752997
MuSCs,Sema6d,Plxna1,FAPs,0.0,44.438072999999996,0.4008341306756309,0.0,2.409288,0.06746409697938541,858.0201789392278,0.09872101358120514
MuSCs,Fgf2,Sdc2,FAPs,0.0,3.3096825,0.14653974755816876,0.0,1.863701000000006,-0.02237142758910815,154.49211689471304,0.0981526072209018
MuSCs,Tnc,Egfr,FAPs,0.0,21.854783833333343,0.1350052553173366,0.0,-1.4437876666666654,-0.0605275876432172,1308.862930626583,0.09756398082738513
MuSCs,L1cam,Itgav,FAPs,0.0,10.140299333333333,0.3088039112028189,0.0,-12.280986666666665,0.02303593951018124,693.6616042911676,0.09731504496591564
MuSCs,Col4a3,Cd47,FAPs,0.0,0.8800608333333332,0.3658841334868573,0.0,12.870145333333356,0.01467197765527084,75.50662449454741,0.09696598616584276
MuSCs,Fgf2,Fgfrl1,FAPs,0.0,3.3096825,0.14653974755816876,0.0,-1.2089923333333346,-0.07692300132873076,29.18530828191966,0.09694901339085313
MuSCs,Bmp4,Bmpr2,FAPs,0.33333333333333337,9.258279166666666,0.39391508012510096,0.0,-5.49889266666667,-0.032647448251746515,318.7427099611391,0.09581013835968202
MuSCs,Cntf,Lifr,FAPs,0.0,1.706150833333333,0.3187401843564153,0.0,8.083368333333329,0.009735558749102756,67.6444177479897,0.09538778779643448
MuSCs,Angptl2,Itga5,FAPs,0.0,30.260003,0.2805500299384487,0.0,-2.187217333333308,0.02474032666087728,1519.306461080047,0.09504397146004118
