Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Saa1,Cd36,ECs,0.0,-0.002050000000000001,0.3138948512790587,0.0,106.54422,0.28701308235263706,0.2453908325966685,0.3651764118530922
Resolving-Mac,Thbs1,Cd36,ECs,0.0,-68.51403333333337,0.15144165414367414,0.0,106.54422,0.28701308235263706,39522.54633807002,0.22667254915523105
Resolving-Mac,Slit1,Robo2,ECs,0.0,-0.11500700000000008,-0.030900772798987286,0.0,0.9662829999999996,0.6629382234197557,0.3667700000596668,0.18686769824048466
Resolving-Mac,Alcam,Nrp1,ECs,0.0,8.178685999999987,0.1370596100473519,0.0,7.353426999999996,0.07300873309753036,1175.145458662516,0.0819339827036015
Resolving-Mac,Fcer2a,Cr2,ECs,0.3333333333333333,0.057868333333333376,0.2050859378642028,0.33333333333333337,-0.09436366666666653,-0.1602401808440238,0.03313157242611115,0.0716806728246818
Resolving-Mac,Fgf18,Fgfr3,ECs,0.3333333333333333,0.3321833333333333,0.08445889950207239,0.0,0.2516396666666658,-0.009200935181336356,1.8431797822081104,0.06881442208802127
Resolving-Mac,Muc2,Agr2,ECs,0.0,0.5720066666666668,0.06253985945356308,0.0,1.4419283333333333,0.007845721807959616,3.064585185161112,0.05979264857869651
Resolving-Mac,Tnfsf13,Fas,ECs,0.0,-0.1629669999999992,0.014893513856881981,0.0,6.247710666666661,0.14238090854342708,17.849722867250446,0.05613681941090706
Resolving-Mac,Ccl12,Ackr4,ECs,0.0,3.7885073333333352,0.2042363758302747,0.0,0.05879866666666667,0.07531614830756715,2.062807230848001,0.04611261438608175
Resolving-Mac,Liph,Lpar4,ECs,0.0,0.1263653333333334,0.10209374173959204,0.0,-2.1996549999999973,0.003170757879725317,0.8970147171802223,0.044099349251875065
Resolving-Mac,Hras,Cav1,ECs,0.0,1.9454646666666668,0.07242564253810099,0.0,-41.09487866666665,-0.07095686958120584,1255.2128949556206,0.04270276919766158
Resolving-Mac,Ccl2,Ackr4,ECs,0.0,-7.469489000000009,0.15980360952270256,0.0,0.05879866666666667,0.07531614830756715,15.121571004824672,0.04197162098448663
Resolving-Mac,Il16,Kcnj15,ECs,0.0,2.0919259999999977,-0.02515396440061413,0.0,-0.4509416666666672,0.17377811780888192,2.37668005288233,0.04110914915590977
Resolving-Mac,Edil3,Itgb3,ECs,0.6666666666666667,0.3379816666666666,0.08899692900537898,0.0,-1.8421043333333345,-0.13478186780559265,1.1415633257552218,0.040957001801384826
Resolving-Mac,Col2a1,Tnfrsf10b,ECs,0.33333333333333337,0.04221599999999999,0.05717407955060305,0.0,-2.288072,-0.023066982532230718,0.5130390309013333,0.037324261972056426
