Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Mrc1,Ptprc,Inflammatory-Mac,0.0,38.45395633333331,0.16805573464867274,0.0,216.23804066666668,0.2367407039002155,49076.25373986347,0.20606563728014202
Resolving-Mac,F13a1,Itga4,Inflammatory-Mac,0.0,15.440175333333285,0.1565806138007244,0.0,43.97899233333334,0.20421771214204176,10038.380597129972,0.19904242486507506
Resolving-Mac,Ccl24,Ccr2,Inflammatory-Mac,0.0,0.3290886666666664,0.12236518504709072,0.0,111.05188333333336,0.1944097552412778,285.18690066227543,0.1938908425325112
Resolving-Mac,Tnfrsf14,Btla,Inflammatory-Mac,0.0,6.861799000000005,-0.06674615358453201,0.6666666666666667,2.9293196666666668,0.5165921522075166,61.05023048248846,0.19039546995079315
Resolving-Mac,Cd80,Cd274,Inflammatory-Mac,0.0,4.618562000000004,0.042559152301200436,0.0,14.743232666666675,0.29403457547968986,367.7301003756022,0.1820008086483614
Resolving-Mac,Il10,Il10ra,Inflammatory-Mac,0.0,1.5475209999999997,0.033832329020974994,0.0,54.28991866666666,0.29701231706050923,1240.9001623865836,0.1690135470697597
Resolving-Mac,Thbs1,Itga4,Inflammatory-Mac,0.0,-68.51403333333337,0.15144165414367414,0.0,43.97899233333334,0.20421771214204176,25941.51182734107,0.16830393345529288
Resolving-Mac,Selplg,Sell,Inflammatory-Mac,0.0,-8.74893800000001,-0.05311241553213397,0.0,25.957033000000006,0.3758946721775948,1744.1476811110413,0.1619480992785064
Resolving-Mac,Ccl12,Ccr2,Inflammatory-Mac,0.0,3.7885073333333352,0.2042363758302747,0.0,111.05188333333336,0.1944097552412778,4030.9566052700625,0.16020907231981096
Resolving-Mac,Cd14,Itga4,Inflammatory-Mac,0.0,10.394668333333328,0.06444158949913892,0.0,43.97899233333334,0.20421771214204176,8323.801299868324,0.14512000717306334
Resolving-Mac,Ccl2,Ccr2,Inflammatory-Mac,0.0,-7.469489000000009,0.15980360952270256,0.0,111.05188333333336,0.1944097552412778,28293.697607950282,0.14056099672957725
Resolving-Mac,F13a1,Itga9,Inflammatory-Mac,0.0,15.440175333333285,0.1565806138007244,0.0,5.303804999999999,0.14934623996659582,1211.587448628524,0.1401067016692354
Resolving-Mac,Csf3,Csf3r,Inflammatory-Mac,0.0,-0.0623800000000001,0.1541931121797976,0.0,18.888748,0.09927146331094944,9.608189412601316,0.13385179064961686
Resolving-Mac,Saa1,Fpr2,Inflammatory-Mac,0.0,-0.002050000000000001,0.3138948512790587,0.0,3.2444820000000005,0.0627683029124532,0.023244294344666683,0.1308914832166319
Resolving-Mac,Il23a,Il12rb1,Inflammatory-Mac,0.0,0.3617166666666658,0.07037832634777523,0.6666666666666667,1.800878,0.4477827327931525,3.4907718601693327,0.13049424169022267
Resolving-Mac,Cd80,Cd28,Inflammatory-Mac,0.0,4.618562000000004,0.042559152301200436,0.0,1.0741646666666669,0.1755688213264045,35.6698711415642,0.11907318901010992
