Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Cxcl2,Cxcr2,Resolving-Mac,0.0,14.654286333333348,0.2165726126545518,0.0,3.122564000000001,0.3699719536501246,1135.5104455795129,0.3902877551068675
Resolving-Mac,Slamf1,Slamf1,Resolving-Mac,0.0,0.016449000000000002,0.4729233753463721,0.0,0.016449000000000002,0.4729233753463721,0.000662209325,0.28972554697113945
Resolving-Mac,Ccl12,Ccr1,Resolving-Mac,0.0,3.7885073333333352,0.2042363758302747,0.0,9.744099999999989,0.2758401930540526,590.2037436729071,0.2728936749838745
Resolving-Mac,Ccl24,Ccr3,Resolving-Mac,0.0,0.3290886666666664,0.12236518504709072,0.33333333333333337,-0.013648666666666642,0.16671388558971845,0.07454853331733324,0.2050337497482987
Resolving-Mac,Ccl12,Ccr3,Resolving-Mac,0.0,3.7885073333333352,0.2042363758302747,0.33333333333333337,-0.013648666666666642,0.16671388558971845,0.7662978767484461,0.2020868285476836
Resolving-Mac,Saa1,Fpr2,Resolving-Mac,0.0,-0.002050000000000001,0.3138948512790587,0.0,3.7678619999999987,-0.042069514821957976,0.0112617152646666,0.1822361297653292
Resolving-Mac,S100a8,Tlr4,Resolving-Mac,0.0,20.16552133333336,0.3211748481709692,0.0,1.008453333333332,0.05158776074013871,692.0383292987729,0.1651659571312986
Resolving-Mac,S100a9,Tlr4,Resolving-Mac,0.0,8.740421000000014,0.2805768839558438,0.0,1.008453333333332,0.05158776074013871,349.19760738825613,0.1504880555298446
Resolving-Mac,Mmp9,Cd44,Resolving-Mac,0.0,3.5629276666666634,0.2099427015133571,0.0,34.70910133333331,0.1082702697116678,1404.6733316892085,0.1435939626178051
Resolving-Mac,Ccl4,Ccr1,Resolving-Mac,0.0,7.021011333333321,-0.040430040545726964,0.0,9.744099999999989,0.2758401930540526,1228.718076066154,0.11873129851792096
Resolving-Mac,Gnai2,Cxcr2,Resolving-Mac,0.0,-5.448064666666625,0.021619360492731776,0.0,3.122564000000001,0.3699719536501246,462.73176972792817,0.1142103177542523
Resolving-Mac,Il1rn,Il1r2,Resolving-Mac,0.0,8.416609666666687,0.0673379102898568,0.0,5.2252743333333305,0.12546449021652928,696.4048140523444,0.1128567822354306
Resolving-Mac,Alcam,Cd6,Resolving-Mac,0.0,8.178685999999987,0.1370596100473519,-0.33333333333333337,0.1240543333333333,0.12052641157954043,6.158312103096775,0.10801349987633868
Resolving-Mac,Cd6,Alcam,Resolving-Mac,-0.33333333333333337,0.1240543333333333,0.12052641157954043,0.0,8.178685999999987,0.1370596100473519,6.158312103096775,0.10801349987633868
Resolving-Mac,Gnai2,C5ar1,Resolving-Mac,0.0,-5.448064666666625,0.021619360492731776,0.0,19.57986433333332,0.3489757563143261,2551.09281982416,0.104703392574408
Resolving-Mac,Cd2,Cd48,Resolving-Mac,0.33333333333333337,0.2747526666666668,0.1426993377859576,0.0,0.7474699999999928,0.05484448573109185,30.760779477623785,0.09514991375000548
Resolving-Mac,Cd48,Cd2,Resolving-Mac,0.0,0.7474699999999928,0.05484448573109185,0.33333333333333337,0.2747526666666668,0.1426993377859576,30.760779477623785,0.09514991375000548
Resolving-Mac,Pf4,Cxcr3,Resolving-Mac,0.0,-125.40772966666668,0.21498608735372535,0.0,0.6285550000000002,-0.08402292756948271,21.129432152239584,0.09396990638482433
Resolving-Mac,Ccl12,Ccr5,Resolving-Mac,0.0,3.7885073333333352,0.2042363758302747,0.0,-2.9740473333333384,-0.03799069120547472,132.4604083698771,0.092842817844126
Resolving-Mac,Il1a,Il1r2,Resolving-Mac,0.0,2.131615333333332,0.01857059004669725,0.0,5.2252743333333305,0.12546449021652928,70.8592935261623,0.08819545697215192
Resolving-Mac,Il17c,Il17re,Resolving-Mac,-0.33333333333333337,0.06773800000000008,-0.1700816584112148,0.6666666666666667,0.11592199999999996,0.2524704403840829,0.19830536143933333,0.08255059246943057
Resolving-Mac,Rps19,C5ar1,Resolving-Mac,0.0,-18.608311999999984,-0.0014019885536020182,0.0,19.57986433333332,0.3489757563143261,853.1822684064882,0.07464169619540295
Resolving-Mac,Pglyrp1,Trem1,Resolving-Mac,0.0,0.9341563333333333,0.025748313732089856,-0.33333333333333337,1.0104719999999965,0.17098592869623164,10.587722233089881,0.06778216988321711
Resolving-Mac,Ccl4,Ccr3,Resolving-Mac,0.0,7.021011333333321,-0.040430040545726964,0.33333333333333337,-0.013648666666666642,0.16671388558971845,1.2311366759482318,0.06440465263325468
Resolving-Mac,Vasp,Cxcr2,Resolving-Mac,0.0,1.793190999999993,-0.03545403204341077,0.0,3.122564000000001,0.3699719536501246,110.9161596316933,0.06377659782080941
Resolving-Mac,Thbs1,Itga2b,Resolving-Mac,0.0,-68.51403333333337,0.15144165414367414,0.0,0.6202313333333334,0.0880898801087386,359.6882460624746,0.06336793351354786
Resolving-Mac,Ccl2,Cxcr3,Resolving-Mac,0.0,-7.469489000000009,0.15980360952270256,0.0,0.6285550000000002,-0.08402292756948271,159.02392271592902,0.05932375723895876
Resolving-Mac,Mmp9,Lrp1,Resolving-Mac,0.0,3.5629276666666634,0.2099427015133571,0.0,-47.166934000000076,-0.004587938750284015,120.53609599010679,0.058517305568847135
Resolving-Mac,F13a1,Itga9,Resolving-Mac,0.0,15.440175333333285,0.1565806138007244,0.0,2.933634333333333,0.01674351675887642,714.0842836671492,0.05693673959674528
Resolving-Mac,Vcam1,Itgb2,Resolving-Mac,0.0,11.618098333333325,0.08066454674989312,0.0,-6.997835666666703,0.058950018663168964,1562.6562207336178,0.050266629752101215
