Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Efna1,Epha7,FAPs,0.0,3.1549833333333304,0.01255808303264705,0.0,0.9092159999999996,0.6983782653718047,22.223478716826428,0.6176696064701486
ECs,Edn1,Ednra,FAPs,0.0,3.749792333333332,0.037318744443385565,0.0,9.167387666666661,0.5202954406873432,221.7508733230789,0.5082702207196779
ECs,Pdgfd,Pdgfrb,FAPs,0.0,3.619401333333325,0.09013387637315697,0.0,12.501248666666687,0.4691066854696915,567.1697057753861,0.4614619477959178
ECs,Pdgfb,Pdgfrb,FAPs,0.0,5.817737666666666,0.1355295796460968,0.0,12.501248666666687,0.4691066854696915,1082.3121932272293,0.4564294756442268
ECs,Bmp2,Bmpr1b,FAPs,0.0,1.221084333333332,0.4526678654826959,0.0,2.719926,0.11541495844665685,12.381447649413333,0.44713012578731387
ECs,Tshb,Tshr,FAPs,0.0,-0.17765466666666807,0.10735434276315414,0.0,1.023782,0.3617736518052935,4.0910680220248885,0.37384666387440463
ECs,Efna4,Epha7,FAPs,0.0,0.312286333333333,0.0051293402767515475,0.0,0.9092159999999996,0.6983782653718047,1.1128528511527782,0.3271850290121606
ECs,Col4a1,Itgb8,FAPs,0.0,70.62771066666664,0.2117503058830721,0.0,-0.2565753333333332,0.3493715799718763,81.78501277588589,0.31484179540821555
ECs,Bmp2,Bmpr1a,FAPs,0.0,1.221084333333332,0.4526678654826959,0.0,1.949867000000005,0.1149953014648546,46.96246803300622,0.31441091371017793
ECs,Bmp4,Bmpr1b,FAPs,0.0,2.2687399999999998,0.27911511480778833,0.0,2.719926,0.11541495844665685,26.926411087010003,0.2928033378996077
ECs,Tgfa,Egfr,FAPs,0.33333333333333337,0.9628376666666668,0.30524417371826873,0.0,1.4437876666666654,0.0605275876432172,61.05892541191434,0.2873295354639656
ECs,Col18a1,Ptprs,FAPs,0.0,26.08674266666667,0.3205006676174028,0.0,14.927928333333336,0.20563111303692486,1557.3681677806985,0.2727847485616911
ECs,Vip,Adcyap1r1,FAPs,0.33333333333333337,0.9302396666666664,0.0,0.0,-1.5681976666666668,0.2701320996784401,1.6789757560742222,0.2701320996784401
ECs,Gphb5,Tshr,FAPs,0.0,0.12915033333333314,0.23428061687697985,0.0,1.023782,0.3617736518052935,1.0969932141372218,0.25781559132424425
ECs,Nppa,Npr3,FAPs,0.0,0.17608733333333335,0.3426139916901641,-0.33333333333333337,-0.5624406666666666,0.15622668177716234,0.05296781961800002,0.25310830234811377
ECs,Tnfsf10,Tnfrsf11b,FAPs,0.0,9.13278433333334,0.14994119935166605,0.0,-0.6502739999999998,0.14045358247058892,3.674790511920655,0.2463048329550125
ECs,Bmp2,Acvr2a,FAPs,0.0,1.221084333333332,0.4526678654826959,0.0,1.4039300000000026,0.030691633800652037,41.53926568610011,0.2283267410567107
ECs,Cxcl12,Cd4,FAPs,0.0,10.802121333333304,0.2114964001777904,0.0,1.4806596666666678,0.3988833574021993,310.1581226592952,0.2247159213336164
ECs,Mfge8,Pdgfrb,FAPs,0.0,-0.12321200000000232,0.18524384762337226,0.0,12.501248666666687,0.4691066854696915,295.65934646406066,0.22120013271554895
ECs,Il23a,Il12rb1,FAPs,0.33333333333333337,2.430791333333333,0.3175733045878661,0.0,-0.01976366666666696,0.2824173665943464,2.3339371698598885,0.22081306914293686
ECs,Npnt,Itga8,FAPs,0.0,1.4713150000000002,0.20958503328747466,0.0,1.0623550000000002,0.389084269689284,4.31217044001,0.2168138472034382
ECs,Bmp4,Bmpr1a,FAPs,0.0,2.2687399999999998,0.27911511480778833,0.0,1.949867000000005,0.1149953014648546,90.06656778763843,0.2109064528134191
ECs,Col18a1,Gpc4,FAPs,0.0,26.08674266666667,0.3205006676174028,0.0,2.679058999999992,0.040922132484074725,939.0276017534726,0.2087001812752607
ECs,Efna1,Epha1,FAPs,0.0,3.1549833333333304,0.01255808303264705,0.0,3.864843333333333,0.23120580584200065,103.73222520819212,0.20608294605081354
ECs,Inhbb,Acvr1,FAPs,0.0,1.1251410000000002,0.3665589185184642,0.0,6.638562333333329,0.05620872531330179,40.31313915644846,0.20275720842487016
ECs,Efna2,Epha7,FAPs,0.33333333333333337,1.5787383333333331,0.1193457505724019,0.0,0.9092159999999996,0.6983782653718047,2.896044194375444,0.19610876617284784
ECs,Inhbb,Acvr2a,FAPs,0.0,1.1251410000000002,0.3665589185184642,0.0,1.4039300000000026,0.030691633800652037,37.043345590435635,0.1954692505100532
ECs,Efna1,Epha4,FAPs,0.0,3.1549833333333304,0.01255808303264705,0.0,5.281703333333336,0.2144613429276882,144.5138366450455,0.19385072424312685
ECs,Lama3,Sdc2,FAPs,0.0,0.757391000000001,0.2262296408286354,0.0,-1.863701000000006,0.02237142758910815,21.83906487543828,0.1749225751750706
ECs,Gnai2,Ednra,FAPs,0.0,43.7093173333333,0.03950022751683452,0.0,9.167387666666661,0.5202954406873432,2514.355687689296,0.1716943909366539
ECs,Vwf,Tnfrsf11b,FAPs,0.0,37.20641,0.04895119195850395,0.0,-0.6502739999999998,0.14045358247058892,38.23239508620397,0.1681283318683574
ECs,Dhh,Boc,FAPs,0.0,1.179829666666667,0.13653006565948156,0.0,0.8624966666666687,0.1020276519143285,29.010166829413123,0.16553055182755672
ECs,Bmp2,Rgmb,FAPs,0.0,1.221084333333332,0.4526678654826959,0.0,0.3284243333333343,0.10957782901860252,12.701293770222886,0.16386265853680365
ECs,Bmp6,Bmpr1b,FAPs,0.0,-14.410474999999998,0.09630843393974298,0.0,2.719926,0.11541495844665685,2.3847504894279936,0.16062805600838848
ECs,Tgfa,Erbb2,FAPs,0.33333333333333337,0.9628376666666668,0.30524417371826873,0.0,-0.08872266666666784,0.048723846741497816,3.4113138587995557,0.1605768190031739
ECs,Hspg2,Ptprs,FAPs,0.0,33.20476233333335,0.07923914062976167,0.0,14.927928333333336,0.20563111303692486,4523.817544972383,0.15489289797082625
ECs,Il16,Cd4,FAPs,0.0,0.18046033333333303,0.12970345526327634,0.0,1.4806596666666678,0.3988833574021993,6.17158570716445,0.14711470398754573
ECs,Il15,Il2rb,FAPs,0.0,1.9376836666666657,0.1169719159807377,0.0,-0.17551099999999994,0.35695165146729185,0.3638587444059991,0.1392641988786591
ECs,Inhbb,Acvr1b,FAPs,0.0,1.1251410000000002,0.3665589185184642,0.0,-0.07101866666666813,0.01505097413084744,8.81074369041044,0.13879677440119753
ECs,Nid1,Ptprf,FAPs,0.0,20.389937666666672,0.06506410187439117,0.0,2.074085333333333,0.4586947729050113,246.95382179230998,0.1338236461255395
ECs,Bmp2,Bmpr2,FAPs,0.0,1.221084333333332,0.4526678654826959,0.0,5.49889266666667,0.032647448251746515,63.82730190367664,0.13312643249380401
ECs,Efnb2,Epha4,FAPs,0.0,-2.5500979999999984,-0.04177778918997088,0.0,5.281703333333336,0.2144613429276882,189.77800035282328,0.13242206638094325
ECs,Bmp15,Bmpr1b,FAPs,0.0,-0.09559366666666667,0.033943956702591434,0.0,2.719926,0.11541495844665685,0.3643504308253332,0.12727231233260605
ECs,Gnai2,Tshr,FAPs,0.0,43.7093173333333,0.03950022751683452,0.0,1.023782,0.3617736518052935,252.9803221068602,0.12527611306219388
ECs,Egf,Egfr,FAPs,0.0,0.18277566666666675,0.15129503360769234,0.0,1.4437876666666654,0.0605275876432172,11.551863175285002,0.12485488732981732
ECs,Efna5,Epha7,FAPs,0.0,0.25006666666666666,0.06685488822689689,0.0,0.9092159999999996,0.6983782653718047,0.4445337517182221,0.12437925549601893
ECs,Dll4,Notch3,FAPs,0.0,-6.743202333333336,0.013086384004176943,0.0,1.177035,0.1247259439787198,0.7432664316722537,0.12422675664078407
ECs,Ntn1,Unc5c,FAPs,0.0,0.3225703333333334,0.10534128662462157,0.0,1.0063623333333331,0.15773183149425662,2.471980972118333,0.12412232213271768
ECs,Bmp4,Rgmb,FAPs,0.0,2.2687399999999998,0.27911511480778833,0.0,0.3284243333333343,0.10957782901860252,24.072218770411677,0.11727557291800958
ECs,Il16,Kcnj15,FAPs,0.0,0.18046033333333303,0.12970345526327634,0.0,3.079242,0.17377811780888186,11.053269795447559,0.11628353186498885
ECs,Robo2,Robo2,FAPs,0.0,-0.9662829999999996,-0.6629382234197557,0.33333333333333337,0.7619076666666665,0.6723598456091898,0.11353667950055547,0.11399140952545395
ECs,Efna2,Epha3,FAPs,0.33333333333333337,1.5787383333333331,0.1193457505724019,0.0,29.59159933333333,-0.01953658096495392,128.6284661564115,0.11310022218626208
ECs,Tff3,Ackr3,FAPs,0.6666666666666667,0.3425573333333334,0.4609396709909231,0.0,-6.721460666666664,-0.09496190907620096,0.06813742997933314,0.1117420351960466
ECs,Efna4,Epha1,FAPs,0.0,0.312286333333333,0.0051293402767515475,0.0,3.864843333333333,0.23120580584200065,5.647611202851219,0.10897034455987174
ECs,Col18a1,Itgb1,FAPs,0.0,26.08674266666667,0.3205006676174028,0.0,24.64416699999998,0.049582796623619564,5023.2040350363,0.10829571517579127
ECs,Fgf13,Scn8a,FAPs,0.0,0.0976986666666666,0.128843832669093,0.0,0.28587199999999996,0.22657321052464885,0.1405975742266667,0.1081521425568414
ECs,Dhh,Ptch2,FAPs,0.0,1.179829666666667,0.13653006565948156,0.0,1.0882206666666674,0.07092333809443246,9.31003885289256,0.10515476695323167
ECs,Ntn1,Neo1,FAPs,0.0,0.3225703333333334,0.10534128662462157,0.0,23.71604533333332,0.09599975049693776,70.45337069985031,0.1048482767704517
ECs,Efna4,Epha4,FAPs,0.0,0.312286333333333,0.0051293402767515475,0.0,5.281703333333336,0.2144613429276882,7.9905500188805485,0.10217832462294392
ECs,Efna2,Epha4,FAPs,0.33333333333333337,1.5787383333333331,0.1193457505724019,0.0,5.281703333333336,0.2144613429276882,24.537425884933885,0.09988756769701776
ECs,Nppa,Npr2,FAPs,0.0,0.17608733333333335,0.3426139916901641,0.0,0.373365999999999,0.01574199726316805,1.4948150022882225,0.09862260383440473
ECs,Jag2,Notch3,FAPs,0.0,-0.9335766666666636,0.006432937872995037,0.0,1.177035,0.1247259439787198,15.841321061726733,0.09574673695979093
ECs,Dll1,Notch3,FAPs,0.0,5.336452666666657,0.001863487356826732,0.0,1.177035,0.1247259439787198,50.20124888982724,0.09429955541204238
ECs,Efnb1,Epha4,FAPs,0.0,-0.8092026666666641,-0.014307305619807196,0.0,5.281703333333336,0.2144613429276882,46.205998338046605,0.09425554832350301
ECs,Omg,Rtn4rl1,FAPs,0.0,0.7355989999999999,0.05630394519290341,0.0,0.0017460000000001365,0.4250711095106462,0.502482676482334,0.09383450862493772
ECs,Col18a1,Gpc1,FAPs,0.0,26.08674266666667,0.3205006676174028,0.0,4.856331000000003,0.03498867837495842,407.4371144515105,0.09265639695430654
ECs,Slitrk1,Ptprs,FAPs,-0.3333333333333333,0.010118,0.136717453206365,0.0,14.927928333333336,0.20563111303692486,0.6077731557303333,0.09250168693766264
ECs,Col4a1,Itgb1,FAPs,0.0,70.62771066666664,0.2117503058830721,0.0,24.64416699999998,0.049582796623619564,19617.155521009467,0.0911066555864905
ECs,Col18a1,Itga5,FAPs,0.0,26.08674266666667,0.3205006676174028,0.0,2.187217333333308,-0.02474032666087728,1438.330055011509,0.0889446813598914
ECs,Bmp4,Bmpr2,FAPs,0.0,2.2687399999999998,0.27911511480778833,0.0,5.49889266666667,0.032647448251746515,126.5185142823766,0.08692366066912653
ECs,Vtn,Itga8,FAPs,-0.33333333333333337,-2.4926203333333325,0.14407313249915607,0.0,1.0623550000000002,0.389084269689284,1.0279056958997763,0.08679266420171726
ECs,Clcf1,Crlf1,FAPs,0.0,0.7936316666666667,0.06185205161217479,0.0,1.4323593333333315,0.5599559346441725,5.190048452003,0.08651565483436388
ECs,Crlf1,Cntfr,FAPs,0.3333333333333333,0.4380966666666668,0.08376963004000505,0.0,1.4795229999999997,0.15878479322741834,3.0909735528648894,0.08192340135848818
ECs,Icam4,Itga2b,FAPs,0.0,0.14085333333333327,0.1354667283426657,0.0,0.10962533333333324,0.05633646371257312,0.555487515256889,0.08186569083657216
ECs,Col4a1,Itga1,FAPs,0.0,70.62771066666664,0.2117503058830721,0.0,2.0085746666666697,0.08294525519361644,1338.6854660624567,0.0801574855786184
