Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Lta,Tnfrsf1b,Resolving-Mac,0.6666666666666667,0.6131110000000001,0.6145939716509077,0.0,-20.97166200000004,-0.038649385755377,49.99503321306767,0.2324818662906249
ECs,Lta,Tnfrsf14,Resolving-Mac,0.6666666666666667,0.6131110000000001,0.6145939716509077,0.0,-2.5171969999999995,0.0056500573815455,11.68243680230133,0.2215855634085848
ECs,Cd200,Cd200r1,Resolving-Mac,0.0,20.24997666666665,0.2196352448438905,0.0,-3.102941333333339,0.0269642020260235,114.3444244146964,0.1576517282287502
ECs,Il7,Il7r,Resolving-Mac,0.3333333333333333,0.2540143333333334,0.3391528088556413,0.0,-7.89084033333333,-0.0155276202314406,3.903200976616113,0.1564551183329554
ECs,Cadm3,Cadm1,Resolving-Mac,0.0,3.382942,0.2256235801744041,0.0,-0.0483216666666699,8.70588621267876e-05,43.3017294174803,0.1393201902406265
ECs,Wnt1,Lrp6,Resolving-Mac,0.0,0.0665779999999998,0.5674140151731794,0.0,-0.1748986666666603,-0.0154843220268628,1.489263436490666,0.1309437318292395
ECs,Cel,Cxcr4,Resolving-Mac,0.33333333333333337,0.7362716666666668,0.2966266526537978,0.0,-59.805822000000006,-0.0328178118273763,161.37297287657515,0.122110170157363
ECs,Lta,Tnfrsf1a,Resolving-Mac,0.6666666666666667,0.6131110000000001,0.6145939716509077,0.0,-9.875189999999996,-0.042461044365099,21.46051511146833,0.1016403733717516
ECs,Il7,Il2rg,Resolving-Mac,0.3333333333333333,0.2540143333333334,0.3391528088556413,0.0,-20.04362799999999,-0.0267691368049953,10.87062761975623,0.0942902127047057
ECs,Icam4,Itgb2,Resolving-Mac,0.0,0.6412696666666672,0.2132561674089917,0.0,-26.72780699999996,-0.0050138384401246,26.845676526417577,0.0879223355079671
ECs,Icam4,Itgal,Resolving-Mac,0.0,0.6412696666666672,0.2132561674089917,0.0,-9.181617666666677,-0.0554528649661356,8.106157517146894,0.087867582958663
ECs,Lta,Ltbr,Resolving-Mac,0.6666666666666667,0.6131110000000001,0.6145939716509077,0.0,-5.60790866666667,-0.0748747542623055,5.868799181090779,0.0861058582453904
ECs,Vip,Sctr,Resolving-Mac,0.0,0.2954490000000002,0.0,0.0,0.1657203333333333,0.0825148467875805,0.190037332495889,0.0825148467875805
ECs,Icam4,Itgam,Resolving-Mac,0.0,0.6412696666666672,0.2132561674089917,0.0,-25.295049666666657,-0.0384568321295716,19.893071499091576,0.0809844822519991
ECs,Icam4,Itga4,Resolving-Mac,0.0,0.6412696666666672,0.2132561674089917,0.0,-7.825156333333325,-0.0340946839384789,35.16754547455091,0.0807633615299058
ECs,Il34,Csf1r,Resolving-Mac,0.6666666666666667,1.312951333333333,0.1452804098680998,0.0,-47.83620233333329,-0.0240780382597221,293.9785995760209,0.0707274158385943
ECs,Dll1,Notch2,Resolving-Mac,0.0,6.473581333333341,0.2376728167454772,0.0,-3.4123536666666823,0.0001298525346107,229.25903551416508,0.0704958518458827
ECs,Lipc,Lrp1,Resolving-Mac,0.0,0.7851876666666664,0.298531292977112,0.0,-42.23505399999988,-0.0476885355934758,82.12846688717849,0.0690951662065109
ECs,Dll3,Notch2,Resolving-Mac,0.33333333333333337,0.9334316666666672,0.2217748855285379,0.0,-3.4123536666666823,0.0001298525346107,38.11108153637766,0.0657471524586455
ECs,St6gal1,Cd22,Resolving-Mac,0.0,3.7499086666666672,0.1118733908079127,0.0,-3.3940186666666605,-0.0561309733199247,29.227352404313763,0.0614598132031202
ECs,Tgm2,Sdc4,Resolving-Mac,0.0,18.748419666666663,0.1450280483708343,0.0,-6.189281000000001,0.0299666656575249,128.0283881373839,0.05994007034511
ECs,Arf1,Chrm3,Resolving-Mac,0.0,6.9255739999999975,0.0459823862475867,0.0,0.0045569999999999,0.3126145782468865,0.445503313874001,0.0599355058685188
ECs,Pomc,Mc1r,Resolving-Mac,0.33333333333333337,0.1159556666666667,-0.0880441369962508,0.0,0.274985,0.0758152663310973,0.1784821584392223,0.0597780854992388
ECs,Cxcl12,Cd4,Resolving-Mac,0.0,5.960612000000026,0.1694012091698477,0.0,5.247051666666671,-0.0244630098986061,816.0597800020141,0.0578304092265075
ECs,Pglyrp1,Trem1,Resolving-Mac,0.0,0.2704109999999999,0.112088892427472,0.33333333333333337,0.2968653333333333,0.1309232385226389,0.500463806375,0.0558797867508522
ECs,Agrn,Atp1a3,Resolving-Mac,0.0,16.579895333333344,0.1705388960369508,0.0,-8.662253666666672,-0.062018548611832,100.0901186910338,0.055201936589306
ECs,Cytl1,Ccr2,Resolving-Mac,0.0,-0.014543,0.0,0.0,14.336934333333332,0.0548167390621925,6.847545669021329,0.0548167390621925
ECs,Cirbp,Trem1,Resolving-Mac,0.0,4.605372666666664,0.1165335830516058,0.33333333333333337,0.2968653333333333,0.1309232385226389,5.026591294898,0.052809966225586
ECs,Cd160,Tnfrsf14,Resolving-Mac,0.33333333333333337,1.3476723333333334,0.1437090346924212,0.0,-2.5171969999999995,0.0056500573815455,23.611821431594,0.0523538883984195
ECs,Cd9,L1cam,Resolving-Mac,0.0,34.85889033333333,0.1579340678943638,0.0,1.197088,0.0396201479263734,280.09279072183773,0.0522208515166942
ECs,Icam1,Itgax,Resolving-Mac,0.0,15.058112666666666,0.1050277387211792,0.0,-6.119989666666669,-0.02073982571746,466.842175849318,0.0488522444290515
ECs,Pthlh,Pth2r,Resolving-Mac,0.0,0.2043373333333334,0.0677100534906386,0.6666666666666667,0.408045,0.3508245094606761,0.1219735569076667,0.048470961129049
ECs,Agrn,Lrp4,Resolving-Mac,0.0,16.579895333333344,0.1705388960369508,0.0,-0.2801416666666672,0.0112432192908945,34.2113264007819,0.0449681050177342
ECs,Icam4,Itgav,Resolving-Mac,0.0,0.6412696666666672,0.2132561674089917,0.0,-22.71063000000001,-0.0652429700986758,28.884591517591147,0.0440988891267518
ECs,Icam1,Itgb2,Resolving-Mac,0.0,15.058112666666666,0.1050277387211792,0.0,-26.72780699999996,-0.0050138384401246,576.9621873857441,0.0431888654270153
ECs,Il17c,Il17ra,Resolving-Mac,0.6666666666666667,0.7863330000000002,0.1343394387824515,0.0,-4.97484166666667,-0.0454847966205103,11.335850541081887,0.0426695287017637
ECs,Icam1,Itgal,Resolving-Mac,0.0,15.058112666666666,0.1050277387211792,0.0,-9.181617666666677,-0.0554528649661356,171.99536147875892,0.0420301143029882
ECs,Inhbb,Acvr1b,Resolving-Mac,0.0,2.905806,0.3410841586562237,0.0,-1.0590866666666674,-0.0370100155857713,9.834408983432,0.0418382991964413
ECs,Pros1,Mertk,Resolving-Mac,0.0,10.476965333333332,0.0960801964228895,0.0,-3.656443999999994,-0.0602844625916122,480.71683205512,0.0400093579423865
ECs,Icam1,Itgam,Resolving-Mac,0.0,15.058112666666666,0.1050277387211792,0.0,-25.295049666666657,-0.0384568321295716,416.5667117005171,0.0390215857484655
ECs,Icam5,Itgb2,Resolving-Mac,0.0,0.705464333333333,0.0959602473666899,0.0,-26.72780699999996,-0.0050138384401246,20.502323266132805,0.0384983112939606
ECs,Mfng,Notch2,Resolving-Mac,0.0,14.34131066666666,0.128320456344754,0.0,-3.4123536666666823,0.0001298525346107,551.5328207879058,0.0381032587620525
ECs,Gnas,Vipr1,Resolving-Mac,0.0,60.64696000000001,0.0550598926929764,0.0,1.0659149999999995,0.0254680035682157,359.6849452242016,0.0359507345499959
ECs,Myoc,Fzd7,Resolving-Mac,0.6666666666666667,0.9512846666666668,0.1540911879521,0.0,-2.5685876666666667,-0.0617399897150761,4.200762921800889,0.0357475419785043
ECs,Csf1,Csf1r,Resolving-Mac,0.0,3.22639633333333,0.0748474007534281,0.0,-47.83620233333329,-0.0240780382597221,252.54840669791972,0.0352500346133221
ECs,Flt3l,Flt3,Resolving-Mac,0.0,3.776045333333333,0.1577371058579644,0.0,0.5692889999999999,-0.0017513026691354,9.446574929762,0.0352080005706473
ECs,Sema4g,Plxnb2,Resolving-Mac,0.6666666666666667,0.5314413333333333,0.1070407132713435,0.0,-14.333920666666671,-0.035273175165592,35.16728689079021,0.0347053846808286
ECs,Serpine1,Lrp1,Resolving-Mac,0.0,27.014362,0.1512197342014321,0.0,-42.23505399999988,-0.0476885355934758,2326.362703332308,0.0345342341540782
ECs,Vim,Cd44,Resolving-Mac,0.0,522.0171299999998,0.1331716527740435,0.0,-11.163969333333412,-0.0017210438727319,47055.60834096851,0.0342060059013875
ECs,Col4a6,Cd93,Resolving-Mac,0.0,0.1321106666666667,0.1967134713729368,0.0,-20.611705666666676,-0.0801989501958391,7.239652924824891,0.0334677731084937
ECs,Gnai2,Ccr5,Resolving-Mac,0.0,52.7600653333333,0.0958657426394979,0.0,-8.879600666666676,-0.0045562127237258,785.5065893479969,0.0329497680152534
ECs,Serpinc1,Lrp1,Resolving-Mac,0.0,2.8320896666666666,0.1559312774087964,0.0,-42.23505399999988,-0.0476885355934758,185.9528688286672,0.0319509851736375
ECs,Wnt1,Fzd9,Resolving-Mac,0.0,0.0665779999999998,0.5674140151731794,0.0,0.0430503333333334,0.0035176597326921,0.009158012861,0.030710933661707
ECs,Npnt,Itga8,Resolving-Mac,0.0,0.427464,0.020550156035169,0.33333333333333337,0.3349673333333333,0.0614199334100096,0.789702582262,0.0296187351316136
ECs,Gnai2,C5ar1,Resolving-Mac,0.0,52.7600653333333,0.0958657426394979,0.0,-7.062035999999999,-0.0568897042856992,375.6995588125128,0.0288598473331141
ECs,Tff3,Cxcr4,Resolving-Mac,0.0,0.3694346666666662,0.0766628656179753,0.0,-59.805822000000006,-0.0328178118273763,48.5477872173071,0.0288014326704612
ECs,Icam1,Spn,Resolving-Mac,0.0,15.058112666666666,0.1050277387211792,0.0,-1.4785023333333336,-0.0654055850440186,8.438244869267649,0.0285688692574799
ECs,Vcam1,Itgad,Resolving-Mac,0.0,5.018989000000008,0.0493041133045767,0.0,-0.0158866666666666,0.012440570938787,1.3223442735832247,0.0284092959833689
ECs,Inhbb,Acvr1,Resolving-Mac,0.0,2.905806,0.3410841586562237,0.0,-0.3551809999999999,-0.0109059942267311,15.32465711669,0.0281857513695179
ECs,Icam5,Itgal,Resolving-Mac,0.0,0.705464333333333,0.0959602473666899,0.0,-9.181617666666677,-0.0554528649661356,5.815356567154538,0.0277631666063767
ECs,Bsg,Slc16a7,Resolving-Mac,0.0,12.909259999999996,0.054306560137591,0.0,2.312901333333329,0.0206563333453406,296.7531761423289,0.0270683864574459
ECs,Ntn1,Adora2b,Resolving-Mac,0.0,-0.084664666666667,0.0687958336901441,0.33333333333333337,0.563961000000001,0.0918525683322187,0.7519132188052229,0.0266246069395526
ECs,Sema4a,Plxnb2,Resolving-Mac,0.0,6.767241666666663,0.0890439160655483,0.0,-14.333920666666671,-0.035273175165592,366.3963000978049,0.0264572146598048
ECs,Fgf2,Sdc4,Resolving-Mac,0.0,0.5933866666666671,0.0716548639280674,0.0,-6.189281000000001,0.0299666656575249,9.416340901235332,0.026365364578874
ECs,Enho,Gpr19,Resolving-Mac,0.0,0.038505,0.1010282552514287,0.0,0.438363,0.0606523730371633,0.0690185559329999,0.0261985877105044
