Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Ccl28,Ccr10,ECs,0.0,0.038732666666666686,0.5402948896627364,0.3333333333333333,0.15953233333333328,0.4987796535360872,0.04738221869788892,0.6307887394077171
FAPs,Nppc,Npr2,ECs,0.33333333333333337,1.0896016666666668,0.8145264811490002,0.0,1.2655693333333424,0.049547839264199145,20.91235480611811,0.5189350913642399
FAPs,Efnb3,Rhbdl2,ECs,0.33333333333333337,0.6050853333333336,0.4648821785120758,0.33333333333333337,0.07366700000000015,0.0,1.1305895207071115,0.4648821785120758
FAPs,Cck,Cckbr,ECs,0.0,0.9625053333333328,0.4505339256004921,0.0,0.08542999999999996,0.4995267348989646,0.2605628369717779,0.4006668686713161
FAPs,Efnb3,Ephb4,ECs,0.33333333333333337,0.6050853333333336,0.4648821785120758,0.0,5.945997333333324,0.013993024447860549,26.572005297179565,0.3728986188487108
FAPs,Wnt5a,Mcam,ECs,0.0,0.2201123333333319,-0.002063282880810924,0.0,35.115975333333296,0.3718625006965308,225.8839029767477,0.3609632073145083
FAPs,Nppa,Npr1,ECs,0.0,0.1765463333333334,0.33999476738478274,0.0,6.168974666666671,0.021432726134871568,8.25816744995278,0.3291476643032604
FAPs,Vtn,Itgb3,ECs,0.0,2.822054999999997,0.481417687292698,0.0,1.8421043333333345,0.13478186780559265,32.39940865038745,0.32434583535522976
FAPs,Efnb3,Ephb1,ECs,0.33333333333333337,0.6050853333333336,0.4648821785120758,0.0,0.938717,-0.15138212280506969,2.032287982211112,0.3197906261113169
FAPs,Inha,Tgfbr3,ECs,0.33333333333333337,0.3634573333333333,0.4898322667801976,0.0,8.132973999999987,0.1875902435767044,13.72221122753556,0.3016169993645873
FAPs,Tnfsf15,Tnfrsf25,ECs,0.3333333333333333,0.6454366666666665,0.4448516755813829,0.0,0.2939673333333328,0.056459513825931285,3.4603413247019987,0.29875882618918875
FAPs,Artn,Ret,ECs,0.0,0.2943303333333329,0.509263587401255,0.0,1.6460366666666668,0.1302413322291634,2.9149093613461114,0.2834031139977905
FAPs,Col1a1,Itga2,ECs,0.0,1339.5116373333335,0.0033098389011562146,0.0,1.5053303333333328,0.2659488415870376,9882.961954864151,0.2600967390531458
FAPs,Wnt16,Lrp5,ECs,0.0,0.2395186666666667,0.5678922379193239,0.0,1.0439493333333267,0.04415396067652394,4.5177495962555545,0.25305723360310683
FAPs,Btc,Erbb2,ECs,0.33333333333333337,0.1743203333333333,0.5444556868154683,0.0,1.1920363333333333,0.17789076809339846,1.198821437424334,0.24635724115053365
FAPs,Nppc,Npr3,ECs,0.33333333333333337,1.0896016666666668,0.8145264811490002,0.0,-0.2617519999999999,0.0461015556442364,0.08001912817377771,0.23905996732041795
FAPs,Pspn,Ret,ECs,0.0,0.8026423333333339,0.3596496445515498,0.0,1.6460366666666668,0.1302413322291634,6.602914752577219,0.2384211718220077
FAPs,Col8a1,Itga2,ECs,0.0,52.110575666666676,-0.0077397270349653935,0.0,1.5053303333333328,0.2659488415870376,422.6269058264508,0.2383335687777678
FAPs,Col8a1,Itga1,ECs,0.0,52.110575666666676,-0.0077397270349653935,0.0,-10.293612333333336,0.2646765745806857,1429.1413362275125,0.2377931067419408
