Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Robo2,Robo2,FAPs,0.33333333333333337,0.7619076666666665,0.675554047635206,0.33333333333333337,0.7619076666666665,0.675554047635206,0.7453816354074442,0.7656762900521571
FAPs,Slit2,Robo2,FAPs,0.0,1.9963,-0.0212258561597034,0.33333333333333337,0.7619076666666665,0.675554047635206,6.537412169284109,0.6404000188990207
FAPs,Slit3,Robo2,FAPs,0.0,-23.759470333333333,-0.0115022471824292,0.33333333333333337,0.7619076666666665,0.675554047635206,40.10686063937033,0.6316886296380714
FAPs,Gdf1,Bmpr1a,FAPs,0.6666666666666667,0.1745553333333333,0.7580277031576177,0.0,1.949867000000005,0.094925114229631,5.981876144774888,0.5242929735352254
FAPs,Ntf3,Ntrk3,FAPs,0.0,1.7641696666666662,0.0993335845902236,-0.33333333333333337,-0.0144366666666667,0.6304022656692938,0.0051296034418888,0.3910200644732476
FAPs,Gdf1,Acvr1,FAPs,0.6666666666666667,0.1745553333333333,0.7580277031576177,0.0,6.638562333333329,0.1070328354887349,4.667719445336444,0.3904282438783196
FAPs,Nlgn3,Nrxn1,FAPs,0.6666666666666667,0.5950533333333334,0.3305187742908843,0.0,-0.005987,0.3190689864009249,0.0147521788945555,0.3872306595376643
FAPs,Slitrk1,Ptprs,FAPs,0.6666666666666667,0.0776783333333333,0.534613909911285,0.0,14.927928333333334,0.0617714359621449,3.831030686104444,0.3171550210674843
FAPs,Bdnf,Ntrk2,FAPs,0.0,0.3054480000000001,0.2845821762445497,0.0,-5.056267333333341,0.0164488875157992,3.116926949776444,0.2753327346151277
FAPs,Pspn,Gfra4,FAPs,0.0,0.8026423333333339,-0.0093139501538381,0.33333333333333337,0.5389329999999999,0.3501677951247038,2.3838037625047783,0.2442546240607956
FAPs,Fasl,Fas,FAPs,-0.3333333333333333,0.1654423333333333,0.4426700713409091,0.0,1.043037,0.1259386957814738,1.769186218324667,0.2376228784039424
FAPs,Efna5,Ephb2,FAPs,0.0,0.838295333333333,0.2121240394538567,0.0,2.2717203333333336,0.0509480104323978,9.435107071037892,0.2263514304988986
FAPs,Bmp7,Bmpr1b,FAPs,0.0,-0.0301856666666666,0.1796925481238823,0.0,2.719926,0.0708352706790004,0.0220806324393334,0.2261053636338501
FAPs,Shank1,Sstr2,FAPs,0.0,0.4377396666666671,-0.0101338546273308,0.33333333333333337,0.6716463333333333,0.2764645270963585,0.9640074877396664,0.2217284886137245
FAPs,Cort,Sstr2,FAPs,0.3333333333333333,0.029573,-0.0841953090426316,0.33333333333333337,0.6716463333333333,0.2764645270963585,0.1862189421088889,0.2190930763048949
FAPs,Gdf1,Bmpr2,FAPs,0.6666666666666667,0.1745553333333333,0.7580277031576177,0.0,5.49889266666667,0.0204951781596555,7.061365343872889,0.2085440366025066
FAPs,Ncam1,Gfra1,FAPs,0.0,15.648750333333332,0.2338922607801692,0.0,7.529303666666671,0.0825374159258067,331.34146509879537,0.2065258657972271
FAPs,Nppc,Npr3,FAPs,0.33333333333333337,1.089601666666667,0.2856996744986783,-0.33333333333333337,-0.5624406666666666,-0.0988040749808347,0.2207955025514444,0.2017953395553992
FAPs,Efna5,Epha3,FAPs,0.0,0.838295333333333,0.2121240394538567,0.0,29.59159933333333,-0.0128802563429127,80.34199636373752,0.1963884376768628
FAPs,Ncam1,Robo1,FAPs,0.0,15.648750333333332,0.2338922607801692,0.0,7.819533,0.0346429642001976,523.357866844815,0.1963227712247862
FAPs,Efna5,Epha1,FAPs,0.0,0.838295333333333,0.2121240394538567,0.0,3.864843333333333,0.1685667139302478,10.571372307791554,0.1814434788549037
FAPs,Efna5,Epha7,FAPs,0.0,0.838295333333333,0.2121240394538567,0.0,0.9092159999999996,0.0253314841897366,1.9077526854931115,0.1775138897149573
FAPs,Efnb3,Ephb2,FAPs,0.33333333333333337,0.6050853333333336,0.163431640769883,0.0,2.2717203333333336,0.0509480104323978,5.907571964211113,0.1771018610855774
FAPs,Nppa,Npr3,FAPs,0.0,0.1765463333333334,0.2157531211300455,-0.33333333333333337,-0.5624406666666666,-0.0988040749808347,0.0496977346936667,0.1728049190095564
