Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cd59b,Cd2,Inflammatory-Mac,0.0,1.0084953333333329,0.174770407705842,0.33333333333333337,0.2996156666666666,0.4413345567236464,1.458109387272555,0.3607496675091628
FAPs,Ccl11,Cxcr3,Inflammatory-Mac,0.0,-21.481518,0.0008170030225496,0.33333333333333337,1.325763,0.225549841687621,45.829778222279,0.2112251072417419
FAPs,Ngf,Sort1,Inflammatory-Mac,0.0,1.727891,0.5006531091175379,0.0,-0.4804713333333339,0.0154929541234583,8.410164461852,0.178840619961712
FAPs,Cxcl10,Cxcr3,Inflammatory-Mac,0.0,-8.71693133333332,0.1455887119926449,0.33333333333333337,1.325763,0.225549841687621,162.0559106936535,0.172141820006993
FAPs,Mdk,Itga4,Inflammatory-Mac,0.0,25.826852,0.1872310956988074,0.0,3.269366333333366,0.0402379322717959,2401.429981289847,0.1326957378880295
FAPs,Myl9,Cd69,Inflammatory-Mac,0.0,12.083532666666672,0.1787861501466384,0.0,-12.959878999999994,0.0085314601476659,81.6921749036594,0.1282551428097885
FAPs,Lgi2,Adam11,Inflammatory-Mac,0.0,-0.2095063333333331,-0.0220146723801559,0.0,0.3081526666666668,0.1349426690094946,0.9931662677351116,0.1245067146739694
FAPs,Lgi4,Adam11,Inflammatory-Mac,0.0,-0.820923333333333,0.0560140171548945,0.0,0.3081526666666668,0.1349426690094946,0.5857959843522227,0.1182140925027892
FAPs,Gdf1,Bmpr2,Inflammatory-Mac,0.6666666666666667,0.1745553333333333,0.7580277031576177,0.0,-0.0871656666666709,-0.0117408298802358,4.119466953860889,0.1175532639203535
FAPs,Lgals1,Ptprc,Inflammatory-Mac,0.0,48.784040000000005,0.1750755712785637,0.0,-92.161051,0.0019737650434231,221.0494319480058,0.1015292014511945
FAPs,Bdnf,Sort1,Inflammatory-Mac,0.0,0.3054480000000001,0.2845821762445497,0.0,-0.4804713333333339,0.0154929541234583,1.6247031698271108,0.1012457031232907
FAPs,Spon1,Lrp8,Inflammatory-Mac,0.0,0.9118593333333304,0.0987031728625321,0.0,1.3127673333333332,0.1699742684764427,16.090702072702893,0.1006562013612456
FAPs,Ctf1,Lifr,Inflammatory-Mac,0.0,0.2287873333333333,0.3187276855639853,0.0,-0.9839656666666698,-0.0019009746374988,7.116041846331889,0.0910526286697603
FAPs,Slitrk1,Ptprs,Inflammatory-Mac,0.6666666666666667,0.0776783333333333,0.534613909911285,0.0,3.30625233333334,0.0027254122093735,1.1019402012498896,0.0858399997257779
FAPs,Ccl2,Cxcr3,Inflammatory-Mac,0.0,-52.776929333333285,0.0125756031503105,0.33333333333333337,1.325763,0.225549841687621,47.2941948775175,0.085778216377234
FAPs,Efna5,Epha1,Inflammatory-Mac,0.0,0.838295333333333,0.2121240394538567,0.0,1.114476000000001,0.034797488784347,6.29204871936667,0.0826954432373739
FAPs,Adam11,Itga4,Inflammatory-Mac,0.6666666666666667,0.317722,0.1255210043178329,0.0,3.269366333333366,0.0402379322717959,29.63867550875835,0.0818344784411615
FAPs,Fasl,Fas,Inflammatory-Mac,-0.3333333333333333,0.1654423333333333,0.4426700713409091,0.0,-1.1918926666666678,-0.0079697934154601,0.5217330950331107,0.0814698095096368
