Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Ngf,Ngfr,MuSCs,0.0,1.727891,0.5006531091175379,0.0,-0.8268048333333331,-0.1108164285845071,3.217425333655668,0.3551246243258408
FAPs,Mdk,Tspan1,MuSCs,0.0,25.826852,0.1872310956988074,0.5,0.2691373333333333,0.2184073303989446,20.99242785523778,0.2202009853269479
FAPs,Efna5,Ephb6,MuSCs,0.0,0.838295333333333,0.2121240394538567,0.0,0.5244491666666671,0.1235010601786397,1.954977572887056,0.216142456087042
FAPs,Bdnf,Ngfr,MuSCs,0.0,0.3054480000000001,0.2845821762445497,0.0,-0.8268048333333331,-0.1108164285845071,0.8062268354081111,0.2048019098540347
FAPs,Efna5,Epha5,MuSCs,0.0,0.838295333333333,0.2121240394538567,0.0,0.0006811666666666,-0.0115290115290116,0.0211661541217222,0.2026401975175716
FAPs,Ncam1,Ptprz1,MuSCs,0.0,15.648750333333332,0.2338922607801692,0.0,-0.2855281666666667,-0.0853653261369423,4.923998410560439,0.2003219543300498
FAPs,Efnb3,Ephb6,MuSCs,0.33333333333333337,0.6050853333333336,0.163431640769883,0.0,0.5244491666666671,0.1235010601786397,1.202707260300667,0.1730936508446572
FAPs,Gdf1,Bmpr1a,MuSCs,0.6666666666666667,0.1745553333333333,0.7580277031576177,0.0,-7.15339,-0.105525689065494,2.054755409720666,0.1568596788924078
FAPs,Agt,Agtr2,MuSCs,0.0,-0.3376096666666659,-0.0391130980713262,0.0,0.1786998333333334,0.1437232637492237,0.3750657375928887,0.1325378557673303
FAPs,Mdk,Ptprz1,MuSCs,0.0,25.826852,0.1872310956988074,0.0,-0.2855281666666667,-0.0853653261369423,7.98743492469578,0.1173327221431875
FAPs,Gdf1,Acvr1,MuSCs,0.6666666666666667,0.1745553333333333,0.7580277031576177,0.0,-5.3494856666666655,-0.1083743566887077,1.355295233141111,0.0893048525862786
FAPs,Gdf1,Bmpr2,MuSCs,0.6666666666666667,0.1745553333333333,0.7580277031576177,0.0,-6.990328499999997,-0.0591969081796862,3.308071192641,0.0857730083949637
FAPs,Ngf,Ntrk1,MuSCs,0.0,1.727891,0.5006531091175379,-0.16666666666666669,-0.0030616666666667,0.0246506502607024,0.0276986228053333,0.0843758197917168
FAPs,Slitrk1,Ptprs,MuSCs,0.6666666666666667,0.0776783333333333,0.534613909911285,0.0,-0.2673951666666703,-0.0448946947576945,0.944327994779056,0.056654037079975
FAPs,Efnb1,Ephb6,MuSCs,0.0,0.615083333333331,-0.0047276278967776,0.0,0.5244491666666671,0.1235010601786397,5.498473154787501,0.0526511723048913
FAPs,Tnfsf15,Tnfrsf25,MuSCs,0.3333333333333333,0.6454366666666665,0.1799755746675541,0.0,0.9023736666666672,-0.0518192357288934,2.0364386968348893,0.0521991530575789
FAPs,Ptprz1,Ncam1,MuSCs,0.0,0.037341,0.0853653261369425,0.0,-21.03446766666667,-0.2505169419871557,1.2622718352677782,0.047952468247335
FAPs,Ngf,Sort1,MuSCs,0.0,1.727891,0.5006531091175379,0.0,-0.8475813333333331,-0.033564504421284,1.5791559937556665,0.0457708118274663
FAPs,Nlgn3,Nrxn2,MuSCs,0.6666666666666667,0.5950533333333334,0.3305187742908843,0.5,0.0545309999999999,0.0508126002075456,0.063723764013,0.0452119096797671
FAPs,Ntn3,Cdon,MuSCs,0.0,0.4627189999999993,0.0896280173552225,0.0,-1.7766068333333322,-0.032032161652072,10.10262268464988,0.0423679263157159
FAPs,Tnc,Cntn1,MuSCs,0.0,174.31434366666673,0.0078068807854781,0.0,0.1364345000000001,0.0401319847376122,70.06422746068085,0.0400287910701668
