Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Myl9,Cd69,Resolving-Mac,0.0,12.083532666666672,0.5388394404004447,0.0,0.44896233333333946,0.24679361278924286,160.0803807582712,0.3567566074538961
FAPs,Adam11,Itga4,Resolving-Mac,0.6666666666666667,0.3177220000000001,0.4520663996494079,0.0,-9.120821000000001,0.2176031960396279,15.382451507484346,0.3216869295909254
FAPs,Serpinf1,Plxdc1,Resolving-Mac,0.0,121.97673533333335,-0.01880302911813381,0.0,2.3401153333333333,0.31206869748651583,1582.7391710126426,0.2925381420044916
FAPs,Vcam1,Itgad,Resolving-Mac,0.0,4.770806999999991,0.08728708215226938,0.0,-0.005498333333333383,0.479038912421611,0.38860696245277815,0.2742166181334672
FAPs,C1qtnf1,Avpr2,Resolving-Mac,0.0,2.9910546666666686,0.30736202781811445,-0.3333333333333333,0.07111966666666668,-0.06987146221003082,0.906644526151778,0.2607382158321689
FAPs,Mdk,Itga4,Resolving-Mac,0.0,25.826851999999995,0.1871731607826549,0.0,-9.120821000000001,0.2176031960396279,1272.2355716233005,0.2534804064307401
FAPs,Gnas,Vipr1,Resolving-Mac,0.0,120.43504066666672,0.10046491575180494,0.0,-0.2175973333333333,0.5138968673946425,71.32656017177759,0.2435290824723084
FAPs,Bdnf,Sort1,Resolving-Mac,0.0,0.30544800000000005,0.5676102501960592,0.0,3.7665993333333336,0.19941544813439305,2.7555827649568894,0.2304484064998376
FAPs,Thbs2,Itga4,Resolving-Mac,0.0,92.50430266666659,0.034558989424718016,0.0,-9.120821000000001,0.2176031960396279,3349.8374236504915,0.2265316890537432
FAPs,Vtn,Plaur,Resolving-Mac,0.0,2.822054999999997,0.481417687292698,0.0,-7.9189083333333565,-0.004781214898647468,95.87487604759708,0.21881348746533305
FAPs,Ccl28,Ccr3,Resolving-Mac,0.0,0.038732666666666686,0.5402948896627364,-0.33333333333333337,0.013648666666666642,-0.16671388558971845,0.014258132565777763,0.2127222263049795
FAPs,Ngf,Sort1,Resolving-Mac,0.0,1.727891,0.4438258666220777,0.0,3.7665993333333336,0.19941544813439305,21.707739565895988,0.19357900935216169
FAPs,Amelx,Lamp1,Resolving-Mac,0.0,0.4241386666666671,0.4826071331600347,0.0,102.57744366666662,0.01935138134729641,254.51620996037101,0.1922117664604606
FAPs,Agrp,Sdc3,Resolving-Mac,0.0,-0.02027566666666658,0.5597712295611272,0.0,9.910488,0.012614781865217084,6.541378301992908,0.18830704714484486
FAPs,Sema5a,Plxnb3,Resolving-Mac,0.0,13.896469333333327,0.4036574181335658,0.33333333333333337,-0.09178766666666666,0.16101752992806856,4.2475484785561095,0.1810520591383292
FAPs,Tgfb3,Tgfbr1,Resolving-Mac,0.0,31.58902233333332,0.16061390833107647,0.0,10.55533599999999,0.13444100949165946,2866.149471430091,0.1789330563617047
FAPs,Amelx,Lamp2,Resolving-Mac,0.0,0.4241386666666671,0.4826071331600347,0.0,37.679891,0.025492720701449367,138.41326950522713,0.16892995614894665
FAPs,Qrfp,P2ry14,Resolving-Mac,0.0,0.6736456666666664,0.17191433597965722,0.0,-0.19077400000000025,0.3158612629820241,2.0796546352833345,0.1610895923029342
FAPs,Fasl,Fas,Resolving-Mac,-0.3333333333333333,0.16544233333333333,0.4743792995873979,0.0,1.7054880000000001,0.09642114379014492,1.4193831341272232,0.14615824337547584
FAPs,Col9a2,Mag,Resolving-Mac,0.0,0.4564676666666667,0.5118305918464445,0.0,-0.1167326666666666,0.07613237014607419,0.008928391217111128,0.14564424360827471
FAPs,Tgfb2,Tgfbr1,Resolving-Mac,0.0,4.244907000000003,0.17105077431148696,0.0,10.55533599999999,0.13444100949165946,386.5558688088526,0.13685081614174338
FAPs,Vtn,Itgav,Resolving-Mac,0.0,2.822054999999997,0.481417687292698,0.0,20.45613833333332,0.014231452136658829,382.03686006477926,0.1367186556251408
FAPs,Podxl2,Sell,Resolving-Mac,0.0,0.8972123333333342,-0.0226781754944681,0.0,8.730649333333332,0.3739216185598172,52.211702863668116,0.1324560587022473
FAPs,Btc,Erbb3,Resolving-Mac,0.33333333333333337,0.1743203333333333,0.5444556868154683,0.33333333333333337,0.12000099999999993,0.14732974704308915,0.18283755918444444,0.1319453908457689
FAPs,Col1a1,Cd36,Resolving-Mac,0.0,1339.5116373333335,0.0033098389011562146,0.0,167.42087233333336,0.12584595630268428,732286.0572552804,0.12251077685381742
FAPs,Wnt10b,Fzd7,Resolving-Mac,0.0,0.1361123333333334,0.1884751677983203,0.0,2.29118,0.09397748650555077,1.1943478074740004,0.11998128652337688
FAPs,Icam1,Itgal,Resolving-Mac,0.0,2.7069113333333306,0.05366121336087648,0.0,0.03078066666666857,0.3167967574575292,65.99654339679694,0.1154104314143436
FAPs,Icam5,Itgal,Resolving-Mac,0.0,0.0507273333333329,-0.01818305664019609,0.0,0.03078066666666857,0.3167967574575292,1.2600121404582332,0.11422114605697699
FAPs,Dll3,Notch2,Resolving-Mac,-0.3333333333333333,0.4197233333333332,0.257487762305548,0.0,-6.349185000000006,0.02188196561075134,19.392742220989998,0.11081607534362717
FAPs,Amelx,Cd63,Resolving-Mac,0.0,0.4241386666666671,0.4826071331600347,0.0,39.89046366666662,0.016164132427555492,93.99684521583241,0.10559996600212478
FAPs,Bmp8a,Tgfbr1,Resolving-Mac,0.33333333333333337,0.5810810000000002,0.1442354239084762,0.0,10.55533599999999,0.13444100949165946,42.930871972286,0.10345833873353308
FAPs,Gdf7,Bmpr2,Resolving-Mac,0.0,0.05095566666666666,0.5920994807387618,0.0,2.1615103333333288,0.011647843900158522,1.293576357684778,0.10067038688869334
FAPs,Gdf9,Tgfbr1,Resolving-Mac,-0.33333333333333337,1.5286756666666663,0.04189914042562748,0.0,10.55533599999999,0.13444100949165946,136.422188658342,0.10014780608725482
