Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Ccl5,Gpr75,FAPs,0.33333333333333337,28.048041666666663,0.5333131106310846,0.33333333333333337,0.4153296666666665,0.4097248156380407,18.010912133895104,0.3777868245439243
M1,Btla,Cd79a,FAPs,0.6666666666666667,2.9293196666666668,0.5165921522075165,0.0,-0.1051836666666659,0.1246450013365468,4.477517328795224,0.2877144801403838
M1,Ccl5,Sdc1,FAPs,0.33333333333333337,28.048041666666663,0.5333131106310846,0.0,-3.20421766666667,-0.0363129260368215,239.2739849001042,0.2173179066144311
M1,Trf,Tfr2,FAPs,0.0,45.92700133333334,0.154965890798402,0.0,-0.5779539999999993,0.228131359645125,27.953433264977573,0.2082427387978593
M1,Bmp10,Acvr2a,FAPs,0.0,0.4328313333333334,0.3775679283988582,0.0,-1.4039300000000026,-0.030691633800652,12.34314240328312,0.1555403033699778
M1,Il16,Grin2d,FAPs,0.0,4.854766999999999,0.1814281907171254,0.0,0.2097406666666668,-0.024751760044694,11.31003263524877,0.1454614230705588
M1,Il1b,Il1r1,FAPs,0.0,184.3438176666666,0.1921861009675647,0.0,23.8444686666667,0.0042505124662096,19801.955201341592,0.1420634589755705
M1,Pdgfc,Pdgfra,FAPs,0.0,1.8047716666666669,0.1410769496516084,0.0,54.252883333333386,0.0147629599735132,499.8381696595762,0.1419673018883509
M1,Bmp10,Bmpr1a,FAPs,0.0,0.4328313333333334,0.3775679283988582,0.0,-1.949867000000005,-0.1149953014648546,13.33956836523922,0.1314634004282422
M1,Amh,Egfr,FAPs,0.0,0.0150213333333334,0.169613596915109,0.0,-1.4437876666666654,-0.0605275876432171,0.6428126794198903,0.1150231105442974
M1,Agrp,Mc5r,FAPs,0.3333333333333333,0.631842,0.1659577598534139,0.0,-1.5026529999999991,-0.0786182609552421,0.9272652266816662,0.0998951289253556
M1,Tgfb1,Itgb6,FAPs,0.0,26.59092533333333,0.0602712589057911,0.0,-0.0652910000000002,0.1849351096214831,110.06810731395774,0.0974488095634108
M1,Pdgfb,Pdgfra,FAPs,0.0,5.751702666666667,0.0962937123114059,0.0,54.252883333333386,0.0147629599735132,1044.3576132614428,0.0954036796940595
M1,Ccl5,Sdc4,FAPs,0.33333333333333337,28.048041666666663,0.5333131106310846,0.0,8.134128666666667,0.0399161989641327,515.1612291422439,0.0918784869532068
M1,Leap2,Ghsr,FAPs,0.33333333333333337,1.2954556666666663,0.1533680232475473,0.0,0.5764696666666669,-0.1545585853838447,3.318373576782111,0.090315761599438
M1,Tnfsf10,Tnfrsf11b,FAPs,0.0,2.5898903333333325,0.1142035648409607,0.0,0.6502739999999998,-0.1404535824705888,6.461617667462666,0.089368082375021
M1,Tg,Asgr1,FAPs,0.0,0.1055140000000001,0.1020092156142832,0.0,-0.5554516666666669,0.0625232544220388,0.1765764484662221,0.0822787795107332
M1,Bmp10,Bmpr2,FAPs,0.0,0.4328313333333334,0.3775679283988582,0.0,-5.49889266666667,-0.0326474482517465,13.29841707661,0.0739098536015064
M1,Gast,Cckbr,FAPs,0.0,-0.0583226666666665,-0.0060598439230108,0.33333333333333337,0.395565,0.532234488368204,0.1107375868855556,0.0707219069364825
M1,Il17c,Il17re,FAPs,0.33333333333333337,1.4942803333333332,0.2169936798963467,0.0,0.0688463333333332,-0.1144005506451323,0.3260310154105555,0.0681725004819812
M1,Il16,Kcnj15,FAPs,0.0,4.854766999999999,0.1814281907171254,0.0,-3.0792419999999985,-0.1737781178088818,4.572398761483335,0.0680709284900475
M1,Il15,Il15ra,FAPs,0.0,11.631854333333337,0.2349773360816163,0.0,3.236794999999997,-0.0912890811070128,160.39603595830914,0.0676616159855878
M1,Apoe,Lrp1,FAPs,0.0,605.222127333333,0.0558893835988639,0.0,3.271061999999887,0.0965373598423807,119018.4134627803,0.0653587949699774
M1,Bmp10,Eng,FAPs,0.0,0.4328313333333334,0.3775679283988582,0.0,-2.9362133333333347,9.122277108089548e-05,20.181722329003343,0.0642572138693036
M1,Sema4d,Erbb2,FAPs,0.0,40.04195566666667,0.2162222327096525,0.0,0.0887226666666656,-0.0487238467414979,150.15976846064842,0.0625293543474186
M1,C1qb,Lrp1,FAPs,0.0,46.84779333333341,0.0434988758831534,0.0,3.271061999999887,0.0965373598423807,9712.401612991816,0.0624302102631958
M1,Tnfrsf14,Cd160,FAPs,0.0,15.375421333333335,0.2005877578628325,0.0,0.204215,0.0602290000131268,26.362521688899,0.0620850496595096
M1,Efna2,Epha3,FAPs,0.33333333333333337,0.4083846666666667,0.0588325384186042,0.0,-29.59159933333333,0.0195365809649539,0.946241014337108,0.0589774665893305
M1,Il1b,Il1rap,FAPs,0.0,184.3438176666666,0.1921861009675647,0.0,2.7807770000000005,0.0328781367183877,1832.637800276009,0.0584867997101452
M1,Spon1,App,FAPs,0.0,6.314579333333334,0.2023461840219833,0.0,-30.04043199999998,0.0310488720594413,687.5875658076453,0.0583542906657991
M1,Cadm1,Cadm3,FAPs,0.0,5.999535000000004,0.046227134916497,0.0,1.6857089999999997,0.1334286564737445,33.08270872729801,0.057533581585254
M1,Cadm1,Crtam,FAPs,0.0,5.999535000000004,0.046227134916497,0.3333333333333333,0.088625,0.1531149014194192,1.249951947053333,0.0572398963925921
M1,H2-K1,Erbb2,FAPs,0.0,260.1282193333333,0.1814765711075422,0.0,0.0887226666666656,-0.0487238467414979,977.6410040973432,0.0558232958043727
M1,Ebi3,Il6st,FAPs,0.0,2.784871333333334,0.082816013081893,0.0,1.706845666666695,0.0298830744167397,358.235015913713,0.0546292426478252
M1,Apoe,Vldlr,FAPs,0.0,605.222127333333,0.0558893835988639,0.0,2.601443,0.0296050641208861,8132.457003419776,0.0520417467274071
M1,Bmp10,Acvrl1,FAPs,0.0,0.4328313333333334,0.3775679283988582,0.0,1.573170000000001,-0.0619217886642337,8.269897062829564,0.0493351821494457
M1,Sema4d,Plxnb2,FAPs,0.0,40.04195566666667,0.2162222327096525,0.0,-1.948551000000002,0.0065958791634289,1515.8214289153632,0.0484675072562212
M1,Il17c,Il17ra,FAPs,0.33333333333333337,1.4942803333333332,0.2169936798963467,0.0,1.4332633333333291,-0.0011294057597873,16.28845926996078,0.0440819047973609
M1,Cxcl10,Sdc4,FAPs,0.0,75.286077,0.2457011688045491,0.0,8.134128666666667,0.0399161989641327,1497.2825700075753,0.043742910979768
M1,Il15,Il2rb,FAPs,0.0,11.631854333333337,0.2349773360816163,0.0,0.1755109999999999,-0.3569516514672918,10.288822602333664,0.0436188758056437
M1,Spon1,Lrp8,FAPs,0.0,6.314579333333334,0.2023461840219833,0.0,-0.0179713333333328,0.0457214469930946,6.772596818472223,0.0430910277298641
M1,Chad,Itgb1,FAPs,0.6666666666666667,1.2309103333333329,0.182201574055855,0.0,-24.64416699999998,-0.0495827966236197,179.13689245791358,0.040309935087453
M1,Pdgfb,Lrp1,FAPs,0.0,5.751702666666667,0.0962937123114059,0.0,3.271061999999887,0.0965373598423807,1074.8871189667395,0.0398872893608783
M1,Chad,Itga2,FAPs,0.6666666666666667,1.2309103333333329,0.182201574055855,0.0,0.2137370000000004,0.0374451614712408,1.3399407811215551,0.036929978228656
M1,Sema4a,Plxnb2,FAPs,0.0,16.69302166666666,0.1631167997539623,0.0,-1.948551000000002,0.0065958791634289,635.1837857224313,0.0360208660028145
M1,Ntng2,Lrrc4,FAPs,0.0,4.379303666666667,0.1157966612238452,0.0,0.2399236666666668,0.0318448752505128,23.742936714624,0.0352957291905302
