Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Ccl21b,Cxcr3,Inflammatory-Mac,0.0,-0.0191183333333332,0.1464554889153585,0.33333333333333337,1.325763,0.225549841687621,0.4738326410435556,0.2156078396630502
MuSCs,Ccl21b,Ccr7,Inflammatory-Mac,0.0,-0.0191183333333332,0.1464554889153585,0.33333333333333337,0.1106799999999998,0.1287173807116093,0.0034066658727778,0.1588940218618665
MuSCs,Il12a,Il12rb2,Inflammatory-Mac,0.0,-0.7035753333333341,0.1309698538606213,0.0,0.668666,0.0953184736731261,0.2357039399657767,0.128031586890104
MuSCs,Cxcl17,Gpr35,Inflammatory-Mac,0.16666666666666663,0.1054676666666667,0.1088548407148607,0.0,4.984859666666665,0.0414889489541795,6.609687885523224,0.0798141791159708
MuSCs,Cxcl13,Cxcr3,Inflammatory-Mac,0.5,-0.2482915,0.10699914475969,0.33333333333333337,1.325763,0.225549841687621,0.3078566960096669,0.0764704680010831
MuSCs,Epo,Crlf3,Inflammatory-Mac,-0.33333333333333337,0.0600066666666666,0.0868867496772601,0.0,-2.959226333333333,0.0244659254966774,1.8033352422192224,0.0424083656071019
MuSCs,Cd6,Alcam,Inflammatory-Mac,0.5,0.0614668333333333,0.0739507202399195,0.0,-13.157895999999996,-0.0375134366843356,1.376910465423223,0.0415797117867103
MuSCs,Il17f,Il17ra,Inflammatory-Mac,-0.16666666666666669,0.0130423333333332,0.0415201656859626,0.0,-1.513885000000002,0.0326192909900494,0.130408604182779,0.0374075904117949
MuSCs,Pglyrp1,Trem1,Inflammatory-Mac,0.0,0.1925406666666665,0.0562352320388633,0.0,-0.2950260000000009,-0.1278516035334581,0.2409426026697775,0.0352839741122727
MuSCs,Ifne,Ifnar2,Inflammatory-Mac,0.5,0.1311211666666667,0.0,0.0,5.061981333333307,0.0317104039959172,13.963764771786169,0.0317104039959172
MuSCs,Spp1,Itga4,Inflammatory-Mac,0.0,-0.7079976666665857,0.0494442400424127,0.0,3.269366333333366,0.0402379322717959,504.0401427535599,0.0317023695469921
MuSCs,Spon2,Itgam,Inflammatory-Mac,0.0,0.1132911666666666,0.0377671843727419,0.0,-16.13901899999999,0.0475918164822309,3.719144702155013,0.0251111461030694
MuSCs,Spon2,Itga4,Inflammatory-Mac,0.0,0.1132911666666666,0.0377671843727419,0.0,3.269366333333366,0.0402379322717959,11.585099968779623,0.0246148829343079
MuSCs,Tg,Asgr1,Inflammatory-Mac,0.0,0.0644828333333333,0.001735996928191,0.0,0.7217533333333332,0.0770517502972909,0.2050842898233332,0.0231552517782414
MuSCs,Spp1,Itgb5,Inflammatory-Mac,0.0,-0.7079976666665857,0.0494442400424127,0.0,1.8740756666666696,0.03976333416567,289.68673217315154,0.0193546351269701
MuSCs,Bmp6,Bmpr2,Inflammatory-Mac,0.0,0.9166136666666672,0.1390359113340425,0.0,-0.0871656666666709,-0.0117408298802358,21.434223362090115,0.0193303513887038
MuSCs,Epo,Epor,Inflammatory-Mac,-0.33333333333333337,0.0600066666666666,0.0868867496772601,0.0,0.381444,0.0521097843591485,0.039668777084,0.0192089898650706
MuSCs,Spp1,Itga9,Inflammatory-Mac,0.0,-0.7079976666665857,0.0494442400424127,0.0,0.5458883333333411,0.0111556105241982,86.72142935352394,0.0178099864127481
MuSCs,Edil3,Itgb3,Inflammatory-Mac,0.0,1.554744166666667,-0.00029942780466,0.0,0.3189293333333333,0.032845620581544,1.3719545361204997,0.0134638738551326
MuSCs,Il17c,Il17ra,Inflammatory-Mac,0.5,0.2016186666666667,0.0283113002181214,0.0,-1.513885000000002,0.0326192909900494,3.519675880853889,0.0132940341979151
MuSCs,Lgi4,Adam11,Inflammatory-Mac,0.0,-0.3770663333333333,-0.042304928881884,0.0,0.3081526666666668,0.1349426690094946,0.0777613369795556,0.0130908839712515
MuSCs,Cntn1,Notch2,Inflammatory-Mac,0.0,0.1364345000000001,0.0401319847376122,0.0,-5.855815666666672,-0.0068925535048339,7.151718293653003,0.0121993554947393
MuSCs,Bmp6,Acvr2a,Inflammatory-Mac,0.0,0.9166136666666672,0.1390359113340425,0.0,-0.8546216666666666,-0.0128143200154511,3.984847036672111,0.0115528158381298
MuSCs,Nodal,Acvr2b,Inflammatory-Mac,0.16666666666666663,0.1073345,0.0398828376366446,0.0,0.3112809999999997,0.029412587681519,0.1388203810336667,0.0114614370384955
MuSCs,Fn1,Itga4,Inflammatory-Mac,0.0,23.349536000000008,0.0158031515353553,0.0,3.269366333333366,0.0402379322717959,2230.568498011657,0.0099610155862541
MuSCs,Cd160,Tnfrsf14,Inflammatory-Mac,0.5,0.2355066666666666,0.0245140570323491,0.0,-6.634502666666663,-0.047951365656191,4.392552897611114,0.0099399471283606
MuSCs,Bdnf,Ngfr,Inflammatory-Mac,0.16666666666666663,0.240218,-0.2845821762445497,0.33333333333333337,0.1381233333333333,0.0479163015585194,0.1056771040086667,0.0098599660658931
MuSCs,Fn1,Plaur,Inflammatory-Mac,0.0,23.349536000000008,0.0158031515353553,0.0,-0.0736706666666719,0.0617872232403564,1547.369669372126,0.0095540100298048
MuSCs,Fn1,Itgb7,Inflammatory-Mac,0.0,23.349536000000008,0.0158031515353553,0.0,-1.7866100000000014,-0.0835644158186613,266.0747467690247,0.008112096592105
MuSCs,Lrpap1,Lrp8,Inflammatory-Mac,0.0,-1.4706554999999994,-0.014107448084201,0.0,1.3127673333333332,0.1699742684764427,2.834486807067499,0.0076726029954121
MuSCs,Sema3a,Plxna2,Inflammatory-Mac,0.0,-1.4203496666666675,-0.2304332517803452,0.0,0.8970256666666666,0.0192551656392378,2.2930463209646663,0.0076393078685634
MuSCs,Nodal,Acvr1b,Inflammatory-Mac,0.16666666666666663,0.1073345,0.0398828376366446,0.0,-0.7831686666666666,-0.0226356487668505,0.4460783034816667,0.0074401268418961
MuSCs,Bmp6,Acvr1,Inflammatory-Mac,0.0,0.9166136666666672,0.1390359113340425,0.0,-1.1408300000000002,-0.0257175531361751,2.095057701197778,0.0073313546145564
MuSCs,Lgi1,Adam23,Inflammatory-Mac,0.16666666666666663,0.0067553333333333,-0.4630630458168379,0.0,0.4947806666666667,0.0293501637635507,0.0060120326055556,0.0072835162411718
MuSCs,Il11,Il11ra1,Inflammatory-Mac,0.16666666666666663,0.1525376666666666,0.0748042638095508,0.0,-0.7458460000000002,-0.0075814865263951,0.6984987369984442,0.0072009374883385
MuSCs,Gpc3,Igf1r,Inflammatory-Mac,0.0,4.955796166666667,0.0549661419191386,0.0,0.721754666666667,0.0117271660278472,18.38901325199978,0.0068914174450745
MuSCs,Fn1,Cd44,Inflammatory-Mac,0.0,23.349536000000008,0.0158031515353553,0.0,-1.8457083333333912,0.0287871671730209,3841.643432543685,0.0066405160612049
MuSCs,Fn1,Mag,Inflammatory-Mac,0.0,23.349536000000008,0.0158031515353553,0.0,-0.0031056666666665,-0.0595700348448567,12.512295397637011,0.0066179178613038
MuSCs,Reln,Itga3,Inflammatory-Mac,0.0,-0.8229476666666665,0.067874402500575,0.3333333333333333,0.1325246666666667,0.0068550261327339,0.0735273552066666,0.0064302017634404
MuSCs,Icam4,Itgam,Inflammatory-Mac,-0.16666666666666669,0.0321848333333333,0.0102602728814874,0.0,-16.13901899999999,0.0475918164822309,2.357442379736001,0.0063089990113494
MuSCs,Icam4,Itga4,Inflammatory-Mac,-0.16666666666666669,0.0321848333333333,0.0102602728814874,0.0,3.269366333333366,0.0402379322717959,3.027680925218057,0.0062534451311949
MuSCs,Icam4,Itgb2,Inflammatory-Mac,-0.16666666666666669,0.0321848333333333,0.0102602728814874,0.0,-32.860254666666705,0.0115597314461414,2.459006952999,0.0060448879993813
MuSCs,Lgi4,Adam22,Inflammatory-Mac,0.0,-0.3770663333333333,-0.042304928881884,0.0,0.811576,0.086870824180579,0.0009955889343336,0.0059215935508701
MuSCs,Ucn2,Il10rb,Inflammatory-Mac,0.0,0.0525424999999999,-0.0440285177681288,0.0,11.048680333333325,0.070250820727978,11.074313150302991,0.0057208560008273
MuSCs,Icam4,Itgal,Inflammatory-Mac,-0.16666666666666669,0.0321848333333333,0.0102602728814874,0.0,-2.8368836666666617,0.055289909090654,0.778383999212611,0.0056850565802559
MuSCs,Fn1,Itga9,Inflammatory-Mac,0.0,23.349536000000008,0.0158031515353553,0.0,0.5458883333333411,0.0111556105241982,287.9620371712737,0.0056447872323493
MuSCs,Cxcl10,Cxcr3,Inflammatory-Mac,0.0,-6.213278666666666,-0.0032145757887682,0.33333333333333337,1.325763,0.225549841687621,3.09754222896877,0.0055875377014856
MuSCs,F2,Gp1ba,Inflammatory-Mac,0.0,-0.1226608333333333,-0.0598464255086503,0.33333333333333337,0.8561910000000004,0.0588525735175177,0.348226133514278,0.0054074518235753
MuSCs,Spp1,Itgb3,Inflammatory-Mac,0.0,-0.7079976666665857,0.0494442400424127,0.0,0.3189293333333333,0.032845620581544,55.07978755625902,0.005123232663729
MuSCs,Wnt11,Fzd7,Inflammatory-Mac,0.0,0.2085823333333333,0.0223473060820764,0.0,-1.2653106666666665,-0.0083358966232078,0.4939179325562217,0.0049122826825923
MuSCs,Fn1,Itgav,Inflammatory-Mac,0.0,23.349536000000008,0.0158031515353553,0.0,-2.6816000000000173,0.006052595515151,1773.1703329198403,0.0047328371399921
MuSCs,Mmp9,Cd44,Inflammatory-Mac,0.0,0.0767963333333333,0.0070480904977049,0.0,-1.8457083333333912,0.0287871671730209,11.522898993660505,0.0047000159605247
MuSCs,Angptl3,Itgb3,Inflammatory-Mac,0.0,0.0762635,-0.0166262466553414,0.0,0.3189293333333333,0.032845620581544,0.2361166612185,0.0043554141657256
MuSCs,Spon2,Itgb1,Inflammatory-Mac,0.0,0.1132911666666666,0.0377671843727419,0.0,-9.117263666666672,-0.0171536443900219,4.9970675956271045,0.0041531834098408
