Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Rspo1,Lgr4,FAPs,0.0,0.2504083333333334,0.8924159202032977,0.0,3.4922256666666707,0.2796517657358936,3.2439679709485567,0.6857973942711838
Resolving-Mac,Rspo1,Lgr5,FAPs,0.0,0.2504083333333334,0.8924159202032977,0.0,0.12443966666666695,-0.2854911364262826,0.6273133802765556,0.4094487404484099
Resolving-Mac,Rspo1,Lrp6,FAPs,0.0,0.2504083333333334,0.8924159202032977,0.0,2.7015483333333283,0.08039180884801639,8.97456261531611,0.3676623509831107
Resolving-Mac,Bmp10,Bmpr1b,FAPs,0.0,0.11897466666666673,0.23686494397780355,0.0,2.719926,0.11541495844665685,0.5855504520426668,0.22579455236686186
Resolving-Mac,Slit1,Robo2,FAPs,0.0,0.11500700000000008,0.030900772798987286,0.33333333333333337,0.7619076666666665,0.6723598456091898,0.4152212810058888,0.22047147878890794
Resolving-Mac,Cdh1,Egfr,FAPs,0.33333333333333337,0.28642966666666664,0.24193844887091095,0.0,1.4437876666666654,0.0605275876432172,18.344438184046126,0.21492262330120976
Resolving-Mac,Amh,Egfr,FAPs,0.3333333333333333,0.2764033333333333,0.23164198653525675,0.0,1.4437876666666654,0.0605275876432172,17.342401190558114,0.1910090278393602
Resolving-Mac,Il27,Il27ra,FAPs,0.33333333333333337,0.6430160000000004,0.3704359550899314,0.0,0.6513889999999999,0.14296400728038278,1.4189760886490004,0.1854127072068168
Resolving-Mac,Sema4d,Plxnb1,FAPs,0.0,0.4543190000000053,0.20280597558350755,0.0,0.5295476666666672,0.2411560104963329,26.89572421508653,0.18099703647315
Resolving-Mac,Bmp10,Bmpr1a,FAPs,0.0,0.11897466666666673,0.23686494397780355,0.0,1.949867000000005,0.1149953014648546,4.130669193761779,0.1563770402492278
Resolving-Mac,Amh,Amhr2,FAPs,0.3333333333333333,0.2764033333333333,0.23164198653525675,0.33333333333333337,0.17477766666666658,0.2460708674867096,0.11733615709922228,0.14918764597547338
Resolving-Mac,Rspo1,Znrf3,FAPs,0.0,0.2504083333333334,0.8924159202032977,0.0,-0.1751233333333342,-0.01229718727962742,0.3992193391533334,0.12901372389826996
Resolving-Mac,Omg,Rtn4rl1,FAPs,0.0,0.5460926666666671,0.04025152941183782,0.0,0.0017460000000001365,0.4250711095106462,0.3760618092664436,0.12749005753130266
Resolving-Mac,Gnai2,Ednra,FAPs,0.0,5.448064666666625,-0.021619360492731776,0.0,9.167387666666661,0.5202954406873432,1554.9489431957861,0.12587843476227165
Resolving-Mac,Bmp10,Acvr2a,FAPs,0.0,0.11897466666666673,0.23686494397780355,0.0,1.4039300000000026,0.030691633800652037,3.726876215647556,0.1173019211975294
Resolving-Mac,Amh,Acvr1,FAPs,0.3333333333333333,0.2764033333333333,0.23164198653525675,0.0,6.638562333333329,0.05620872531330179,7.622919527263003,0.11416228754296018
Resolving-Mac,Ebi3,Il27ra,FAPs,0.0,-1.6924726666666672,0.08281601308189301,0.0,0.6513889999999999,0.14296400728038278,1.6601927505744438,0.10998670780376862
Resolving-Mac,Rtn4,Rtn4rl1,FAPs,0.0,12.103825666666665,-0.0005369291602315139,0.0,0.0017460000000001365,0.4250711095106462,8.342462611568768,0.10178099240065856
Resolving-Mac,Cdh1,Igf1r,FAPs,0.33333333333333337,0.28642966666666664,0.24193844887091095,0.0,0.7567070000000005,0.058259778241888986,3.799636311216111,0.10034419023467347
Resolving-Mac,Pdcd1lg2,Rgmb,FAPs,0.0,0.09459366666666663,0.1235693688616869,0.0,0.3284243333333343,0.10957782901860252,1.0208021780363348,0.0983428035510312
Resolving-Mac,Pdgfc,Pdgfrb,FAPs,0.33333333333333337,-0.007052333333331441,-0.037674169589549784,0.0,12.501248666666687,0.4691066854696915,55.499497293323834,0.097393498578144
Resolving-Mac,Slpi,Plscr4,FAPs,0.0,2.9802703333333302,0.09134659433124914,0.0,2.014718,0.1014575009770401,51.104875344489784,0.09483704701479398
Resolving-Mac,Itgb2,Thy1,FAPs,0.0,6.997835666666703,-0.058950018663168964,0.0,6.057820666666642,0.2427866953542296,1431.755715658912,0.09110445936524042
Resolving-Mac,Nlgn3,Nrxn1,FAPs,0.0,0.07904966666666663,0.05226495531212785,0.0,-0.005987000000000003,0.9684505579951618,0.0018287627887777786,0.09081652692898927
Resolving-Mac,Tgfb1,Vasn,FAPs,0.0,7.556404333333403,0.049613231928314905,0.0,-0.3827183333333366,0.14075885728378212,318.389023550023,0.0897635649082503
Resolving-Mac,Sema4a,Plxnb1,FAPs,0.0,-5.276625333333342,0.029602819816389736,0.0,0.5295476666666672,0.2411560104963329,2.624374672134003,0.08885238814446374
