Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Nmu,Nmur1,M2,0.3333333333333333,0.147769,1.0,0.3333333333333333,0.0217296666666666,1.0,0.0032109711136666,1.0
ECs,Pomc,Oprm1,M2,0.6666666666666666,0.6419623333333333,0.928358882375427,0.6666666666666666,0.1467626666666667,1.0,0.0942161039395555,0.928358882375427
ECs,Cxcl5,Cxcr1,M2,0.6666666666666666,7.103971,0.7394543531840212,0.3333333333333333,0.0204203333333333,1.0,0.1450654558103334,0.7394543531840212
ECs,Scgb3a1,Marco,M2,1.0,1.922544666666666,0.722930923878615,0.3333333333333333,0.170026,1.0,0.3268825794946666,0.722930923878615
ECs,Gnai2,Oprm1,M2,1.0,150.0354306666667,0.4152507364956075,0.6666666666666666,0.1467626666666667,1.0,22.01959989912178,0.4152507364956075
ECs,Zp3,Mertk,M2,0.3333333333333333,0.0568526666666666,0.4879624410996449,1.0,50.38343933333334,0.6951433323438234,2.864432881938222,0.3392038373646338
ECs,Cxcl5,Cxcr2,M2,0.6666666666666666,7.103971,0.7394543531840212,0.3333333333333333,0.0135683333333333,0.4013824793909991,0.0963890465183333,0.2968040216774699
ECs,Il17f,Il17ra,M2,0.3333333333333333,0.104867,0.5326758154773494,1.0,12.55252066666667,0.4713444924461467,1.316345184751333,0.2510738118845086
ECs,Wnt9b,Fzd5,M2,0.3333333333333333,0.0342453333333333,1.0,1.0,3.461233333333334,0.1988153791738435,0.1185310892444444,0.1988153791738435
ECs,Slamf1,Slamf1,M2,0.3333333333333333,0.0562956666666666,0.6263866686942041,0.6666666666666666,0.024735,0.2752196601896737,0.001392473315,0.1723939261053606
ECs,Guca2b,Gucy2c,M2,0.3333333333333333,0.0687873333333333,0.1502692090917961,0.6666666666666666,0.1735666666666666,1.0,0.0119391881555555,0.1502692090917961
ECs,Guca2a,Gucy2c,M2,0.3333333333333333,0.1713026666666667,0.1212332525438771,0.6666666666666666,0.1735666666666666,1.0,0.0297324328444444,0.1212332525438771
ECs,Epcam,Epcam,M2,0.3333333333333333,0.038811,0.5181501408488312,0.3333333333333333,0.0159363333333333,0.2127596135446288,0.000618505033,0.1102414237250923
ECs,Ifnk,Ifnar2,M2,0.3333333333333333,0.2591346666666667,0.2129598000039995,1.0,59.944937,0.4732416057236266,15.53381126784934,0.1007814377084751
ECs,Cgn,F11r,M2,0.3333333333333333,0.048403,0.5172365890147468,1.0,6.645968000000001,0.1865528767859006,0.3216847891040001,0.0964919736596275
ECs,Epo,Crlf3,M2,0.3333333333333333,0.073582,0.1953341934387759,1.0,17.95705766666667,0.4901349322914761,1.321316217228667,0.0957401116753245
ECs,Ifnk,Ifnar1,M2,0.3333333333333333,0.2591346666666667,0.2129598000039995,1.0,28.17645566666667,0.3794878250657657,7.301496447029779,0.0808156513299582
ECs,Ngf,Sort1,M2,1.0,2.960814666666666,0.2614555410777428,1.0,4.336036333333333,0.2532299986575496,12.83819997093289,0.0662083863161257
ECs,Gip,Dpp4,M2,0.3333333333333333,0.132565,0.1797272197291178,1.0,2.473303333333333,0.3157108921153439,0.3278734563833334,0.0567418408780902
ECs,Epo,Epor,M2,0.3333333333333333,0.073582,0.1953341934387759,0.6666666666666666,0.1734616666666667,0.2557200835979143,0.0127636563566666,0.0499508762756949
ECs,Prok1,Prokr1,M2,0.3333333333333333,0.412312,0.9467127010720526,1.0,0.4395783333333333,0.043396369656176,0.1812434217733334,0.0410838943339197
ECs,Gnai2,Lpar3,M2,1.0,150.0354306666667,0.4152507364956075,0.3333333333333333,0.0624673333333333,0.0973719720315764,9.372313259264889,0.0404337831001418
ECs,Rtn4,Rtn4rl1,M2,1.0,57.045267,0.2489699905037019,1.0,0.6530106666666667,0.1493821938570989,37.25116783384801,0.037191683386024
ECs,Gal,Gpr151,M2,0.6666666666666666,5.834515,0.1959004657849387,1.0,0.3063973333333334,0.166930812641596,1.787679837293333,0.0327018239503469
ECs,Omg,Rtn4rl1,M2,1.0,1.840954666666667,0.1665577163991766,1.0,0.6530106666666667,0.1493821938570989,1.202163034183111,0.0248807570795374
ECs,Col4a6,Cd93,M2,0.3333333333333333,0.1293393333333333,0.1029778321305656,1.0,54.620752,0.2391940691454494,7.064611649845334,0.0246316866990869
ECs,Efnb2,Grm5,M2,1.0,52.61615766666667,0.7671520491359202,0.3333333333333333,9.133333333333334e-05,0.0318827088666511,0.0048056090668888,0.0244588854390554
ECs,Areg,Erbb3,M2,0.6666666666666666,0.2806903333333333,0.2582678619187009,1.0,0.3920839999999999,0.0814588368161875,0.1100541886546666,0.0210381996189011
ECs,Snca,Lag3,M2,0.3333333333333333,0.021571,0.0335387058422328,1.0,14.90560833333333,0.3750618357072762,0.3215288773583334,0.0125790885804342
ECs,a,F11r,M2,0.3333333333333333,0.0239183333333333,0.0649733424123668,1.0,6.645968000000001,0.1865528767859006,0.1589604779466667,0.0121209639414223
ECs,Has2,Cd44,M2,0.3333333333333333,0.772687,0.0274392736203374,1.0,122.2478306666667,0.4393704929064738,94.45930953433468,0.0120560071755632
ECs,Lama1,Rpsa,M2,0.3333333333333333,0.0228333333333333,0.0547717815781309,1.0,110.6512236666667,0.2082807132576123,2.526536273722222,0.0114079057334832
ECs,Sema3e,Plxnd1,M2,0.6666666666666666,0.0750806666666666,0.0555389391722838,1.0,29.98794266666667,0.1916240646801595,2.251514727375111,0.0106425972722171
ECs,a,Atrn,M2,0.3333333333333333,0.0239183333333333,0.0649733424123668,1.0,4.515821666666667,0.148625377093643,0.1080109278972222,0.0096566875170724
ECs,Gnai2,Tbxa2r,M2,1.0,150.0354306666667,0.4152507364956075,0.6666666666666666,0.074889,0.0225020755129138,11.236003367196,0.0093440034294172
ECs,Ntn1,Unc5c,M2,1.0,1.990837,0.1122845585713437,0.6666666666666666,0.0391766666666666,0.0771507587399344,0.0779943575366666,0.0086628388885577
ECs,a,Mc1r,M2,0.3333333333333333,0.0239183333333333,0.0649733424123668,1.0,0.423705,0.1312599713959696,0.010134317425,0.0085283990665478
ECs,Lama1,Itgb1,M2,0.3333333333333333,0.0228333333333333,0.0547717815781309,1.0,68.09032333333333,0.1406878008722904,1.554729049444444,0.0077057215000846
