Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cort,Mrgprb1,ECs,0.3333333333333333,0.1100146666666667,1.0,0.3333333333333333,0.775569,1.0,0.08532396501199999,1.0
FAPs,Penk,Oprm1,ECs,1.0,35.85004166666667,0.9966906480073792,0.3333333333333333,1.049158666666667,1.0,37.612381914944436,0.9966906480073792
FAPs,Cxcl5,Cxcr1,ECs,1.0,4.702873666666666,0.963342498385851,0.3333333333333333,2.161116666666667,0.9584259542460944,10.163458662261107,0.9232924532812758
FAPs,Cort,Sstr4,ECs,0.3333333333333333,0.1100146666666667,1.0,1.0,4.193117666666667,0.7824010298867687,0.4613044423924444,0.7824010298867687
FAPs,Adm,Mrgprb1,ECs,1.0,18.11265066666667,0.6546441409351843,0.3333333333333333,0.775569,1.0,14.047610364896,0.6546441409351843
FAPs,Cxcl1,Cxcr1,ECs,1.0,195.050573,0.5724844147482753,0.3333333333333333,2.161116666666667,0.9584259542460944,421.5270441531833,0.5486839214961327
FAPs,Ccl11,Ccr3,ECs,1.0,69.05064766666668,0.8914438519749055,0.3333333333333333,0.438062,0.6074000808827777,30.24846481815534,0.5414630677920126
FAPs,Thpo,Mpl,ECs,1.0,0.966803,0.5902111213060792,0.6666666666666666,0.5953510000000001,0.883857363708884,0.575587132853,0.5216624457092556
FAPs,Ccl11,Cxcr3,ECs,1.0,69.05064766666668,0.8914438519749055,0.3333333333333333,1.863797,0.5455000708290748,128.69638996919042,0.4862826843924543
FAPs,Rbp3,Notch1,ECs,0.6666666666666666,0.2455416666666667,1.0,1.0,47.57896333333333,0.4501884529482371,11.682617955138893,0.4501884529482371
FAPs,Spon2,Itgam,ECs,1.0,27.59461233333333,0.940378880151086,0.3333333333333333,66.38494866666666,0.4171200956172241,1831.8669232249,0.3922509284050392
FAPs,Nodal,Tdgf1,ECs,1.0,1.026087333333333,0.38546579538943,0.3333333333333333,0.1145363333333333,1.0,0.1175242808397778,0.38546579538943
FAPs,Ccl28,Ccr3,ECs,0.3333333333333333,0.07943533333333333,0.6276777036477087,0.3333333333333333,0.438062,0.6074000808827777,0.034797600990666665,0.3812514879639345
FAPs,Guca2a,Gucy2c,ECs,1.0,0.7656310000000001,0.478748276519711,0.3333333333333333,1.027268666666667,0.759365522733612,0.7865087365286667,0.3635449352572062
FAPs,Saa1,Fpr2,ECs,0.6666666666666666,0.02920266666666667,0.5001284459185595,0.3333333333333333,35.86137133333333,0.6778966622414776,1.047247673256889,0.3390354041802088
FAPs,Plg,Plgrkt,ECs,0.3333333333333333,0.01412933333333333,1.0,1.0,31.92689933333333,0.3275645917322376,0.4511058029804445,0.3275645917322376
FAPs,Insl5,Rxfp4,ECs,0.3333333333333333,0.03912033333333333,1.0,1.0,6.903279333333334,0.3155532251262234,0.2700585886131111,0.3155532251262234
FAPs,Cxcl12,Cxcr3,ECs,1.0,123.018252,0.5381309351710767,0.3333333333333333,1.863797,0.5455000708290748,229.281049022844,0.2935504632511386
FAPs,App,Fpr2,ECs,1.0,184.841802,0.4184661617850055,0.3333333333333333,35.86137133333333,0.6778966622414776,6628.680499444477,0.2836768143350574
FAPs,Cirbp,Trem1,ECs,1.0,12.34551533333333,0.2867477689345658,0.3333333333333333,71.97801199999998,0.9574677988575694,888.6056508088506,0.2745517551490976
FAPs,Hc,C5ar2,ECs,1.0,0.2657496666666667,0.3571964934886884,0.6666666666666666,24.12906,0.7578756968848996,6.412289651979999,0.2707105414275823
FAPs,Dsc3,Dsg1a,ECs,0.3333333333333333,0.03868800000000002,1.0,0.3333333333333333,0.0040833333333333355,0.2679645630537023,0.000157976,0.2679645630537023
FAPs,Anxa1,Fpr2,ECs,1.0,151.42276,0.3901337131747328,0.3333333333333333,35.86137133333333,0.6778966622414776,5430.2278246782125,0.2644703419890254
FAPs,Efnb2,Grm1,ECs,1.0,12.691493,0.2406720388519202,0.3333333333333333,0.392838,1.0,4.985700727134,0.2406720388519202
FAPs,Ccl21b,Cxcr3,ECs,1.0,0.2073196666666667,0.4385567570045023,0.3333333333333333,1.863797,0.5455000708290748,0.3864017727743334,0.2392327420085253
FAPs,Hc,C5ar1,ECs,1.0,0.2657496666666667,0.3571964934886884,0.3333333333333333,89.50593066666666,0.6602296419139412,23.78617123935644,0.2358317129889522
FAPs,Cd59b,Cd2,ECs,1.0,2.052114,0.4755764576466144,0.3333333333333333,0.4327703333333333,0.4877668597104531,0.8880940598179999,0.2319704352985104
FAPs,Cxcl10,Ccr3,ECs,1.0,72.11798333333333,0.3773638413007209,0.3333333333333333,0.438062,0.6074000808827777,31.59214801496666,0.2292108277282936
FAPs,Csf3,Csf3r,ECs,0.6666666666666666,0.6471403333333333,0.255618907325916,0.6666666666666666,300.15732966666667,0.8617605198060754,194.2439143729299,0.2202822824494423
FAPs,Cfh,Itgam,ECs,1.0,36.796554,0.5210717033819111,0.3333333333333333,66.38494866666666,0.4171200956172241,2442.737348400228,0.2173494787380926
