Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cort,Sstr3,FAPs,0.3333333333333333,0.1100146666666667,1.0,0.3333333333333333,0.2950803333333333,1.0,0.032463164511555564,1.0
FAPs,Col1a1,Gp6,FAPs,1.0,5771.873535333332,0.9822909543423312,0.6666666666666666,0.053317,1.0,307.7389812833673,0.9822909543423312
FAPs,Plg,F2rl1,FAPs,0.3333333333333333,0.01412933333333333,1.0,1.0,5.857218,0.9769191903130762,0.082758585528,0.9769191903130762
FAPs,Col1a2,Gp6,FAPs,1.0,3580.644531333333,0.9370403925578976,0.6666666666666666,0.053317,1.0,190.90922447709926,0.9370403925578976
FAPs,Plg,F3,FAPs,0.3333333333333333,0.01412933333333333,1.0,1.0,39.44626233333333,0.7543362828902499,0.5573493892617778,0.7543362828902499
FAPs,Cort,Ghsr,FAPs,0.3333333333333333,0.1100146666666667,1.0,1.0,2.3718543333333333,0.6401786816403544,0.2609387638635555,0.6401786816403544
FAPs,Plg,F2r,FAPs,0.3333333333333333,0.01412933333333333,1.0,1.0,48.59929933333333,0.637900629137472,0.6866757000471111,0.637900629137472
FAPs,Tac2,Tacr1,FAPs,0.3333333333333333,0.2004523333333333,1.0,0.3333333333333333,0.057966,0.5622381149449072,0.011619419954,0.5622381149449072
FAPs,Tac1,Tacr1,FAPs,1.0,14.882091,1.0,0.3333333333333333,0.057966,0.5622381149449072,0.8626552869059998,0.5622381149449072
FAPs,Qrfp,Qrfpr,FAPs,0.6666666666666666,0.7731873333333334,0.5450854324260177,0.3333333333333333,0.1213556666666667,1.0,0.09383066429488893,0.5450854324260177
FAPs,Pthlh,Pth2r,FAPs,1.0,7.552034666666668,0.9647913663151982,0.3333333333333333,0.2273603333333334,0.5429076975487683,1.7170331191582218,0.5237926593011146
FAPs,Insl5,Rxfp3,FAPs,0.3333333333333333,0.03912033333333333,1.0,1.0,0.5228109999999999,0.520184760538959,0.02045254059033334,0.520184760538959
FAPs,Cort,Sstr2,FAPs,0.3333333333333333,0.1100146666666667,1.0,1.0,0.7282563333333334,0.5188783632394828,0.08011887775955556,0.5188783632394828
FAPs,Gnas,Lhcgr,FAPs,1.0,930.1503093333334,0.6383115534299679,0.6666666666666666,0.2640186666666667,0.7009959279618303,245.57704446977436,0.4474537997253978
FAPs,Pspn,Gfra1,FAPs,0.6666666666666666,1.007306,0.5876012385461317,1.0,15.933008,0.7524552897049799,16.049414556448,0.4421436601812345
FAPs,Rspo3,Lgr6,FAPs,1.0,3.990790333333333,0.9829143871318065,0.3333333333333333,0.02035233333333334,0.3560714743926193,0.08122189512744446,0.3499877750277401
FAPs,Rspo2,Lgr6,FAPs,1.0,1.597878666666667,0.98224549682877,0.3333333333333333,0.02035233333333334,0.3560714743926193,0.03252055925022223,0.3497496022713311
FAPs,Plg,Itgb1,FAPs,0.3333333333333333,0.01412933333333333,1.0,1.0,163.00623566666667,0.345629090707923,2.303169439146223,0.345629090707923
FAPs,Pspn,Gfra4,FAPs,0.6666666666666666,1.007306,0.5876012385461317,1.0,1.600747333333333,0.5382084054905698,1.612442393350667,0.3162519256621975
FAPs,Pspn,Ret,FAPs,0.6666666666666666,1.007306,0.5876012385461317,1.0,7.361539333333332,0.5171664651239829,7.415322739702668,0.3038876554413771
FAPs,C3,Cd19,FAPs,1.0,79.68771233333334,0.5027335710876245,0.3333333333333333,0.01688366666666667,0.5959642310860102,1.3454207724652227,0.2996112261343601
FAPs,Lrrc4b,Ptprs,FAPs,0.3333333333333333,0.206036,0.4634997716650157,1.0,57.80210733333333,0.5960911739155557,11.909314986530669,0.2762881230013912
FAPs,Lrrc4b,Ptprf,FAPs,0.3333333333333333,0.206036,0.4634997716650157,1.0,5.829902333333332,0.5689920798489169,1.201169757150667,0.2637276990891753
FAPs,Plg,Itga9,FAPs,0.3333333333333333,0.01412933333333333,1.0,1.0,3.0762823333333333,0.2417686736584877,0.04346581851511111,0.2417686736584877
FAPs,Fgf8,Fgfr2,FAPs,0.6666666666666666,0.2272,0.3314754304049923,1.0,2.3374873333333333,0.716842176819984,0.5310771221333332,0.2376155690938558
FAPs,Plg,Plgrkt,FAPs,0.3333333333333333,0.01412933333333333,1.0,1.0,22.959565,0.2355612568904469,0.3244033470733333,0.2355612568904469
FAPs,Lif,Il6st,FAPs,0.6666666666666666,0.8189326666666665,0.4599976932692142,1.0,88.87708033333332,0.5040155293450301,72.7843444029242,0.2318459808705758
FAPs,Lif,Lifr,FAPs,0.6666666666666666,0.8189326666666665,0.4599976932692142,1.0,53.74150833333334,0.4619174757595179,44.01067673010554,0.2124809733301165
FAPs,Ccl5,Ccr4,FAPs,1.0,3.8428463333333336,0.210715743495333,0.3333333333333333,0.05887966666666668,1.0,0.2262655111578889,0.210715743495333
FAPs,Insl5,Rxfp4,FAPs,0.3333333333333333,0.03912033333333333,1.0,1.0,4.482718999999999,0.2049078951440275,0.1753654615196666,0.2049078951440275
FAPs,Clec4g,Lag3,FAPs,0.3333333333333333,0.1416773333333333,0.6088489896016421,1.0,9.415322999999999,0.3201945287620894,1.333937855112,0.1949501153127721
FAPs,Fgf8,Fgfr1,FAPs,0.6666666666666666,0.2272,0.3314754304049923,1.0,82.4806033333333,0.5879175050094569,18.73959307733333,0.1948802080156389
FAPs,Fgf8,Fgfrl1,FAPs,0.6666666666666666,0.2272,0.3314754304049923,1.0,5.794888999999999,0.5532458667270893,1.3165987808,0.1833874117931449
FAPs,Ghrl,Gpr39,FAPs,1.0,6.782643666666666,0.1699067234977136,0.3333333333333333,0.4677689999999999,1.0,3.1727104453129984,0.1699067234977136
FAPs,Cntf,Cntfr,FAPs,0.6666666666666666,0.5813396666666667,0.1704295618581232,1.0,5.666771333333332,0.9648745059153376,3.294318957996222,0.1644431392912242
FAPs,Rtn4,Rtn4r,FAPs,1.0,57.66057933333334,0.2246820449144221,0.6666666666666666,0.6668756666666668,0.7314182031688999,38.4524372833029,0.1643365375756207
FAPs,Rspo1,Lgr6,FAPs,0.3333333333333333,0.1170876666666667,0.4255051361566043,0.3333333333333333,0.02035233333333334,0.3560714743926193,0.002383007221222222,0.1515102411929143
FAPs,Omg,Rtn4r,FAPs,1.0,3.0467366666666664,0.2039469203963923,0.6666666666666666,0.6668756666666668,0.7314182031688999,2.03179454574111,0.1491704900581599
FAPs,Amh,Egfr,FAPs,0.3333333333333333,0.294587,0.155159436956016,1.0,88.14978533333334,0.7247753838328105,25.96778081199067,0.1124557404750793
FAPs,Gnai2,Lhcgr,FAPs,1.0,65.41736466666667,0.1575168212364948,0.6666666666666666,0.2640186666666667,0.7009959279618303,17.271405396140448,0.1104186502722744
FAPs,Il17b,Il17rb,FAPs,0.3333333333333333,0.086841,0.2738205472353923,1.0,2.5688956666666667,0.3405419781984187,0.223085468589,0.09324739082691406
FAPs,Rbp3,Notch1,FAPs,0.6666666666666666,0.2455416666666667,1.0,1.0,9.829723666666666,0.0930080813111174,2.413606731986111,0.0930080813111174
FAPs,Amh,Amhr2,FAPs,0.3333333333333333,0.294587,0.155159436956016,0.6666666666666666,0.6758093333333332,0.5910431122593254,0.1990846440786666,0.0917059165148883
FAPs,Cort,Sstr4,FAPs,0.3333333333333333,0.1100146666666667,1.0,1.0,0.4644113333333333,0.08665530862145791,0.05109205803288889,0.08665530862145791
FAPs,Cntf,Il6st,FAPs,0.6666666666666666,0.5813396666666667,0.1704295618581232,1.0,88.87708033333332,0.5040155293450301,51.66777225528655,0.08589914583596353
FAPs,Gal,Galr3,FAPs,1.0,1.6427580000000002,0.08311198773343359,0.6666666666666666,0.2113103333333333,1.0,0.3471317405659999,0.08311198773343359
FAPs,Cntf,Lifr,FAPs,0.6666666666666666,0.5813396666666667,0.1704295618581232,1.0,53.74150833333334,0.4619174757595179,31.242070540663892,0.07872439300830493
FAPs,Amh,Acvr1,FAPs,0.3333333333333333,0.294587,0.155159436956016,1.0,20.81735866666667,0.4665774732677552,6.132523237537332,0.07239389804858551
FAPs,Enho,Gpr19,FAPs,0.6666666666666666,0.272149,0.1885962217324074,1.0,2.476915,0.3692128520294062,0.674089940335,0.06963214890779244
FAPs,Nppa,Npr3,FAPs,0.3333333333333333,0.03729466666666666,0.08139924874991722,1.0,1.007656,0.675189526343838,0.03758019463466666,0.05495992020820086
FAPs,Fgf8,Fgfr3,FAPs,0.6666666666666666,0.2272,0.3314754304049923,1.0,0.5698483333333333,0.1326776176306101,0.1294695413333333,0.04397937040921546
FAPs,Il12a,Il12rb1,FAPs,0.3333333333333333,0.361704,0.1251095460260489,1.0,1.230405,0.3401838618471323,0.44504241012,0.04256024852108287
FAPs,Cxcl16,Cxcr6,FAPs,1.0,6.418049333333332,0.08780732635824244,1.0,1.141707,0.4373272219491949,7.327531850211999,0.03840053410303649
FAPs,Il27,Il27ra,FAPs,0.3333333333333333,0.148825,0.05504358796291445,1.0,1.7428153333333332,0.5856652838766928,0.2593744919833333,0.032237118569892004
FAPs,Nppa,Npr2,FAPs,0.3333333333333333,0.03729466666666666,0.08139924874991722,1.0,12.91523933333333,0.3798100167568152,0.4816695458568888,0.030916250031698237
