Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Tac1,Tacr2,MuSCs,1.0,14.882091,1.0,0.3333333333333333,0.022308333333333333,1.0,0.331994646725,1.0
FAPs,Tac2,Tacr2,MuSCs,0.3333333333333333,0.2004523333333333,1.0,0.3333333333333333,0.022308333333333333,1.0,0.004471757469444444,1.0
FAPs,Rspo2,Rnf43,MuSCs,1.0,1.597878666666667,0.98224549682877,0.3333333333333333,0.07557799999999999,1.0,0.1207644738693333,0.98224549682877
FAPs,Dsc3,Dsg1a,MuSCs,0.3333333333333333,0.03868800000000002,1.0,0.3333333333333333,0.011155,0.7320354369462976,0.0004315646400000001,0.7320354369462976
FAPs,Insl5,Rxfp3,MuSCs,0.3333333333333333,0.03912033333333333,1.0,1.0,0.4822376666666667,0.4798152394610411,0.01886529826588889,0.4798152394610411
FAPs,Inhba,Acvr1c,MuSCs,1.0,2.588894,0.4485256605643812,0.3333333333333333,0.026919666666666658,1.0,0.06969216351533332,0.4485256605643812
FAPs,Tac2,Tacr1,MuSCs,0.3333333333333333,0.2004523333333333,1.0,0.3333333333333333,0.04513266666666666,0.4377618850550928,0.009046948342888888,0.4377618850550928
FAPs,Tac1,Tacr1,MuSCs,1.0,14.882091,1.0,0.3333333333333333,0.04513266666666666,0.4377618850550928,0.6716684524059998,0.4377618850550928
FAPs,Insl5,Rxfp4,MuSCs,0.3333333333333333,0.03912033333333333,1.0,1.0,8.803624666666668,0.4024192014009149,0.3444007315015556,0.4024192014009149
FAPs,Myoc,Fzd10,MuSCs,1.0,23.971258,0.9627648963950116,0.6666666666666666,0.04712366666666667,0.4131106247315253,1.129613571572667,0.3977284078193254
FAPs,Nodal,Acvr1c,MuSCs,1.0,1.026087333333333,0.38546579538943,0.3333333333333333,0.026919666666666658,1.0,0.027621928984222215,0.38546579538943
FAPs,Wnt1,Fzd10,MuSCs,0.3333333333333333,0.2283393333333333,0.9040802643804376,0.6666666666666666,0.04712366666666667,0.4131106247315253,0.010760186630888893,0.3734851628256452
FAPs,Rbp3,Notch1,MuSCs,0.6666666666666666,0.2455416666666667,1.0,1.0,37.344418666666655,0.3533499868001453,9.169610800111109,0.3533499868001453
FAPs,Fgf8,Fgfr4,MuSCs,0.6666666666666666,0.2272,0.3314754304049923,1.0,50.144057,0.9963145173633166,11.3927297504,0.3302537834617475
FAPs,Cort,Sstr2,MuSCs,0.3333333333333333,0.1100146666666667,1.0,1.0,0.4411166666666667,0.3142930360111158,0.04852930304444444,0.3142930360111158
FAPs,Plg,Itgb1,MuSCs,0.3333333333333333,0.01412933333333333,1.0,1.0,144.2727966666667,0.3059077790604178,2.038478435035556,0.3059077790604178
