Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Nell2,Robo3,ECs,0.3333333333333333,0.023364,1.0,1.0,4.779790999999999,1.0,0.111675036924,1.0
MuSCs,Grem1,Kdr,ECs,0.3333333333333333,0.0142866666666666,1.0,1.0,184.1023456666667,0.9813423747591566,2.630208845091111,0.9813423747591566
MuSCs,Dkk4,Kremen2,ECs,0.3333333333333333,0.2063233333333333,1.0,0.6666666666666666,0.3987243333333333,0.5027922793035905,0.0822661335344444,0.5027922793035905
MuSCs,Ihh,Ptch1,ECs,0.3333333333333333,0.0680166666666666,1.0,1.0,7.695620666666667,0.4976976897997125,0.5234304656777778,0.4976976897997125
MuSCs,Apob,Olr1,ECs,0.3333333333333333,0.004031,1.0,1.0,1.034111333333333,0.4722250593604582,0.0041685027846666,0.4722250593604582
MuSCs,Pmch,Mchr1,ECs,0.3333333333333333,0.3992230000000001,1.0,0.3333333333333333,0.140098,0.4537347012141868,0.055930343854,0.4537347012141868
MuSCs,Sostdc1,Lrp5,ECs,0.3333333333333333,0.4321403333333333,1.0,1.0,21.33926,0.4398914187744692,9.221554929486668,0.4398914187744692
MuSCs,Fgg,Itga5,ECs,0.3333333333333333,0.0637126666666666,1.0,1.0,45.90594266666667,0.3954672001633582,2.924790023140444,0.3954672001633582
MuSCs,Fgg,Itgb1,ECs,0.3333333333333333,0.0637126666666666,1.0,1.0,168.1098273333333,0.2984182258032519,10.71072539227955,0.2984182258032519
MuSCs,Il4,Il13ra2,ECs,1.0,1.499502333333333,0.2970376573303378,1.0,0.6124329999999999,1.0,0.9183447125103332,0.2970376573303378
MuSCs,Il13,Il13ra2,ECs,0.6666666666666666,0.173863,0.2900560827700495,1.0,0.6124329999999999,1.0,0.106479438679,0.2900560827700495
MuSCs,Il17a,Il17rc,ECs,0.3333333333333333,0.0503876666666666,1.0,1.0,3.754144,0.2855964853960988,0.1891625564906667,0.2855964853960988
MuSCs,Ccl17,Ccr4,ECs,0.3333333333333333,0.2468816666666667,0.6299860588115711,0.3333333333333333,0.0458186666666666,0.4376255591461182,0.0113117887911111,0.2756980012416732
MuSCs,Ihh,Ptch2,ECs,0.3333333333333333,0.0680166666666666,1.0,1.0,3.832616,0.264217765931355,0.2606817649333333,0.264217765931355
MuSCs,Ifng,Ifngr1,ECs,0.3333333333333333,0.066283,0.581839834503261,1.0,76.56242133333333,0.3581170284509773,5.074786973237333,0.2083667525667163
MuSCs,Ifnl2,Il10rb,ECs,0.3333333333333333,0.0016616666666666,1.0,1.0,22.91402233333334,0.191813973987922,0.0380754671105555,0.191813973987922
MuSCs,Fgg,Tlr4,ECs,0.3333333333333333,0.0637126666666666,1.0,1.0,8.554479333333333,0.1655051910559175,0.5450286902715555,0.1655051910559175
MuSCs,Fgg,Itga2b,ECs,0.3333333333333333,0.0637126666666666,1.0,1.0,1.168007333333333,0.1638609704511517,0.0744168618928888,0.1638609704511517
MuSCs,Apob,Lsr,ECs,0.3333333333333333,0.004031,1.0,0.6666666666666666,0.5652576666666667,0.1543677258353495,0.0022785536543333,0.1543677258353495
MuSCs,Apob,Ldlr,ECs,0.3333333333333333,0.004031,1.0,1.0,3.087329333333333,0.1539049749041678,0.0124450245426666,0.1539049749041678
MuSCs,Dkk4,Lrp6,ECs,0.3333333333333333,0.2063233333333333,1.0,1.0,14.440165,0.1441015470002482,2.979342976683333,0.1441015470002482
MuSCs,Sostdc1,Lrp6,ECs,0.3333333333333333,0.4321403333333333,1.0,1.0,14.440165,0.1441015470002482,6.240177716488334,0.1441015470002482
MuSCs,Il13,Il2rg,ECs,0.6666666666666666,0.173863,0.2900560827700495,1.0,43.68636333333333,0.4655970190670373,7.595442188223333,0.1350492474999969
MuSCs,Dkk4,Kremen1,ECs,0.3333333333333333,0.2063233333333333,1.0,1.0,6.391557333333332,0.1156448793857254,1.318727414204444,0.1156448793857254
MuSCs,Gdf1,Bmpr2,ECs,0.3333333333333333,0.0234273333333333,0.2801173366493691,1.0,50.86142466666666,0.3434314568613803,1.191547549474222,0.0962011050176225
MuSCs,Il13,Il4ra,ECs,0.6666666666666666,0.173863,0.2900560827700495,1.0,26.93692533333333,0.319184224619106,4.683334649229334,0.0925813258750134
MuSCs,Sostdc1,Lrp4,ECs,0.3333333333333333,0.4321403333333333,1.0,1.0,0.6795853333333334,0.0828413960579923,0.2936762324751112,0.0828413960579923
MuSCs,Wnt5b,Fzd8,ECs,0.3333333333333333,0.1451846666666667,0.5131022166094922,1.0,3.024701,0.1596375877334842,0.4391402064513333,0.081910400120243
MuSCs,Ifng,Ifngr2,ECs,0.3333333333333333,0.066283,0.581839834503261,1.0,7.486252333333333,0.1371548009319641,0.4962112634103333,0.0798021266755816
MuSCs,Fgg,Itgav,ECs,0.3333333333333333,0.0637126666666666,1.0,1.0,9.423852333333334,0.0665433629021284,0.6004187624295556,0.0665433629021284
MuSCs,Gdf1,Acvr1,ECs,0.3333333333333333,0.0234273333333333,0.2801173366493691,1.0,10.92359866666667,0.2236009040380497,0.2559107871635556,0.0626344897115296
