Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Dsg1a,Dsc3,FAPs,0.3333333333333333,0.011155,1.0,0.3333333333333333,0.038688,1.0,0.00043156464,1.0
MuSCs,Lgi1,Rtn4r,FAPs,0.6666666666666666,0.1038603333333333,1.0,0.6666666666666666,0.6668756666666665,1.0,0.0692619290318888,1.0
MuSCs,Ihh,Boc,FAPs,0.3333333333333333,0.0680166666666666,1.0,1.0,36.96800500000001,0.7843079965148284,2.514440473416667,0.7843079965148284
MuSCs,Ihh,Hhip,FAPs,0.3333333333333333,0.0680166666666666,1.0,1.0,1.553589333333333,0.6598912010221247,0.1056699678222222,0.6598912010221247
MuSCs,Ihh,Ptch2,FAPs,0.3333333333333333,0.0680166666666666,1.0,1.0,8.749439,0.6031799756961482,0.5951076759833334,0.6031799756961482
MuSCs,Sectm1a,Cd7,FAPs,0.3333333333333333,0.124553,1.0,0.3333333333333333,0.5011856666666666,0.5449482835232878,0.0624241783403333,0.5449482835232878
MuSCs,Fgg,Itga2b,FAPs,0.3333333333333333,0.0637126666666666,1.0,1.0,3.578098999999999,0.5019752511630595,0.2279702288873333,0.5019752511630595
MuSCs,Wnt5b,Fzd2,FAPs,0.3333333333333333,0.1451846666666667,0.5131022166094922,1.0,15.70489833333333,0.8389317081486641,2.280110429558889,0.4304577190350671
MuSCs,Gal,Galr3,FAPs,1.0,7.792831666666667,0.7212970842480482,0.6666666666666666,0.2113103333333334,0.5841777494360321,1.646705857093889,0.4213657073507968
MuSCs,Fgg,Tlr4,FAPs,0.3333333333333333,0.0637126666666666,1.0,1.0,20.28486166666667,0.392455200938143,1.292402629747778,0.392455200938143
MuSCs,Dkk4,Lrp6,FAPs,0.3333333333333333,0.2063233333333333,1.0,1.0,38.54369466666667,0.3846359116098663,7.952463562608889,0.3846359116098663
MuSCs,Sostdc1,Lrp6,FAPs,0.3333333333333333,0.4321403333333333,1.0,1.0,38.54369466666667,0.3846359116098663,16.65628506115156,0.3846359116098663
MuSCs,Rtn4,Rtn4r,FAPs,1.0,99.152003,0.3759503393701321,0.6666666666666666,0.6668756666666665,1.0,66.12205810196032,0.3759503393701321
MuSCs,Fgg,Itgav,FAPs,0.3333333333333333,0.0637126666666666,1.0,1.0,50.59256466666667,0.3572423751649123,3.223387208419111,0.3572423751649123
MuSCs,Ccl17,Ccr4,FAPs,0.3333333333333333,0.2468816666666667,0.6299860588115711,0.3333333333333333,0.0588796666666666,0.5623744408538818,0.0145363102394444,0.354288057569898
MuSCs,Fgg,Itga5,FAPs,0.3333333333333333,0.0637126666666666,1.0,1.0,40.44578266666667,0.3484294080560655,2.576908669113778,0.3484294080560655
MuSCs,Omg,Rtn4r,FAPs,1.0,4.835201333333333,0.3416978971743455,0.6666666666666666,0.6668756666666665,1.0,3.224478112634221,0.3416978971743455
MuSCs,Il17a,Il17ra,FAPs,0.3333333333333333,0.0503876666666666,1.0,1.0,7.318911,0.3245116581089107,0.368782847831,0.3245116581089107
MuSCs,Sostdc1,Lrp4,FAPs,0.3333333333333333,0.4321403333333333,1.0,1.0,2.573216666666667,0.3136748993401273,1.111990708072222,0.3136748993401273
MuSCs,Wnt5b,Fzd8,FAPs,0.3333333333333333,0.1451846666666667,0.5131022166094922,1.0,11.50585933333333,0.6072559333217162,1.670474352023555,0.3115843654366386
MuSCs,Il17a,Il17rc,FAPs,0.3333333333333333,0.0503876666666666,1.0,1.0,3.971064333333333,0.3020986986332443,0.2000926659398889,0.3020986986332443
MuSCs,Qrfp,Qrfpr,FAPs,0.6666666666666666,0.4449396666666667,0.3013952541083937,0.3333333333333333,0.1213556666666667,1.0,0.0539959498747777,0.3013952541083937
MuSCs,Lrrc4b,Ptprs,FAPs,0.6666666666666666,0.2384863333333333,0.5365002283349842,1.0,57.80210733333333,0.5598845502029881,13.78501263686644,0.3003781890251331
MuSCs,Wnt6,Fzd7,FAPs,0.6666666666666666,0.0921766666666666,0.630749404103418,1.0,7.782607,0.4722854529078861,0.7173747712366667,0.297893767988362
MuSCs,Fgg,Itgb1,FAPs,0.3333333333333333,0.0637126666666666,1.0,1.0,163.0062356666667,0.2893586437755394,10.38556195761844,0.2893586437755394
MuSCs,Apob,Ldlr,FAPs,0.3333333333333333,0.004031,1.0,1.0,5.682092999999999,0.2832552948356705,0.022904516883,0.2832552948356705
MuSCs,Lrrc4b,Ptprf,FAPs,0.6666666666666666,0.2384863333333333,0.5365002283349842,1.0,5.829902333333333,0.5186672939413604,1.390352031168111,0.2782651216294282
MuSCs,Dkk4,Kremen1,FAPs,0.3333333333333333,0.2063233333333333,1.0,1.0,14.42717066666667,0.2610362896883882,2.976661942515555,0.2610362896883882
MuSCs,Ihh,Cdon,FAPs,0.3333333333333333,0.0680166666666666,1.0,1.0,22.453096,0.2465847468531156,1.527184746266667,0.2465847468531156
