Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Il1f5,Il1rl2,FAPs,0.3333333333333333,0.002564,1.0,1.0,14.49205066666667,0.7283307125849131,0.0371576179093333,0.7283307125849131
Resolving-Mac,Cadm1,Crtam,FAPs,1.0,14.17155133333333,0.7788476983219034,0.6666666666666666,0.4937903333333333,0.8374020920199343,6.997775056737111,0.6522086919396726
Resolving-Mac,Ccl12,Ccr4,FAPs,1.0,20.23247666666667,1.0,0.3333333333333333,0.0588796666666666,0.5623744408538818,1.191281481974444,0.5623744408538818
Resolving-Mac,Ccl22,Ccr4,FAPs,1.0,1.945012333333333,1.0,0.3333333333333333,0.0588796666666666,0.5623744408538818,0.1145216778492222,0.5623744408538818
Resolving-Mac,Ccl5,Ccr4,FAPs,1.0,14.03735666666667,0.7616386032643372,0.3333333333333333,0.0588796666666666,0.5623744408538818,0.8265148814144444,0.4283260836435131
Resolving-Mac,Tdgf1,Acvr2a,FAPs,0.3333333333333333,0.0065309999999999,1.0,1.0,29.04277733333333,0.4253229592313036,0.189678378764,0.4253229592313036
Resolving-Mac,Ltf,Lrp1,FAPs,0.6666666666666666,0.325391,0.665405846081277,1.0,181.2883913333334,0.6163557430885885,58.98961094434468,0.4101267147169164
Resolving-Mac,Cxcl16,Cxcr6,FAPs,1.0,113.65184,0.9170669406068972,1.0,1.141707,0.4241570254330428,129.75710129088,0.3889803856508025
Resolving-Mac,Tdgf1,Acvr1b,FAPs,0.3333333333333333,0.0065309999999999,1.0,1.0,4.620706999999999,0.3353267952677969,0.0301778374169999,0.3353267952677969
Resolving-Mac,Ghrl,Gpr39,FAPs,1.0,5.546890666666666,0.2826377015485084,0.3333333333333333,0.467769,1.0,2.594663500256,0.2826377015485084
Resolving-Mac,Nppa,Npr3,FAPs,0.3333333333333333,0.2474883333333333,0.3136295684887327,1.0,1.007656,0.7918149097994615,0.2493831040133333,0.2483365684833499
Resolving-Mac,Rtn4,Rtn4r,FAPs,1.0,64.87322933333333,0.2459770034489679,0.6666666666666666,0.6668756666666665,1.0,43.26237806048621,0.2459770034489679
Resolving-Mac,Ltf,Lrp11,FAPs,0.6666666666666666,0.325391,0.665405846081277,1.0,1.174075666666667,0.3361456919197101,0.3820336552523334,0.223673308538411
Resolving-Mac,Ccl17,Ccr4,FAPs,0.3333333333333333,0.1450026666666667,0.3700139411884289,0.3333333333333333,0.0588796666666666,0.5623744408538818,0.0085377086791111,0.2080863832839838
Resolving-Mac,Ccl28,Ackr2,FAPs,0.3333333333333333,0.0198276666666666,0.1997488154364332,0.6666666666666666,0.5468886666666667,1.0,0.0108435261864444,0.1997488154364332
Resolving-Mac,Omg,Rtn4r,FAPs,1.0,2.707878,0.1913625006731204,0.6666666666666666,0.6668756666666665,1.0,1.805817946502,0.1913625006731204
Resolving-Mac,C3,Cd19,FAPs,1.0,16.17571666666667,0.1671665721848498,0.3333333333333333,0.0168836666666666,1.0,0.2731054082944445,0.1671665721848498
Resolving-Mac,Wnt3,Fzd1,FAPs,0.3333333333333333,0.026594,0.191063491455284,1.0,16.81477433333333,0.7699006693471485,0.4471721086206667,0.1470999099592263
Resolving-Mac,Agrp,Mc4r,FAPs,0.3333333333333333,0.2858313333333333,1.0,0.6666666666666666,0.0531793333333333,0.1427547520640821,0.0152003197524444,0.1427547520640821
Resolving-Mac,Wnt3,Fzd8,FAPs,0.3333333333333333,0.026594,0.191063491455284,1.0,11.50585933333333,0.6072559333217162,0.3059868231106667,0.1160244388273842
Resolving-Mac,Tnfrsf14,Btla,FAPs,1.0,13.79790933333333,0.5980392148364168,0.3333333333333333,0.2240333333333333,0.1613845890083672,3.091191620977777,0.0965143128972617
Resolving-Mac,Nppa,Npr2,FAPs,0.3333333333333333,0.2474883333333333,0.3136295684887327,1.0,12.91523933333333,0.3032510097300563,3.196371057207778,0.09510848332541
Resolving-Mac,Gnai2,Lhcgr,FAPs,1.0,89.46554166666668,0.2146705068098712,0.6666666666666666,0.2640186666666667,0.4210262213814106,23.62057302344445,0.0903819123241924
Resolving-Mac,Wnt3,Fzd7,FAPs,0.3333333333333333,0.026594,0.191063491455284,1.0,7.782607,0.4722854529078861,0.206970650558,0.0902365075961208
Resolving-Mac,Ifna11,Ifnar1,FAPs,0.3333333333333333,0.0138096666666666,0.4127257693342233,1.0,20.25845733333333,0.2176368352473959,0.2797625429542222,0.089824330262947
Resolving-Mac,Ifna11,Ifnar2,FAPs,0.3333333333333333,0.0138096666666666,0.4127257693342233,1.0,25.677964,0.2064675829184841,0.3546041235186667,0.0852144920026089
Resolving-Mac,Wnt3,Ryk,FAPs,0.3333333333333333,0.026594,0.191063491455284,1.0,23.41023966666667,0.4148961799842911,0.6225719136953334,0.0792715127392585
Resolving-Mac,Wnt3,Lrp6,FAPs,0.3333333333333333,0.026594,0.191063491455284,1.0,38.54369466666667,0.3846359116098663,1.025031015965334,0.073489880211267
Resolving-Mac,Pnoc,Oprl1,FAPs,0.3333333333333333,0.0171983333333333,0.0720887504104287,0.6666666666666666,0.7589613333333333,1.0,0.0130528699977777,0.0720887504104287
Resolving-Mac,Uts2,Uts2r,FAPs,0.3333333333333333,0.1307416666666667,0.0788309088310917,1.0,0.7354923333333333,0.9040737623709638,0.0961594934805555,0.0712689563380475
Resolving-Mac,Ccl28,Ccr10,FAPs,0.3333333333333333,0.0198276666666666,0.1997488154364332,0.6666666666666666,0.4846943333333333,0.3557906641356566,0.0096103576765555,0.0710687637044392
Resolving-Mac,Amh,Egfr,FAPs,0.3333333333333333,0.1386863333333333,0.0946369391111303,1.0,88.14978533333333,0.7416121699579786,12.22517051200044,0.0701839057723864
Resolving-Mac,Artn,Gfra1,FAPs,0.3333333333333333,0.113219,0.0910273998484739,1.0,15.933008,0.7230468132755195,1.803919232752,0.0658170713811955
Resolving-Mac,Pla2g10,Pla2r1,FAPs,0.3333333333333333,0.17626,0.106125401296834,1.0,7.032353333333333,0.4760828778567346,1.239522598533333,0.0505244864630975
Resolving-Mac,Amh,Amhr2,FAPs,0.3333333333333333,0.1386863333333333,0.0946369391111303,0.6666666666666666,0.6758093333333334,0.5001027374536356,0.0937255184724444,0.0473281923137093
