Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Nrg2,Erbb4,MuSCs,0.6666666666666666,0.1395776666666667,0.3412534513839764,0.3333333333333333,5.133333333333333e-05,1.0,7.16498688888889e-06,0.3412534513839764
Resolving-Mac,Nrg4,Erbb4,MuSCs,1.0,1.495389666666667,0.3222147804536622,0.3333333333333333,5.133333333333333e-05,1.0,7.676333622222223e-05,0.3222147804536622
Resolving-Mac,Tdgf1,Acvr2a,MuSCs,0.3333333333333333,0.0065309999999999,1.0,1.0,20.11084633333333,0.2945174484164121,0.131343937403,0.2945174484164121
Resolving-Mac,Ltf,Lrp11,MuSCs,0.6666666666666666,0.325391,0.665405846081277,1.0,1.368657333333333,0.391855720526518,0.4453487783506667,0.2607430872587361
Resolving-Mac,Ccl12,Ccr10,MuSCs,1.0,20.23247666666667,1.0,0.6666666666666666,0.3069883333333334,0.2253452856512971,6.211134291105556,0.2253452856512971
Resolving-Mac,Tdgf1,Acvr1b,MuSCs,0.3333333333333333,0.0065309999999999,1.0,1.0,2.773309666666667,0.2012603358768551,0.018112485433,0.2012603358768551
Resolving-Mac,Cxcl13,Ccr10,MuSCs,1.0,0.8083896666666667,0.6829945916230425,0.6666666666666666,0.3069883333333334,0.2253452856512971,0.2481661964538889,0.1539096113475855
Resolving-Mac,Il1f5,Il1rl2,MuSCs,0.3333333333333333,0.002564,1.0,1.0,2.071776666666667,0.1041218120649313,0.0053120353733333,0.1041218120649313
Resolving-Mac,Artn,Gfra3,MuSCs,0.3333333333333333,0.113219,0.0910273998484739,1.0,0.4802803333333334,1.0,0.0543768590596666,0.0910273998484739
Resolving-Mac,Wnt3,Ryk,MuSCs,0.3333333333333333,0.026594,0.191063491455284,1.0,23.09142233333333,0.4092458280188166,0.6140932855326666,0.0781919367647837
Resolving-Mac,Hbegf,Erbb4,MuSCs,1.0,2.163479333333334,0.0737552563693224,0.3333333333333333,5.133333333333333e-05,1.0,0.0001110586057777,0.0737552563693224
Resolving-Mac,Nppa,Npr2,MuSCs,0.3333333333333333,0.2474883333333333,0.3136295684887327,1.0,9.805585333333331,0.2302360472448257,2.426767971504444,0.0722088321479461
Resolving-Mac,Ltf,Lrp1,MuSCs,0.6666666666666666,0.325391,0.665405846081277,1.0,29.04767233333333,0.0987581142638423,9.451851148215669,0.0657142265791234
Resolving-Mac,Wnt3,Fzd7,MuSCs,0.3333333333333333,0.026594,0.191063491455284,1.0,5.009781333333333,0.3040172587389813,0.1332301247786667,0.0580865989173342
Resolving-Mac,Ifna11,Ifnar1,MuSCs,0.3333333333333333,0.0138096666666666,0.4127257693342233,1.0,12.725178,0.1367067305427495,0.175730466454,0.0564223905364226
Resolving-Mac,Pla2g10,Pla2r1,MuSCs,0.3333333333333333,0.17626,0.106125401296834,1.0,7.554679333333333,0.51144379524419,1.331587779293333,0.0542771780110654
Resolving-Mac,Fgf17,Fgfr4,MuSCs,0.3333333333333333,0.1038296666666667,0.0530565573918485,1.0,53.897087,0.9904923704135932,5.596116577514334,0.0525521152970369
Resolving-Mac,Ifna11,Ifnar2,MuSCs,0.3333333333333333,0.0138096666666666,0.4127257693342233,1.0,15.57007066666667,0.1251935261073135,0.2150174858831111,0.0516705943783051
Resolving-Mac,Egf,Erbb4,MuSCs,1.0,0.0647336666666666,0.0496249527900987,0.3333333333333333,5.133333333333333e-05,1.0,3.322994888888889e-06,0.0496249527900987
Resolving-Mac,Ccl28,Ccr10,MuSCs,0.3333333333333333,0.0198276666666666,0.1997488154364332,0.6666666666666666,0.3069883333333334,0.2253452856512971,0.0060868623438888,0.0450124538730312
Resolving-Mac,Wnt3,Fzd8,MuSCs,0.3333333333333333,0.026594,0.191063491455284,1.0,4.368554666666666,0.2305634602787257,0.1161773428053333,0.044052259722865
Resolving-Mac,Wnt3,Lrp6,MuSCs,0.3333333333333333,0.026594,0.191063491455284,1.0,21.954262,0.2190863551385157,0.583851643628,0.041859403942977
Resolving-Mac,Nppa,Npr3,MuSCs,0.3333333333333333,0.2474883333333333,0.3136295684887327,0.6666666666666666,0.1612806666666667,0.1267341598016225,0.0399150833922222,0.0397475798513649
Resolving-Mac,Wnt3,Fzd1,MuSCs,0.3333333333333333,0.026594,0.191063491455284,1.0,3.879966,0.1776526024808091,0.103183815804,0.033942926496101
Resolving-Mac,Artn,Ret,MuSCs,0.3333333333333333,0.113219,0.0910273998484739,1.0,6.912382333333333,0.3713294477689628,0.7826130153976667,0.0338011541175783
Resolving-Mac,Amh,Amhr2,MuSCs,0.3333333333333333,0.1386863333333333,0.0946369391111303,0.6666666666666666,0.3973076666666667,0.2940099254493623,0.0551011434952222,0.0278241994128192
Resolving-Mac,Amh,Acvr1,MuSCs,0.3333333333333333,0.1386863333333333,0.0946369391111303,1.0,13.06524766666667,0.2674394472823625,1.811971292981889,0.0253096506883752
Resolving-Mac,Artn,Gfra1,MuSCs,0.3333333333333333,0.113219,0.0910273998484739,1.0,6.062935333333333,0.275138634955949,0.6864394755046667,0.0250451545378984
Resolving-Mac,Amh,Egfr,MuSCs,0.3333333333333333,0.1386863333333333,0.0946369391111303,1.0,29.76859933333333,0.2504459365921425,4.12849789000911,0.0237014368519005
Resolving-Mac,Il15,Il2rb,MuSCs,1.0,11.92023,0.5538955531130513,0.3333333333333333,0.0512983333333333,0.0418994261307359,0.61148793195,0.0232079058118034
Resolving-Mac,Fgf17,Fgfr1,MuSCs,0.3333333333333333,0.1038296666666667,0.0530565573918485,1.0,66.90297433333333,0.4218083439585467,6.946513524038555,0.0223796986095972
Resolving-Mac,Ccl25,Ccr10,MuSCs,1.0,2.426634333333333,0.0987823072994068,0.6666666666666666,0.3069883333333334,0.2253452856512971,0.7449484295994444,0.022260127255679
Resolving-Mac,Gal,Galr3,MuSCs,1.0,0.3066096666666667,0.0283794990099575,0.3333333333333333,0.1504123333333333,0.415822250563968,0.0461178753858888,0.0118008271481984
Resolving-Mac,Il16,Kcnj15,MuSCs,1.0,5.888867,0.3459382201518156,0.3333333333333333,0.1795943333333333,0.0288585092492083,1.057607142953667,0.0099832613259058
Resolving-Mac,Fgf17,Fgfr3,MuSCs,0.3333333333333333,0.1038296666666667,0.0530565573918485,1.0,1.445350666666667,0.1861038648836906,0.1500702779364445,0.0098740303880463
Resolving-Mac,Nodal,Acvr1c,MuSCs,0.3333333333333333,0.0318486666666666,0.0094233394774172,0.3333333333333333,0.0269196666666666,1.0,0.0008573554904444,0.0094233394774172
Resolving-Mac,Uts2,Uts2r,MuSCs,0.3333333333333333,0.1307416666666667,0.0788309088310917,0.3333333333333333,0.078039,0.0959262376290362,0.010202948925,0.0075619524930441
Resolving-Mac,Slpi,Plscr4,MuSCs,0.3333333333333333,0.1024836666666667,0.0527477553754239,1.0,5.883019,0.1355030691242387,0.6029133581896666,0.0071474827427845
Resolving-Mac,Shank1,Sstr2,MuSCs,1.0,0.028687,0.0155543996425746,1.0,0.461934,0.2889887078106916,0.013251500658,0.0044950458534787
Resolving-Mac,Fgf17,Fgfr2,MuSCs,0.3333333333333333,0.1038296666666667,0.0530565573918485,1.0,0.314161,0.0772607856362681,0.0326192319096666,0.0040991913072499
Resolving-Mac,Fgf7,Fgfr1,MuSCs,0.3333333333333333,0.0997863333333333,0.0084749126347282,1.0,66.90297433333333,0.4218083439585467,6.676002497817444,0.003574788863648
Resolving-Mac,Nodal,Acvr2b,MuSCs,0.3333333333333333,0.0318486666666666,0.0094233394774172,1.0,2.065388333333333,0.3750550597762889,0.0657798645655555,0.0035342711509949
Resolving-Mac,Nodal,Acvr2a,MuSCs,0.3333333333333333,0.0318486666666666,0.0094233394774172,1.0,20.11084633333333,0.2945174484164121,0.6405036412548889,0.0027753378984505
Resolving-Mac,Slpi,Plscr1,MuSCs,0.3333333333333333,0.1024836666666667,0.0527477553754239,1.0,0.796191,0.0513933730157944,0.0815965730469999,0.002710885067755
Resolving-Mac,Tnfsf13,Tnfrsf13b,MuSCs,1.0,2.675030666666667,0.573492282847582,0.3333333333333333,0.035534,0.0044869090570684,0.0950545397093333,0.0025732077180677
Resolving-Mac,Nppa,Npr1,MuSCs,0.3333333333333333,0.2474883333333333,0.3136295684887327,1.0,0.4832879999999999,0.0078431455283669,0.11960814164,0.002459842347656
Resolving-Mac,Il7,Il2rg,MuSCs,0.3333333333333333,0.0408973333333333,0.0416182445657004,1.0,4.981224333333333,0.0530884931576479,0.2037187919684444,0.0022094498918595
Resolving-Mac,Nodal,Acvr1b,MuSCs,0.3333333333333333,0.0318486666666666,0.0094233394774172,1.0,2.773309666666667,0.2012603358768551,0.0883262151371111,0.0018965444683066
Resolving-Mac,Selplg,Sele,MuSCs,1.0,45.70747266666666,0.8766204214076343,0.3333333333333333,0.0280426666666666,0.001852709710176,1.281759420167111,0.0016241231668805
Resolving-Mac,Fgf7,Fgfr3,MuSCs,0.3333333333333333,0.0997863333333333,0.0084749126347282,1.0,1.445350666666667,0.1861038648836906,0.1442262434075556,0.0015772139958745
Resolving-Mac,Tnfsf13b,Tnfrsf13b,MuSCs,1.0,0.8284536666666668,0.3243204483506297,0.3333333333333333,0.035534,0.0044869090570684,0.0294382725913333,0.0014551963570969
Resolving-Mac,F2,F2rl1,MuSCs,0.6666666666666666,0.1983963333333333,0.0492634922137909,0.3333333333333333,0.1371873333333333,0.0213128266643729,0.0272174639131111,0.0010499442704342
