Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Rspo1,Lrp6,Resolving-Mac,0.3333333333333333,0.1580856666666667,0.5744948638433957,1.0,12.62567333333333,0.1547336502458089,1.995937986015555,0.08889368732995759
Resolving-Mac,Rspo1,Znrf3,Resolving-Mac,0.3333333333333333,0.1580856666666667,0.5744948638433957,1.0,1.8753126666666668,0.1525124424659717,0.2964600531184444,0.08761761486891215
Resolving-Mac,Psap,Gpr37l1,Resolving-Mac,1.0,1552.9955243333332,0.6900109020274288,0.3333333333333333,0.05356966666666666,0.121687845374985,83.19345257336187,0.0839659399529677
Resolving-Mac,Il19,Il20rb,Resolving-Mac,0.3333333333333333,0.09321499999999999,1.0,1.0,0.965435,0.07474241356650786,0.08999302352499998,0.07474241356650786
Resolving-Mac,Ccl12,Ccr10,Resolving-Mac,1.0,53.273939666666664,0.9418669336913308,0.3333333333333333,0.048954,0.06497329610006264,2.607972442441999,0.06119619916958489
Resolving-Mac,Gnas,Avpr2,Resolving-Mac,1.0,72.47344466666667,0.04973458223193755,0.3333333333333333,0.166454,1.0,12.06349475854533,0.04973458223193755
Resolving-Mac,Cxcl13,Cxcr5,Resolving-Mac,0.3333333333333333,1.577103333333333,0.6942897929212027,0.6666666666666666,0.1661176666666667,0.06861853213816042,0.2619847258255556,0.0476411464687603
Resolving-Mac,Cxcl13,Ccr10,Resolving-Mac,0.3333333333333333,1.577103333333333,0.6942897929212027,0.3333333333333333,0.048954,0.06497329610006264,0.07720551658,0.04511029629472048
Resolving-Mac,Dll3,Notch2,Resolving-Mac,0.6666666666666666,0.2155983333333333,0.1010146995640623,1.0,45.12975566666666,0.3367854170582615,9.729900105473886,0.03402027772169771
Resolving-Mac,Guca2a,Gucy2c,Resolving-Mac,0.6666666666666666,0.223198,0.1395654797450031,0.6666666666666666,0.32553000000000004,0.240634477266388,0.07265764494000003,0.03358426626287148
Resolving-Mac,Oxt,Avpr2,Resolving-Mac,0.3333333333333333,0.04659966666666667,0.03302614233943936,0.3333333333333333,0.166454,1.0,0.007756700915333333,0.03302614233943936
Resolving-Mac,C1qtnf1,Avpr2,Resolving-Mac,1.0,1.120990333333333,0.0278251216648009,0.3333333333333333,0.166454,1.0,0.1865933249446667,0.0278251216648009
Resolving-Mac,Il13,Il2rg,Resolving-Mac,0.3333333333333333,0.02220666666666667,0.03572395709049765,1.0,67.337282,0.6858871697837075,1.495336575613333,0.02450260382227604
Resolving-Mac,Ccl12,Ackr4,Resolving-Mac,1.0,53.273939666666664,0.9418669336913308,0.3333333333333333,0.023457,0.025605208732063508,1.249646802761,0.02411669943499515
Resolving-Mac,Bmp10,Acvrl1,Resolving-Mac,0.3333333333333333,0.09991066666666666,0.16167803560312902,1.0,6.429072666666666,0.1383778545015528,0.6423329361751109,0.02237265968678666
Resolving-Mac,Bmp10,Bmpr2,Resolving-Mac,0.3333333333333333,0.09991066666666666,0.16167803560312902,1.0,17.657557,0.1366115006935798,1.764178291574667,0.022087079072933467
Resolving-Mac,Ccl2,Ackr4,Resolving-Mac,1.0,199.18562466666668,0.7508559835661449,0.3333333333333333,0.023457,0.025605208732063508,4.672297197806,0.01922582418692999
Resolving-Mac,Cxcl13,Ackr4,Resolving-Mac,0.3333333333333333,1.577103333333333,0.6942897929212027,0.3333333333333333,0.023457,0.025605208732063508,0.03699411289,0.01777743506828855
Resolving-Mac,Il12b,Il23r,Resolving-Mac,0.6666666666666666,0.7997520000000001,0.7181285513489439,0.3333333333333333,0.004338666666666667,0.02421766125416079,0.003469857344000001,0.01739139399350994
Resolving-Mac,Sema4g,Plxnb2,Resolving-Mac,1.0,0.2256573333333334,0.0355000610657769,1.0,51.87044599999999,0.4168732219867681,11.704946523170669,0.01479902483721744
Resolving-Mac,Bmp10,Acvr2a,Resolving-Mac,0.3333333333333333,0.09991066666666666,0.16167803560312902,1.0,5.345855666666666,0.08255698348755007,0.5341080035604444,0.01334765091558705
Resolving-Mac,Csf3,Csf3r,Resolving-Mac,0.6666666666666666,0.227516,0.0898682840854659,1.0,48.149796,0.1382394801939247,10.954848986736,0.01242334487789476
Resolving-Mac,Saa1,Fpr2,Resolving-Mac,0.3333333333333333,0.002206666666666667,0.03779164359397389,1.0,16.38778266666667,0.3097824416141609,0.036162373751111115,0.01170718762515339
Resolving-Mac,Il13,Il4ra,Resolving-Mac,0.3333333333333333,0.02220666666666667,0.03572395709049765,1.0,32.81697400000001,0.3137404406461546,0.7287556026266668,0.01120805003919705
Resolving-Mac,Dll3,Notch1,Resolving-Mac,0.6666666666666666,0.2155983333333333,0.1010146995640623,1.0,10.933664,0.1034534789405002,2.357279735626666,0.01045032209403168
Resolving-Mac,Il13,Il13ra1,Resolving-Mac,0.3333333333333333,0.02220666666666667,0.03572395709049765,1.0,19.143989,0.2755706942950342,0.4251241823933333,0.009844475658394448
Resolving-Mac,Wnt16,Lrp5,Resolving-Mac,0.6666666666666666,0.109672,0.07922695588958756,1.0,4.574811666666666,0.1168599052775075,0.5017287451066665,0.009258454560682468
Resolving-Mac,Fgf15,Klb,Resolving-Mac,0.6666666666666666,0.03775700000000001,0.1185916127039633,1.0,0.2455966666666667,0.07040743408626099,0.009272993343333334,0.008349731154637689
Resolving-Mac,Cd59b,Cd2,Resolving-Mac,0.6666666666666666,0.16441,0.03810194043882547,0.6666666666666666,0.192309,0.2167476598998025,0.03161752269,0.008258506427757077
Resolving-Mac,Tnfsf11,Tnfrsf11a,Resolving-Mac,0.3333333333333333,0.014756,0.008152104855500315,1.0,23.057258,0.8622729387982543,0.340232899048,0.007029339411143774
