Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Ceacam1,Cd209e,Resolving-Mac,1.0,37.08402533333333,0.8732570105511104,0.3333333333333333,0.04374,1.0,1.62205526808,0.8732570105511104
ECs,Efna1,Epha8,Resolving-Mac,1.0,23.73148533333334,0.8653076146801144,0.3333333333333333,0.0051223333333333,1.0,0.1215605783724445,0.8653076146801144
ECs,Efna3,Epha8,Resolving-Mac,1.0,0.3193606666666667,0.7979421849584948,0.3333333333333333,0.0051223333333333,1.0,0.0016358717882222,0.7979421849584948
ECs,Camp,Fpr2,Resolving-Mac,0.3333333333333333,0.0580766666666666,1.0,1.0,4.74207,0.7591557198785561,0.2754036187,0.7591557198785561
ECs,Il5,Csf2rb,Resolving-Mac,0.3333333333333333,0.0656016666666666,0.7744264746389643,1.0,38.35419,0.7007727915138736,2.51609878765,0.5426970024549951
ECs,Ccl20,Cxcr3,Resolving-Mac,0.3333333333333333,0.0788616666666666,0.5304501264551309,1.0,1.821156333333333,0.9722698211323024,0.1436194237072222,0.5157406495681374
ECs,Ghrh,Vipr1,Resolving-Mac,0.3333333333333333,0.0232386666666666,1.0,1.0,1.604391333333333,0.4661375829959777,0.0372839153982222,0.4661375829959777
ECs,Zp3,Mertk,Resolving-Mac,0.3333333333333333,0.0826186666666666,0.5806915650061265,1.0,41.03546066666667,0.6844128707469962,3.390295046332444,0.397432781024409
ECs,Efna4,Epha8,Resolving-Mac,1.0,1.008000333333333,0.3525296793986107,0.3333333333333333,0.0051223333333333,1.0,0.0051633137074444,0.3525296793986107
ECs,Efna2,Epha8,Resolving-Mac,1.0,3.099562666666667,0.2686390288432488,0.3333333333333333,0.0051223333333333,1.0,0.0158769931662222,0.2686390288432488
ECs,Serpina1e,Lrp1,Resolving-Mac,0.3333333333333333,0.1767853333333333,1.0,1.0,86.47679266666667,0.2379332811655844,15.28782861717422,0.2379332811655844
ECs,Adm2,Ramp3,Resolving-Mac,0.3333333333333333,0.072366,1.0,0.3333333333333333,0.123305,0.1449542564234389,0.00892308963,0.1449542564234389
ECs,Il23a,Il23r,Resolving-Mac,1.0,3.109891,0.4376734453228661,0.3333333333333333,0.0043386666666666,0.2310054130801314,0.0134927804186666,0.101104935031013
ECs,Efna5,Epha8,Resolving-Mac,0.3333333333333333,0.1728506666666667,0.0840503369699626,0.3333333333333333,0.0051223333333333,1.0,0.0008853987315555,0.0840503369699626
ECs,Adm,Ramp3,Resolving-Mac,1.0,13.26223533333333,0.391007655706778,0.3333333333333333,0.123305,0.1449542564234389,1.635299927776666,0.056678223988848
ECs,Il1rapl1,Ptprs,Resolving-Mac,0.6666666666666666,0.0382566666666666,0.4331352014340976,1.0,7.746355333333334,0.0932353790247713,0.2963497338688889,0.0403835246746787
ECs,Fasl,Fas,Resolving-Mac,0.3333333333333333,0.1118776666666667,0.1996574747597327,1.0,3.893790666666666,0.1507772636004996,0.4356282142751111,0.0301038077016583
ECs,Ccl21b,Cxcr3,Resolving-Mac,0.3333333333333333,0.004739,0.0258857074188579,1.0,1.821156333333333,0.9722698211323024,0.0086304598636666,0.0251678921220161
ECs,Ccl21b,Ccr7,Resolving-Mac,0.3333333333333333,0.004739,0.0258857074188579,1.0,2.116161,0.9191771991900042,0.010028486979,0.0237935520443177
ECs,Tnfsf13b,Tnfrsf17,Resolving-Mac,0.3333333333333333,0.1273763333333333,0.0222157289958839,0.3333333333333333,0.1124936666666667,1.0,0.0143290307832222,0.0222157289958839
ECs,Tnfsf13b,Tnfrsf13b,Resolving-Mac,0.3333333333333333,0.1273763333333333,0.0222157289958839,1.0,8.065052666666666,0.9524637669520812,1.027296836820222,0.0211596769250062
ECs,Enho,Gpr19,Resolving-Mac,0.3333333333333333,0.0750163333333333,0.1517413757181704,1.0,1.003734,0.1335485519092481,0.075296444322,0.0202648409918787
ECs,Hp,Itgam,Resolving-Mac,0.3333333333333333,0.1238986666666667,0.0192390518549528,1.0,38.416166,0.9992910793627116,4.759711745845333,0.019225412894051
ECs,Amh,Acvr1,Resolving-Mac,0.3333333333333333,0.183099,0.2347163284063858,1.0,3.895588,0.0818599385081948,0.713278267212,0.019213864210216
ECs,Hp,Itgb2,Resolving-Mac,0.3333333333333333,0.1238986666666667,0.0192390518549528,1.0,63.556834,0.9909253728619096,7.874606990154668,0.0190644646328787
ECs,Agrp,Sdc3,Resolving-Mac,0.3333333333333333,0.052073,0.0381660068236038,1.0,47.79503400000001,0.4637252825399149,2.488830805482,0.017698542297696
ECs,Gpha2,Tshr,Resolving-Mac,0.3333333333333333,0.0684083333333333,0.25410801246612,1.0,0.3186579999999999,0.0696246133489308,0.0217988626833333,0.0176921721168189
ECs,Tnfsf18,Tnfrsf18,Resolving-Mac,0.3333333333333333,0.1244153333333333,0.1599094129708596,1.0,0.4406919999999999,0.1084629816695792,0.0548288420773333,0.0173442517278515
ECs,Hp,Cd163,Resolving-Mac,0.3333333333333333,0.1238986666666667,0.0192390518549528,1.0,5.819542333333334,0.8939749847561693,0.7210335357102223,0.0171992310887546
ECs,Fgl1,Lag3,Resolving-Mac,0.3333333333333333,0.0043913333333333,0.0420358712057153,1.0,14.84311633333333,0.3424900682581226,0.0651810715251111,0.0143968683985351
ECs,Ccl20,Ackr4,Resolving-Mac,0.3333333333333333,0.0788616666666666,0.5304501264551309,0.3333333333333333,0.023457,0.0263114699852722,0.001849858115,0.013956922580908
ECs,Slit1,Sdc1,Resolving-Mac,1.0,0.4218206666666666,0.204479520571209,1.0,1.222391,0.0471759398671118,0.5156297865473333,0.0096465135665232
ECs,Gnas,Gcgr,Resolving-Mac,1.0,175.411433,0.1535106429347505,0.3333333333333333,0.1322646666666667,0.0624380802517702,23.20073471526733,0.0095849098430608
ECs,Bmp7,Acvr2b,Resolving-Mac,0.3333333333333333,0.0344393333333333,0.0582326182245921,1.0,0.7234496666666667,0.1618662157416207,0.0249151242202222,0.0094258935447412
ECs,Vwf,Tnfrsf11b,Resolving-Mac,1.0,61.526261,0.9684015388399598,0.3333333333333333,0.0243466666666666,0.0096865453036965,1.497959367813333,0.0093804653781427
ECs,Tnfsf10,Tnfrsf11b,Resolving-Mac,1.0,27.24688066666667,0.9344428125547476,0.3333333333333333,0.0243466666666666,0.0096865453036965,0.6633707212977779,0.0090515226375251
ECs,Fgf23,Fgfr1,Resolving-Mac,0.3333333333333333,0.1241873333333333,1.0,1.0,1.207345666666667,0.0078266581052573,0.1499370387548889,0.0078266581052573
ECs,Bmp7,Bmpr2,Resolving-Mac,0.3333333333333333,0.0344393333333333,0.0582326182245921,1.0,16.07945366666667,0.1088491702632547,0.5537656646442222,0.0063385721760037
ECs,Amh,Amhr2,Resolving-Mac,0.3333333333333333,0.183099,0.2347163284063858,0.3333333333333333,0.0363866666666666,0.0269876572755421,0.00666236228,0.0063344438280051
ECs,A2m,Lrp1,Resolving-Mac,0.3333333333333333,0.007329,0.0239956520363072,1.0,86.47679266666667,0.2379332811655844,0.6337884134539999,0.0057093642227062
ECs,Uts2,Uts2r,Resolving-Mac,0.6666666666666666,0.126357,0.1226892855998496,0.6666666666666666,0.048633,0.0462696833819025,0.006145119981,0.0056767943990568
ECs,Ccl25,Ackr4,Resolving-Mac,1.0,4.055275000000001,0.1947228515851206,0.3333333333333333,0.023457,0.0263114699852722,0.095124585675,0.0051234444649285
ECs,Siglec1,Spn,Resolving-Mac,0.6666666666666666,0.216469,0.005147493274683,1.0,3.015918333333333,0.9526529808590324,0.6528528256983334,0.0049037748120786
ECs,Bmp7,Acvr1,Resolving-Mac,0.3333333333333333,0.0344393333333333,0.0582326182245921,1.0,3.895588,0.0818599385081948,0.1341614536613333,0.0047669185470363
ECs,Ccl25,Ccr10,Resolving-Mac,1.0,4.055275000000001,0.1947228515851206,0.3333333333333333,0.048954,0.0231867537644806,0.19852193235,0.0045149908120217
ECs,Nxph3,Nrxn1,Resolving-Mac,0.3333333333333333,0.1275786666666667,0.2993455218931061,0.6666666666666666,0.003441,0.0132803987078531,0.000438998192,0.0039754278821508
ECs,Bmp7,Acvr2a,Resolving-Mac,0.3333333333333333,0.0344393333333333,0.0582326182245921,1.0,4.658207333333333,0.0622556186480539,0.1604255550884444,0.0036253076730679
ECs,Il12a,Il12rb1,Resolving-Mac,0.3333333333333333,0.019271,0.0094125174613408,1.0,1.472682666666667,0.3812590351714111,0.0283800676693333,0.0035886073258448
ECs,Nrg2,Erbb3,Resolving-Mac,0.3333333333333333,0.0207236666666666,0.0365941877568894,1.0,0.480609,0.0976085407566246,0.009959980713,0.0035719052671239
ECs,Psap,Gpr37l1,Resolving-Mac,1.0,114.056483,0.0560700524123774,0.3333333333333333,0.0535696666666666,0.0636685112465493,6.109967775482333,0.003569896762612
ECs,Il12a,Il12rb2,Resolving-Mac,0.3333333333333333,0.019271,0.0094125174613408,1.0,1.016244333333333,0.3472274834178377,0.0195840445476666,0.0032682847507278
