Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Tac1,Tacr2,sCs,1.0,14.882091,1.0,0.3333333333333333,0.0223083333333333,1.0,0.331994646725,1.0
FAPs,Tac2,Tacr2,sCs,0.3333333333333333,0.2004523333333333,1.0,0.3333333333333333,0.0223083333333333,1.0,0.0044717574694444,1.0
FAPs,Rspo2,Rnf43,sCs,1.0,1.597878666666666,0.98224549682877,0.3333333333333333,0.0755779999999999,1.0,0.1207644738693333,0.98224549682877
FAPs,Dsc3,Dsg1a,sCs,0.3333333333333333,0.038688,1.0,0.3333333333333333,0.011155,0.7320354369462977,0.00043156464,0.7320354369462977
FAPs,Insl5,Rxfp3,sCs,0.3333333333333333,0.0391203333333333,1.0,1.0,0.4822376666666666,0.479815239461041,0.0188652982658888,0.479815239461041
FAPs,Inhba,Acvr1c,sCs,1.0,2.588894,0.4485256605643812,0.3333333333333333,0.0269196666666666,1.0,0.0696921635153333,0.4485256605643812
FAPs,Tac2,Tacr1,sCs,0.3333333333333333,0.2004523333333333,1.0,0.3333333333333333,0.0451326666666666,0.4377618850550928,0.0090469483428888,0.4377618850550928
FAPs,Tac1,Tacr1,sCs,1.0,14.882091,1.0,0.3333333333333333,0.0451326666666666,0.4377618850550928,0.6716684524059999,0.4377618850550928
FAPs,Insl5,Rxfp4,sCs,0.3333333333333333,0.0391203333333333,1.0,1.0,8.803624666666666,0.4024192014009149,0.3444007315015555,0.4024192014009149
FAPs,Myoc,Fzd10,sCs,1.0,23.971258,0.9627648963950116,0.6666666666666666,0.0471236666666666,0.4131106247315253,1.129613571572667,0.3977284078193254
FAPs,Nodal,Acvr1c,sCs,1.0,1.026087333333333,0.38546579538943,0.3333333333333333,0.0269196666666666,1.0,0.0276219289842222,0.38546579538943
FAPs,Wnt1,Fzd10,sCs,0.3333333333333333,0.2283393333333333,0.9040802643804374,0.6666666666666666,0.0471236666666666,0.4131106247315253,0.0107601866308888,0.3734851628256451
FAPs,Rbp3,Notch1,sCs,0.6666666666666666,0.2455416666666667,1.0,1.0,37.34441866666666,0.3533499868001453,9.16961080011111,0.3533499868001453
FAPs,Fgf8,Fgfr4,sCs,0.6666666666666666,0.2272,0.3314754304049923,1.0,50.144057,0.9963145173633166,11.3927297504,0.3302537834617476
FAPs,Cort,Sstr2,sCs,0.3333333333333333,0.1100146666666667,1.0,1.0,0.4411166666666667,0.3142930360111158,0.0485293030444444,0.3142930360111158
FAPs,Plg,Itgb1,sCs,0.3333333333333333,0.0141293333333333,1.0,1.0,144.2727966666667,0.3059077790604178,2.038478435035556,0.3059077790604178
FAPs,Plg,F2r,sCs,0.3333333333333333,0.0141293333333333,1.0,1.0,21.43313066666667,0.2813251985975609,0.3028358475662222,0.2813251985975609
FAPs,Oxt,Oxtr,sCs,1.0,0.8677463333333333,0.6149896763036915,0.3333333333333333,0.029575,0.4064696127028339,0.0256635978083333,0.2499746155434027
FAPs,Pspn,Gfra4,sCs,0.6666666666666666,1.007306,0.5876012385461317,1.0,1.255017,0.4219658433083287,1.264186154202,0.2479476521521369
FAPs,Wnt9a,Fzd10,sCs,1.0,3.232908333333333,0.5584514397475191,0.6666666666666666,0.0471236666666666,0.4131106247315253,0.1523464946638889,0.2307022231563174
FAPs,Cort,Ghsr,sCs,0.3333333333333333,0.1100146666666667,1.0,1.0,0.8020063333333334,0.2164666480251308,0.0882324594262222,0.2164666480251308
FAPs,Pspn,Ret,sCs,0.6666666666666666,1.007306,0.5876012385461317,1.0,4.955718666666667,0.3481515738676944,4.991925147245333,0.2045742960064423
FAPs,Lrrc4b,Ptprf,sCs,0.3333333333333333,0.206036,0.4634997716650157,1.0,4.250245,0.4148192549624977,0.8757034788200001,0.1922686299573696
FAPs,Pspn,Gfra1,sCs,0.6666666666666666,1.007306,0.5876012385461317,1.0,5.241682666666667,0.2475447102950201,5.279978400229334,0.1454575783648972
FAPs,Lrrc4b,Ptprs,sCs,0.3333333333333333,0.206036,0.4634997716650157,1.0,29.25249166666667,0.3016698335405271,6.027066373033334,0.1398238989642576
FAPs,Col9a1,Mag,sCs,0.3333333333333333,0.0225193333333333,0.2160542390226742,0.6666666666666666,0.4679556666666667,0.5989702197413518,0.0105380496428888,0.1294100550234617
FAPs,Plg,Plgrkt,sCs,0.3333333333333333,0.0141293333333333,1.0,1.0,12.59835433333333,0.1292569864242292,0.1780063478271111,0.1292569864242292
FAPs,Fgf8,Fgfr1,sCs,0.6666666666666666,0.2272,0.3314754304049923,1.0,53.47143866666666,0.3811416689464024,12.14871086506666,0.1263390987592858
FAPs,Fgf8,Fgfrl1,sCs,0.6666666666666666,0.2272,0.3314754304049923,1.0,3.710185666666666,0.3542164284550445,0.8429541834666665,0.117414043078655
FAPs,Clec4g,Lag3,sCs,0.3333333333333333,0.1416773333333333,0.6088489896016422,1.0,5.428613333333334,0.1846152583504849,0.7691114607644446,0.1124028135117389
FAPs,Crtam,Cadm1,sCs,0.6666666666666666,0.4937903333333333,0.3832847426192826,1.0,2.535068333333333,0.2543684215719344,1.251792237339444,0.097495534992672
FAPs,Lif,Il6st,sCs,0.6666666666666666,0.8189326666666666,0.4599976932692142,1.0,36.52018433333333,0.20710333833547,29.90757194325489,0.0952670579026698
FAPs,Gnas,Gcgr,sCs,1.0,930.1503093333332,0.6383115534299679,1.0,0.2555663333333333,0.1405131678805576,237.7151040051858,0.0896911784672046
FAPs,Fgf8,Fgfr3,sCs,0.6666666666666666,0.2272,0.3314754304049923,1.0,1.105183,0.2573194285365706,0.2510975776,0.0852950683257264
FAPs,Enho,Gpr19,sCs,0.6666666666666666,0.272149,0.1885962217324075,1.0,2.761601666666667,0.4116486950578287,0.7515671319816668,0.0776353885689824
FAPs,Il17b,Il17rb,sCs,0.3333333333333333,0.086841,0.2738205472353924,1.0,1.837667666666666,0.2436077846983816,0.159584897841,0.0667048169169125
FAPs,Amh,Amhr2,sCs,0.3333333333333333,0.294587,0.155159436956016,1.0,0.4387876666666666,0.3837508825877033,0.1292611423603333,0.0595425708736822
FAPs,Cort,Sstr4,sCs,0.3333333333333333,0.1100146666666667,1.0,1.0,0.3155153333333333,0.0588725481537247,0.0347113142248888,0.0588725481537247
