Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Col9a1,Mag,Resolving-Mac,0.6666666666666666,0.107983,1.0,1.0,0.6726793333333333,0.7427780184542632,0.0726379324513333,0.7427780184542632
MuSCs,Adam2,Itga9,Resolving-Mac,0.3333333333333333,0.0381956666666666,0.7405896951991934,1.0,11.417657,0.62745398637867,0.4361050208863333,0.464685956523698
MuSCs,Ccl28,Ccr3,Resolving-Mac,0.3333333333333333,0.104916,0.4291715810931503,1.0,0.3389413333333333,1.0,0.035560368928,0.4291715810931503
MuSCs,Cntn1,Notch2,Resolving-Mac,0.6666666666666666,0.0662483333333333,1.0,1.0,33.83466466666667,0.3204069170612486,2.241490143058889,0.3204069170612486
MuSCs,Dkk1,Lrp4,Resolving-Mac,0.3333333333333333,0.0155653333333333,1.0,1.0,2.233016333333333,0.2553783257932662,0.0347576435671111,0.2553783257932662
MuSCs,Efna5,Epha8,Resolving-Mac,1.0,0.5159453333333334,0.2508834936018741,0.3333333333333333,0.0051223333333333,1.0,0.0026428439791111,0.2508834936018741
MuSCs,Adam2,Itgb7,Resolving-Mac,0.3333333333333333,0.0381956666666666,0.7405896951991934,1.0,2.406253666666667,0.3018423067386362,0.0919084629674444,0.223541301945788
MuSCs,Dkk1,Lrp6,Resolving-Mac,0.3333333333333333,0.0155653333333333,1.0,1.0,21.076417,0.214051442191299,0.3280614560773334,0.214051442191299
MuSCs,Wnt10a,Fzd5,Resolving-Mac,0.6666666666666666,0.0560623333333333,1.0,1.0,3.542379,0.1804493993007442,0.198594032291,0.1804493993007442
MuSCs,Wnt7b,Fzd5,Resolving-Mac,0.3333333333333333,0.0500326666666666,1.0,1.0,3.542379,0.1804493993007442,0.177234667714,0.1804493993007442
MuSCs,Efna2,Epha8,Resolving-Mac,1.0,1.888584,0.1636835341659699,0.3333333333333333,0.0051223333333333,1.0,0.009673956776,0.1636835341659699
MuSCs,Il5,Csf2rb,Resolving-Mac,0.3333333333333333,0.0191083333333333,0.2255735253610357,1.0,38.35419,0.7007727915138736,0.73288464725,0.1580757890588786
MuSCs,Dkk1,Lrp5,Resolving-Mac,0.3333333333333333,0.0155653333333333,1.0,1.0,5.620297999999999,0.1190701705949913,0.0874818118026666,0.1190701705949913
MuSCs,Wnt7b,Lrp5,Resolving-Mac,0.3333333333333333,0.0500326666666666,1.0,1.0,5.620297999999999,0.1190701705949913,0.2811984964013333,0.1190701705949913
MuSCs,Efna4,Epha8,Resolving-Mac,0.6666666666666666,0.313796,0.1097444114038651,0.3333333333333333,0.0051223333333333,1.0,0.0016073677106666,0.1097444114038651
MuSCs,Tff2,Cxcr4,Resolving-Mac,0.6666666666666666,0.1599346666666667,0.1447458130254459,1.0,220.538579,0.7518519741313753,35.27176411950533,0.1088274252704324
MuSCs,Liph,Lpar2,Resolving-Mac,0.3333333333333333,0.0140653333333333,0.2352586975914362,1.0,1.161701,0.4522811426269581,0.0163397117986666,0.1064030725595848
MuSCs,Thpo,Mpl,Resolving-Mac,0.6666666666666666,0.445236,0.3605499156328508,0.3333333333333333,0.264451,0.2856264911763403,0.117743105436,0.1029826072961367
MuSCs,Agrp,Sdc3,Resolving-Mac,0.6666666666666666,0.299804,0.2197361686429383,1.0,47.79503400000001,0.4637252825399149,14.329142373336,0.101897216888185
MuSCs,Adam2,Itgb1,Resolving-Mac,0.3333333333333333,0.0381956666666666,0.7405896951991934,1.0,65.761079,0.1293522275572212,2.511788253124333,0.0957969267799391
MuSCs,Slitrk3,Ptprs,Resolving-Mac,0.3333333333333333,0.0243936666666666,1.0,1.0,7.746355333333334,0.0932353790247713,0.1889620098828889,0.0932353790247713
MuSCs,Adam2,Itga6,Resolving-Mac,0.3333333333333333,0.0381956666666666,0.7405896951991934,1.0,32.52945966666667,0.1235476191121251,1.242484398274778,0.0914980935808348
MuSCs,Cntn1,Notch1,Resolving-Mac,0.6666666666666666,0.0662483333333333,1.0,1.0,10.76719366666667,0.0888144309666542,0.7133086350938889,0.0888144309666542
MuSCs,Ifnb1,Ifnar2,Resolving-Mac,0.3333333333333333,0.0131783333333333,0.2048477437473122,1.0,48.89716966666666,0.3992799941685959,0.6443832009238889,0.0817916059288768
MuSCs,Insl5,Rxfp4,Resolving-Mac,0.3333333333333333,0.0825836666666666,1.0,1.0,2.085501,0.0809431766364402,0.172228319417,0.0809431766364402
MuSCs,Ifnb1,Ifnar1,Resolving-Mac,0.3333333333333333,0.0131783333333333,0.2048477437473122,1.0,32.55301433333333,0.3774055443326823,0.4289944738894444,0.0773106742342761
MuSCs,Gip,Dpp4,Resolving-Mac,0.6666666666666666,0.210997,0.1990421940861931,1.0,2.318889333333333,0.3027415980845382,0.4892786926653333,0.0602583519239069
MuSCs,Shh,Ptch2,Resolving-Mac,0.3333333333333333,0.036859,1.0,1.0,0.7733783333333334,0.0504739972226993,0.0285059519883333,0.0504739972226993
MuSCs,Shh,Ptch1,Resolving-Mac,0.3333333333333333,0.036859,1.0,1.0,0.7664356666666667,0.0491943537129375,0.0282500522376666,0.0491943537129375
MuSCs,Btla,Tnfrsf14,Resolving-Mac,0.3333333333333333,0.0927833333333333,0.078266776814701,1.0,16.31603133333333,0.5486531738238374,1.513855773877778,0.0429413155043476
MuSCs,Spn,Siglec1,Resolving-Mac,0.6666666666666666,0.133398,0.0421370834004567,1.0,41.80400533333333,0.9940722981496158,5.576570703455999,0.041887307333214
MuSCs,Efna1,Epha8,Resolving-Mac,1.0,1.148663,0.041883043839873,0.3333333333333333,0.0051223333333333,1.0,0.0058838347736666,0.041883043839873
MuSCs,S100a8,Tlr4,Resolving-Mac,0.3333333333333333,0.3440983333333333,0.0956056032582562,1.0,17.60745533333333,0.3748863512527063,6.058696034441112,0.0358412357648015
MuSCs,Dkk1,Kremen1,Resolving-Mac,0.3333333333333333,0.0155653333333333,1.0,1.0,1.788256333333333,0.0307975887337259,0.0278348059137777,0.0307975887337259
MuSCs,Il23a,Il23r,Resolving-Mac,1.0,0.8168863333333333,0.1149652691837634,0.3333333333333333,0.0043386666666666,0.2310054130801314,0.0035441975048888,0.0265575994976637
MuSCs,Uts2,Uts2r,Resolving-Mac,1.0,0.5786293333333333,0.5618336897345133,0.6666666666666666,0.048633,0.0462696833819025,0.028140480368,0.025995866937302
MuSCs,Wnt7b,Fzd1,Resolving-Mac,0.3333333333333333,0.0500326666666666,1.0,1.0,0.7318113333333334,0.0253465434414716,0.0366144725035555,0.0253465434414716
MuSCs,Wnt10a,Fzd1,Resolving-Mac,0.6666666666666666,0.0560623333333333,1.0,1.0,0.7318113333333334,0.0253465434414716,0.0410270509064444,0.0253465434414716
MuSCs,F12,Gp1ba,Resolving-Mac,0.3333333333333333,0.0380776666666666,0.2177529884731004,1.0,1.150472333333333,0.0928470339871358,0.0438073020178888,0.0202177191215623
MuSCs,Gnas,Gcgr,Resolving-Mac,1.0,360.115397,0.3151536087398187,0.3333333333333333,0.1322646666666667,0.0624380802517702,47.63054294573934,0.0196775863141318
