Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Npy,Npy2r,FAPs,1.0,1.319712,1.0,0.3333333333333333,0.1430723333333333,1.0,0.188814275168,1.0
Resolving-Mac,Gdf15,Gfral,FAPs,1.0,43.970211,0.9653382302504244,0.6666666666666666,0.103696,1.0,4.559534999856,0.9653382302504244
Resolving-Mac,Prok2,Prokr1,FAPs,0.3333333333333333,0.0009696666666666,1.0,1.0,9.534479666666668,0.9538770841709324,0.0092452671167777,0.9538770841709324
Resolving-Mac,Prok2,Prokr2,FAPs,0.3333333333333333,0.0009696666666666,1.0,0.6666666666666666,0.986573,0.916670744586948,0.0009566469523333,0.916670744586948
Resolving-Mac,Rph3a,Nrxn1,FAPs,0.3333333333333333,0.0006756666666666,1.0,1.0,0.2191816666666667,0.8459226744507667,0.0001480937461111,0.8459226744507667
Resolving-Mac,Cort,Sstr3,FAPs,0.3333333333333333,0.0511646666666666,1.0,0.3333333333333333,0.3920046666666666,0.8199773672206794,0.0200567881017777,0.8199773672206794
Resolving-Mac,Il12b,Il23r,FAPs,1.0,1.982131,0.9556629654450868,0.3333333333333333,0.014443,0.7689945869198687,0.028627918033,0.7348996473470613
Resolving-Mac,Bmp10,Bmpr1b,FAPs,1.0,0.7042496666666667,1.0,1.0,1.707786666666667,0.7091726973716084,1.202708190737778,0.7091726973716084
Resolving-Mac,Cort,Sstr2,FAPs,0.3333333333333333,0.0511646666666666,1.0,0.6666666666666666,1.049824666666667,0.6866154126212269,0.0537139291284444,0.6866154126212269
Resolving-Mac,Cort,Ghsr,FAPs,0.3333333333333333,0.0511646666666666,1.0,0.6666666666666666,1.079670666666667,0.5935332782376214,0.0552409897697777,0.5935332782376214
Resolving-Mac,Bmp10,Bmpr1a,FAPs,1.0,0.7042496666666667,1.0,1.0,41.286995,0.5401386314560596,29.07635246641833,0.5401386314560596
Resolving-Mac,Gdf7,Bmpr1a,FAPs,0.3333333333333333,0.0682643333333333,0.7008538526034804,1.0,41.286995,0.5401386314560596,2.818429189011666,0.3785582407959508
Resolving-Mac,Bmp10,Acvr2a,FAPs,1.0,0.7042496666666667,1.0,1.0,27.61090666666666,0.3690119294748028,19.44497181636444,0.3690119294748028
Resolving-Mac,Liph,Lpar1,FAPs,0.3333333333333333,0.0263913333333333,0.4414250669045495,1.0,71.79709100000001,0.8119131016190486,1.894820960944667,0.3583987952028688
Resolving-Mac,Bmp10,Acvrl1,FAPs,1.0,0.7042496666666667,1.0,1.0,19.28977566666667,0.327656036225058,13.58481808332478,0.327656036225058
Resolving-Mac,Bmp10,Bmpr2,FAPs,1.0,0.7042496666666667,1.0,1.0,46.81622333333333,0.3169204109998198,32.97030967709222,0.3169204109998198
Resolving-Mac,Oxt,Oxtr,FAPs,0.6666666666666666,0.31935,0.2633831086767009,0.3333333333333333,0.0599329999999999,1.0,0.01913960355,0.2633831086767009
Resolving-Mac,Gdf7,Acvr2a,FAPs,0.3333333333333333,0.0682643333333333,0.7008538526034804,1.0,27.61090666666666,0.3690119294748028,1.884840136328889,0.2586234324290594
Resolving-Mac,Epcam,Epcam,FAPs,0.3333333333333333,0.0194483333333333,0.4910699255967411,0.3333333333333333,0.0201556666666666,0.5089300744032589,0.0003919941238888,0.2499202537711523
Resolving-Mac,Gdf7,Bmpr2,FAPs,0.3333333333333333,0.0682643333333333,0.7008538526034804,1.0,46.81622333333333,0.3169204109998198,3.195878275034444,0.2221148910179021
Resolving-Mac,Oxt,Avpr1a,FAPs,0.6666666666666666,0.31935,0.2633831086767009,1.0,9.750671,0.7813191461594744,3.11387678385,0.205786265584108
Resolving-Mac,Cxcl2,Cxcr2,FAPs,1.0,133.9185306666667,0.9694343334447382,0.3333333333333333,0.0072843333333333,0.1997148627777118,0.9755072168862224,0.1936104448759184
Resolving-Mac,Bmp10,Eng,FAPs,1.0,0.7042496666666667,1.0,1.0,46.29469433333333,0.164954193449581,32.60302305268522,0.164954193449581
Resolving-Mac,Liph,Lpar4,FAPs,0.3333333333333333,0.0263913333333333,0.4414250669045495,1.0,18.88898566666667,0.3675701462137901,0.4985055170575555,0.1622546763845373
Resolving-Mac,Fgf15,Fgfr2,FAPs,0.6666666666666666,0.0334766666666666,0.1527357229435123,1.0,4.140873,0.8044215857867821,0.13862262513,0.1228639124565107
Resolving-Mac,Liph,Lpar2,FAPs,0.3333333333333333,0.0263913333333333,0.4414250669045495,0.6666666666666666,0.7070706666666666,0.2752814442253256,0.0186605376542222,0.1215161299347454
Resolving-Mac,Gnai2,Adcy1,FAPs,1.0,91.01828266666666,0.2378998101932138,0.6666666666666666,0.047249,0.4680884086638641,4.300522837717334,0.1113581435747768
Resolving-Mac,Fgf15,Fgfr1,FAPs,0.6666666666666666,0.0334766666666666,0.1527357229435123,1.0,86.98680366666667,0.5638948237978928,2.912028230747778,0.0861268835768756
Resolving-Mac,Wnt16,Fzd2,FAPs,0.6666666666666666,0.1973276666666667,0.1037209923300328,1.0,13.42533133333333,0.8246098959508241,2.649189306233555,0.0855293566931846
Resolving-Mac,Fgf15,Klb,FAPs,0.6666666666666666,0.0334766666666666,0.1527357229435123,1.0,2.395502,0.5564209953690854,0.0801934219533333,0.0849853629886459
Resolving-Mac,Il18,Il18r1,FAPs,1.0,16.26259133333333,0.6382875112088087,0.3333333333333333,0.024585,0.1284798252444435,0.39981580793,0.0820070678958185
Resolving-Mac,F11,Gp1ba,FAPs,0.3333333333333333,0.0122903333333333,0.1929247158793612,1.0,4.666004666666667,0.3765624616238499,0.0573467526882222,0.0726482059196141
Resolving-Mac,Qrfp,P2ry14,FAPs,0.6666666666666666,0.3896243333333334,0.1662830407865915,1.0,6.300415333333333,0.4183293461133303,2.454795123973111,0.069561075721991
Resolving-Mac,Proc,Procr,FAPs,0.3333333333333333,0.0382193333333333,0.2237347138288261,1.0,4.782347333333333,0.2729564927611473,0.1827781268484444,0.0610698427956353
Resolving-Mac,Il21,Il21r,FAPs,0.3333333333333333,0.044953,0.3950939548946194,1.0,2.338564,0.1490055513588678,0.105125467492,0.0588711925876284
Resolving-Mac,Vasp,Cxcr2,FAPs,1.0,29.482852,0.2918537423602448,0.3333333333333333,0.0072843333333333,0.1997148627777118,0.2147629215853333,0.0582875301066379
Resolving-Mac,Proc,Thbd,FAPs,0.3333333333333333,0.0382193333333333,0.2237347138288261,1.0,17.71526766666667,0.2506218293658061,0.6770657200415555,0.0560728032724155
Resolving-Mac,Pspn,Gfra1,FAPs,0.3333333333333333,0.2234583333333333,0.0727663985585116,1.0,20.328499,0.7662385783512358,4.542572505708333,0.0557564217832133
Resolving-Mac,Gnai2,Cxcr2,FAPs,1.0,91.01828266666666,0.2378998101932138,0.3333333333333333,0.0072843333333333,0.1997148627777118,0.6630075103715556,0.0475121279475813
Resolving-Mac,Mif,Cxcr2,FAPs,1.0,20.774284,0.2350970733145757,0.3333333333333333,0.0072843333333333,0.1997148627777118,0.1513268094173333,0.0469523797364621
Resolving-Mac,Il11,Il11ra1,FAPs,0.6666666666666666,0.1222276666666667,0.0574656189374839,1.0,39.39718,0.793654179920784,4.815425384646667,0.0456078286714691
Resolving-Mac,Tnfsf13b,Tnfrsf13c,FAPs,1.0,1.257587333333333,0.2193360309161807,0.3333333333333333,0.0969613333333333,0.1994103053291205,0.1219373446231111,0.043737864894673
Resolving-Mac,Pspn,Gfra4,FAPs,0.3333333333333333,0.2234583333333333,0.0727663985585116,1.0,1.399370333333333,0.5857450611332571,0.3127009624027778,0.0426225585721023
Resolving-Mac,Pspn,Ret,FAPs,0.3333333333333333,0.2234583333333333,0.0727663985585116,1.0,5.094146333333334,0.4825620346115429,1.138329449402778,0.0351143013397498
Resolving-Mac,Il13,Il13ra1,FAPs,0.3333333333333333,0.0222066666666666,0.0647398888868373,1.0,28.56714433333333,0.5328513631375226,0.6343810518288888,0.034496738042723
Resolving-Mac,Proc,Tek,FAPs,0.3333333333333333,0.0382193333333333,0.2237347138288261,1.0,10.582537,0.1511290331103168,0.4044575091153333,0.0338128109741639
Resolving-Mac,Nlgn3,Nrxn2,FAPs,0.6666666666666666,0.085348,0.0386471125756923,1.0,0.5898666666666667,0.8063873019518528,0.0503439402666666,0.031164540838142
Resolving-Mac,Cort,Sstr4,FAPs,0.3333333333333333,0.0511646666666666,1.0,1.0,0.2139183333333333,0.0284766868384019,0.0109450602188888,0.0284766868384019
Resolving-Mac,Pf4,Cxcr3,FAPs,1.0,89.26880233333334,0.9883985163053822,0.3333333333333333,0.0519413333333333,0.0277301788676974,4.636740618263111,0.0274084676497149
Resolving-Mac,Wnt16,Lrp5,FAPs,0.6666666666666666,0.1973276666666667,0.1037209923300328,1.0,12.393653,0.2625687066780312,2.445610627966333,0.0272338868114587
Resolving-Mac,Il11,Il6st,FAPs,0.6666666666666666,0.1222276666666667,0.0574656189374839,1.0,99.76728333333334,0.4449719839907295,12.19432225150556,0.0255705904698674
Resolving-Mac,Il16,Kcnj10,FAPs,1.0,5.892462666666667,0.3600275649155554,0.3333333333333333,0.09324,0.0657441211165971,0.5494132190400001,0.0236696958331218
Resolving-Mac,Il23a,Il23r,FAPs,0.6666666666666666,0.2147876666666667,0.0302283450072235,0.3333333333333333,0.014443,0.7689945869198687,0.0031021782696666,0.0232454336821011
Resolving-Mac,Agt,Agtr2,FAPs,0.3333333333333333,0.0504616666666666,0.0239979506192449,1.0,34.682839,0.9681988800594136,1.750153860671666,0.023234788913274
Resolving-Mac,Efnb3,Ephb2,FAPs,0.3333333333333333,0.028136,0.0240138197245159,1.0,6.959457666666666,0.9142039036746328,0.1958113009093333,0.0219535277342913
Resolving-Mac,Ccl5,Cxcr3,FAPs,1.0,26.96925,0.7871342361731639,0.3333333333333333,0.0519413333333333,0.0277301788676974,1.400818804,0.0218273731619702
Resolving-Mac,Cxcl1,Cxcr2,FAPs,1.0,22.47397933333333,0.1057544398439867,0.3333333333333333,0.0072843333333333,0.1997148627777118,0.1637079567904444,0.0211207334415755
Resolving-Mac,Gast,Cckbr,FAPs,0.3333333333333333,0.2920766666666667,0.0628172252670303,0.3333333333333333,0.0849446666666666,0.3241482386013114,0.0248103550911111,0.0203620929241296
Resolving-Mac,Efnb3,Ephb3,FAPs,0.3333333333333333,0.028136,0.0240138197245159,1.0,18.12300666666667,0.8235584434158876,0.5099089155733333,0.019776783992792
Resolving-Mac,Il13,Il4ra,FAPs,0.3333333333333333,0.0222066666666666,0.0647398888868373,1.0,30.255923,0.2997065709089496,0.6718831967533333,0.0194029700993004
Resolving-Mac,Slamf6,Slamf6,FAPs,1.0,3.259612666666667,0.9805789211648216,0.6666666666666666,0.0614859999999999,0.0184966380095693,0.2004205444226667,0.0181374133445996
Resolving-Mac,Ccl2,Cxcr3,FAPs,1.0,51.62686066666667,0.5879703770491272,0.3333333333333333,0.0519413333333333,0.0277301788676974,2.681567978840889,0.0163045237244797
Resolving-Mac,Cd177,Pecam1,FAPs,0.3333333333333333,0.0395543333333333,1.0,1.0,5.970184,0.015995373883918,0.2361466479973333,0.015995373883918
Resolving-Mac,Agt,Agtr1a,FAPs,0.3333333333333333,0.0504616666666666,0.0239979506192449,1.0,18.940215,0.6498413459298955,0.9557548159249998,0.0155948605299692
Resolving-Mac,Ntn1,Dcc,FAPs,1.0,0.2859396666666667,0.0153812584897179,0.3333333333333333,0.0545333333333333,1.0,0.0155932431555555,0.0153812584897179
Resolving-Mac,Agt,Mas1,FAPs,0.3333333333333333,0.0504616666666666,0.0239979506192449,1.0,3.064063333333333,0.6277999678867011,0.1546177425722222,0.0150659126281086
Resolving-Mac,Fgf15,Fgfr3,FAPs,0.6666666666666666,0.0334766666666666,0.1527357229435123,1.0,0.6824433333333334,0.0921286486424216,0.0228459279888888,0.0140713357542091
Resolving-Mac,Efnb3,Epha4,FAPs,0.3333333333333333,0.028136,0.0240138197245159,1.0,12.90571233333333,0.5522024902836482,0.3631151222106667,0.0132604910531002
Resolving-Mac,Cxcl13,Cxcr3,FAPs,1.0,3.636334333333334,0.463890006432544,0.3333333333333333,0.0519413333333333,0.0277301788676974,0.1888760537191111,0.0128637528533117
Resolving-Mac,Cxcl10,Cxcr3,FAPs,1.0,68.62066266666666,0.369682570904005,0.3333333333333333,0.0519413333333333,0.0277301788676974,3.564248713123555,0.0102513638154382
Resolving-Mac,Efnb3,Ephb6,FAPs,0.3333333333333333,0.028136,0.0240138197245159,1.0,1.279928333333333,0.4145734394268892,0.0360120635866666,0.0099554918369698
Resolving-Mac,Clec11a,Itga11,FAPs,0.6666666666666666,0.183981,0.008612056264005,1.0,31.603318,0.9837878817404418,5.814410048958002,0.0084724365893949
Resolving-Mac,Hcrt,Hcrtr1,FAPs,0.3333333333333333,0.1262483333333333,0.2703614289263065,0.3333333333333333,0.0225236666666666,0.0308165137949402,0.0028435753772222,0.0083315967041272
Resolving-Mac,Nlgn2,Nrxn2,FAPs,1.0,0.3368143333333333,0.0095955051339845,1.0,0.5898666666666667,0.8063873019518528,0.1986755480888889,0.0077376934958589
Resolving-Mac,Efna2,Epha5,FAPs,0.6666666666666666,0.3599813333333333,0.0311995743232909,0.3333333333333333,0.0610333333333333,0.2094151016766933,0.0219708607111111,0.0065336620291815
Resolving-Mac,Il21,Il2rg,FAPs,0.3333333333333333,0.044953,0.3950939548946194,1.0,1.228158333333333,0.0143370369068691,0.0552094015583333,0.005664476613005
Resolving-Mac,Efnb3,Ephb4,FAPs,0.3333333333333333,0.028136,0.0240138197245159,1.0,8.535242333333334,0.1722322446965897,0.2401475782906667,0.0041359540748926
Resolving-Mac,Clec11a,Itga10,FAPs,0.6666666666666666,0.183981,0.008612056264005,1.0,2.313512,0.4464687659070358,0.4256422512720001,0.0038450141321122
Resolving-Mac,Clec11a,Itgb1,FAPs,0.6666666666666666,0.183981,0.008612056264005,1.0,168.7997026666667,0.3320294904365841,31.05593809631601,0.0028594566529487
Resolving-Mac,Gnas,Vipr1,FAPs,1.0,76.02905266666666,0.0665365338904677,0.3333333333333333,0.146504,0.0425650644206355,11.13856033187733,0.0028321318513735
Resolving-Mac,Dlk2,Notch1,FAPs,0.6666666666666666,0.019463,0.0328562835131109,1.0,8.99153,0.07416766570679,0.17500214839,0.0024368738519679
Resolving-Mac,Ntn4,Dcc,FAPs,0.6666666666666666,0.0977199999999999,0.0022871901994789,0.3333333333333333,0.0545333333333333,1.0,0.0053289973333333,0.0022871901994789
Resolving-Mac,Tslp,Il7r,FAPs,1.0,1.396195,0.3040620147610637,0.6666666666666666,0.178101,0.0069178269574148,0.2486637256949999,0.0021034484024399
Resolving-Mac,Epo,Epor,FAPs,0.3333333333333333,0.0266856666666666,0.0554796333744052,0.3333333333333333,0.083415,0.0366542798846374,0.002225984885,0.0020335660096025
Resolving-Mac,Il10,Il10ra,FAPs,1.0,15.03518433333333,0.768121275198173,0.3333333333333333,0.0782276666666666,0.0014164520101564,1.176167388299889,0.0010880069242984
Resolving-Mac,Il13,Il2rg,FAPs,0.3333333333333333,0.0222066666666666,0.0647398888868373,1.0,1.228158333333333,0.0143370369068691,0.0272733027222222,0.0009281781763171
Resolving-Mac,Mmrn2,Cd248,FAPs,0.3333333333333333,0.049176,0.0009914195183614,1.0,59.98702866666667,0.8989888963652094,2.949922121712,0.0008912751386466
Resolving-Mac,Fgf15,Fgfr4,FAPs,0.6666666666666666,0.0334766666666666,0.1527357229435123,0.6666666666666666,0.296848,0.0050473655844417,0.0099374815466666,0.0007709130314999
Resolving-Mac,Fn1,Col13a1,FAPs,1.0,24.817167,0.0143553391581713,0.3333333333333333,0.0537786666666666,0.0487192533998481,1.334634151704,0.0006993814060877
Resolving-Mac,Cd84,Cd84,FAPs,1.0,126.8210476666667,0.9982238945172306,0.3333333333333333,0.0837876666666666,0.0006595029174679,10.62603966821211,0.0006583315707203
Resolving-Mac,Efna1,Epha5,FAPs,0.3333333333333333,0.0741296666666666,0.0027029477565092,0.3333333333333333,0.0610333333333333,0.2094151016766933,0.0045243806555555,0.0005660380792561
Resolving-Mac,Inhbb,Acvr1,FAPs,0.3333333333333333,0.0073556666666666,0.0011919378612928,1.0,22.011801,0.4625449807101323,0.161911470889,0.0005513248750593
Resolving-Mac,Inhbb,Acvr1b,FAPs,0.3333333333333333,0.0073556666666666,0.0011919378612928,1.0,6.757657999999999,0.4156086771445645,0.0497070796953333,0.0004953797177704
Resolving-Mac,Angpt1,Itgb1,FAPs,0.6666666666666666,0.0463756666666666,0.0014797500879753,1.0,168.7997026666667,0.3320294904365841,7.828198744301779,0.0004913206676839
Resolving-Mac,Angpt1,Itga5,FAPs,0.6666666666666666,0.0463756666666666,0.0014797500879753,1.0,29.913269,0.3264402385872224,1.387247792054333,0.0004830499717681
Resolving-Mac,Inhbb,Acvr2a,FAPs,0.3333333333333333,0.0073556666666666,0.0011919378612928,1.0,27.61090666666666,0.3690119294748028,0.2030966258044444,0.0004398392900097
Resolving-Mac,Cthrc1,Ror2,FAPs,0.3333333333333333,0.0555276666666666,0.0004364316075558,1.0,7.377589,0.9492453949340736,0.4096603027956667,0.000414280693676
Resolving-Mac,Rarres2,Cmklr1,FAPs,0.3333333333333333,0.0503029999999999,0.0008709402910521,1.0,33.166404,0.4490435959074953,1.668369620412,0.0003910901601147
Resolving-Mac,Tgfb2,Tgfbr3,FAPs,0.3333333333333333,0.025497,0.0005219561722632,1.0,62.46631733333334,0.5212694246546397,1.592703693048,0.0002720797936106
Resolving-Mac,Sema3a,Plxna1,FAPs,0.3333333333333333,0.016138,0.0008484064174811,1.0,18.05628333333334,0.3137092461059877,0.2913923004333334,0.0002661529376194
Resolving-Mac,Rarres2,Gpr1,FAPs,0.3333333333333333,0.0503029999999999,0.0008709402910521,1.0,2.008641666666667,0.2973709827646055,0.1010407017583333,0.0002589923702794
Resolving-Mac,Tgfb2,Tgfbr2,FAPs,0.3333333333333333,0.025497,0.0005219561722632,1.0,70.710031,0.4727109026912454,1.802893660407,0.0002467343733558
Resolving-Mac,Tgfb2,Acvr1,FAPs,0.3333333333333333,0.025497,0.0005219561722632,1.0,22.011801,0.4625449807101323,0.5612348900970001,0.000241428207631
Resolving-Mac,Sema3e,Plxnd1,FAPs,0.3333333333333333,0.0036506666666666,0.0023199040010506,1.0,22.17197066666667,0.0976868943233995,0.0809424742471111,0.000226624216991
Resolving-Mac,Angpt1,Tek,FAPs,0.6666666666666666,0.0463756666666666,0.0014797500879753,1.0,10.582537,0.1511290331103168,0.4907722083996667,0.0002236332000406
Resolving-Mac,Sema3a,Nrp1,FAPs,0.3333333333333333,0.016138,0.0008484064174811,1.0,59.36586533333332,0.2254681108101269,0.9580463347493332,0.0001912885921486
Resolving-Mac,Ptprz1,Ncam1,FAPs,0.3333333333333333,0.0312056666666666,0.0030514515932252,1.0,5.178030666666667,0.0626664797952065,0.1615838989737778,0.0001912237296129
Resolving-Mac,Cthrc1,Fzd5,FAPs,0.3333333333333333,0.0555276666666666,0.0004364316075558,1.0,8.435526,0.4297071542841152,0.468405075886,0.0001875377841224
Resolving-Mac,Ccl11,Cxcr3,FAPs,1.0,0.8209666666666666,0.0063289654332203,0.3333333333333333,0.0519413333333333,0.0277301788676974,0.0426421032888888,0.0001755033435106
Resolving-Mac,Sfrp2,Fzd5,FAPs,0.3333333333333333,0.0452183333333333,0.000395371354574,1.0,8.435526,0.4297071542841152,0.38144042651,0.0001698938996594
Resolving-Mac,Nid2,Col13a1,FAPs,1.0,0.5081416666666667,0.0032390976902344,0.3333333333333333,0.0537786666666666,0.0487192533998481,0.0273271813111111,0.0001578064211573
Resolving-Mac,Cd2,Cd48,FAPs,1.0,0.7348413333333333,0.576433701432819,0.3333333333333333,0.0196496666666666,0.0002369605511592,0.0144393872528888,0.0001365920475982
Resolving-Mac,Tgfb2,Tgfbr1,FAPs,0.3333333333333333,0.025497,0.0005219561722632,1.0,31.07813833333333,0.1893562842131466,0.792399293085,9.88356813018889e-05
Resolving-Mac,Cthrc1,Fzd3,FAPs,0.3333333333333333,0.0555276666666666,0.0004364316075558,1.0,1.007819666666667,0.2207208394324094,0.0559618745107777,9.632955077455629e-05
Resolving-Mac,Inhbb,Acvr2b,FAPs,0.3333333333333333,0.0073556666666666,0.0011919378612928,1.0,0.3517506666666667,0.0787014659364815,0.0025873606537777,9.380725698894028e-05
Resolving-Mac,Mmrn2,Clec14a,FAPs,0.3333333333333333,0.049176,0.0009914195183614,1.0,1.894331,0.0943486453199619,0.0931556212559999,9.353908850116954e-05
Resolving-Mac,Ptprz1,L1cam,FAPs,0.3333333333333333,0.0312056666666666,0.0030514515932252,0.6666666666666666,0.3785896666666667,0.0294439885804602,0.0118141429414444,8.984690586475233e-05
Resolving-Mac,Sema3a,Nrp2,FAPs,0.3333333333333333,0.016138,0.0008484064174811,1.0,8.622273333333332,0.1019529789289588,0.1391462470533333,8.64975616046488e-05
Resolving-Mac,Tgfb2,Eng,FAPs,0.3333333333333333,0.025497,0.0005219561722632,1.0,46.29469433333333,0.164954193449581,1.180375821417,8.609885941171745e-05
Resolving-Mac,Sema3a,Plxna4,FAPs,0.3333333333333333,0.016138,0.0008484064174811,1.0,0.4282866666666667,0.0796275873651645,0.0069116902266666,6.755655612914624e-05
Resolving-Mac,C3,C3ar1,FAPs,1.0,25.306101,0.0882009193262308,0.3333333333333333,0.1103976666666667,0.0007216619689517,2.793734502831,6.365124910432569e-05
Resolving-Mac,Il34,Csf1r,FAPs,0.3333333333333333,0.034161,0.002603653193486,1.0,3.928236333333333,0.0185510484725915,0.134192481383,4.830049659817829e-05
