Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Vip,Sctr,Resolving-Mac,-0.3333333333333333,-0.22646066666666675,0.0,0.3333333333333333,0.1413906666666666,0.457706446283526,0.023267128528222204,0.457706446283526
ECs,Icam2,Itgal,Resolving-Mac,0.0,6.672480333333333,0.12903768830430262,0.0,-3.7431170000000034,0.4373925442668947,4.069525087753618,0.4552712450357601
ECs,Sema6d,Tyrobp,Resolving-Mac,0.0,22.52075733333333,0.17739754012154665,0.0,-0.5443976666667822,0.3384591194155421,11941.063796990722,0.3109519341452945
ECs,Ceacam1,Havcr2,Resolving-Mac,0.0,1.5046326666666587,0.14671592218788276,0.0,3.099956333333328,0.1996781411029104,159.85764518303048,0.2900561501785268
ECs,Sema7a,Plxnc1,Resolving-Mac,0.0,28.72204533333333,0.16844506052286612,0.0,0.7926766666666687,0.25660294061189537,770.0023147810159,0.28840377675659323
ECs,Cd200,Cd200r1,Resolving-Mac,0.33333333333333337,12.91004933333334,0.11864624468258055,0.0,4.553084666666671,0.3018980941542474,393.78637803046206,0.2878313830981727
ECs,Ccl28,Ccr3,Resolving-Mac,0.3333333333333333,0.0719036666666667,0.0552077926815549,-0.33333333333333337,-0.1524973333333333,0.6074000808827777,0.002208620297000011,0.28135638560039833
ECs,Cxcl12,Cxcr3,Resolving-Mac,0.0,117.91883533333336,0.08620966219152665,0.0,-0.23391866666666705,0.5076116251467319,136.5691991994193,0.2629330991957368
ECs,Flt3l,Flt3,Resolving-Mac,0.0,1.7958379999999992,0.057732077810181186,0.0,0.6683630000000003,0.5236944229679847,8.460866252668668,0.2272513764317232
ECs,Sema6d,Trem2,Resolving-Mac,0.0,22.52075733333333,0.17739754012154665,0.0,34.73210733333334,0.1173232344465377,2974.400610549175,0.22277230920839572
ECs,Cx3cl1,Cx3cr1,Resolving-Mac,0.33333333333333337,5.610341,0.2074753276497952,0.0,17.528433666666665,0.04201209304968767,380.9917247292997,0.21531979420594766
ECs,Pgf,Nrp2,Resolving-Mac,0.0,24.177917999999995,0.5469567592101248,0.0,7.7568453333333265,0.10381681102382924,460.73393110342505,0.2011520212243252
ECs,Cxcl12,Cxcr4,Resolving-Mac,0.0,117.91883533333336,0.08620966219152665,0.0,6.187682999999992,0.33366093623276616,27764.97366679705,0.192956725872162
ECs,Cxcl12,Itga4,Resolving-Mac,0.0,117.91883533333336,0.08620966219152665,0.0,1.4795153333333315,0.27851848649243194,6569.384566862393,0.1808990244298136
ECs,Cd200,Cd200r4,Resolving-Mac,0.33333333333333337,12.91004933333334,0.11864624468258055,0.0,0.6476680000000029,0.09741288858028284,165.62661152921828,0.17196461700893906
ECs,Vip,Vipr1,Resolving-Mac,-0.3333333333333333,-0.22646066666666675,0.0,0.33333333333333337,2.3337486666666667,0.16692298616379464,0.36425622637422206,0.16692298616379464
ECs,Hbegf,Cd44,Resolving-Mac,0.0,14.59822733333333,0.2683456365042775,0.0,-48.9109993333333,0.1467862448707386,1423.673615007359,0.15818308926952224
ECs,F2,F2rl2,Resolving-Mac,0.6666666666666667,0.2380426666666667,0.1592905296508903,0.0,0.128290666666667,0.3325388622696478,0.431496275088,0.1509419614348347
ECs,Cel,Cxcr4,Resolving-Mac,0.6666666666666667,-0.007145333333333281,0.06570412607010673,0.0,6.187682999999992,0.33366093623276616,0.7217675839494575,0.1469639289885849
ECs,Dll1,Notch2,Resolving-Mac,0.33333333333333337,3.255175999999997,0.278075484924286,0.0,-10.840460333333318,0.062384162771286326,4.787531057051297,0.13956366693002048
ECs,Gnai2,Adra2b,Resolving-Mac,0.0,-12.363866333333304,0.02421356823260662,0.0,0.5989723333333328,0.3261314493406892,62.299791960973145,0.1376082596752265
ECs,F2,Gp9,Resolving-Mac,0.6666666666666667,0.2380426666666667,0.1592905296508903,0.0,-0.02831966666666608,0.28960380113410256,0.8251895950297787,0.13728573887133094
